,title,date,content
0,"온갖 시련 딛고…‘옛 현대상선’ HMM, 5년 만에 흑자 전환",2020.08.12,"2분기 영업이익 1387억 잠정 집계항로 합리화·수익성 개선 등 성과 2015년 이후 극심한 경영난에 시달리며 주인이 현대그룹에서 채권단(한국산업은행)으로 바뀌기까지 했던 HMM(옛 현대상선)이 5년 만에 처음으로 분기 흑자를 냈다. 해운동맹 ‘디 얼라이언스’ 가입과 초대형 컨테이너선 투입 등으로 이뤄낸 성과다.HMM은 연결 기준 올해 2분기 영업이익이 1387억원으로 지난해 동기(영업손실 1129억원)와 비교해 흑자 전환한 것으로 잠정 집계됐다고 12일 공시했다. HMM이 분기 흑자를 낸 것은 2015년 1분기 이후 21분기 만이다. 매출은 1조3751억원으로 지난해 동기 대비 1.6% 감소했고, 순이익은 281억원으로 흑자 전환했다. 상반기 전체 매출은 2조6883억원으로 지난해 동기 대비 246억원 줄었지만 영업이익은 1367억원으로 흑자 전환했다.HMM은 코로나19 사태 악화로 컨테이너 적취량과 매출은 소폭 감소했으나 항로 합리화와 비용 축소 등으로 원가 구조가 개선됐다고 설명했다. 해운사들이 운항 선박을 줄여 운임이 오르면서 컨테이너 사업과 벌크 부문에서 모두 영업이익 흑자를 내기도 했다. 지난 4월 해운동맹 ‘디 얼라이언스’에 가입하고, 세계 최대 규모인 2만4000TEU급 컨테이너선을 투입해 수익성을 개선한 것도 작용했다.HMM은 9월까지 2만4000TEU급 컨테이너선을 모두 12척 투입하고 추가 화물을 확보하기 위한 노력을 계속할 방침이라고 밝혔다. 현재 7호선까지 만선으로 유럽으로 출항했다. HMM은 또 하반기에 벌크 부문에선 겨울철 원유 수요가 증가하고 철광석 물동량이 늘어나는 등 점차 개선될 것으로 기대된다고 밝혔다.남지원 기자 somnia@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
1,"HMM(옛 현대상선), 21분기만에 흑자...해운산업 부활 신호?",2020.08.12," 우리나라의 대표적인 원양선사인 HMM(옛 현대상선)이 올 2분기에 흑자를 기록했다. 12일 해양수산부와 HMM에 따르면 HMM는 올 2분기 1조3752억원의 매출과 1387억원의 영업이익을 기록했다. 당기순이익은 281억원이다. 지난해 2분기에는 매출 1조3970억원에 영업이익 -1129억원, 당기순이익은 -2007억원을 기록한 바 있다. HMM이 분기 단위로 흑자를 기록한 것은 21분기만이다. HMM의 상반기 실적은 매출 2조6883억원에 영업이익 1367억원으로 집계됐다. 해운산업의 재건을 위해 다양한 정책을 펼쳐온 해양수산부의 문성혁 장관은 “HMM의 실적 개선은 이 회사가 지난해 7월 세계 3대 얼라이언스 중 하나인 ‘디 얼라이언스’에 가입하고, 올 상반기부터 세계 최대(2만4000TEU급) 규모의 컨테이너선 12척을 유럽항로에 투입하는 등 다양한 경쟁력 강화 노력을 펼쳐온 결과”라고 밝혔다.문 장관은 이어 “영업이익이 흑자로 전환되었다는 것만으로 HMM의 경영이 완전히 정상화됐다고 볼 수는 없다”면서 “코로나19사태가 장기화되고 있기 때문에 앞으로의 상황을 더 지켜봐야 할 것”이라고 밝혔다.이날 해수부는 2018년 4월부터 추진해온 ‘해운재건 5개년 계획’의 중간점검 결과를 발표했다. 해수부의 발표자료에 따르면 우리나라 해운기업의 매출액은 한진사태 당시인 2016년 29조원에서 현재 37조원으로 늘어났다. 하지만, 한진사태 이전인 2015년의 39조원에는 아직 미치지 못하는 규모다.원양 선복량도 2016년 12월 기준 46만TEU(1TEU는 20피트 길이 컨테이너 1개)에서 2020년7월 기준 65만TEU로 회복했지만, 한진사태 이전인 2016년 8월의 105만TEU에 비해서는 아직 40만TEU가 적은 상황이다.해수부는 2018년 7월 한국해양진흥공사를 설립하고, 49개 해운기업에 대해 모두 4조2830억원을 지원하는 등 우리나라 해운산업을 다시 일으켜세우기 위해 다양한 지원을 해왔다.  해수부는 장금상선과 흥아해운을 통합해 세계 20위권의 연근해 컨테이너선사로 도약시켰다. 통합으로 출범한 회사는 매출이 이전에 비해 12.9% 증가하고, 영업이익이 2019년 상반기 100억원 적자에서 2020년 상반기 146억원 흑자로 전환하는 등 실적이 크게 개선됐다. 또 3차례에 걸친 아시아항로 구조조정을 통해 국적선사 간 과잉경쟁을 해소했으며, 164척의 신규 선박을 발주해 해운·조선산업 간 상생협력의 기틀을 다지기도 했다.문 장관은 “기존에 나온 ‘해운재건 5개년 계획’을 보완해 2025년까지 해운산업의 매출규모를 51조원으로 늘리겠다”고 밝혔다.윤희일 선임기자  yhi@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
2,"HMM, 에펠탑보다 긴 세계 최대 규모 컨테이너선 공개",2020.04.23,"HMM(현대상선의 새 이름)이 보유한 세계 최대 규모 선박이 23일 모습을 드러냈다. HMM은 이날 해양수산부와 함께 경남 거제에 위치한 대우조선해양 옥포조선소에서 ‘HMM 알헤시라스호’ 명명식을 열었다. 명명식이란 조선소에서 건조를 마친 선박을 선주에 인도하기 전에 이름을 지어주고 무사항해를 기원하는 행사다. HMM은 2017년 인수한 스페인의 환적항인 알헤시라스 터미널에서 따 이름을 지었다. 회사 관계자는 “알헤시라스호를 시작으로 초대형선을 적극적으로 확보해 ‘규모의 경제’를 실현하겠다”고 밝혔다.이날 행사에는 문재인 대통령과 부인 김정숙 여사를 비롯해 홍남기 경제부총리, 문성혁 해양수산부 장관 등 고위 관료도 다수 참석했다. 문 대통령은 “오늘 알헤시라스호 명명식으로 대한민국 해운 재건의 신호탄을 세계로 쏘아 올리게 되었다”면서 “12척의 초대형 컨테이너선은 우리 해운산업의 위상을 되살리게 될 것”이라고 말했다. 2만4000TEU급 초대형 컨테이너선 길이 비교. HMM 제공HMM 알헤시라스호는 2018년 9월 계약한 12척의 2만4000TEU(20피트 길이 컨테이너를 세는 단위)급 선박 중 첫 번째로 인도된 세계 최대 규모 컨테이너선이다. HMM은 초코파이를 싣는다면 총 70억개를 실을 수 있는 적재량으로 전 세계 인구가 하나씩 먹을 수 있다고 설명했다. 선박 길이는 399.9m로 파리의 에펠탑(320m)보다도 길며, 이 선박에 실을 수 있는 모든 컨테이너를 한 줄로 세우면 서울에서 대전까지 직선거리인 144㎞에 달한다. HMM은 초대형선을 다수 확보해 운송능력을 향상시키면서 비용경쟁력이 높아질 것이라고 기대한다. HMM은 2018년 정부의 ‘해운재건 5개년 계획’에 발맞춰 시장 변화에 선제적으로 대응하겠다면서 국내 조선 3사와 약 3조1500억원 상당의 초대형 선박 20척 건조 계약을 체결했다. 이번 선박을 시작으로 향후 1~2주 간격으로 대우조선해양과 삼성중공업으로부터 9월까지 2만4000TEU급 12척을 인도받고, 내년에는 현대중공업으로부터 1만6000TEU급 8척을 받는다. HMM은 모든 선박의 인도가 완료되면 선복량이 현재 45만TEU에서 약 90만TEU로 2배가 된다고 설명했다. HMM은 추가 발주 및 용선을 통해 2022년까지 약 110만TEU 수준으로 선복량을 확대한다는 계획을 밝혔다.박효재 기자 mann616@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
3,"현대상선,세계3대 '해운동맹' 본격 참여...사명도 HMM으로 바꿔",2020.03.31,"현대상선이 4월 1일부터 세계 3대 해운동맹과의 협력 운항을 개시한다. 운항노선과 선복량(배에 싣는 짐의 양)의 증가로 현대상선의 경쟁력이 높아질 것이라는 기대가 나온다.해양수산부는 우리나라의 대표 원양국적선사인 현대상선주식회사가 이날부터 사명을 HMM(에이치엠엠)으로 바꾸고 세계3대 해운동맹(Alliance) 중 하나인 ‘디 얼라이언스(THE Alliance)’와의 협력 운항을 본격적으로 시작한다고 31일 밝혔다. 일반적으로 화물운송을 주된 업무로 하는 해운사들은 세계의 모든 해양 노선을 다룰 수는 없기 때문에 다른 해운사들과 얼라이언스 계약을 체결하고 협력운항을 한다.HMM은 해운재건에 나선 정부의 지원을 통해 지난해 6월 ‘디 얼라이언스’의 4번째 정회원사로 가입했다. HMM은 이후 진행한 협상에서 운항노선을 기존 20개에서 27개로 확대하고, 선복량도 11.3% 늘렸다. HMM의 노선은 미주지역 5개 노선과 중동지역 2개 노선이 늘어난다. 또 주간 선복량은 약 4만3000TEU(1TEU는 20피트 길이 컨테이너 1개)까지 증가하게 된다. 해수부 관계자는 “HMM이 ‘디 얼라이언스’의 기존 회원사인 하팍로이드(독일), ONE(일본), 양밍(대만) 등 3사와 함께 향후 10년간 보다 확대된 서비스를 화주들에게 제공할 수 있게 됐다”고 설명했다. HMM은 유럽항로의 경우 그동안 자체 보유 선박 없이 다른 선사의 선복을 매입해 서비스해왔으나 4월 말부터는 2018년 9월에 발주한 세계 최대 규모 초대형선 2만4000TEU급 12척을 순차적으로 투입, 서비스를 제공할 예정이다. HMM은 코로나19의 확산으로 인한 물량 감소의 영향을 최소화하면서 경기 회복기의 물동량 증가에 대비하는 대책을 마련해 나갈 예정인 것으로 알려졌다.문성혁 해수부 장관은 “HMM이 디 얼라이언스 체제의 협력을 본격화함으로써 우리 선사가 세계적인 해운선사들과 어깨를 나란히 할 수 있는 기반이 마련되었다”면서 “정부는 앞으로도 국내 해운선사들이 더욱 건실한 글로벌 경쟁력을 갖출 수 있도록 적극적으로 지원할 계획”이라고 말했다.윤희일 선임기자  yhi@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
4,"HMM, 카카오엔터프라이즈 MOU 체결…“디지털 혁신으로 기업체질 전면 개선”",2020.05.13,"국내 최대 해운사 HMM(현대상선의 새 이름)이 정보기술(IT) 플랫폼 사업자 카카오엔터프라이즈와 13일 전략적 파트너십(MOU)을 맺었다. 디지털·모바일 기반으로 서비스 품질을 높이고 신성장 사업도 발굴하겠다는 취지다. HMM은 13일 판교 카카오 사옥에서 배재훈 대표이사와 백상엽 카카오엔터프라이즈 대표이사 등이 참석한 가운데 양사가 MOU를 체결했다고 밝혔다. 이번 MOU 체결로 양사는 일하는 방식의 혁신을 위한 ‘스마트 워크 플레이스’ 구축, 해운업에 디지털을 접목한 인공지능(AI)과 빅데이터 공동 연구, HMM의 글로벌 인프라·네트워크와 카카오의 디지털 기술을 결합한 신성장 동력 개발 협력 등을 함께 추진한다. HMM은 그동안 국내 주요 IT기업과 협력 가능성을 검토해왔다. 카카오엔터프라이즈는 우선 연내 출시 예정인 기업용 스마트 워크 솔루션 ‘카카오워크’, ‘카카오 i커넥트’로 HMM의 업무 디지털화를 지원하기로 했다. HMM은 카카오엔터프라이즈가 가진 AI와 빅데이터 기술력을 바탕으로 해운·물류 관련 산업 데이터를 확보·분석해 데이터 기반 영업·운영 전략을 수립하기 위한 장기 플랜을 실행할 것이라고 밝혔다. 양사는 조만간 워킹그룹을 꾸려 연말까지 디지털 워크 플레이스를 추진하고, AI와 빅데이터 공동 연구를 진행한다. 배재훈 대표는 “물류 정보의 디지털화 등 디지털 혁신을 통해 기업 체질을 전면 개선하고 선제적인 국제 해운 물류 서비스를 제공해 고객 서비스 강화에 적극적으로 나설 방침”이라고 말했다.백상엽 대표는 “카카오엔터프라이즈의 IT 기술과 HMM의 글로벌 네트워크를 결합해 새로운 성장동력을 만들 것”이라며 “해운물류 산업의 디지털 전환과 고도화를 전폭 지원하겠다”고 말했다.박효재 기자 mann616@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
5,규모의 경제·동맹 효과에 ‘흑자’ 벼르는 해운업계,2020.08.09," 초대형 선박 운항 때마다 만선HMM, 21분기 만에 흑자 기대1·2위 해운사와 노선 공동운항SM상선도 선복량 2배로 늘어저유가 기조·운임상승세 호재해외 선사 선복량 확대는 변수국내 주요 해운사들이 코로나19 여파에도 올 2분기 흑자 전환에 성공할 것이란 기대감이 높아지고 있다. 해운업체들의 실적 상승은 물동량이 줄었음에도 초대형 선박 운항을 통한 ‘규모의 경제’ 실현, 글로벌 해운사들과의 협력에 따른 운항 효율 상승 때문으로 분석된다.9일 업계에 따르면 국내 1위 해운업체 HMM(옛 현대상선)은 2분기에 영업이익 흑자를 기록할 것으로 전망된다. 현대상선 당시인 2015년 1분기 저유가 효과로 반짝 흑자를 낸 뒤 21분기 만이다. 한 업계 관계자는 “코로나19로 전 세계 물동량이 줄었는데도 실적은 오히려 좋아져 매우 고무적”이라고 전했다. HMM의 실적 호전이 예상되는 것은 2분기부터 세계 최대 규모 컨테이너선을 운영하면서 ‘규모의 경제’를 실현했기 때문이다. 지난 4월 HMM이 인도한 초대형 컨테이너선 1호인 알헤시라스호는 세계 최대 규모인 2만4000TEU(20피트 길이 컨테이너 1단위)급 컨테이너선으로 운항 때마다 만선을 기록했다. 지난 5월8일 아시아 지역 운항 구간의 마지막 기항지인 중국 옌텐항에서 1만9612TEU를 선적하고 유럽으로 출발해 선적량 세계 신기록을 달성하기도 했다. HMM 관계자는 “압도적인 선복량(배에 실을 수 있는 최대 화물 적재량) 덕분에 개별 운항 효율을 높일 수 있었다”면서 “전 세계적으로 물동량이 줄고 선복량이 줄어드는 추세에 초대형 컨테이너선 수요가 알헤시라스호로 몰렸다”고 설명했다. 주요 해운사들은 2008년 세계 금융위기 때 줄어든 물동량에도 선복량 늘리기 치킨게임을 벌였다가 큰 위기에 빠진 이후 선복량을 줄이는 추세다. 여기에 국제해사기구(IMO)의 환경규제가 강화되고, 오염물질 저감장치 장착은 늘면서 선복량은 더 줄어들고 있다. 이런 상황에서 더욱 희귀해진 HMM의 초대형 선박에 수요가 몰리고 있는 셈이다. HMM이 알헤시라스호에 이어 인도한 초대형 컨테이너선 오슬로호(1만9504TEU), 코펜하겐호(1만9490TEU) 등도 잇따라 만선에 성공했다.글로벌 해운사들과의 협력도 HMM의 실적 호전을 가능케 하는 이유다. HMM은 지난 4월부터 세계 5위 하팍로이드(독일), 6위 원(일본), 9위 양밍해운(대만) 등이 가입한 세계 3대 해운동맹 ‘디 얼라이언스’에 정회원으로 합류한 효과를 보고 있다. HMM 관계자는 “과거 준회원이었을 때와 달리 노선과 기항지를 정할 때 좀 더 우리 의견을 관철시킬 수 있게 됐고, 그로 인해 화주와의 접근성을 높이는 등 운항 효율을 끌어올릴 수 있게 됐다”고 설명했다.지난 4월부터 세계 1·2위 해운사인 머스크(덴마크)·MSC(스위스)와 아시아~미주 노선 공동운항을 시작한 SM상선도 2분기에는 흑자 전환할 것이란 전망이 나온다. SM상선은 이들 업체와의 협력으로 미주 노선이 2개에서 3개로 늘었고, 제휴사 간 화물 적재 공유에 따라 선복량도 2배 늘어났다. 이에 따라 운항 단위 원가는 낮아졌다. 대형 화주와 교섭력이 높아진 것도 공동운항의 성과로 꼽힌다.업계에서는 코로나19발 저유가 장기화 기조, 지속적인 운임 상승은 하반기 국내 해운업계 수익성 개선에 호재로 작용할 것으로 보고 있다. 다만 해외 선사들이 하반기부터 선복량을 늘리면 운임이 하락할 가능성 등은 변수로 꼽힌다.박효재 기자 mann616@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
6,우리나라가 갖고 있는 세계 최대 컨테이너선의 이름은?,2020.04.23,"우리나라가 보유하고 있는 세계 최대 컨테이너선이 25일부터 아시아~북유럽 항로에 투입된다. HMM(현대상선의 새 이름) 소유인 이 배에는 ‘HMM 알헤시라스’라는 이름이 붙었다. 해양수산부는 23일 경남 거제 대우조선해양 옥포조선소에서 세계 최대 컨테이너 선박인 ‘HMM 알헤시라스호’의 명명식을 개최했다.알헤시라스호는 컨테이너 박스 2만3964개를 한 번에 운반할 수 있는 세계 최대 규모의 컨테이너 선박이다. 이 선박의 길이는 약 400m, 폭은 61m, 높이는 33.2m에 이른다.  축구장 4배 크기로 선박을 수직으로 세웠을 때 아파트 133층 높이와 맞먹는다. 지금까지 세계 최대 컨테이너 선박 기록을 갖고 있던 MSC사의 ‘MIA호’보다 컨테이너 208개를 더 실을 수 있다. 이 배의 건조 비용은 1725억원이다.‘알헤시라스’라는 이름은 유럽대륙 최남단인 지브롤터 해협에 위치하고 있는 스페인 남부 항구도시의 이름에서 따왔다. 이 도시의 이름은 ‘초록빛 섬’을 뜻하는 아랍어에서 유래했다.대우조선해양이 건조한 이 배는 25일 아시아~북유럽 항로에 투입될 예정이다. HMM은 초대형 선박을 확충해 규모의 경제를 실현하고 원가경쟁력을 확보하기 위해 2만4000TEU급 선박 12척을 발주한 바 있다. 이 중 알헤시라스호를 포함한 7척은 컨테이너 박스 2만3964개를 한꺼번에 실을 수 있는 규모이고, 나머지 5척은 2만3820개를 실을 수 있는 규모이다. 9월까지 순차적으로 항로에 투입될 예정인 나머지 선박의 이름에도 유럽지역의 항만 이름이 붙게 된다. 해수부 관계자는 “이들 선박이 유럽항로에 투입되는 것을 기념하는 의미에서 유럽지역 항구의 이름을 따서 배 이름을 지었다”면서 “초대형선으로 운항하면 기전 선박에 비해 운항 비용이 15% 정도 절감될 것으로 예상된다”고 밝혔다.윤희일 선임기자  yhi@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
7,부산신항 미세먼지 저감용 AMP 사실상 방치···이용률 1% [국감2020],2020.10.20," 항만 미세먼지 저감을 위해 부산항만공사가 설치한 육상전원공급장치(AMP)의 실제 이용률이 1% 수준에 불과한 것으로 나타났다.20일 국회 농림축산식품해양수산위원회 최인호 의원(더불어민주당·부산 사하갑)이 부산항만공사로부터 받은 자료를 보면 올해 1~6월 부산신항에 입항한 선박 710척 중 미세먼지 저감용 AMP 설비를 이용한 선박은 0.98%인 7척에 불과했다.AMP는 냉장·취사설비 등 정박중인 선박에 필요한 전기를 육상전력으로 공급해주는 설비로 AMP 이용 활성화는 부산항만공사의 대표적인 미세먼지 저감대책이다. 공사는 2019년 120억원을 들여 부산신항에 AMP 4대를 설치하고 2020년 1월부터 설비를 개방했다.AMP 이용이 저조한 이유 중 하나는 부산항에 입항하는 컨테이너선박에 AMP 수전설비가 없기 때문이다. 수전설비가 없으면 AMP을 이용할 수가 없다.2020년 1월부터 6월까지 부산신항에 입항한 HMM, 머스크, MSC 등 3대 선사의 컨테이너 선박 710척 중 수전설비가 있는 선박은 235척으로 33% 수준이다. MSC가 105척 중 68척(65%)으로 설치비율이 가장 높고, HMM은 239척중 102척(43%), 머스크는 366척중 65척(18%) 순이다.최 의원은 “항만당국이 국내외 선박의 수전설비 보유현황과 AMP 이용 활성화에 대한 세밀한 분석 없이 보여주기식 정책으로 혈세만 낭비하는 것 아닌지 우려된다”고 지적했다.권기정 기자 kwon@kyunghyang.com▶ 인터랙티브:위력,보이지않는힘▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
8,"금융부터 사회공헌까지, 해운산업 든든한 동반자로",2020.06.29,"한국해양진흥공사 해운기업의 안정적인 선박 도입과 유동성 확보를 지원하고 해운산업의 성장에 필요한 종합서비스 제공하기 위해 부산에 설립된 한국해양진흥공사(KOBC)가 설립 2년 만에 해운산업의 든든한 동반자로 자리매김했다.한국해양진흥공사는 정부의 해운 재건 5개년 계획의 실질적인 수행기관으로서 해운산업 재건을 위한 지원체계를 마련해왔다. 공사는 HMM(현대상선의 새 이름)의 초대형 컨테이너선 20척(2만4000TEU 12척, 1만6000TEU 8척) 신규 건조를 위한 선박금융 조달을 적극 지원했다. 지난 4월 공사의 금융지원을 발판으로 건조된 컨테이너선은 1호선인 ‘알헤시라스호’를 시작으로 올해 12척 모두 인도돼 항해에 나설 예정이다. 내년 1만6000TEU급 컨테이너선 8척이 계획대로 인도되면 HMM은 세계 선복량 8위의 글로벌 선사로 다시금 도약하게 된다.공사는 해운산업 지원 외에도 부산 지역사회 발전과 해양환경 보호를 위한 사회공헌활동도 활발하게 진행 중이다. 올해에는 ‘함께하는 나눔으로 배가되는 희망물결(HOPE WAVE)’이라는 사회공헌 슬로건 아래 해양 안전, 지역 상생, 인재 육성, 환경보호를 사회공헌활동 핵심 테마로 선정하고 다양한 사업을 추진 중이다.▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
9,‘축구장 4배 크기’ 세계 최대 컨테이너선 명명식 참석한 문 대통령 [포토뉴스],2020.04.23,"문재인 대통령과 부인 김정숙 여사가 23일 경남 거제시 대우조선해양 옥포조선소에서 열린 세계 최대 컨테이너선 ‘알헤시라스’호(2만4000TEU급) 명명식에 참석해 기념촬영을 하고 있다.HMM(옛 현대상선)이 보유한 알헤시라스호는 길이 약 400m, 폭 61m, 높이 33.2m로 축구장 4배 크기에 달하며 컨테이너 2만3964개를 한 번에 운반할 수 있다.선박 이름은 HMM이 2017년 인수한 스페인의 환적항 알헤시라스 터미널에서 따왔다.청와대사진기자단▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
