,title,date,content
0,"LG전자, 캐나다 마그나와 합작사 설립소식에 상한가 기록",2020.12.23," LG전자 주가가 캐나다 자동차 전장부품업체 마그나 인터내셔널과 합작사를 설립한다는 소식에 23일 상한가를 기록했다.이날 유가증권시장에서 LG전자는 전날보다 2만7300원(29.61%) 급등한 11만9500원에 거래를 마쳐 상한가를 기록했다. LG전자가 종가 기준 10만원선 위로 올라선 것은 2018년 5월 이후 2년 7개월 만으로 코스피 대형주가 상한가를 기록하는 것은 이례적인 일이다. LG전자(우)도 1만950원(29.96%) 오른 4만7500원에 상한가를 기록했다.이 밖에 LG우(18.38%), LG이노텍(12.80%), LG(10.34%), LG디스플레이(6.41%) 등 LG관련주들도 대부분 급등세를 보였다.금융감독원 전자공시에 따르면 LG전자는 이날 이사회를 열고 전기차 관련 부품 및 배터리, 배터리팩 부품 사업을 물적 분할한 뒤 가칭 ‘엘지마그나 이파워트레인(LG Magna e-Powertrain Co., Ltd.)’ 을 설립키로 결정했다고 밝혔다. 회사 측은 “JV(합작회사) 설립을 통한 전기차 부품 사업 성장 잠재력 확대 및 사업경쟁력 제고를 위함”이라고 설명했다.앞서 블룸버그통신은 LG전자가 캐나다 자동차 부품업체 마그나 인터내셔널과 전기차 부품을 생산하는 합작 법인을 설립할 것이라고 보도했다. 합작 법인의 가치는 10억달러 규모로, LG 전자가 51%의 지분을 갖고 마그나는 나머지 49% 지분을 보유할 것이라고 소식통은 전했다. 합작법인은 한국 인천과 중국 난징에서 전기차 모터, 인버터 등을 생산할 것으로 알려졌다.이윤주 기자 runyj@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
1,LG디스플레이 ‘시네마틱 사운드 유기발광다이오드’…‘소리 내는 디스플레이’ 국가표준 등재,2020.12.13," LG디스플레이는 자사의 ‘시네마틱 사운드 유기발광다이오드’(CSO)가 국가기술표준원에서 제정하는 ‘소리 내는 디스플레이’ 국가표준(KS)에 등재됐다고 13일 밝혔다.소리 내는 디스플레이는 스스로 빛을 내는 얇은 단층 구조를 가진 OLED 디스플레이만이 구현할 수 있는 기술이다. 디스플레이가 진동판 역할을 해 소리를 내도록 한 신개념 기술로, LG디스플레이가 2016년 세계 최초로 개발해 상용화에 성공했다. 디스플레이에서 직접 소리를 내기 때문에 화면 속 등장인물이 직접 말하는 것처럼 느껴져 기존의 일반 스피커가 갖지 못한 높은 몰입감과 생생한 현장감을 제공한다.기업 간 글로벌 경쟁이 치열해지는 상황에서 미래 선도기술이 되기 위해서는 국가표준을 만들고 선점하는 게 필수적이다. 이번 KS 등재에 따라 CSO는 OLED TV에 이어 자동차와 디지털 사이니지 등 다양한 시장으로도 빠르게 확장될 것으로 전망된다. 국가기술표준원은 CSO가 글로벌 OLED 디스플레이 시장 선도에 중요한 역할을 할 것으로 보고 ‘유망 신산업 분야 국제표준 개발과제’로 선정해 국제표준 등재도 추진키로 했다.구교형 기자 wassup01@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
2,"자동차 부품 판 키운 LG전자, 세계 3위 손잡고 미래차 ‘날개’",2020.12.23,"캐나다 마그나와 ‘파워트레인 생산’ 합작법인 설립 구광모 회장 VS사업 전폭 지원 속전기차 시장 확대에 역량 총동원세계 완성차들에 기술력 인정받아증권업계 “내년 상반기 흑자전환”계열사 시너지…주가도 ‘상한가’LG전자가 LG그룹의 자동차부품·전기장비(전장) 사업을 미래 성장동력으로 키우는 작업에 본격 나섰다. 전기차, 커넥티드카, 자율주행차 등 미래차 시장 확대에 맞춰 그룹 차원에서 계열사 역량을 총동원하는 일환이다. LG전자의 자동차부품 사업은 구광모 LG그룹 회장의 전폭적인 지원 속에 글로벌 완성차 제조업체들로부터 기술력을 인정받으면서 내년에는 흑자 전환도 예상된다.LG전자는 세계 3위의 자동차부품 사업 전문업체인 캐나다 마그나 인터내셔널과 손잡고 합작법인 ‘엘지 마그나 이파워트레인’을 설립하기로 했다고 23일 밝혔다. LG전자는 이날 임시 이사회를 열고 자동차부품(VS)사업본부 내 그린사업 일부를 물적분할하고 합작법인을 설립하는 사업 내용을 의결했다. VS사업본부는 차량용 인포테인먼트 제품과 전기차 모터, 자율주행 모듈 등을 생산하고 있다. 신설회사의 주식 가치는 9억2500만달러(약 1조254억원) 규모로, 지분 51%는 LG전자가 보유하고 나머지 49%는 마그나가 4억5300만달러에 인수하게 된다. 신설회사는 전기차 모터 등 파워트레인(동력장치) 생산에 주력하게 된다.LG전자가 자동차부품 사업을 강화하는 것은 그룹 계열사들과 미래차 분야에서 시너지를 낼 수 있기 때문이다. LG전자는 LG디스플레이로부터 디스플레이 제품을 납품받아 차량용 인포테인먼트 시스템을 구축하고 있다. LG화학에서 독립한 LG에너지솔루션은 전기차용 배터리 제작에 특화된 업체이고 LG이노텍은 차량용 모터, LED 헤드램프 등을 생산하고 있다.자동차부품 사업은 안전을 담보할 품질이 중요하기 때문에 장기간 대규모 투자가 필요하다. 올해 VS사업본부의 투자금액은 6070억원으로 TV 사업을 하는 홈엔터테인먼트(HE)사업본부(2492억원)나 휴대폰 사업을 하는 모바일커뮤니케이션(MC)사업본부(1096억원)에 비해서도 액수가 크다. 이번 합작법인 설립을 통해 투자금액은 더 늘어날 전망이다. 직원 수도 4390명으로 HE사업본부(3710명)나 MC사업본부(3719명)보다 많다.LG전자는 글로벌 완성차 제조업체들로부터 경쟁력을 인정받고 있다. 올 들어 메르세데스 벤츠 브랜드의 모기업인 독일 다임러 AG와 프랑스에 본사를 둔 르노로부터 우수 공급사로 선정됐다. 국내에서도 현대자동차 주관 행사에서 기술 부문 최우수 협력사가 됐다. LG전자가 자동차부품 사업에서 ‘톱 티어’(일류 공급업체)로 자리매김했다는 점에서 의미가 있다.증권업계에서는 LG전자 VS사업본부가 내년 상반기 흑자 전환이 유력하다고 관측한다. 2013년 7월 출범한 VS사업본부는 일시적으로 분기 흑자를 기록한 것을 제외하면 계속 적자 상태에서 벗어나지 못했다. 올해 상반기에도 코로나19 사태로 2993억원 적자를 기록하며 주춤했지만 3분기 들어서는 적자 폭을 661억원까지 줄인 상황이다. 4분기에는 친환경·미래차 부품 수요가 증가하면서 실적 개선이 가속화되고 있다. 지난 1월 미국 라스베이거스에서 열린 세계 최대 전자제품 전시회 ‘CES 2020’에서 권봉석 LG전자 사장은 “VS사업본부가 내년에 흑자 전환할 것”이라고 예고하기도 했다.이날 합작사 설립 소식에 유가증권시장에서 LG전자 주가는 전 거래일 대비 가격제한폭(29.61%)까지 치솟은 11만9500원에 거래를 마쳤다. LG전자 주가가 10만원선 위로 올라선 것은 2018년 5월 이후 2년7개월 만이다.구교형 기자 wassup01@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
3,"LG, 그룹연수원 ‘생활치료센터’로 제공",2020.12.09,"이천 소재 LG인화원 원룸 229개오늘부터 경증 환자 치료에 사용 LG그룹이 코로나19 재확산에 따른 병상 부족 사태 해결을 돕기 위해 그룹 연수원을 경증 환자 치료 등에 쓰는 생활치료센터로 제공한다.LG그룹은 경기 이천시 소재 LG인화원(사진)이 10일부터 코로나19 무증상 및 경증 환자들이 생활하며 치료를 받을 수 있는 생활치료센터로 사용될 예정이라고 9일 밝혔다. 신규 확진자 급증에 따른 수도권 지역 병상 부족 사태 등에 대비해 욕실을 갖춘 229개 원룸을 제공하는 것이다.앞서 LG그룹은 대구·경북 지역에서 환자가 급증하던 지난 3월에도 LG디스플레이 구미 기숙사를 경북 지역 생활치료센터로 제공한 바 있다. 이곳에서는 45일간 400여명의 환자들이 머물며 치료를 받았다. 코로나19 장기화에 따라 연말에 임직원들이 참여하는 비대면 봉사활동도 확대하고 있다. LG전자는 지난달 말부터 다문화가정 아동과 시각장애인들을 위해 임직원과 그 가족들이 동화책을 녹음해 책과 음성파일을 함께 전달하는 한편 청각장애인들을 위한 영화 자막 제작에도 나섰다. LG CNS 역시 청소년 대상 코딩 교육 프로그램 ‘코딩지니어스’를 온라인 교육으로 전환해 전국으로 확대하고 있다.구교형 기자 wassup01@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
4,LG디스플레이 창사 첫 여성 전무 발탁,2020.11.25," LG디스플레이가 창사 이래 처음으로 여성 전무를 발탁했다.LG디스플레이는 25일 이사회를 열고 내년 1월1일자로 전무 3명과 상무 16명 등 총 19명의 승진을 포함한 정기 임원인사를 단행했다.사측은 이번 인사에서 김희연 BID/IR 담당 상무를 LG디스플레이 최초 여성 전무로 발탁했다. 김 상무는 비즈니스 인텔리전스 기반을 구축하고, 시장과 고객의 인사이트 발굴을 통해 사업 경쟁력 강화에 기여한 점을 인정받아 전략·마케팅·신사업 발굴 등을 총괄하는 경영전략그룹장의 중책을 맡게 된다.또 유기발광다이오드(OLED) TV의 수익성 향상에 기여한 이현우 TV운영혁신그룹장과 DX(디지털 전환) 기반 구축을 통해 생산성을 제고한 이진규 업무혁신그룹장도 전무로 승진시켰다.LG디스플레이는 “철저한 성과주의 원칙과 미래준비를 위해 대형 유기발광다이오드(OLED) 대세화, 중소형 플라스틱 OLED 사업 정상화, 정보기술(IT) 등 고부가가치 중심의 LCD 구조혁신 가속화 등 3대 중점 추진과제 달성에 기여가 큰 인재를 선발했다”고 밝혔다.구교형 기자 wassup01@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
5,LG “인공지능 원천기술을 잡아라” 그룹 전담 조직 출범,2020.12.07,"배경훈 상무가 이끄는 ‘AI 연구원’3년간 인재 확보 등 2000억 투자영입 1호는 이홍락 미시간대 교수 LG그룹이 7일 40대 임원을 수장으로 하는 인공지능(AI) 전담 조직 ‘LG AI 연구원’을 출범시켰다. 이 연구원은 AI 원천기술을 확보하고 그룹 내 AI 난제를 해결하는 역할을 수행한다.LG전자, LG디스플레이, LG화학, LG유플러스, LG CNS 등 16개 계열사가 참여하는 LG AI 연구원은 LG경영개발원 산하에 설치된다. LG그룹은 향후 3년간 글로벌 인재 확보와 AI 연구·개발(R&D)에 2000여억원을 투자할 계획이다.LG AI 연구원장에는 LG사이언스파크 AI 추진단을 맡았던 배경훈 상무(44·사진)가 선임됐다. 배 원장은 “최고의 AI 인재를 영입하고, 그룹 내 AI 전문가를 육성해 글로벌 시장을 선도하는 진정한 AI 컴퍼니로 거듭날 것”이라고 말했다. LG AI 연구원은 독자적인 인사 시스템과 평가, 보상 체계를 마련하고 파격적인 대우를 제공해 최고 수준의 인재를 유치할 예정이다.인재영입 1호는 이홍락 미국 미시간대 교수(43)다. 이 교수는 구글의 AI 연구조직 ‘구글 브레인’에서 리서치 사이언티스트를 지낸 바 있다. 미국 스탠퍼드대에서 컴퓨터과학 박사 학위를 취득한 이 교수는 머신러닝 분야의 세계적 권위자이며, 2013년 전기전자공학회(IEEE)에서 세계 10대 AI 연구자로 선정되기도 했다.LG AI 연구원은 차세대 음성·영상 인식 및 분석 기술, 딥러닝 기반의 자연스러운 상황 인식과 대화가 가능한 언어 처리 기술 등을 통해 최적의 판단을 내리는 AI 원천기술을 연구한다. 또 배터리 수명과 용량 예측, 신약 후보물질 발굴과 같은 계열사 내 난제들을 해결하는 역할도 담당한다. 구광모 LG그룹 회장은 이날 출범 축하 메시지를 통해 “LG그룹이 추구하는 AI의 목적은 기술을 넘어 고객의 삶을 더 가치 있도록 돕는 것에 있다”면서 “AI 연구원이 그룹을 대표해 기업 스스로의 변화와 혁신의 방법을 발전시켜나가는 핵심적인 역할을 해달라”고 말했다.구교형 기자 wassup01@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
6,LG디스플레이 7분기 만에 흑자전환···3분기 영업익 1644억,2020.10.22," LG디스플레이가 7분기 만에 흑자 전환에 성공했다. 코로나19 이후 재택근무와 온라인교육 등 확산으로 IT 제품군 출하가 확대되고 주 고객사인 애플 신제품 출시로 모바일 OLED(유기발광다이오드)를 본격 공급하기 시작한 것이 작용했다. 글로벌 TV 판매가 호조를 보인 것도 영향을 미쳤다.LG디스플레이는 22일 “3분기 잠정 영업이익(연결기준)이 1644억원을 기록했다”고 밝혔다. 지난 2018년 4분기 이후 7분기만에 흑자를 기록한 것이다. 3분기 잠정 매출은 1년전보다 16% 증가한 6조7376억원이다. 매출액은 지난해 같은 기간보다 16% 증가했다.코로나19로 인해 재택근무ㆍ온라인수업이 확대되면서 모니터처럼 수익성이 높은 중소형 LCD 판매 증가로 연결됐다는 분석이 나온다. 모바일용 OLED에서도 전략고객 대상 신제품 생산이 확대되며 의미 있는 손익개선 효과가 나타났다. 사업부문별로 보면 노트북·모니터용 패널 등 IT부문이 전체 매출 가운데 43%를 차지하며 가장 선전했다. 광저우 OLED(유기발광다이오드) 공장에서 TV용 패널을 본격 양산하기 시작한데다 대형 LCD 수요 증가에 따른 가격 상승에 힘입어 TV 매출도 전 분기 대비 5% 상승한 28%를 차지했다. 모바일 및 기타 매출 비중은 4% 증가한 29%를 차지했다.노정연 기자 dana_fm@kyunghyang.com▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
7,LG디스플레이-협력사에 기술협력자금 상환 유예 등 상생 노력,2020.09.24," LG디스플레이는 협력사의 경쟁력이 LG디스플레이의 경쟁력이라는 상생철학에 따라 동반성장을 위해 협력사의 근본적인 경쟁력 강화를 강조하며 협력사와 상생이 가능한 산업 생태계 조성을 위해 노력하고 있다. 이와 같은 노력을 인정받아 동반성장지수 평가 결과 6년 연속 동반성장 최우수 등급을 받았다.LG디스플레이는 디스플레이 업계 최초로 동반성장 전담 부서를 설치하고 선도적인 동반성장 프로그램을 추진해오고 있으며 신성장협력체제를 도입해 금융·기술·의료복지 등 3가지 분야의 지원 대상을 2000여개에 이르는 2·3차 협력사까지 확대하고 있다.또 협력사와의 소통을 중시해 연초 동반성장 새해모임, 연말 동반성장 공유회 등을 개최해 신년 사업 계획 및 한 해 성과를 공유하며 미래 디스플레이 시장을 선도해 나갈 협력 방안도 모색하고 있다.올해도 연초 새해모임을 통해 경영 현황을 설명하는 한편 △대형 OLED 대세화 △P-OLED 사업 턴어라운드 △정보기술(IT) 등 고부가가치 중심의 LCD 구조혁신 가속화 등의 핵심 사업전략을 공유한 바 있다.이외에도 LG디스플레이는 지난 3월 대구·경북 지역의 코로나19 확산 당시 해당 지역에 위치한 협력사에 마스크와 손세정제를 제공하고 상생기술협력자금 상환을 유예했다. 또 국가 간 이동이 제한되면서 어려움을 겪는 협력사를 위해 비자발급과 전세기를 지원하는 등 협력사 임직원들의 해외 출장 및 국내 복귀도 돕고 있는 중이다.LG디스플레이는 동반성장펀드 또는 금융기관 협약을 통해 저금리 대출 상품을 제공하고 상생 기술협력자금의 무이자 대출, 명절대금 조기지급 등 직접적인 형태의 자금 지원으로 협력사의 원활한 자금 운용을 지원하고 있다. LG디스플레이는 협력사로부터의 혁신을 핵심 기술 전략으로, 단순한 협력을 넘어 협력사의 기술혁신을 도모하고자 공동 연구·개발, 제조혁신 활동 등 다양한 프로그램을 시행하고 있다. 2019년에는 협력사의 근본적인 기술 경쟁력 강화를 위해 공동 연구·개발 과제 21건과 제조혁신활동 166건을 수행했으며 14건의 공동특허를 출원하기도 했다.LG디스플레이는 협력사의 안전한 작업 환경을 위해 협력사와 공동으로 안전보건 활동 계획을 수립·시행하고 있다. 협력사의 설비와 환경, 화학물질 관리 등에 대한 위험성 평가와 기술지원 활동을 통해 사업장 안전관리를 강화하고 화학물질을 취급하거나 부품을 납품하는 협력사를 대상으로 사내 안전보건 전문가를 통한 안전보건 교육과 컨설팅 등 산업재해를 예방할 수 있도록 지원한다.▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
8,중국 베이징 지하철에 LG디스플레이의 ‘투명 OLED’ 쓰인다,2020.08.21," LG디스플레이의 투명 OLED가 중국 베이징과 심천의 지하철 객실 차량에 사용된다. LG디스플레이는 최근 중국 베이징 지하철 6호선과 심천 지하철 10호선 객실 차량에 55인치 투명 OLED를 공급했다고 21일 밝혔다. 승객들은 투명 OLED를 통해 열차 운행정보와 지하철 환승정보, 교통정보를 비롯해 일기예보와 뉴스 등을 볼 수 있다. 투명 OLED는 빛 투과율이 40% 가량으로 높아 자율주행차, 항공기, 스마트홈 등에서 수요가 높아질 것으로 기대된다. 보통 유리창의 빛 투과율은 70~80%이며, 과거 투명 LCD의 빛 투과율은 10%에 그쳤다. LG디스플레이는 이번 지하철 객실 차량용 투명 OLED 공급을 시작으로 철도업체 협력을 확대할 계획이다. 컨설팅업체 ‘프레시언트&스트래틱지 인텔리전스’에 따르면 투명 디스플레이 시장은 2024년 49억3300만달러(약 6조원) 규모로, 연 46%씩 성장할 것으로 전망된다.곽희양 기자 huiyang@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
9,LG디스플레이 2분기 영업손실 5100억···6분기 연속 적자,2020.07.23," LG디스플레이가 2분기 5100억원대 영업손실을 내며 6분기 연속 적자를 기록했다. 코로나19로 인해 TV와 모바일용 패널 출하가 줄어든 탓이다. LG디스플레이는 올해 2분기 매출 5조3070억원, 영업손실 5179억원으로 잠정 집계됐다고 23일 밝혔다. 매출은 전 분기(4조7240억원) 대비 늘었지만, 영업손실도 전 분기(3630억원) 대비 늘었다. 이로써 LG디스플레이는 지난해 1분기부터 올해 2분기까지 6분기 연속 적자를 냈고, 누적 영업손실은 2조2382억원에 달한다. 매출이 늘어난 이유에 대해 LG디스플레이는 “코로나19로 TV와 모바일용 패널 출하량이 줄었음에도, 재택근무와 온라인 수업 등으로 IT 제품용 패널 출하가 확대됐기 때문”이라고 밝혔다. 2분기 제품별 매출 중 노트북, 태블릿, 모니터 등 IT용 LCD 패널이 전체 매출의 52%를 기록했다. 영업손실이 늘어난 이유에 대해서는 “글로벌 수요 불확실성과 전방산업 위축에 대응한 TV와 모바일용 패널의 생산조정으로 고정비 부담이 확대되고, 전 분기 대비 LCD패널 판가가 하락한 데 따른 것”이라고 밝혔다. LG디스플레이는 하반기 광저우 OLED 공장의 본격 양산, 스마트폰용 플라스틱 OLED 출하 확대로 경영성과를 개선해 나갈 계획이다. LG디스플레이 최고재무책임자(CFO) 서동희 전무는 “코로나 사태 장기화로 거시경제 환경이 우호적이지 않으나, 이제 최악의 상황은 지나갔다고 본다”며 “3대 핵심과제로 추진 중인 ‘대형 OLED 대세화’, ‘P-OLED 사업 턴어라운드’, ‘LCD 구조혁신’의 가시적 결과물을 하반기부터 점진적으로 보여줄 수 있을 것”이라고 밝혔다.곽희양 기자 huiyang@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
