,title,date,content
0,"LG전자, 캐나다 마그나와 합작사 설립소식에 상한가 기록",2020.12.23," LG전자 주가가 캐나다 자동차 전장부품업체 마그나 인터내셔널과 합작사를 설립한다는 소식에 23일 상한가를 기록했다.이날 유가증권시장에서 LG전자는 전날보다 2만7300원(29.61%) 급등한 11만9500원에 거래를 마쳐 상한가를 기록했다. LG전자가 종가 기준 10만원선 위로 올라선 것은 2018년 5월 이후 2년 7개월 만으로 코스피 대형주가 상한가를 기록하는 것은 이례적인 일이다. LG전자(우)도 1만950원(29.96%) 오른 4만7500원에 상한가를 기록했다.이 밖에 LG우(18.38%), LG이노텍(12.80%), LG(10.34%), LG디스플레이(6.41%) 등 LG관련주들도 대부분 급등세를 보였다.금융감독원 전자공시에 따르면 LG전자는 이날 이사회를 열고 전기차 관련 부품 및 배터리, 배터리팩 부품 사업을 물적 분할한 뒤 가칭 ‘엘지마그나 이파워트레인(LG Magna e-Powertrain Co., Ltd.)’ 을 설립키로 결정했다고 밝혔다. 회사 측은 “JV(합작회사) 설립을 통한 전기차 부품 사업 성장 잠재력 확대 및 사업경쟁력 제고를 위함”이라고 설명했다.앞서 블룸버그통신은 LG전자가 캐나다 자동차 부품업체 마그나 인터내셔널과 전기차 부품을 생산하는 합작 법인을 설립할 것이라고 보도했다. 합작 법인의 가치는 10억달러 규모로, LG 전자가 51%의 지분을 갖고 마그나는 나머지 49% 지분을 보유할 것이라고 소식통은 전했다. 합작법인은 한국 인천과 중국 난징에서 전기차 모터, 인버터 등을 생산할 것으로 알려졌다.이윤주 기자 runyj@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
1,"자동차 부품 판 키운 LG전자, 세계 3위 손잡고 미래차 ‘날개’",2020.12.23,"캐나다 마그나와 ‘파워트레인 생산’ 합작법인 설립 구광모 회장 VS사업 전폭 지원 속전기차 시장 확대에 역량 총동원세계 완성차들에 기술력 인정받아증권업계 “내년 상반기 흑자전환”계열사 시너지…주가도 ‘상한가’LG전자가 LG그룹의 자동차부품·전기장비(전장) 사업을 미래 성장동력으로 키우는 작업에 본격 나섰다. 전기차, 커넥티드카, 자율주행차 등 미래차 시장 확대에 맞춰 그룹 차원에서 계열사 역량을 총동원하는 일환이다. LG전자의 자동차부품 사업은 구광모 LG그룹 회장의 전폭적인 지원 속에 글로벌 완성차 제조업체들로부터 기술력을 인정받으면서 내년에는 흑자 전환도 예상된다.LG전자는 세계 3위의 자동차부품 사업 전문업체인 캐나다 마그나 인터내셔널과 손잡고 합작법인 ‘엘지 마그나 이파워트레인’을 설립하기로 했다고 23일 밝혔다. LG전자는 이날 임시 이사회를 열고 자동차부품(VS)사업본부 내 그린사업 일부를 물적분할하고 합작법인을 설립하는 사업 내용을 의결했다. VS사업본부는 차량용 인포테인먼트 제품과 전기차 모터, 자율주행 모듈 등을 생산하고 있다. 신설회사의 주식 가치는 9억2500만달러(약 1조254억원) 규모로, 지분 51%는 LG전자가 보유하고 나머지 49%는 마그나가 4억5300만달러에 인수하게 된다. 신설회사는 전기차 모터 등 파워트레인(동력장치) 생산에 주력하게 된다.LG전자가 자동차부품 사업을 강화하는 것은 그룹 계열사들과 미래차 분야에서 시너지를 낼 수 있기 때문이다. LG전자는 LG디스플레이로부터 디스플레이 제품을 납품받아 차량용 인포테인먼트 시스템을 구축하고 있다. LG화학에서 독립한 LG에너지솔루션은 전기차용 배터리 제작에 특화된 업체이고 LG이노텍은 차량용 모터, LED 헤드램프 등을 생산하고 있다.자동차부품 사업은 안전을 담보할 품질이 중요하기 때문에 장기간 대규모 투자가 필요하다. 올해 VS사업본부의 투자금액은 6070억원으로 TV 사업을 하는 홈엔터테인먼트(HE)사업본부(2492억원)나 휴대폰 사업을 하는 모바일커뮤니케이션(MC)사업본부(1096억원)에 비해서도 액수가 크다. 이번 합작법인 설립을 통해 투자금액은 더 늘어날 전망이다. 직원 수도 4390명으로 HE사업본부(3710명)나 MC사업본부(3719명)보다 많다.LG전자는 글로벌 완성차 제조업체들로부터 경쟁력을 인정받고 있다. 올 들어 메르세데스 벤츠 브랜드의 모기업인 독일 다임러 AG와 프랑스에 본사를 둔 르노로부터 우수 공급사로 선정됐다. 국내에서도 현대자동차 주관 행사에서 기술 부문 최우수 협력사가 됐다. LG전자가 자동차부품 사업에서 ‘톱 티어’(일류 공급업체)로 자리매김했다는 점에서 의미가 있다.증권업계에서는 LG전자 VS사업본부가 내년 상반기 흑자 전환이 유력하다고 관측한다. 2013년 7월 출범한 VS사업본부는 일시적으로 분기 흑자를 기록한 것을 제외하면 계속 적자 상태에서 벗어나지 못했다. 올해 상반기에도 코로나19 사태로 2993억원 적자를 기록하며 주춤했지만 3분기 들어서는 적자 폭을 661억원까지 줄인 상황이다. 4분기에는 친환경·미래차 부품 수요가 증가하면서 실적 개선이 가속화되고 있다. 지난 1월 미국 라스베이거스에서 열린 세계 최대 전자제품 전시회 ‘CES 2020’에서 권봉석 LG전자 사장은 “VS사업본부가 내년에 흑자 전환할 것”이라고 예고하기도 했다.이날 합작사 설립 소식에 유가증권시장에서 LG전자 주가는 전 거래일 대비 가격제한폭(29.61%)까지 치솟은 11만9500원에 거래를 마쳤다. LG전자 주가가 10만원선 위로 올라선 것은 2018년 5월 이후 2년7개월 만이다.구교형 기자 wassup01@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
2,LG전자 권봉석 대표 ‘IT산업 발전 기여’ 금탑산업훈장,2020.12.10,"심텍 박연순 상무, 동탑산업훈장 LG전자 권봉석 대표이사(사진)가 10일 코엑스에서 열린 제15회 전자·IT의 날 기념행사에서 전자·IT산업 발전에 기여한 공로로 금탑산업훈장을 받았다. 권 대표는 세계 최초로 8K 올레드(OLED) TV 및 롤러블 TV를 개발하는 등 혁신제품을 개발한 공로를 인정받았다. 반도체 및 모바일용 인쇄회로기판(PCB) 부문 세계 1위 달성에 기여한 심텍의 박연순 상무는 동탑산업훈장을 수상했다.이날 행사에선 금탑산업훈장을 포함해 정부포상 13명, 산업부 장관표창 33명 등 총 46명이 수상했다. 삼성전기 심익찬 전무는 국내 모바일용 카메라 산업의 경쟁력 향상에 기여한 공로로 산업포장을 받았고, LG이노텍 손길동 기판소재사업부장(전무)은 기판소재 산업의 국가 경쟁력 향상에 기여한 공로로 대통령 표창을 받았다.유공자 포상에 이어 전자 소재·부품·장비 경쟁력 강화를 위한 ‘전자 소부장 연대·협력 협약식’도 열렸다. 협약에 따라 수요기업(5개)과 공급기업(13개)이 직접 연계해 제품 성능을 검증, 개선해 소부장 국산화를 추진한다. 수요기업으로는 삼성전자, LG전자, 계양전기, TPC메카트로닉스 등이, 공급기업으로는 삼화콘덴서, 자화회사, 아모텍, 에이치티씨 등이 참여했다.박효재 기자 mann616@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
3,LG이노텍 임원 인사···전무 2명·상무 5명 등 7명 승진,2020.11.26," LG이노텍은 26일 이사회를 열고 2021년도 정기 임원인사를 확정했다고 밝혔다. 전무 2명, 상무 5명 등 총 7명이 승진했다.구한모 기판소재사업부 DS(Display Solution) 사업담당 상무가 테이프 기판 및 포토마스크 사업의 글로벌 1등 지위를 공고히 하는데 기여했다는 평가를 받아 전무로 승진했다.김창태 최고재무책임자(CFO) 상무는 재무구조를 안정화시켰다는 평가에 따라 역시 전무로 올랐다.고효율 3D센싱모듈 생산 시스템을 구축해 사업 경쟁력을 강화한 고대호 책임과 광학솔루션의 품질 경쟁력을 제고해 사업 성장을 견인한 조성환 책임은 상무로 신규 선임됐다. 이와 함께 임준영 연구위원, 유인수 책임, 김민규 연구위원도 상무로 신규 선임됐다.LG이노텍은 이창엽 LG유플러스 정도경영담당 전무를 경영진단담당으로 보직 발령했다. LG이노텍측은 이번 임원인사에 철저한 성과주의 인사 원칙을 바탕으로 사업성과와 함께 향후 미래 사업을 이끌어 갈 역량과 성장 잠재력을 종합적으로 고려했다고 설명했다.회사 관계자는 “미래 준비 및 사업 경쟁력 강화를 위해 사업·R&D·생산·품질 등 사업 현장에서 큰 성과를 거둔 핵심인재를 임원으로 승진시켜 혁신과 변화를 주도할 수 있도록 했다”고 밝혔다.노정연 기자 dana_fm@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
4,"구본준, LG상사 중심 계열 분리…‘형제 독립 경영’ 전통 이어가",2020.11.16,"이달 이사회 열어 의결구 고문, LG 지분 활용 ‘경영권 확보’ 전망 구본준 LG그룹 고문(사진)이 종합무역상사인 ‘LG상사’, 물류기업인 ‘판토스’, 건축자재·인테리어 제조사인 ‘LG하우시스’ 등의 계열사를 이끌고 그룹에서 계열 분리해 독립한다. 구 고문은 고 구자경 LG그룹 명예회장의 셋째 아들이자 2년여 전 별세한 구본무 LG그룹 회장의 동생이다. 구 고문은 2018년 6월 조카인 구광모 LG그룹 회장의 취임으로 ‘4세 경영’이 본격화하자 경영 일선에서 후퇴했다. LG그룹은 계열 분리에도 불구하고 재계 4위 자리를 유지할 것으로 보인다.16일 재계에 따르면 LG그룹 지주사인 (주)LG는 이르면 이달 26일쯤 이사회를 소집해 계열 분리 안건을 의결할 계획이다. (주)LG는 LG상사 지분 25%, LG하우시스 지분 34%를 보유한 최대주주다. 또 LG상사는 판토스 지분 51%를 보유하고 있다. 한때 일각에서는 구 고문이 LG유플러스나 LG이노텍 등 통신·전자장비 사업을 갖고 독립할 가능성이 제기되기도 했다. 그러나 구 고문이 LG상사 중심의 계열 분리에 나선 것은 그룹 주력사업인 전자와 화학의 근간을 흔들지 않아 기존 지배구조에 끼치는 영향이 적기 때문인 것으로 분석된다. LG상사는 구 고문이 2007년부터 3년여간 대표이사를 지내기도 했다. 계열 분리 방법으로는 구 고문이 (주)LG 지분을 활용해 인수 대상 계열사 지분을 획득하거나 경영권을 확보하는 방안 등이 거론된다.구 고문이 보유한 (주)LG 지분 7.72%의 가치는 약 1조원으로, LG상사와 LG하우시스 시가총액 합계와 비슷한 수준이다. 재계에서는 반도체 설계 회사인 실리콘웍스와 화학 소재 제조사 LG MMA를 추가 분리해 구 고문이 가져간다는 얘기도 나오고 있다.그룹 안에서 상사 중심의 계열 분리는 이미 예견돼왔다. LG상사는 지난해 LG그룹 본사 건물인 서울 여의도 LG트윈타워 지분을 (주)LG에 팔고 LG광화문 빌딩으로 이전했다. 또 구광모 회장 등은 2018년 말 LG상사의 물류 자회사인 판토스 지분 19.9%를 매각했다.이번 계열 분리 결정은 선대부터 이어온 그룹 전통을 따르는 것이다. LG그룹은 선대 회장이 별세하면 장남이 그룹 경영권을 이어받고 나머지 형제들이 계열 분리하는 관행을 이어왔다. 구 고문은 형인 구본무 회장 생전 부회장으로서 그룹 2인자 자리에 있다가 2년여 전 구 회장이 별세하자 부회장 직함을 내려놨다. LG그룹 관계자는 구 고문의 상사 중심 계열 분리 시나리오에 대해 “기업가치 제고를 위한 다각적인 방안을 검토 중이나 확정되지 않았다”고 말했다.구교형 기자 wassup01@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
5,"LG그룹-계열사 8곳, 동반성장 최우수 기업 선정 ‘6년 연속 최다’",2020.10.28," LG전자, LG디스플레이, LG화학, LG생활건강, LG이노텍, LG유플러스, LG CNS, 더페이스샵 등 LG그룹 산하 8개 계열사가 지난 9월 동반성장위원회가 발표한 동반성장지수 평가에서 최고 등급인 최우수 기업 평가를 받았다. 2012년 동반성장지수 발표 이후 국내 대기업 계열사 8개가 최우수 기업으로 선정된 건 이번이 처음이다. 이로써 LG그룹은 2014년부터 6년 연속 가장 많은 최우수 기업을 배출하는 그룹에 올랐다. 특히 구광모 회장이 취임한 2018년 6개, 2019년 7개, 2019년 8개 최우수 기업을 배출하며 동반성장 모범사례로 손꼽히고 있다. 동반성장지수는 자발적인 동반성장 참여를 확산하기 위해 동반성장 수준을 평가하여 계량한 것으로 하도급법 준수 등 공정위의 공정거래협약 이행평가 점수를 50%, 판로·신기술 개발 지원 등 동반위의 중소기업 체감도조사 점수 및 실적평가가 50%가 합산돼 최우수-우수-양호-보통-미흡의 5단계로 발표된다.LG는 계열사별로 금융 및 기술 지원 등 다양한 동반성장 프로그램을 운영해 협력회사의 경쟁력 강화와 공정한 거래 문화 조성에 노력한 부분을 인정받은 것으로 알려졌다. LG는 코로나19 사태로 인해 어려움을 겪는 협력사 등을 지원하기 위해 금융지원을 올해 1조1900억원 규모로 확대했으며 기술지원, 생산성 향상 등 거래 분야에 치중됐던 동반성장 영역을 안전·환경, CSR, 수출입, 복리후생 등 기업 활동 전반으로 확대해왔다. 동반성장지수 공표대상 200개 기업 중 최우수 기업은 전체 35곳이다. LG는 전체 대상 기업 중 5% 수준인 9개 계열사가 평가를 받았지만, 최우수 기업 8곳을 배출하며 23%를 차지했다. 그동안 LG가 중소 협력사와 함께 동반성장을 위해 얼마나 공을 들여왔는지를 알 수 있는 부분이다. 삼성그룹은 전체 평가 대상 기업 12곳 중 6곳, 현대차그룹 11곳 중 6곳, SK그룹은 6곳 중 5곳이 각각 최우수 기업으로 뽑혔다.▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
6,가전 비수기에 ‘홈런’ 친 LG,2020.10.08,"영업이익 9590억원·매출 16조3분기 기준 역대 최대치 기록‘집콕 효과’로 가전 매출 증가스마트폰 등 적자 폭 감소 영향 LG전자의 올해 3분기 매출과 영업이익이 역대 3분기 기준 최고치를 기록했다. 코로나19 확산에 따른 이동제한 영향으로 TV와 생활가전 매출이 증가했고, 사업구조 개선으로 스마트폰과 자동차부품 사업 적자 폭이 감소하면서다.LG전자는 3분기 연결 기준 잠정실적을 집계한 결과 매출 16조9196억원, 영업이익 9590억원을 기록했다고 8일 공시했다. 이는 기존 3분기 최대 기록인 2019년 3분기 매출(15조7007억원)과 2009년 3분기 영업이익(8510억원)을 넘어선 수치다. 매출은 역대 최고치를 기록한 2017년 4분기(16조9636억원)에 이어 두번째다. 통상 가전시장에서 비수기로 치는 3분기에 ‘홈런’을 친 것이다.TV와 생활가전을 합친 가전사업 영업이익은 1조원에 육박했을 것으로 추정된다. 특히 건조기, 공기청정기, 의류관리기 등의 판매 호조로 생활가전(H&A)사업부의 실적은 역대 3분기 기준 최고치가 예상된다. TV사업을 총괄하는 홈엔터테인먼트(HE)사업부는 초대형·초고화질 제품 판매가 늘면서 영업이익이 전 분기 대비 개선돼 전년 수준을 회복했을 것으로 관측된다. 이번 실적 개선은 미국과 유럽 등에서 각국의 코로나19 보조금 지급에 힘입어 ‘펜트업’(억눌린) 수요가 폭발한 영향이 크다.기존에 적자가 누적된 부문의 구조 개선도 호실적을 견인했다. 모바일커뮤니케이션(MC)사업부는 스마트폰의 북미 시장 판매 호조와 중저가 제품 판매 확대로 적자 폭이 축소됐다. 완성차업체들의 조업이 정상화되면서 자동차부품(VS)사업부의 실적도 대폭 개선됐다. 연결 대상인 스마트폰 부품 회사 LG이노텍도 소폭이지만 흑자 기조를 이어갔다.박형우 신한금융투자 수석연구원은 “4분기 실적은 3분기 대비 감소하지만 예년 동기와 비교하면 크게 개선될 것으로 전망된다”고 말했다.구교형 기자 wassup01@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
7,셧다운·재택근무…고민 커지는 산업계 [‘코로나19’ 확산 비상],2020.03.01,"LG이노텍과 삼성전자 구미사업장에서 코로나19 확진자가 나와 생산라인이 멈추는 등 산업계에 ‘셧다운’이 현실화되고 있다. 재택근무가 어려운 일부 중소기업의 고민이 깊어지는 한편, 이미 재택근무에 들어간 직원들은 업무 집중도 등에서 피로감도 호소한다.LG이노텍은 1일 구미1A공장에서 확진자가 발생해 해당 라인을 폐쇄하고 방역을 실시하고 있다고 밝혔다. 카메라 모듈을 생산하는 이 공장에서 일하던 직원은 모두 자택에 대기 상태로 들어갔다. 보건당국과 협의해 안전하다고 판단될 경우 공장은 3일 재가동할 예정이다.삼성 구미사업장 또 확진자 LG·현대차 사업장도 발생 잇단 일시 폐쇄, 생산 멈춰 확산 장기화 땐 피해 불가피 지난달 29일 삼성전자 구미2사업장 무선사업부에서 일하는 ㄱ씨가 코로나19 확진 판정을 받아 1일 오후 7시까지 사업장 문이 닫혔다. 이는 지난달 22일 무선사업부 직원 ㄴ씨의 확진 판정으로 사흘간 구미2사업장이 폐쇄된 이후 다시 벌어진 일이다. 지난달 28일에는 구미1사업장 네트워크사업부 직원 ㄷ씨가 확진 판정을 받아 해당 사무실 등을 닫았다. 삼성전자 측은 “사업장 일시 폐쇄는 생산량·재고량 조절로 관리할 수 있는 범위여서, 생산 차질은 빚지 않는다”고 밝혔다.자사 직원이 확진자가 아니어도 공장을 멈추는 경우가 있다. LG디스플레이 구미사업장 내 모듈 공장은 지난달 29일부터 2일까지 폐쇄됐다. 해당 사업장에는 은행, 식당, 매점 등이 입주한 복지동이 있는데, 은행 직원이 확진 판정을 받아서다. LG디스플레이는 복지동을 이용하는 직원들이 근무하는 모듈 공장을 2일까지 닫는다. 자동차 업계의 위기감도 계속되고 있다. 지난달 28일 현대자동차 울산2공장에서 근무하는 직원이 코로나19 확진 판정을 받자 1일까지 공장 가동을 멈춰 세웠다. 스포츠유틸리티차(SUV)인 팰리세이드, GV80, 싼타페 등을 생산하는 곳이다. 업계에선 국내 자동차 부품사의 20.3%가 몰린 대구·경북 지역에 확진자가 더 늘어날 경우, 자동차 업계의 피해가 커질 수 있다고 본다.코로나19 확산세가 누그러지지 않자 SK텔레콤이 재택근무를 당초 1일에서 8일까지 연장하는 등 대기업을 중심으로 재택근무를 늘리는 추세다. 다만 정보통신기술(ICT) 기반이 약해 재택근무를 하기 어려운 일부 중소기업의 고민은 깊어지고 있다. 서울에서 30인가량의 직원을 둔 한 업체는 임신부에게는 허용했지만, 전 직원 재택근무는 엄두를 내지 못한다. 이 회사 관계자는 “영상회의나 원격업무 시스템이 충분치 못한 중소기업 현실상 전 직원 재택근무는 어렵다”고 말했다.중기, 재택근무 어려움 속  이미 시행 중 일부 대기업선“업무 집중 안돼” 피로감 호소재택근무를 하는 직원들의 피로감도 나온다. 대기업 과장인 ㄹ씨는 “아침에 정장을 입고, 출퇴근하는 수고로움은 덜었다”면서도 “집에만 있자니 업무 집중도가 떨어지고, 답답하다”고 말했다. 다른 대기업 직원 ㅁ씨는 “어린이집까지 문을 닫아서 아이를 보면서 집에서 일하느라 더 힘든 거 같다”고 말했다.한편 사람이 몰리는 것을 꺼리는 분위기가 강해지면서, 3월 정기주주총회 개최에 대한 걱정도 늘었다. LG화학, SK이노베이션, 효성 등은 주총장 입구에서 열화상 카메라로 참석자 체온을 재기로 했다. 삼성전자, 현대자동차 등이 이번 주총부터 도입하는 전자투표제도 대안이다. 2월 기준 국내 전체 상장사 2354곳 중 1486곳(63.1%)이 전자투표제를 적용했다.곽희양 기자 huiyang@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향 유튜브 구독▶ 경향 페이스북 구독©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
8,"삼성에 이어, LG 임직원도 베트남 ‘예외 입국’",2020.03.24,"코로나19로 베트남 정부가 한국인 입국 제한 조치를 취한 가운데 LG그룹의 임직원 250여명의 특별 입국을 허용했다. 지난 13일 삼성 디스플레이 임직원 180여명에 특별 입국을 허용한 이후 추가 입국한 사례다. 24일 LG전자 등에 따르면, LG전자·LG디스플레이·LG이노텍 등 3사와 협력사 직원 250여명은 오는 30일 아시아나항공 전세기를 이용해 베트남 북부 꽝닌성의 번돈 공항으로 향한다. 번돈 공항은 베트남 당국이 한국발 여객기에 대해 하노이공항 대신 착륙하도록 지정한 곳이다.이들은 베트남에 도착해 2주간 회사가 마련한 호텔에서 격리된 이후, 출장 업무를 진행한다. LG측은 “베트남에 도착한 엔지니어들은 휴대폰, 자동차 부품, 생활가전 등의 신제품 개발과 생산을 지원한다”고 밝혔다. 삼성디스플레이는 지난 13일에 엔지니어 186명을 베트남에 보낸 데 이어, 오는 28일 추가로 엔지니어 180여명을 전세기를 통해 번돈공항으로 보낼 계획이다. 이들은 플렉서블 OLED 생산라인에 투입될 것으로 전해졌다. 이들 역시 공장 근처 별도의 숙소에 머물며 외부인과의 접촉이 차단된다. 삼성디스플레이 측은 당초 베트남에 700여명의 임직원 입국을 허용해달라고 요구했고, 순차적으로 입국이 진행되는 것이다. LG·삼성 측은 현지 인력 투입이 늦어질 경우 제품 생산에 차질이 빚어질 수 있다는 의견을 베트남 측에 전달한 바 있다. 이에 베트남 정부는 국가 공인 건강확인서 발급을 받고 베트남 내 자체 격리 요건을 충족할 경우에 한해 입국을 허용했다.곽희양 기자 huiyang@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
9,오늘의 부고 - 2020년 11월 5일,2020.11.04," ■김옥균씨 별세, 정귀순씨 남편상, 김강일 키움증권 감사총괄임원·강남 우리들치과의원 원장·강훈·미영씨 부친상, 송호정·홍명희씨 시부상, 김우성씨 장인상=4일 오전 1시 강원대병원. 발인 6일 오전 7시 (033)258-9403■조종애씨 별세, 이상열 GS 부장·웅열 LG이노텍 책임·충열 C&C네트웍스 대표 모친상=4일 자정 서울성모병원. 발인 6일 오전 8시 (02)2258-5940■김규택씨 별세, 대진 전 프로야구 SK 와이번스 루키팀 총괄코치 부친상=4일 대구삼일병원. 발인 6일 오전 10시30분 (053)627-4400■김유선씨 별세, 옥수 광주지방경찰청 마약수사대장 부친상=4일 오전 광주남도장례식장. 발인 6일 오전 8시30분 (062)223-7715■박영자씨 별세, 이주일 경찰청 대변인실 경감·주호(새문안교회)·주향 수원대 교수·주미씨 모친상, 오건응 신성엔지니어링 대표 장모상, 도승희·서정화씨 시모상=4일 오후 2시14분 용인세브란스병원. 발인 6일 오전 (031)678-7600▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
