,title,date,content
0,"CJ그룹, 9개 계열사 대표 교체 ‘대폭 물갈이’…CJ제일제당 대표에 최은석 내정",2020.12.10," CJ그룹이 10일 CJ제일제당, CJ대한통운, CJ ENM 등 9개 계열사의 대표 이사를 교체하는 정기 임원 인사를 단행했다. 급격한 사업 환경 변화에 대응하기 위한 대폭 물갈이 인사로 분석된다.CJ제일제당 신임 대표에는 최은석 CJ주식회사 경영전략총괄(사진)이 내정됐다. 최 내정자는 사내 대표적인 재무통으로 코로나19 사태 속에서 위기관리 능력을 보여줬다는 평가를 받았다. 강신호 CJ제일제당 대표는 CJ대한통운 대표로 자리를 옮겼다. CJ ENM 신임 대표는 강호성 CJ주식회사 경영지원총괄이 맡고, 허민회 CJ ENM 대표는 CJ CGV 대표로 내정됐다. 정성필 CJ푸드빌 대표는 CJ프레시웨이 대표를 맡게 됐다. 정 대표 후임에는 김찬호 베이커리 본부장이 내부 승진했고 CJ라이브시티 신임 대표는 신형관 CJ ENM 부사장이 내정됐다. 또 중국본사 사장은 윤도선 CJ대한통운 SCM부문장이, CJ피드앤케어 대표는 김선강 CJ피드앤케어 동남아사업담당이 각각 맡게 됐다. 이로써 9개 계열사 대표가 교체됐다. CJ주식회사 경영전략총괄에는 임경묵 전략기획팀장이 선임됐다.CJ그룹은 임원 78명에 대한 승진 인사도 했다. 이재현 CJ그룹 회장의 장녀인 이경후 CJ ENM 상무는 부사장대우로 승진했다. 신임 임원(상무대우)도 38명 나왔는데 여성이 8명(21%)이고 이 중 5명은 1980년대생이다. CJ그룹은 “연공보다 능력 경쟁을 통해 젊은 인재를 과감하게 발탁했다”고 밝혔다. 이 회장 장남으로 지난해 마약 밀수 혐의로 재판에 넘겨져 집행유예 선고를 받고 일선 업무에서 물러났던 이선호 CJ제일제당 부장은 이번 승진자 명단에서 빠졌다.조미덥 기자 zorro@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
1,"CJ제일제당-비비고 주먹밥, 차별화된 맛·편리함으로 시장 선도",2020.10.22," ‘비비고 노릇노릇 구운 주먹밥(이하 비비고 주먹밥)’이 냉동밥 시장의 성장과 진화를 이끌고 있다. 차별화된 맛 품질과 모양, 편리함을 앞세운 차세대 제품으로 새로운 트렌드를 창출, 큰 인기를 끌고 있다.CJ제일제당의 비비고 주먹밥이 출시 5개월 만에 최근 매출 100억원을 기록했다. 지난해 12월 테스트마케팅 차원에서 일부 유통 경로에만 선보였던 비비고 주먹밥은 소비자들의 큰 호응을 받으며 지난 4월 말 정식 출시된 제품이다. 출시 이후 집밥 트렌드 확산과 맞물리면서 아이들 간식이나 간편한 대용식으로 주목받으며 매출이 폭발적으로 성장했다.이러한 성과를 바탕으로 시장 성장까지 이끌고 있다. 냉동밥 시장은 지속적인 성장을 거듭하다 지난해 성장세가 주춤하며 정체에 머물렀지만 비비고 주먹밥 출시 이후 다시 성장하기 시작했다. 올해 8월까지 냉동밥 시장은 지난해 같은 기간 대비 약 7% 성장했는데 비비고 주먹밥 매출을 제외하면 시장 규모는 그대로다.비비고 주먹밥의 인기 비결은 독보적 R&D 기술력을 토대로 맛과 조리 편의성을 기존 제품보다 한층 업그레이드한 데 있다. 성형 후 부서짐 방지를 위한 밥 결착 기술, 표면 열처리 기술 등을 융합해 노릇한 색감과 누룽지 식감을 살렸다.나의 시간과 노력을 아끼고자 하는 가시비(價時比) 트렌드에 맞춘 조리 편의성도 한몫했다. 비비고 주먹밥은 전자레인지나 에어프라이어 조리에 특화된 제품이다. 별다른 조리 과정이 필요 없기 때문에 식사나 간식으로 간편하게 준비할 수 있어 각광을 받은 것으로 보인다.▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
2,CJ제일제당-전문식당의 맛 그대로 가정으로 데려온 ‘쿡킷’ [스마트 라이프],2020.05.22,"셰프의 요리 키트 CJ제일제당 ‘쿡킷(COOKIT)’이 소비자들의 극찬을 받으며 흥행가도를 달리고 있다. ‘쿡킷’은 신선한 식재료와 전문점 수준의 레시피를 집에서 간편하게 요리할 수 있는 밀키트 브랜드다.지난해 4월 출시한 ‘쿡킷’은 초반부터 주목을 받으며 큰 인기를 끌고 있다. 매주 새롭게 선보이는 메뉴마다 품절사태가 발생할 정도다. ‘부채살 찹스테이크’ ‘감바스알아히요’ ‘밀푀유나베’ 등 매출 상위 메뉴의 경우 평일과 주말 구분 없이 주문이 쇄도하며 불티나게 팔리고 있다.특히 최근 재택근무 확대, 개학 연기 등으로 가정에서 자녀와 함께하는 시간이 늘며 더욱 주목받고 있다. 다양한 테마별 메뉴로 언제든지 외식 기분을 낼 수 있고 손질된 채소가 담겨 있어 간편하게 조리할 수 있다는 특장점으로 최근 매출이 확대되며 인기를 끌고 있다. 소비자 만족도도 매우 높다. 고객 후기(별점)는 5점 만점에서 4.7점을 기록 중이고, 하루에도 100건 이상 후기가 올라올 정도로 고객 반응이 뜨겁다. 주소비층인 3545세대들이 ‘쿡킷’ 앱에 인증샷과 후기를 자발적으로 공유하고, 재구매율도 40%를 훌쩍 뛰어넘으며 충성 고객도 대폭 늘었다.‘쿡킷’의 인기는 압도적인 기술력을 기반으로 한 맛 품질이 주효했던 것으로 분석된다. CJ제일제당만의 경쟁력을 바탕으로 원재료 본연의 맛과 특성, 신선도 극대화는 물론 영양균형 및 건강까지 고려해 셰프의 비법이 담긴 레시피, 전문점 수준의 맛 품질을 구현했다. 차별화된 메뉴도 한몫했다. ‘쿡킷’ 메뉴는 총 15개의 상시 메뉴로 4주 동안 운영하는데, 매주 2회에 걸쳐 출시되는 신메뉴와 경쟁하며 판매 추이에 따라 추가 판매 여부가 결정된다. 아무리 정성 들여 출시한 메뉴도 소비자 후기가 좋지 않을 경우 조기에 중단한다는 운영 원칙을 고수하고 있다.▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
3,"CJ 제일제당, 생애전환기 건기식 리턴업(Returnup), 브랜드 캠페인 런칭 기념 CJ몰 단독 특가 이벤트 진행",2020.04.23,"생애전환기별 맞춤 해결책을 제공하는 CJ제일제당 건강기능식품 전문 브랜드 리턴업(Returnup)이 핑클출신 배우 성유리를 모델로 발탁하고, “나의 건강 터닝포인트, 약속해줘 리턴업” 테마로 브랜드 캠페인을 시작한다.리턴업은 나이가 들어감에 따라 도래하는 생애전환기에 맞추어 기초 영양은 물론, 눈 건강, 다이어트, 피부건강 관리에 도움을 주는 ‘스마트 에이징' 브랜드로, 성유리를 모델로 발탁하고, 본격적인 마케팅 활동을 펼칠 예정이다.‘리턴업’의 새로운 얼굴로 선정된 성유리는 다양한 작품과 예능을 통해 밝고 활력 가득한 모습과 뛰어난 자기관리로 대중들의 꾸준한 사랑을 받아 왔으며, 성유리의 젊고 건강한 이미지가 리턴업의 브랜드 가치와 시너지를 낼 것으로 기대된다. 또한, 브랜드 캠페인과 함께 CJ몰에서 지난 20일부터 오는 26일까지 단독 특가 이벤트를 진행하여 브랜드 경험 기회를 제공할 예정이다. 이번 행사를 통해 리턴업 제품을 실속있는 가격에 만나볼 수 있을 뿐만 아니라, 이벤트 기간 내에 구매고객을 대상으로 선착순 경품 이벤트를 진행한다. 구매 금액별 경품은 3만원 이상 구매 고객에게는 손 소독 물티슈 (500명), 5만원 이상 구매 고객에게는 리턴업 아이시안 루테인 for all (500명), 7만원 이상 구매 고객에게는 리턴업 발효비타민 Basic (500명)이 준비되어 있다.CJ제일제당 관계자는 “브랜드 캠페인 런칭기념 CJ몰 특가 이벤트를 통해 많은 분들이 리턴업을 체험해볼 수 있었으면 좋겠다.”며 “고객들이 CJ리턴업과 함께 더욱 건강한 일상생활을 영위할 수 있기를 희망한다.” 라고 덧붙였다.▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
4,CJ더마켓 '확' 달라진다,2020.11.25," CJ제일제당이 공식 온라인몰인 ‘CJ더마켓(CJ THE MARKET)’의 내실 다지기에 나섰다. CJ제일제당은 CJ더마켓의 프리미엄 멤버십인 ‘더프라임’ 제도를 개편한다고 25일 밝혔다. 지난해 7월 오픈 이후 매출과 회원수 등 외형적인 면에서 성과를 거둔 만큼 충성 고객 확보를 통한 질적 성장까지 추구한다는 방침이다.이번 개편은 비대면 소비 확대로 온라인에서 장을 보는 소비자들이 늘고 있는 점을 고려해 가입장벽 완화, 구매혜택 확대, 독점 행사 강화 등 멤버십 회원들의 실질적인 혜택 강화에 초점을 맞췄다.새롭게 개편되는 ‘더프라임’ 유료 멤버십은 자동 결제 시스템을 도입해 매달 회원비를 결제하는 불편함을 덜었다. 첫 달 무료 체험 기회도 제공한다. 정해진 상품을 제공하던 웰컴 기프트를 폐지하고 매월 3000원 할인 쿠폰을 제공해 가입 장벽을 낮췄다.구매 혜택도 강화했다. 월 8회 한정으로 추가 5%를 할인해주던 기존 시스템에서 횟수 제한 없이 상시 추가 7% 할인으로 변경해 혜택범위를 확대했다. 무료 배송도 월 3회 제공한다.회원 대상 독점 행사는 늘린다. 전용 할인 행사를 월 2회에서 4회로 확대한다. 대용량·묶음 상품, 전용 단량을 판매하는 이벤트도 격월로 진행한다. 아울러 신제품과 주요 제품의 체험 기회를 제공하는 ‘멤버십 회원 전용 체험단’도 운영할 방침이다.회원제 개편과 함께 공식 소셜미디어(SNS) 채널 ‘스튜디오 더마켓’도 선보였다. CJ제일제당 제품 관련 최신 뉴스와 정보, 고객 스토리 등 푸드 라이프스타일을 접할 수 있는 스토리텔링 채널로 운영한다. 고객 니즈에 맞는 콘텐츠로 고객과 적극적으로 소통하며 CJ더마켓의 팬덤 구축을 위한 플랫폼으로 육성한다는 구상이다. 오픈 기념 이벤트도 진행한다.CJ제일제당관계자는 “앞으로도 가격 이상의 고객 가치를 만들고, CJ더마켓만의 지속가능한 서비스를 제공할 수 있도록 노력할 것”이라고 말했다.정유미 기자 youme@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
5,대형마트 3사 ‘손잡이 상자’ 80%대 확대,2020.12.27,"노동자 허리 부담 감소 위해PB상품 손잡이 설치율 늘려제조사·택배사도 동참 선언 택배기사와 마트 노동자가 허리에 무리 없이 무거운 물건을 옮길 수 있도록 상자에 손잡이 구멍을 만드는 방안이 내년부터 확대 추진된다. 고용노동부는 국내 주요 유통사, 제조사, 택배사와 협의해 내년부터 대형마트 진열 상품 등에 상자 손잡이 설치를 확대하기로 했다고 27일 밝혔다. 대형마트 3사의 PB상품 손잡이 설치율은 80%대까지 끌어올릴 계획이다. 그간 마트 노동자, 택배기사 등은 손잡이 없는 상자에 담긴 무거운 물건을 나르다 근골격계 질환을 앓는 경우가 많았다. 손잡이가 없으면 상자 바닥에 손을 넣어 상자를 끌어안은 채 들어올려야 하는데, 이 경우 다리보다는 허리 힘을 쓰게 돼 허리에 부담이 갈 수밖에 없다. 지난해 5월 마트산업노동조합과 노동환경건강연구소가 마트 노동자 5177명을 대상으로 조사한 결과, 근골격계 질환으로 병원에서 치료받은 경험이 있다고 답한 사람은 69.3%에 달했다. 실제 근골격계 질환으로 산재 승인을 받는 도소매업 종사자는 매년 증가해, 지난해 834명을 기록했다. 이에 노동계는 정부와 제조·유통사 등을 상대로 상자에 손잡이 구멍을 뚫어줄 것을 요구해왔다. 상자에 손잡이를 설치하면 무릎을 굽혀 다리 힘으로 물건을 들어올릴 수 있어, 허리의 부하를 약 10% 줄일 수 있다. 몸이 느끼는 무게 역시 최대 7㎏가량 줄이는 효과가 있다.이재갑 노동부 장관이 지난해 10월 국회 국정감사에서 “상자 손잡이 설치 방안 마련”을 약속하면서, 올해 이마트·홈플러스·롯데마트 등 대형마트 3사가 상자 손잡이 설치에 나섰지만 좀처럼 속도를 내지 못했다. 올해 10월 말 기준으로 대형마트 3사가 자체 제작한 PB상품 1440종 중 손잡이가 설치된 상자는 130종으로 9.0% 수준이다. 노동부는 대형마트 3사와 협의해 PB상품에 대한 손잡이 설치율을 평균 80%까지 끌어올리기로 했다. 올해 말까지 20.6%로 늘리고, 내년 말에는 82.9%까지 확대한다는 계획이다.제조사 일부와 택배사도 손잡이 설치에 동참하기로 했다. LG생활건강, CJ제일제당, 동원F&B는 전체 설 선물세트의 18.9%인 127종에 손잡이를 설치하기로 했다. 일반 제품에 대한 손잡이 설치율도 기존 1.6%에서 내년 7.8%까지 확대한다. CJ대한통운, 롯데글로벌로지스, 한진택배, 로젠택배 등 택배사도 67만개 상자에 손잡이를 설치하기로 했다. 쿠팡, SSG, 마켓컬리 등 온라인 유통사도 47만5000개 상자에 손잡이를 설치할 계획이다.이와 동시에 노동부와 산업안전보건공단은 무게가 5㎏이 넘는 상자에는 손잡이 구멍을 내도록 하는 ‘상자 손잡이 가이드’를 마련해 배포할 예정이다. 가이드대로 만들어진 손잡이는 ‘착한 손잡이’로 이름 붙이고 녹색 바탕의 ‘착한 손잡이 스티커’를 상자에 붙이기로 했다.이재갑 장관은 “상자 손잡이가 기업들이 경제성만이 아니라 노동의 눈으로 생산과 경영을 바라보는 중요한 계기가 되기를 바란다”며 “소비자들도 노동자를 배려하는 기업과 상품을 선택해 주시기를 바란다”고 말했다.이효상 기자 hslee@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
6,"CJ제일제당 리턴업(Returnup), GS샵에서 가정의 달 맞이 건기식 기획전 진행해",2020.04.28,"생애전환기별 맞춤 건강 솔루션을 제공하는 CJ제일제당 건강기능식품 전문 브랜드 ‘리턴업’이 “나의 건강 터닝포인트, 약속해줘 CJ리턴업”을 테마로 가정의 달을 맞이하여 GS샵에서 기획전을 진행한다고 밝혔다.최근 건강하고 밝은 이미지로 영화와 드라마, 예능을 통해 다양한 매력을 선보인 성유리를 모델로 선정하여 브랜드의 주 타겟 층인 4050 소비자들에게 많은 사랑을 받고 있는 CJ리턴업은 연령별/기능별 맞춤형 케어를 통해 불균형한 신체 영양 밸런스를 맞춰주어 활기찬 일상으로 업그레이드 할 수 있도록 도와줄 수 있는 ‘스마트 에이징' 브랜드이다. 현재 진행 중인, GS샵 행사는 오는 28일 단, 하루 특가를 통해 생애전환기를 맞이한 40대, 60대 그리고 온 가족을 위한 눈 건강, 기초 영양, 혈관 건강 등 다양한 맞춤 케어 제품을 합리적인 가격에 제공한다.특히 CJ리턴업의 다이어트 브랜드 ‘팻다운’은 올해 제품 리뉴얼을 통하며, 다이어터들의 고민을 좀 더 친밀하게 해결해줄 수 있는 다양한 제품들을 출시했다. 운동할 때, 식사할 때, 일생생활에서 다이어터 개인이 원하는 TPO에 맞춰 선택할 수 있는 라인업이 특징.뿐만 아니라 금번 GS샵 행사에서는 리뉴얼된 다양한 팻다운을 최대 67% 할인된 가격으로 만날 수 있다고 한다. 올해 업그레이드된 제품 ‘리턴업 팻다운 컷 잔티젠’ 역시 할인 중으로 자기 전 하루 한 캡슐 섭취를 통해 체지방 감소에 도움을 줄 수 있는 다이어트 건강기능식품이다. 또, ‘리턴업 팻다운 파워번 마스터 가르시니아’는 가벼운 운동 전 1병 섭취로, 체중 감소와 더불어 ‘나이아신’이 함유되어 에너지 대사의 산화-환원 작용에 참여해 체내 에너지 생성에 도움을 줄 수 있는 제품으로 CJ제일제당의 철저한 검수와 관리를 거친 안전한 식물성 원료를 사용해 안심하고 섭취할 수 있어 많은 인기를 끌고 있다.이번 기획전을 시작하며, CJ제일제당 관계자는 “가정의 달 맞이 GS샵 기획전을 통해 소중한 분들께 건강을 선물하고, CJ제일제당 리턴업의 다양한 제품들을 체험해보며 활기찬 생활을 이어 나갔으면 좋겠다” 고 전했다.▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
7,비비고 만두 연매출 1조원 돌파,2020.12.22," CJ제일제당은 비비고 만두의 올해 매출이 1조원을 돌파했다고 22일 밝혔다. CJ제일제당은 “자동차, 반도체 등 주력 제조업이 아닌 식품에서 단일 품목으로 국내외에서 동시에 거둔 성과라는 점에서 의미가 크다”고 설명했다. 비비고 만두 매출은 국내보다 해외에서 컸다. 올해 매출 1조300억원 중 해외 매출은 6700억원으로 비중이 65%였고, 국내 매출은 3600억원이었다. 비비고 만두는 처음부터 해외 시장을 고려해 기획했고, 특히 해외 소비자에게 한국식 만두로 인식되도록 큰 노력을 기울였다는 것이 CJ제일제당 측의 설명이다. 미국의 경우 진출 초기부터 코스트코에 입점해 ‘만두(Mandu)’ 표기 제품을 지속해서 노출해 친밀도를 높였고 2015년에는 별도의 만두 연구개발(R&D) 조직도 신설했다.  중국과 일본에서는 젊은 층을 공략해 지난해 온라인 쇼핑몰인 중국 징동닷컴과 이베이재팬 운영 큐텐에서 각각 만두, 식품 부문 판매 1위를 기록했다. 유럽에서는 아시아 식문화 수용도가 높은 영국과 프랑스, 독일을 중심으로 유통망을 확대해 대형 유통 채널 800곳과 코스트코 전 매장에 진출했다. 그 결과 올해 해외 매출은 미국에서 4200억원, 중국 1600억원, 일본 650억원, 유럽 180억원, 베트남 160억원 등이다. CJ제일제당은 ‘비비고 왕교자’와 같이 해외에서도 통할만한 혁신적인 제품을 지속적으로 만들어내겠다고 포부를 밝혔다. 국내 시장에서는 냉동만두의 수준을 한 단계 끌어올려 개인별 취향을 세심하게 담아낸 ‘수제형 냉동만두’에 집중할 계획이다. 미국 시장에서는 2018년 인수한 식품기업 슈완스와 협업해 신제품 개발에 나서고 만두 공급도 확대할 예정이다.CJ제일제당 관계자는 “비비고 만두 출시와 함께 꿈꿨던 ‘전 세계인들이 주 1회 한국 음식을 즐기는’ 비전이 실제가 됐다”면서 “비비고 만두를 잇는 차세대 K-푸드가 탄생할 수 있도록 노력을 아끼지 않을 것”이라고 말했다.조미덥 기자 zorro@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
8,"'제일기획,GS리테일,더페이스샵' 동반성장지수 최우수 등급...""코로나19 지원 노력 반영""",2020.09.08," 대기업의 상생 노력 등을 평가하는 동반성장지수 평가 결과 최초로 가맹업계, 광고업계 등에서도 동반성장지수 ‘최우수’ 등급이 등장했다. 삼성전자는 9년 연속 최우수 등급을 받았고, SK텔레콤과 SK종합화학도 8년 연속 최우수 등급 성적표를 받아들었다. 동반성장위원회(동반위)는 2019년도 동반성장지수 평가 결과 공표 대상 기업 200곳 가운데 ‘최우수’ 등급을 받은 기업이 35곳, 우수 61곳, 양호 67곳, 보통 23곳 및 미흡 7곳(공표유예 7곳 제외)으로 나타났다고 8일 밝혔다.동반성장지수는 통상 매년 상반기내(6월말)에 공표되지만 이번 평가 결과는 코로나19 확산으로 인해 지수 산정·공표에 필요한 절차 수행이 어려워짐에 따라 9월로 연기하게 됐다. 이번 동반성장지수 평가는 지난 2018년 12월 진행된 53차 동반위 논의 결과 업종별 대기업 실적평가제 도입, 체감도 조사 효율화 등 평가 기준 조정을 통해 ‘동반성장종합평가’ 체제로 개편 후 진행된 첫 평가다. 구체적으로는 기존엔 계약의 공정성 및 법준수 노력, 상생협력 지원 등이 주요 평가 항목이었지만, 이번에 종합평가 체제로 바뀌면서 협력사 체감도 조사가 주요 평가 항목으로 올라섰다(100점 만점에 80점). 동반위의 체감도 조사는 대기업의 1차 및 2차 협력사 명단과 동반위가 자체 발굴한 협력사 정보를 토대로 총 1만1315곳 중소 협력사를 대상으로 온라인, 우편, 방문 설문조사로 진행됐다. 나머지 20점은 대기업이 제출한 실적에 대한 ‘실적평가’로 채워졌다.최우수 등급을 받은 기업은 기아자동차, 네이버, 농심, 대림산업, 대상, 더페이스샵, 삼성디스플레이, 삼성물산(건설부문), 삼성전자, 삼성SDS, 세메스, 유한킴벌리, 제일기획, 포스코, 풀무원식품, 현대건설, 현대모비스, 현대엔지니어링, 현대자동차, 현대트랜시스, CJ제일제당, GS리테일, KT, LG디스플레이, LG생활건강, LG유플러스, LG이노텍, LG전자, LG화학, LG CNS, SK건설, SK종합화학, SK주식회사, SK텔레콤, SK하이닉스(가나다순) 등 총 35곳이다.가맹업종인 더페이스샵, GS리테일과 광고업종인 제일기획은 각 업계서 ‘최우수’ 등급을 받은 첫 사례가 됐다. 동반위는 “지난 동반성장 종합평가 평가체계 개편 시 업종 별 특성을 반영한 세부 지표 설정 등을 통해 업종 별 평가체계의 유불리를 해소했다”며 “그 결과 과거 제조업, 건설, 식품, 정보통신 업종에 집중돼있던 ‘최우수’ 기업이 가맹업종 및 광고업종에서 최초로 등장했다”고 설명했다. 2011년도 동반성장지수 평가에 착수한 이후, 연속 최우수 등급을 받아온 기업(최우수명예기업)으로는 삼성전자(9년), SK종합화학, SK텔레콤(이상 8년), 기아자동차(7년), 현대트랜시스, KT, LG디스플레이, LG생활건강, SK주식회사(이상 6년), 유한킴벌리, CJ제일제당, LG화학(이상 5년) 등이 있다.한편 동반위는 올해 코로나19 확산으로 재난 상태가 발생함에 따라 위기상황에서의 대기업의 적극적 상생 노력을 위해 동반성장 지수에 ‘코로나19’ 지원 실적을 평가하기로 결정해 금년도 평가에도 코로나19 관련 협력사 지원 실적을 소급 반영했다. 또한 향후 동반위는 2020년도 동반성장지수 평가에도 코로나19 사태 조기극복을 위해 대기업에서 미거래 중소기업 및 지역사회에 수행한 기여를 평가에 반영할 예정이다.김지원 기자 deepdeep@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
9,“바뀐 게 있어야 안 오죠”…올 연말도 청와대 앞 ‘간절한 외침’,2020.12.29,"김진숙 복직·중대재해법 등 미완노동자·세월호 가족 등 농성·회견 “LG트윈타워에서 내년에도 일할 수 있도록 해주세요. 우린 굶어 죽어요.” LG트윈타워 청소노동자들은 28일 서울 종로구 청와대를 찾아 문재인 대통령에게 한 묶음의 편지를 보냈다. “속을 다 비워서 이제 몸은 편안해지고 마음은 무거워지는 것 같습니다.” 청와대 앞 단식농성 7일차를 맞은 정홍형 희망버스 집행위원장은 눈을 감은 채 말했다. 그는 올해 말로 정년을 맞는 한진중공업 해고자 김진숙씨의 복직을 촉구하며 단식·노숙농성을 이어가고 있다. 그 옆에서는 영남대의료원 해고자였던 박문진씨 등이 하루 3000배를 목표로 쉴 새 없이 절을 했다.2020년이 나흘밖에 남지 않은 이날 청와대 앞 분수대는 고통받는 사람들로 넘쳐났다. 세월호 가족들은 진상규명을 요구하며 닷새째 농성을 이어갔고, 48일째 파업 중인 코레일네트웍스 노동자는 7일째 청와대 앞을 지켰다. 해를 넘기기 전에 해결했어야 하지만 풀리지 않은 문제들이 청와대로 모여든 것이다. 청와대 앞에서는 세밑 한파에도 매년 말 비슷한 풍경이 반복되고 있다.이날 오전 함세웅 신부와 명진 스님, 권영길·단병호 전 의원, 조돈문 가톨릭대 교수 등은 청와대 앞에서 김진숙씨 복직과 중대재해기업처벌법 제정을 촉구하는 기자회견을 진행했다.두 가지 모두 길게는 10년 이상 해결되지 않은 문제들이다. 하지만 올해는 더 이상 해를 넘겨서는 안 되는 사정이 있다. 1986년 부당해고된 김씨는 올해 말이면 정년을 맞는다. 2009년 민주화운동보상심의위의 복직 권고조차 회사는 받아들이지 않고 시간을 끌었다.19대 국회 때부터 발의된 중대재해기업처벌법 제정 역시 더 미룰 수 없게 됐다. 산재 유가족들은 18일째 국회 앞 단식을 벌이고 있다. 이들은 기업이 안전에 대한 투자를 필수적인 비용으로 인식하도록 산재 사망사고에 대한 처벌 수위를 높여야 한다고 주장하고 있다. 국회 앞에서 중대재해기업처벌법 제정을 요구하며 22일째 단식중인 김주환 전국대리운전노조위원장과 함세웅 신부, 명진 스님, 권영길·단병호 전 의원, 이덕우 변호사 등 사회 원로들이 28일 서울 청와대 분수대 앞에서 “연내 중대재해법 제정! 김진숙 복귀! 시민사회원로 73인 긴급 기자회견”을 열고있다. 김진숙의 정년은 이제 3일 밖에 남지 않은 상황이다.  이준헌 기자ifwedont@kyunghyang.com단식에 동참하는 산재 유가족 수는 이날 더 늘었다. 목재공장에서 파쇄기에 몸이 끼여 숨진 김재순씨의 아버지 김선양씨, 건설현장에서 일하다 추락해 숨진 김태규씨의 누나 김도현씨, 현장실습생으로 CJ제일제당에서 일하다 숨진 김동준군의 어머니 강석경씨가 국회 앞 단식에 동참했다. 함세웅 신부 등 시민사회 원로 등은 “노동현장에서 목숨을 잃은 형제자매, 아들딸을 살리기 위해 중대재해법을 제정해야 한다는 것은 시대의 명령”이라 말했다.1년짜리 계약을 맺고 연말마다 고용불안에 시달리는 간접고용 비정규직 노동자들도 이날 청와대 앞을 찾았다. 서울 여의도 LG트윈타워를 청소하는 비정규직 노동자 80여명은 지난달 말 전원 계약 종료 통보를 받았다. 회사는 하청업체 변경으로 인해 계약 종료가 불가피하다는 입장이다. 하지만 정부 지침은 업체 변경 시에도 하청노동자의 고용안정을 위해 노력할 것을 권고하고 있다. 이들 노동자는 이달 초부터 LG트윈타워 로비에서 농성을 벌여왔지만, 회사가 출입구를 봉쇄하는 등 강경대응에 나서자 최후의 수단으로 청와대를 찾았다. 김진숙씨 복직을 촉구하는 동조 단식에 참여한 김득중 금속노조 쌍용자동차지부장은 “노사 당사자 문제로만 볼 것이 아니라 정부가 기업에 대한 감시를 지속해야 한다. 그렇지 않는다면 한파에 청와대 앞에서 목소리를 내는 일은 반복될 것”이라고 말했다.이효상 기자 hslee@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
