,title,date,content
0,하도급 공사비 11억 적게 준 GS건설···‘과징금 13억’ 공정위 제재,2020.12.13," 하도급업체에 법에 정해진 기준보다 10억원 이상 적은 대금을 지급한 GS건설이 공정거래위원회 제재를 받는다.공정위는 하도급법 위반 혐의로 GS건설에 시정명령과 과징금 13억8000만원을 부과한다고 13일 밝혔다.공정위 심의 결과 GS건설은 2012~2016년 수의계약으로 4건의 공사를 위탁한 한기실업에 186억7100만원을 하도급 대금으로 지급했다. 한기실업이 재료비·직접노무비·경비로 투입한 직접공사비 총 198억500만원보다 11억3400만원 적은 금액이었다.공정위는 이러한 GS건설의 대금 지급을 두고 “하도급대금을 부당하게 낮게 결정한 것”이라고 판단했다. 하도급법에 따르면, 수의계약으로 하도급계약을 체결할 경우 정당한 사유 없이 직접공사비 총액보다 낮은 금액을 하도급 대금으로 결정해서는 안 된다.공정위는 “수의계약시 하도급업체의 협상력은 입찰에 비해 상대적으로 떨어진다”며 “수의계약을 통한 하도급 대금 결정 과정에서 원사업자와 하도급업체 간 실질적 협의가 이뤄질 것으로 기대된다”고 이번 제재 의미를 설명했다. GS건설 관계자는 “최초 하도급 대금은 직접공사비보다 낮게 계약됐지만, 최종 하도급 대금은 직접공사비 이상으로 계약됐고 대금도 모두 지급했다”고 밝혔다. 그러면서 “대규모 턴키공사의 특성상 공사 수행 중 물량 증감이 빈번하다”며 “이 때문에 최초 하도급 계약은 물량 증감을 전제로 체결하고, 물량 증감을 반영한 최종 정산 계약을 실질적 계약으로 인식해왔다”고 설명했다. “향후에는 최초 하도급 계약시에도 법 위반 사례가 발생하지 않도록 시정해가겠다”고도 말했다.박광연 기자 lightyear@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
1,GS건설 ‘송도자이 크리스탈오션’ 1503가구 분양,2020.12.06," GS건설은 인천광역시 연수구 송도동(송도국제도시)에 건립되는 아파트인 ‘송도자이 크리스탈오션’을 12월 중 분양한다고 밝혔다. 단지는 지하 1층~지상 42층, 9개 동, 총 1503가구 규모로 조성된다. 중대형 면적인 전용 84~205㎡ 아파트가 공급된다.송도자이 크리스탈오션은 단지 외벽을 유리패널로 마감시공하는 ‘커튼월룩’을 적용해 외관의 차별성을 둘 계획이다. 일부 저층 가구를 제외한 전 세대에서 바다가 보이도록 조망이 특화된다. GS건설은 “단지에서 서해 바다와 인천대교까지 바라볼 수 있다”고 설명했다. 단지에는 축구장 약 4배 크기 규모의 중앙광장(가칭)이 들어선다. 해안 산책로인 ‘랜드마크시티 수변공원(예정)’이 단지와 바로 연결될 계획이다. 아파트 동 사이를 연결하는 ‘스카이 브릿지 커뮤니티’에는 선셋라운지, 북살롱 등의 시설이 조성된다. 단지 인근에는 워터프론트 호수와 잭니클라우스GC, 13호 근린공원이 위치해있다.▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
2,허윤홍 GS건설 신사업부문 대표 ‘핸드 인 핸드’ 캠페인 참여,2020.11.11,"사회적경제기업 상품 구매 동참 허윤홍 GS건설 신사업부문 대표(사진)가 사회적경제기업을 돕기 위한 릴레이 캠페인인 ‘핸드 인 핸드’에 참여했다. GS건설은 11일 허 대표가 사회적경제기업인 영농조합법인 광수에서 사과 150여상자를 구매해 ‘꿈과 희망의 공부방’ 가정과 아동들에게 전달했다고 밝혔다. ‘핸드 인 핸드’는 지난 4월 사회적기업연구원이 시작한 캠페인이다. 코로나19로 판매량이 줄어든 사회적경제기업의 상품을 구입한 뒤 다음 참가자에게 전달하거나 사회적 취약계층에 기부한 후 코로나19 극복 응원 메시지를 사회관계망서비스(SNS)에 게시하는 방식으로 진행된다.허 대표는 다음 주자로 최정훈 (주)이도 대표이사, 최용석 액티스코리아 대표, 심주현 마크세븐 대표이사를 지목했다.송진식 기자 truejs@kyunghyang.com▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
3,"GS건설, 모델하우스에 AI 안내원 ‘자이봇’ 도입",2020.07.27,"단지 개요부터 청약일정까지 안내 GS건설은 국내 건설업계 최초로 아파트 모델하우스에 인공지능(AI)로봇 안내원인 ‘자이봇’(Xibot)을 도입한다고 27일 밝혔다. 자이봇은 LG전자의 자율주행 서비스 로봇인 ‘클로이’를 모델하우스용으로 개조해 만들었다. 원거리(25m) 및 근거리(0.05m) 내 물체 인식이 가능해 장애물을 피할 수 있고, 인공지능 음성인식 기술이 적용돼 대화도 주고받을 수 있다. GS건설은 “코로나19 확산 이후 비대면 마케팅을 강화하기 위해 유튜브 채널인 ‘자이TV’에 이어 자이봇을 도입하게 됐다”고 설명했다.자이봇은 8월 분양 예정인 DMC아트포레자이, DMC파인시티자이, DMC센트럴자이 등의 모델하우스 내에 배치될 예정이다. 방문객들에게 단지의 개요 및 위치, 입지, 단지배치, 동호수 배치, 평면, 모델하우스 공간 안내, 청약일정 등의 안내를 담당하게 된다. 자이봇에 장착된 터치스크린을 통해 방문객이 궁금해하는 사안에 대한 안내도 가능하다고 GS건설은 설명했다. GS건설은 “향후 자이봇을 활용해 단지 내 커뮤니티 안내, 택배 배달, 분리수거, 소독 등과 같은 고객편의 서비스를 확대해나갈 방침”이라며 “가정 내 업무를 대체할 수 있는 홈 로봇으로까지 개발을 고려하고 있다”고 밝혔다.송진식 기자 truejs@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
4,"GS건설, ‘DMC리버시티자이’ 사이버 견본주택 열어",2020.05.14,"GS건설은 경기 고양시 덕양구 덕은지구 ‘A6블록’에 분양 예정인 ‘DMC리버시티자이’ 사이버 견본주택을 15일부터 운영한다고 밝혔다.14일 GS건설에 따르면 DMC리버시티자이는 지하 2층~지상 24층, 7개동으로 건립된다. 전용면적 84~99㎡의 620가구가 공급되며 이주대책 대상자 우선 분양을 제외한 530가구가 일반 분양된다. 전용면적별로 보면 84㎡A 143가구, 84㎡B 151가구, 84㎡C 162가구, 84㎡D 46가구, 99㎡ 118가구 등이다.서울 마포구 상암동과 인접한 덕은지구는 가양대교를 이용하면 바로 서울 강서구에 접근할 수 있다. 주변 자유로, 올림픽대로, 월드컵로 등을 통해 서울과 연결된다. 상암동과 영등포구 양평동을 잇는 왕복 6차선 월드컵대교가 올해 12월 준공되면 일대 교통 혼잡도 완화될 것으로 전망된다.단지는 전력회생형 엘리베이터, 가구 내 주방 절수 페달, 고효율 LED 조명 등 다양한 에너지 절약 시스템이 적용될 예정이다. 자이에만 적용되는 국내 최초 환기형 공기청정 시스템인 ‘시스클라인’이 거실과 주방에 기본으로 제공된다. 분양 홈페이지를 통해 가구별 VR 영상, 카카오상담 및 화상삼당 등이 제공된다. 오프라인 모델하우스는 운영되지 않는다.송진식 기자 truejs@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
5,"GS건설, 싱가포르서 5500억원 규모 공사 수주",2020.04.20,"ㆍ철도연과 철도종합시험센터 건설GS건설이 싱가포르에서 약 5500억원 규모의 철도종합시험센터 공사를 따냈다.GS건설은 한국철도기술연구원과 컨소시엄을 구성해 싱가포르 육상교통청이 발주한 6억3950만싱가포르달러(약 5500억원) 규모의 철도종합시험센터 프로젝트를 수주했다고 20일 밝혔다. 이 프로젝트는 기존 골프장 부지에 총 3개의 테스트 트랙을 설치, 차량·신호·통신·철도 용품을 사전 시험하는 싱가포르 최초의 철도종합시험센터를 건설하는 공사다. 시공사가 설계와 시공까지 제안하는 ‘디자인-빌드’ 입찰 방식으로 2024년 말 준공 예정이다.GS건설은 “철도종합시험센터는 세계적으로도 6개밖에 없는 고난도의 시설”이라며 “적기에 제대로 준공할 수 있는 신뢰성이 결정적 기준이었으며 입찰 자격도 한국과 호주의 두 컨소시엄에만 허용됐다”고 밝혔다. 이어 오송 철도종합시험선로 시공 경험도 높게 평가받았다고 전했다.이상기 GS건설 인프라 부문 대표는 “철도기술연구원과의 협업을 통해 시너지 효과를 극대화한 민관 협력 수주의 모범 사례”라고 말했다.송진식 기자 truejs@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
6,GS건설 ‘신동탄포레자이’ 1297가구 분양,2020.05.10,"GS건설은 경기 화성시 반월지구 도시개발사업 지역(반월동 17번지 일원)에 들어서는 신동탄포레자이의 사이버 견본주택을 공개하고 분양에 나선다고 밝혔다. 청약일정은 5월11일 특별공급을 시작으로 12일 1순위, 13일 2순위 청약접수를 받는다. 당첨자 발표는 19일이며, 정당계약은 6월1~11일까지 주말을 제외하고 9일 동안 견본주택에서 진행된다.신동탄포레자이는 지하 2층~지상 최고 29층 12개 동, 총 1297가구로 건립된다. 전용면적별로는 △59㎡ 474가구 △74㎡ 319가구 △84㎡A 299가구 △84㎡B 199가구 △84㎡P(펜트하우스) 6가구로 구성된다. 사이버 견본주택은 신동탄포레자이 홈페이지와 ‘자이(Xi)’ 애플리케이션을 통해 제공된다. 가구주 및 주택 유무와 관계없이 청약 통장 가입 후 12개월 이상 및 일정 예치금 충족 시 청약 1순위 자격이 주어지며, 재당첨 제한이 없다. 신동탄포레자이의 입주 예정일은 2023년 2월이다.▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
7,"GS건설, 폴란드·영국·미국 모듈러 업체 3곳 인수 ‘국내 최초’",2020.01.21,"ㆍ국내외 모듈건축 시장 선점 기대GS건설이 유럽과 미국의 모듈러 전문업체 3곳을 동시에 인수해 글로벌 주택건축 시장 공략에 나선다. 모듈러 공법은 건축물을 지을 때 주요 구조와 내·외장재를 결합한 일체형 모듈을 공장에서 사전 제작하고 현장에서는 설치 및 조립만 하는 기술이다. 레고 블록처럼 구조물을 쌓아올리는 것으로, 유럽, 미국 등 선진국에서는 일반화된 공법이다. 국내 건설사가 해외 모듈러 업체를 인수한 것은 이번이 처음이다.GS건설은 21일 폴란드 비아위스토크에 있는 목조 모듈러 주택 전문회사 단우드 본사에서 단우드 인수계약을 맺었다고 밝혔다. 이 자리에는 허윤홍 GS건설 신사업부문 사장과 야로스와프 유락 단우드 사장 등이 참석했다.GS건설은 지난 16일(현지시간) 영국에 있는 철골 모듈러 전문회사 엘리먼츠 인수를 마무리했다. 또한 미국의 철골 모듈러 전문회사인 ㄱ사의 인수도 주요 사항에 대한 협의를 마친 상태로, 다음달 중 본계약을 체결할 예정이다. 인수 금액은 폴란드 단우드가 약 1800억원이며, 나머지는 추후 확정할 계획이다.폴란드 단우드는 목조 단독주택 전문회사로, 독일 모듈러 주택시장에서 매출 4위에 올라 있다. 영국 엘리먼츠는 매출 기준으로 영국 모듈러 화장실 전문회사 가운데 3위다. ㄱ사는 건축정보모델을 통한 설계·원가·시공 관리와 글로벌 소싱을 통해 원가 경쟁력을 확보한 고층 철골 모듈러 전문회사인 것으로 알려졌다.GS건설은 이번 3개사 인수를 통해 해외 모듈러 시장을 선점하고, 각 전문회사의 강점과 네트워크를 활용해 글로벌 강자로의 도약을 목표로 하고 있다. 국내를 포함한 아시아와 오세아니아 시장에 미국과 유럽의 선진화된 기술 도입을 통해 고층 모듈러 시장과 저층 주거 시장까지 진출하겠다는 전략이다.GS건설 관계자는 “인수하는 3개사의 전문분야와 주요 영업지역이 상호 보완적이어서 전략적 조합을 갖출 것으로 기대하고 있다”고 말했다. 그간 모듈러 시장은 건설인력 확보가 어렵고 임금이 비싼 선진국 위주로 형성돼 왔으나 최근 국내에서도 건설인력 고령화와 인력난으로 모듈러 시장이 커지고 있다. 허윤홍 사장은 “GS건설이 한 단계 도약할 수 있는 토대를 구축했다”며 “인수업체 간 시너지를 통해 글로벌 모듈러 시장에서 입지를 공고히 하도록 노력할 것”이라고 말했다.이성희 기자 mong2@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 최신기사▶ 기사 제보하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
8,GS건설 한남하이츠 재건축 사업서  ‘한남자이 더 리버’…“한강변 새 랜드마크로”,2020.01.15,"연초 주목되는 대표적인 사업지, 한남하이츠 재건축 수주전이 오는 18일 시공사 선정 임시총회를 앞두고 뜨겁게 달아오르고 있다. 정부가 제재에 나서면서 연기된 한남3구역 재개발과 함께 강북권 한강변 정비사업의 대표주자로 꼽히는 만큼 상징성이 큰 사업지다.GS건설이 서울시 성동구 옥수동 일원에 위치한 '한남하이츠' 재건축사업에 '한남자이 더 리버'를 통해 강북의 차세대 랜드마크로 짓겠다는 계획이다.한남자이 더 리버는 서울시 성동구 옥수동 일대에 8개동, 총 535가구 규모 한남하이츠를 지하 6~지상 최고 20층, 10개동, 총 790가구와 근린생활시설 1개동 규모로 지을 예정이다. 외관 디자인과 단지 조경은 건축설계사 텐디자인(10 DESIGN), 삼성물산 리조트부문과 손잡고 독창적인 외관 디자인과 고품격 단지 조경을 제공한다.이와 함께 GS건설은 한강 변에 위치한 입지의 장점을 살려 조망권은 물론 테라스 및 테라스오픈형발코니가 평면 계획되어 있고, 세대 분리형 평면을 도입해 부모와 자식세대가 함께 거주하거나 임대를 통한 부대수입을 도모할 수 있도록 했다. 구체적으로 한강조망권 가구 305가구, 포켓테라스 전면설치 59가구, 테라스형 오픈발코니 235가구, 루프탑 테라스 11가구 등으로 구성된다. 또한 평면특화를 통해 최근 주거공간으로 주목받고 있는 테라스형 가구를 347가구로 극대화하고 가구별 평면도 특화해 가치를 끌어올렸다고 설명했다. 다락과 테라스 공간은 전용면적에 산입되지 않는 서비스면적으로 해당 공간이 약 50% 가구에 적용된다고 덧붙였다. 주방가구를 포함해 스위치, 콘센트 등 소품까지 최고급 외산 마감재로 실내 공간을 고급스런 분위기로 꾸미고, 맞통풍 및 수납을 강화한 설계를 도입했다.GS건설 관계자는 “조합안의 10% 이내의 경미한 변경에 해당하는 설계지만 조합원의 요구를 최대한 반영해 구체적으로 제시할 수 있는 것은 그만큼 특화 평면 등 설계 기술력에 자신감이 있기 때문”이라고 말했다. ◆GS건설이 제시한커뮤니티 시설도 눈길을 끈다. 기존 조합안에 포함되었던 피트니스, 수영장 및 사우나 등 기본 시설은 고급화했고, 추가로 스카이라운지, 펫카페, 오디오룸, 게스트하우스 등이 적용된다. 미세먼지 걱정 없는 고품격 야외 갤러리인 ‘미러뷰 하우스’와 베르샤이유 궁전을 연상시키는 디자인으로 한강의 석양을 바라볼 수 있는 ‘샹들리에 워터갤러리’ 등 특화 조경이 만들어진다. 첨단기술이 적용된 보안환경에서도 편리함과 프라이빗한 라이프스타일 컨셉을 엿볼 수 있다. 단지 출입 통제를 위한 보안게이트는 기본이고 외부 옹벽에 적외선 감지기를 설치해 외부 침입을 미연에 방지한다. 단지 곳곳에는 최상급 화소의 고화질 CCTV가 설치되고, 동별 출입구에 안면인식장치로 세대 안전을 도모한다. 온라인상 개인정보는 은행 수준 사이버 시큐리티시스템으로 보호한다.단지 내부는 ‘비오토프(도심 내 생물 서식 공간, Biotope)’를 그대로 복원해 친환경 단지로 구현한다. 커뮤니티, 엘리베이터, 산책로, 도로개설 등으로 해지되는 비오토프 면적만큼 되살려 생태친화적 단지로 살릴 수 있는 방안을 제시했다. 또 GS건설이 자회사인 자이S&D와 공동으로 개발한 공기청정 시스템인 시스클라인을 적용해 미세먼지를 최소화하는 클린 단지를 조성할 계획이다. 주차장도 조합원안의 세대당 1.76대를 1.9대로 개선했고 조합원 세대에는 세대창고를 1개소 마련했다. GS건설은 고급 설계를 대거 적용했지만 공사비는 조합측이 예상한 공사비용(예가)보다 132억이나 낮게 제시했다. 또 그동안 깜깜이 회계로 논란이 돼 온 무상특화의 경우 품목별 수량과 단가, 금액 등 세밀하게 공개해 투명성을 높였다.이와 함께 물가상승을 반영하는 공사비 산정 기준일을 경쟁사보다 3개월 늦추고 분양수입금 내에서 기성불을 받는 방식의 공사비 상환 방식으로 조합원의 부담을 낮추는 등 세세하게 신경을 쓴 점이 돋보인다는 설명이다.▶ 장도리 | 그림마당 보기▶ 경향신문 최신기사▶ 기사 제보하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
9,"GS건설, 2차전지 재활용 사업 진출···포항에 1000억원 투자",2020.01.09,"GS건설이 전기차 보급 확대에 따른 2차전지 재활용 관련 신사업에 진출한다. 대기업으로는 처음으로 경북 포항 차세대 배터리 리사이클링 규제자유특구에 투자해 이 곳에 2차전지 재활용 시설을 조성할 계획이다.GS건설은 9일 포항종합운동장 체육관에서 ‘포항 규제자유특구 GS건설 투자 협약식’을 가졌다. 이날 협약식에는 문재인 대통령과 청와대 김상조 정책실장, 강기정 정무수석, 황덕순 일자리수석과 박영선 중소벤처기업부 장관, 송재호 국가균형발전위원장 등이 참석했다.GS건설은 협약식에서 포항 영일만4 일반산업단지 내 재활용 규제자유특구 약 12만㎡(3만6000평) 규모의 부지에 2차전지를 재활용하는 사업에 대한 투자 계획을 발표했다. 우선 2022년까지 1차로 약 1000억원을 투자해 2차 전지에서 연간 4500t 니켈·코발트·리튬·망간 등의 유가 금속을 생산할 수 있는 시설을 조성·운영할 예정이다. 이어 2차 투자를 통해 연간 1만여t 규모로 사업을 확대하고, 전후방 산업으로 진출할 계획이다.배터리 리사이클링 산업은 전기차 보급 확대에 따라 차세대 유망 사업으로 각광받는 분야다. 세계 경제전문지 블룸버그에 따르면, 2040년 신차의 절반 이상과 전 세계 차량 중 3분의 1이 전기차가 될 것이며 2050년 배터리 리사이클링 시장은 약 600조 규모로 성장할 것으로 전망된다.GS건설은 1차 투자로 약 300여명 규모의 양질의 지역 일자리가 창출될 것으로 예상하고 있다. 또 향후 투자 확대에 따라 고용이 증가돼 지역 경제 활성화에 기여할 수 있을 것으로 본다.임병용 GS건설 부회장은 “국제적으로 경쟁력 있는 최고의 공정기술과 제품을 확보해 일자리 창출을 통한 지역경제 활성화와 배터리 소재의 수입 의존도를 줄이겠다”며 “이번 투자를 계기로 풍부한 인적 자원을 활용해 다양한 분야로 신사업을 확장해 나가도록 노력할 것”이라고 말했다.이성희 기자 mong2@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 최신기사▶ 기사 제보하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
