,title,date,content
0,"GS숍 주문 상품, 집 근처 GS25에서 찾는다",2020.12.29,"도착 알림 문자 함께 QR코드 전송택배보관함 ‘박스25’ 스캐너 인식GS25 점원과 접촉 없이 상품 받아 앞으로 온라인몰인 GS숍에서 주문한 물건을 집 근처 GS25 편의점의 비대면 택배보관함에서 찾을 수 있다.GS리테일이 운영하는 편의점 GS25는 물류전문기업 GS네트웍스와 공동 운영하는 비대면 택배보관함인 ‘박스25’를 통해 GS숍 택배도 받을 수 있다고 29일 밝혔다. 지금까진 프레시코드, GS프레시몰, DHL 등 일부 제휴처 상품만 받아볼 수 있었는데 GS홈쇼핑이 운영하는 온라인몰 GS숍의 제품까지 포함된 것이다.GS숍에서 상품을 구매할 때 픽업 장소를 가까운 박스25로 선택하면 된다. 상품이 도착하면 고객에게 알림 문자와 함께 QR코드가 전송되고, 이 QR코드를 박스25의 스캐너에 갖다 대면 GS25 점원과의 접촉 없이 상품을 찾을 수 있다. GS25는 우선 상온 상품으로 시작해 내년엔 냉장 상품으로 취급 대상을 확대할 예정이다.이번 방안은 지난 11월 GS리테일과 GS홈쇼핑의 합병 발표 이후 나온 첫 물류 효율화 정책이다. 편의점을 비대면 택배 거점으로 활용해 온라인몰과 편의점이 시너지 효과를 내려는 시도다. 고객 입장에선 코로나19로 대면 접촉이 꺼려지는 시기에 박스25를 통해 비대면으로 택배를 찾을 수 있다. 편의점이 24시간 운영되니 아무 때나 찾으러 갈 수도 있다. 또한 배송에 드는 에너지가 절감되고 냉장팩 등 포장재 낭비도 줄일 수 있는 ‘착한 배송’ 효과도 있다.GS25 입장에선 택배를 찾으러 들른 고객이 편의점에서 물건도 사는 부대 효과를 볼 수 있다. GS25는 현재 1000여개인 박스25를 2025년까지 3000개로 확대할 계획이다.조미덥 기자 zorro@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
1,편의점 ‘300만불 수출’ 시대 연 GS리테일,2020.12.08,"GS25, ‘K푸드 열풍’ 동남아 진출3년 새 매출 20배 넘게 ‘급성장’ 편의점 GS25를 운영하는 GS리테일이 8일 제57회 무역의날 기념식에서 ‘300만불 수출의 탑’을 수상했다. GS리테일의 수출액은 2017년 2억원을 시작으로 올해는 11월 말까지 40억원을 넘는 등 급성장하고 있다.국내 소비 플랫폼인 편의점 업체가 수출상을 탄 것은 대만, 홍콩 등 동남아시아 지역의 K푸드 열풍 덕이다. 이들 지역의 1020세대가 한국에 여행을 와 편하게 방문할 수 있는 편의점의 자체 브랜드(PB) 식품을 접하고 이를 자국 사회관계망서비스(SNS)에 공유하면서 큰 인기를 끈 것이다.이런 열풍에 착안한 현지 업체에서 GS리테일 제품을 수입하면서 수출이 시작됐다. 올해는 코로나19 유행으로 여행이 끊겼지만 현지에서 제품 인기는 오히려 확산되고 있다. GS리테일 관계자는 “우리가 해외 판매망을 뚫었다기보다 현지에서 수출 요구가 왔다”며 “대만의 편의점과 홍콩의 슈퍼에선 우리 편의점 상품존을 따로 만들어 운영할 정도”라고 말했다.수출의 90%는 식품이다. 수출액 1위는 자체 브랜드인 ‘유어스’의 유어스영화관팝콘, 2위는 유어스왕교자만두, 3위는 유어스나쵸치즈콤보이다. 여름엔 대만에 1㎏ 얼음을 20만개 수출하기도 했다. GS리테일은 최근 베트남에 GS25 매장을 열었고 몽골에도 진출할 예정이어서 내년에는 수출액 100억원을 무난하게 돌파할 것으로 예상하고 있다.조미덥 기자 zorro@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
2,"GS리테일, KT와 손잡고 물류 최적화 추진…AI 활용",2020.11.17," 인공지능이 도로 사정, 실시간 교통상황, 화물차 무게 등을 분석해 최적의 루트를 추천, 물류 과정의 효율화를 꾀한다.GS리테일은 17일 서울 강남 GS타워에서 KT와 ‘디지털물류 사업협력을 위한 업무협약’을 체결했다고 밝혔다.양사는 이번 협약으로 GS리테일이 보유한 온·오프라인 물류데이터와 KT 인공지능(AI) 물류최적화 플랫폼을 통한 물류운송 최적화 시범사업을 추진하게 된다. 우선 GS리테일과 KT는 이번 협약 이후 다음달부터 약 2개월간 GS리테일 고양물류센터, 제주물류센터를 대상으로 KT AI 물류최적화 플랫폼을 활용한 시범 사업을 진행한다. 시범 사업 기간 KT의 AI 기술을 활용한 물류 최적화 네비게이션이 GS리테일 배송매니저 애플리케이션을 통해 제공된다.AI 물류최적화 플랫폼은 기존의 운송데이터와 실시간 교통상황, 화물량 및 영업점별 인수시간 등 복합적 변수까지 포함해 적용되며, 화물차의 높이, 길이, 무게와 좁은 길, 유턴, 회피옵션 등 외부환경까지 반영한 최적의 경로를 안내함으로써 운전편의성을 높이고 이동거리 단축에 도움을 준다. 이처럼 GS리테일과 KT는 각사의 핵심역량과 혁신기술을 바탕으로 데이터 연계분석을 진행함으로써 빅데이터 기반의 스마트한 디지털물류 환경을 구현하고 친환경 물류시장을 선도하는 미래 신성장동력을 발굴한다는 방침이다. GS리테일 대표이사 허연수 부회장은 “그 어느 때보다 빠르게 변화하는 유통환경과 산업구조 속에서 국내 다양한 산업의 혁신을 리딩해 온 KT와 함께 국내 디지털물류 혁신과 고도화를 이끌어 내기 위한 첫 걸음을 떼고자 한다”며 “양사가 지닌 역량과 인프라, 기술력을 바탕으로 상호 협력적인 관계를 유지 발전시키며 차별화된 신 성장사업 개발과 더불어 새로운 비즈니스 기회 발굴의 초석이 되길 희망한다”고 했다.김지원 기자 deepdeep@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
3,GS리테일·GS홈쇼핑 “합병”…초대형 온·오프 통합 유통기업 탄생,2020.11.10,"자산 9조…2025년 매출 25조 목표 편의점 GS25를 운영하는 GS리테일과 온라인쇼핑몰 GS샵을 운영하는 GS홈쇼핑이 합병해 자산 9조원 규모의 대형 온·오프 통합 유통기업이 탄생한다.GS리테일과 GS홈쇼핑은 10일 각각 열린 이사회에서 합병을 결의했다고 밝혔다. 합병 후 존속법인은 GS리테일이며, 당국의 기업결합 심사와 양사의 주주총회 등 제반 절차를 거쳐 내년 7월까지 합병을 마무리할 계획이다.양사는 오프라인 유통에 강점을 갖고 있는 GS리테일과 온라인 모바일 커머스에 강점이 있는 GS홈쇼핑의 결합을 통해 국내외 유통시장에서 벌어지고 있는 치열한 생존 경쟁에서 우위를 확보하기 위한 선제적 조치라고 설명했다.합병이 성사되면 자산 9조원, 연간 취급액(매출액) 15조원, 하루 거래 600만건에 달하는 온·오프라인 겸업 유통기업이 탄생한다. GS리테일의 1만5000여개 GS25 편의점과 GS더프레시 슈퍼마켓 320여개, 그랜드 인터컨티넨탈 등 호텔 6개 등의 오프라인 점포망과 GS홈쇼핑의 시청자, 모바일 앱 이용자 등이 시너지 효과를 낸다면 유통업계 지형에 큰 변동이 있을 가능성이 있다.통합법인은 온·오프라인 채널을 통합하고 물류와 배송 시스템을 종합 풀필먼트(물품 보관에서 포장, 배송, 재고 관리를 모두 하는 통합 물류 관리시스템) 사업으로 발전시킬 방침이다. 이를 통해 2025년에 매출액 25조원을 달성한다는 것이 목표다.김지원 기자 deepdeep@kyunghyang.com▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
4,"GS리테일, GS홈쇼핑 합병...자산9조 온·오프 통합 커머스 탄생",2020.11.10," 오프라인 유통 강자인 GS리테일과 온라인 분야의 GS홈쇼핑의 합병으로 자산 9조 규모의 대형 온·오프 통합 유통 기업이 탄생한다.GS리테일은 10일 열린 GS리테일, GS홈쇼핑 양사의 이사회 결과 합병 안건을 만장일치로 통과시켰다고 밝혔다. 합병 후 존속법인은 GS리테일이며, GS홈쇼핑 주식 1주 당 GS리테일의 신주 4.22주가 배정된다. 당국의 기업결합 심사와 이듬해 5월쯤 개최될 예정인 양사의 주주총회 등 제반 절차를 거쳐 내년 7월까지 합병을 마무리할 계획이다.GS리테일 측은 이번 합병 결정에 대해 오프라인 유통에 강점을 지닌 GS리테일과 온라인 모바일 커머스에 강점을 지닌 GS홈쇼핑의 결합을 통해 국내외 유통시장에서 벌어지고 있는 치열한 생존 경쟁에서 우위를 확보하기 위한 선제적 조치라고 설명했다.이번 합병이 성사되면 자산 9조원, 연간 취급액 15조원, 하루 거래 600만건에 달하는 온·오프라인 겸업 단일 유통기업이 탄생한다. 현재 국내 유통업계의 자산 규모는 롯데쇼핑이 33조원이 선두를 달리고 있고, 연간 매출액은 이마트가 약 19조원으로 선두를 달리고 있는 상황이다. GS리테일의 1만5000곳에 달하는 오프라인 점포망과 GS홈쇼핑의 시청자, 모바일 앱 이용자 등의 시너지 효과를 고려하면 수년 내 유통업계 지형에 큰 변동이 있을 가능성이 있다.이번 합병을 통해 양사가 정체기를 극복할 수 있을지 주목된다. GS리테일은 전국 1만5000여개 GS25 편의점을 비롯해 슈퍼마켓(GS더프레시 320여개), 호텔(그랜드 인터컨티넨탈 등 6개) 등을 보유하고 있다. 적극적인 개점 확대를 통해 최근 5년사이 평균 10%의 고성장을 이뤘지만, 점포수 정체와 경쟁격화, 비대면 소비 확산 등에 따라 온라인 커머스를 중심으로 한 새로운 성장의 돌파구 찾기에 고심하고 있었다. 한편 GS홈쇼핑은 TV시청인구의 감소에 따라 일찌감치 모바일 커머스로의 사업 전환을 성공적으로 수행해왔지만, 대규모 외국계 자본과 오프라인 기반을 갖춘 대형 사업자들이 온라인 커머스 시장에 속속 뛰어들며 경쟁이 심화되자 대응책과 신성장 동력 찾기에 집중하고 있었다.이번 합병으로 새로 탄생하는 GS리테일은 GS홈쇼핑의 온라인 커머스 역량을 통해 편의점과 슈퍼마켓 등 오프라인 유통 채널의 디지털 전환을 가속화하고, GS리테일이 보유한 물류 인프라 및 점포망을 통해 온라인 커머스 시장에서의 경쟁 우위를 지닐 수 있다.GS리테일에 따르면 GS리테일과 GS홈쇼핑은 연초부터 두 회사의 고위 임원이 참여하는 GS유통협의체를 정기적으로 운영하면서 신중하게 합병을 준비해왔다. 시범적으로 GS25 점포 판매 와인을 GS홈쇼핑 모바일앱을 통해 주문을 받거나, GS리테일 콜드체인망을 활용해 GS홈쇼핑의 식품류를 당일 배송하기도 했다.GS리테일은 통합 전략의 실행을 통해 2025년 기준 취급액 25조원을 달성한다는 목표를 세웠다. 올해 기준 연간 취급액 예상치인 15조원에서 연 평균 10% 이상 성장하겠다는 그림이다. 특히 모바일을 중심으로 한 채널 통합에 집중해 현 2조8000억원 규모인 모바일 커머스 채널의 취급액을 7조원까지 끌어올린다는 계획이다.GS리테일 허연수 부회장은 “두 회사는 밸류 넘버원이라는 GS의 가치를 공유하면서 온라인과 오프라인 유통시장에서 경쟁력을 키워왔다”며 “어느 때 보다 경영환경이 불확실하고 치열한 경쟁이 예상되는 시기, 두 회사의 사업역량을 한데 모아 더 큰 고객 가치를 만드는 일에 함께 매진할 것”이라고 포부를 밝혔다. GS홈쇼핑 김호성 사장은 “GS홈쇼핑은 창립 이후 25년간 TV홈쇼핑 시장의 개척, 멀티미디어 쇼핑 대중화, 모바일 커머스로의 전환, 디지털 역량 강화 등 변신을 거듭해 왔다”며 “변화를 받아들이고 혁신을 지속하는 GS홈쇼핑 임직원의 DNA가 더 큰 터전 위에서 크게 뻗어갈 것”이라고 했다.김지원 기자 deepdeep@kyunghyang.com▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
5,편의점·온라인몰 활황…GS리테일 최대 실적,2020.04.27,"ㆍ1분기 영업익 전년보다 315% 급증GS리테일이 코로나19 여파에도 불구하고 편의점과 온라인몰의 활황으로 역대 1분기 기준 최대 실적을 거뒀다.GS리테일은 올 1분기에 매출 2조1419억원, 영업이익 888억원, 당기순이익 494억원을 기록했다고 27일 공시했다. 매출과 영업이익은 전년 같은 기간 대비 각각 2.8%, 314.7% 늘어난 것으로 둘 모두 역대 1분기 기준 최대 실적이다.1분기 실적을 견인한 것은 편의점 사업이다. GS리테일이 운영하는 편의점 GS25의 사업 매출은 1분기 1조6028억원, 영업이익은 406억원으로 전년 동기 대비 각각 2.9%, 51.3% 신장했다. GS리테일의 슈퍼마켓 브랜드 GS더프레시는 지난해 저효율 점포 25곳 정리 등 효율화 과정을 통해 이번 1분기 흑자전환에 성공했다. GS더프레시는 1분기 매출 3451억원, 영업이익 164억원을 기록했다. 또한 코로나19로 배달 수요가 늘면서 온라인 장보기몰 GS프레시의 1분기 매출이 전년 동기 대비 98.7% 신장한 397억원을 기록했다.김지원 기자 deepdeep@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
6,"'제일기획,GS리테일,더페이스샵' 동반성장지수 최우수 등급...""코로나19 지원 노력 반영""",2020.09.08," 대기업의 상생 노력 등을 평가하는 동반성장지수 평가 결과 최초로 가맹업계, 광고업계 등에서도 동반성장지수 ‘최우수’ 등급이 등장했다. 삼성전자는 9년 연속 최우수 등급을 받았고, SK텔레콤과 SK종합화학도 8년 연속 최우수 등급 성적표를 받아들었다. 동반성장위원회(동반위)는 2019년도 동반성장지수 평가 결과 공표 대상 기업 200곳 가운데 ‘최우수’ 등급을 받은 기업이 35곳, 우수 61곳, 양호 67곳, 보통 23곳 및 미흡 7곳(공표유예 7곳 제외)으로 나타났다고 8일 밝혔다.동반성장지수는 통상 매년 상반기내(6월말)에 공표되지만 이번 평가 결과는 코로나19 확산으로 인해 지수 산정·공표에 필요한 절차 수행이 어려워짐에 따라 9월로 연기하게 됐다. 이번 동반성장지수 평가는 지난 2018년 12월 진행된 53차 동반위 논의 결과 업종별 대기업 실적평가제 도입, 체감도 조사 효율화 등 평가 기준 조정을 통해 ‘동반성장종합평가’ 체제로 개편 후 진행된 첫 평가다. 구체적으로는 기존엔 계약의 공정성 및 법준수 노력, 상생협력 지원 등이 주요 평가 항목이었지만, 이번에 종합평가 체제로 바뀌면서 협력사 체감도 조사가 주요 평가 항목으로 올라섰다(100점 만점에 80점). 동반위의 체감도 조사는 대기업의 1차 및 2차 협력사 명단과 동반위가 자체 발굴한 협력사 정보를 토대로 총 1만1315곳 중소 협력사를 대상으로 온라인, 우편, 방문 설문조사로 진행됐다. 나머지 20점은 대기업이 제출한 실적에 대한 ‘실적평가’로 채워졌다.최우수 등급을 받은 기업은 기아자동차, 네이버, 농심, 대림산업, 대상, 더페이스샵, 삼성디스플레이, 삼성물산(건설부문), 삼성전자, 삼성SDS, 세메스, 유한킴벌리, 제일기획, 포스코, 풀무원식품, 현대건설, 현대모비스, 현대엔지니어링, 현대자동차, 현대트랜시스, CJ제일제당, GS리테일, KT, LG디스플레이, LG생활건강, LG유플러스, LG이노텍, LG전자, LG화학, LG CNS, SK건설, SK종합화학, SK주식회사, SK텔레콤, SK하이닉스(가나다순) 등 총 35곳이다.가맹업종인 더페이스샵, GS리테일과 광고업종인 제일기획은 각 업계서 ‘최우수’ 등급을 받은 첫 사례가 됐다. 동반위는 “지난 동반성장 종합평가 평가체계 개편 시 업종 별 특성을 반영한 세부 지표 설정 등을 통해 업종 별 평가체계의 유불리를 해소했다”며 “그 결과 과거 제조업, 건설, 식품, 정보통신 업종에 집중돼있던 ‘최우수’ 기업이 가맹업종 및 광고업종에서 최초로 등장했다”고 설명했다. 2011년도 동반성장지수 평가에 착수한 이후, 연속 최우수 등급을 받아온 기업(최우수명예기업)으로는 삼성전자(9년), SK종합화학, SK텔레콤(이상 8년), 기아자동차(7년), 현대트랜시스, KT, LG디스플레이, LG생활건강, SK주식회사(이상 6년), 유한킴벌리, CJ제일제당, LG화학(이상 5년) 등이 있다.한편 동반위는 올해 코로나19 확산으로 재난 상태가 발생함에 따라 위기상황에서의 대기업의 적극적 상생 노력을 위해 동반성장 지수에 ‘코로나19’ 지원 실적을 평가하기로 결정해 금년도 평가에도 코로나19 관련 협력사 지원 실적을 소급 반영했다. 또한 향후 동반위는 2020년도 동반성장지수 평가에도 코로나19 사태 조기극복을 위해 대기업에서 미거래 중소기업 및 지역사회에 수행한 기여를 평가에 반영할 예정이다.김지원 기자 deepdeep@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
7,"GS25, 채식주의자를 위한 ‘비건 떡볶이’ 출시 [포토뉴스]",2020.12.28," GS리테일이 운영하는 편의점 GS25의 모델이 28일 출시된 ‘비건’(동물성 식품을 섭취하지 않는 엄격한 채식) 간편식 떡볶이 2종을 소개하고 있다.GS25 제공▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
8,GS-수해지역 피해 복구·코로나 예방 위한 성금 쾌척,2020.11.26," GS그룹(회장 허태수)은 지난 8월 장기간 이어진 집중호우로 피해를 본 지역에 복구 지원을 위한 성금 10억원을 사회복지공동모금회에 기탁했다.허태수 회장은 “피해 지역 주민들의 아픔을 위로하며 어려움을 겪고 있는 분들에게 작은 도움이 되었으면 한다”면서 “앞으로도 GS는 재난 취약계층과 피해를 본 분들의 복구 지원을 위해 최선을 다하겠다”고 말했다. GS는 이번 수해 복구 지원 기탁과는 별도로 계열사별로 수해 극복을 위해 적극 나서고 있다.GS칼텍스는 지난 23일 재난·재해 발생으로 대피생활을 하는 이재민들의 사생활 보호와 심리적 안정을 위한 대피소 내 분리형 칸막이와 침낭, 마스크, 수면안대 등 1억원 상당의 구호물품을 전국재해구호협회에 전달했다.GS칼텍스는 3월10일 코로나19 예방과 피해 복구를 위해 2억원의 성금을 전국재해구호협회에 전달했다. 지난 2월 GS그룹 성금 10억원에 이은 별도 지원이다.이번 성금은 피해가 심각한 대구·경북지역을 중심으로 집중 지원될 예정이다. GS칼텍스 임원진이 자발적으로 코로나19 확산으로 인한 어려움에 함께 대처해나가자는 취지로 모금해 그 의미를 더했다. 기부된 성금은 자가격리 대상자와 의료진을 위한 지원에 사용된다.GS리테일은 7월27일 부산 동구 소재의 한 아파트에 생수 1000여개를 지원한 것을 비롯해 8월3일 큰비로 피해를 입은 충북 단양군 주민에게 즉석밥, 라면, 생수 등 500인분 규모의 식료품을 지원했다.▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
9,‘홈술’ 즐기는 2030 취향 맞춘 편의점 판매 전략 통했다,2020.12.13,"전통주도 맥주도 소주도 과일향 첨가 술 소비 급증 왜 서울 광진구에 사는 박모씨(32)는 요즘 편의점에서 술을 사는 일이 늘었다. 코로나19 확산으로 술자리가 없어지니 술 생각이 날 땐 퇴근길에 편의점에서 ‘만원에 네 캔’ 맥주를 사와 ‘홈술’을 한다. 그가 고르는 네 캔에는 과일향이 나는 저도수의 맥주들이 섞여 있다. 박씨는 “편의점에 과일향 맥주가 많아져서 다양하게 골라 먹는 재미가 있다”고 말했다. 최근 도시 주택가 편의점에선 과일향이 첨가된 술이 대세를 이루고 있다. 코로나19 확산에 따라 술집에 가지 못하는 20·30대가 편의점에 몰리면서 이들이 선호하는 과일주들이 주류 코너를 차지한 것이다.세대별 판매비율을 보면 20·30대의 과일주 선호도가 40대 이상과 확연한 차이를 보인다. 13일 편의점 GS25를 운영하는 GS리테일에 의뢰해 올해 9~11월 많이 팔린 10가지 맥주 중 과일이 첨가된 3종(1664블랑캔, 호가든캔, 써머스비캔)의 비중을 세대별로 알아보니 20대 33.2%, 30대 30.8%로 높았다. ‘만원에 네 캔’을 고를 때 이 맥주들을 넣어 구성하는 경우가 많았다는 뜻이다.반면 40대에서는 과일향 맥주 구매 비율이 19.1%, 50대 이상은 14.4%에 그쳤다. 지난해 일본과의 무역 전쟁으로 일본산 맥주가 빠지고, 올해 주세법 개정으로 다양하게 과일향이 첨가된 수제맥주가 쏟아져 나온 점도 과일향 맥주가 많아진 배경이 됐다.소주에서도 20·30대가 과일소주의 든든한 지원군이었다.    20대는 판매 상위 10개 소주 중 복숭아소다캔, 좋은데이깔라만시, 자몽에이슬 등 과일소주 3가지를 15.1%의 비율로 구입했다. 30대는 6%다. 40대와 50대 이상에서는 각각 1.1%와 0.9%로 거의 선택받지 못했다. 이렇다보니 GS25가 올해 새로 선보인 술도 과일주가 대부분이다. 지난 4월 레몬과 오렌지 향이 나는 홉을 사용한 남산 맥주, 여름엔 수박착즙액이 들어간 술박시즌2를 내놔 인기를 끌었다. 전통주 살리기 프로젝트 일환으로 지난달 26일 내놓은 머루 발효 와인 밤빛머루는 전통주 중 매출 3위를 기록해 백세주를 앞섰다.한구종 GS리테일 주류 담당 MD는 “20·30대는 술을 취하도록 마시기보다 저도수의 맛있는 술을 찾는 경향이 있다”며 “1인 가족 중심의 홈술 문화가 지속되면서 과일맛을 콘셉트로 한 주류 소비가 계속 늘 것으로 예상한다”고 말했다.조미덥 기자 zorro@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
