,title,date,content
0,코스피 사상 최고치로 2020년 마감…삼성전자 ‘8만전자’ 진입,2020.12.30," 올 한해를 뜨겁게 달려온 코스피가 사상 최고가로 2020년을 마무리했다.30일 유가증권시장에서 코스피는 전 거래일보다 52.96포인트(1.88%) 오른 2873.47로 마감했다. 코스피는 이날까지 4일 연속 최고치 기록을 경신하는 랠리를 펼치면서 한 해를 마쳤다. 외국인은 2490억원, 기관은 1천967억원을 순매수했고, 개인은 5118억원을 순매도했다.외국인은 오후 들어 전기·전자, 서비스 업종을 집중적으로 매수하면서 지수 상승을 이끌었다. 삼성전자(3.45%), SK하이닉스(2.16%), NAVER(3.36%), 삼성SDI(4.49%) 등 시가총액 상위 대형주들이 크게 올라 이날 강세를 주도했다.삼성전자는 첫 8만원대 종가를 기록하며 코스피 상승을 주도했다. 이날 유가증권시장에서 삼성전자는 전 거래일보다 2700원(3.45%) 오른 8만1000원에 거래를 마쳤다. 지난 28일 처음으로 장중 8만원을 터치한데 이어 종가로도 처음으로 8만원을 넘어섰다. 기관이 978억원을 순매수하며 주가 상승을 이끌었고, 개인과 외국인은 각각 965억원, 234억원을 순매도했다. 반도체 업황 개선에 대한 기대감이 높고, 특별 배당이 이뤄질 것이란 전망에 삼성전자 주가는 최근 상승세를 이어왔다.서울 외환시장에서 원/달러 환율은 전날 종가보다 5.8원 내린 달러당 1086.3원에 거래를 마쳤다.이윤주 기자 runyj@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
1,수원에 '반려동물 입양센터' 문 열어 [경기도],2020.12.15," 경기도는 유기동물 입양 문화 확산을 위해 수원시 팔달구 인계동에 ‘반려동물 입양센터’를 개소, 운영을 시작했다고 15일 밝혔다.반려동물 입양센터는 인계동 청진빌딩 2·3층에 자리를 잡았으며, 최대 10마리를 함께 수용할 수 있는 동물보호실, 반려견 놀이터, 로비, 미용·목욕실, 반려동물 문화 교육실, 회의실 등의 시설을 갖추고 있다.센터는 무료 분양 등 유기동물 입양률 확산을 위한 기능을 하며, 동물 생명 존중 교육 등 반려동물 문화 정착을 위한 다양한 문화교육 프로그램도 운영한다.유기견의 훈련과 입양을 담당한 화성 마도면 도우미견나눔센터와 협력해 3주간 행동교육을 받은 유기견 등 건강검진, 중성화 수술, 예방접종, 반려동물 등록 내장협칩 시술 등을 마친 건강한 개체를 분양한다.또 전문가 초청 교육, 반려동물 예절 교육, 중학생 이상 자원봉사자 및 진로 탐색 활동 등 문화·교육 프로그램을 운영한다.운영시간은 화∼일요일 오전 10시부터 오후 5시까지다. 월요일과 공휴일은 휴무다.입양을 희망하는 주민은 센터를 직접 방문하거나 네이버 카페(cafe.naver.com/ggpetadoptioncenter)를 통해 입양신청서를 작성해 제출하면 된다.이은경 경기도 동물보호과장은 “1인 가구, 고령화 등으로 반려동물 가구가 늘면서 유기동물 수도 매년 증가하는 상황”이라며 “반려동물 입양센터가 적극적인 입양을 통해 유기동물 안락사를 최소화하고 올바른 반려동물 문화를 정착시키는 거점 역할을 할 것으로 기대한다”고 말했다.경태영 기자 kyeong@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
2,제네시스 ‘GV70’ 4900만~7500만원,2020.12.08," 제네시스가 중형 스포츠유틸리티차량(SUV) ‘GV70’를 8일 공개했다. 제네시스는 이날 ‘GV70의 여행기(GV70: A Travelogue)’라는 제목의 런칭 동영상을 유튜브(https://youtu.be/5VXQImvCxVA)와 네이버TV(https://tv.naver.com/l/62931) 등을 통해 글로벌 시장에 중계했다. GV70는 고속도로 및 자동차 전용도로에서 주행과 차로변경을 도와주는 고속도로 주행 보조, 지문 인증 카페이, 후석 승객 알림, 에어컨 냄새 발생을 억제하는 애프터 블로우 기술이 적용됐다.GV70 측면. 제네시스 제공제네시스는 GV70를 가솔린 2.5 터보, 가솔린 3.5 터보, 디젤 2.2 등 3개 엔진 라인업으로 운영키로 했다. 모든 모델에는 전자식 차동제한장치(e-LSD), 스포츠 전용 휠 등이 포함된 스포츠 패키지가 적용된다.가솔린 2.5 터보 모델은 최고출력 304마력, 최대토크 43.0㎏·m를 내며 복합연비는 10.7㎞/ℓ(두 바퀴 굴림, 18인치 타이어 기준)다. 디젤 2.2 모델은 최고출력 210마력, 최대토크는 45.0㎏·m가 나온다. 복합연비는 13.6㎞/ℓ다. 가솔린 2.5 터보와 3.5 터보 엔진은 연소실 직접분사와 흡기포트 분사를 사용하는 듀얼 퓨얼 인젝션 시스템을 적용했으며, 수냉식 인터쿨러를 적용해 가속 응답성을 개선했다.GV70 후측면. 제네시스 제공제네시스는 GV70에 엔진 토크와 휠 스핀을 최적의 상태로 제어해 출발 가속을 극대화하는 런치 컨트롤을 기본 적용했다. 가솔린 3.5 터보 모델은 정지 상태에서 시속 100㎞ 도달 시간이 5.1초에 불과하다.잠정 판매 가격은 4900만~7500만원(개별소비세 5.0% 기준)이 될 예정이다. 최종 확정 판매가격과 계약 개시일은 추후 공개키로 했다.김준 선임기자 jun@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
3,e-경향신문 새롭게 선보입니다,2020.12.01,"디지털 지면보기 서비스 업그레이드 경향신문 디지털 지면보기 서비스인 ‘경향뉴스진’이 ‘e-경향신문’으로 새롭게 선보입니다. ‘e-경향신문’은 종이로 발행되는 경향신문·스포츠경향·주간경향을 스마트폰과 태블릿 및 PC에서 종이 느낌 그대로 볼 수 있도록 모아둔 지면보기 서비스입니다. 이번 개편으로 읽을거리는 다양해지고, 사용은 더욱 편리해집니다.  [e-경향신문 구독이벤트] 장도리 굿즈 받으러 가기  http://naver.me/GEqoKD2g  1. 기사를 편리하고 다양하게 볼 수 있습니다이번 개편을 통해 지면 뷰어(Viewer) 기능을 향상시켰습니다. 지면 전체를 확대, 축소해 기사를 읽는 기존 방식은 한층 정교하고 편리하게 바뀌었습니다. 원하는 기사를 선택해 기사단위로 최대 5배까지 확대해 편하게 읽을 수 있습니다. 안드로이드 태블릿에서는 기존에 한 면씩 볼 수 있던 신문 지면을 두 면씩 볼 수 있어 종이 신문을 읽는 듯한 느낌을 받을 수 있습니다. 원하는 기사는 터치 한 번으로 스크랩할 수 있습니다. 신문의 목차보기 기능과 각 면을 한꺼번에 스크린할 수 있는 모아보기도 가능합니다. 2. 최신 뉴스 제공과 SNS 기사 공유도 간편하게원하는 기사를 종이 지면 이미지 형태로 페이스북, 트위터, 인스타그램, 카카오톡 등 사회관계망서비스(SNS)에 공유할 수 있습니다. 기사 이미지를 저장할 수 있고, e메일이나 구글 드라이브 등에서도 활용할 수 있습니다. 메인 화면 상단뿐 아니라 하단 메뉴바에 최신 뉴스를 추가해 실시간 최신 뉴스를 편리하게 읽을 수 있습니다. 최신 뉴스도 한번에 60개씩 제공됩니다. 또한 경향신문 창간호부터 1999년까지 과거 기사도 ‘e-경향신문’을 통해 모바일에서 확인할 수 있습니다.3. 종이 신문 구독자는 무료앱스토어에서 경향신문으로 검색한 뒤 ‘e-경향신문’ 앱을 다운로드 받으면 간편하게 사용할 수 있습니다. ‘e-경향신문’ 1개월 구독료는 1만3000원입니다. 한번의 결제로 스마트폰, 태블릿, PC 구분 없이 이용할 수 있는 N스크린 서비스를 이용하면 편리합니다. 기존 경향신문, 주간경향, 스포츠경향 구독자는 경향신문 웹회원 가입 후 구독자 인증 절차를 거치면 무료로 ‘e-경향신문’을 이용할 수 있습니다.장도리·냥도리 그려진 휴대폰 액세서리를 드립니다‘e-경향신문’ 서비스 개편 기념으로 유료 정기구독 독자와 앱 다운로드 이용자를 대상으로 장도리와 냥도리가 그려진 휴대폰 그립톡과 폰스트랩을 드리는 이벤트를 2020년 12월부터 두 달 동안 진행합니다. 장도리와 냥도리는 경향신문의 만평 속 캐릭터로 독자들의 많은 사랑을 받고 있습니다. 자세한 내용은 경향신문 홈페이지(www.khan.co.kr)를 참조하시면 됩니다.새롭게 선보이는 ‘e-경향신문’에 많은 관심과 이용 부탁드립니다.▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
4,Idols Clad in IT Are Born Again as Avatars,2020.11.13," the avatars of the idol band, Blackpink. Courtesy of Naver Z and SM Entertainment As the untact trend spreads, information and communications companies are actively combining their “reality” technology, such as augmented reality (AR) and virtual reality (VR), with the entertainment industry. Popular idol bands are reborn as avatars, and the synergy between the industries is moving beyond time and space to create new opportunities for profits.Naver Z, which operates Jepeto, an AR avatar service, announced on November 10 that it obtained investments of 5 billion won from JYP Entertainment, a major entertainment agency in South Korea. Naver Z plans to create content using the global intellectual property (IP) owned by JYP with the latest investment. Last month, a teaser was released showing a dance performance by a 3D avatar of the JYP idol band, Twice developed by Jepeto. The teaser drew 1.7 million views in just a week after its release.Earlier, Naver Z also attracted investments of 1.2 billion won from Big Hit and YG Entertainment. Last month, Blackpink, an idol band produced by YG, met with fans and signed autographs in virtual reality through Jepeto, and over 46 million users took part. SM Entertainment recently released a new band, aespa, where real human members coexist with their avatars.The idol stars represented by the avatars are drawing attention as new content in an untact age, for they can communicate with the public without being restricted by time and space. Since COVID-19 has made it difficult to hold in-person performances, entertainment agencies can develop content using avatars that replicate the identity of the stars and continue their activities, and IT companies can expand their user base and create profits.In particular, the avatars that look exactly like the idol members are drawing the attention of Generation Z (born in 1995-2000) in South Korea and the world, and they are expected to further stimulate the consumption of virtual characters. Statista, a market research firm expects the VR market to grow from US$1.8 billion (approx. 2 trillion won) in 2016 to $5.1 billion (approx. 5.8 trillion won) by 2023.The communications and game industries are also competing to secure virtual reality content, such as avatars. Last month, SK Telecom released Virtual Meetup, a social communications service where up to 100 avatars can simultaneously log into a virtual space and take part in various gatherings, such as conferences, performances and exhibitions.SK Telecom recently expanded and relocated its Jump Studio, which produces virtual reality content. The company plans to provide hyper-reality content using AR and VR tailored to various fields, such as entertainment, performances and exhibitions. SK Telecom explained that due to COVID-19, the importance of untact services has grown in all industries, and that they are getting more inquiries on production from companies that need new visual content.NCSoft plans to release Universe, a K-Pop fandom platform, early next year and launch its entertainment business. Businesses believe that game companies, which have developed their capacity to create hyper-reality images with their game content, will actively seek out new business areas using the intellectual property of entertainment agencies.An information and communications industry insider said, “There is a possibility for endless growth, since the hyper-reality technology developed by the IT industry has gained new vitality with its encounter with stars in virtual reality.” However, he added, “Since there are concerns of commercializing sex and inadequate manipulation of content, businesses should also work to set up preventive measures.”▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
5,"서대문구, 주민 발길 끊긴 지하도로를 '주민생활문화센터'로 [서울25]",2020.10.26," 횡단보도 신설, 버스중앙차로 조성 등으로 이용자가 없어 기능을 잃은 지하보도가 주민 생활 문화센터로 거듭났다.서대문구는 천연충현 도시재생 사업의 일환으로 독립문사거리 앞 교남지하보도를 리모델링해 ‘천연어울림 생활문화센터’로 조성, 내달 2일 개관한다고 26일 밝혔다.이 지하보도는 1993년 설치됐지만 인근에 횡단보도가 생기고, 버스중앙차로가 조성되면서 이용자 수가 줄어들어 현재는 사실상 보행통로 기능을 상실한 채 있었다.주민들의 발길이 줄어든 지하보도에 새로운 기능을 불어넣어 주민들의 다른 목적으로 발길이 닿도록 하는 ‘도시재생’을 한 것이다.약 373.8㎡ 면적(지하보행로 138.9㎡·계단 234.9㎡)의 지하통로는 이제 주민 커뮤니티 카페, 공연창작실, 다목적실을 갖춘 문화센터로 변모했다.센터 운영시간은 화~금 오전 10시~오후 5시까지며, 대관신청은 인터넷 블로그(https://blog.naver.com/livingnculture)나 서울시 공공서비스예약 사이트(https://yeyak.seoul.go.kr)에서 가능하다. 문석진 서대문구청장은 “천연어울림 생활문화센터가 다양한 프로그램 운영과 동아리 활동 지원 등을 통해 인근 주민뿐 아니라 주변 많은 학생들의 문화예술활동 수요를 충족시켜 줄 것으로 기대한다”고 말했다.류인하 기자 acha@kyunghyang.com▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
6,철공소 골목에서 예술을 경험하다…'을지판타지아展' 16일부터 개최 [공연·전시],2020.10.13," 철공소가 즐비한 을지로 산림동에 예술이 결합한 축제의 장이 열린다.중구는 오는 16일부터 11월 14일까지 을지로4가 산림동 일대에 ‘을지판타지아展’을 연다고 13일 밝혔다.중구문화재단이 마련한 ‘을지판타지아展’은 도심 산업 현장과 예술이 만나는 플랫폼으로서의 ‘2020년 을지로’를 조명한다. 산림동 일대는 여전히 크고 작은 철공소가 자리잡은 도심 산업의 최전선이만 이번 전시기간동안 이곳을 찾는 시민들은 좁은 골목 사이를 거닐며 우연히 마주치는 다양한 예술작품을 감상할 수 있다.을지로 도심의 문화와 풍경을 재해석해 건물의 외벽을 14점의 회화작품으로 둘러싼 ‘을지산수’는 산림동 일대 곳곳에서 관람이 가능하다. 특히 을지예술센터 4층 옥상이 전시감상 명소다. ‘이번 전시의 백미는 ‘을지 판타지아 : daydream’으로 오는 17~18일 밤에만 열린다. 조명과 공구산업이라는 전통적인 을지로의 이미지를 빛과 소리로 표현한 멀티미디어아트 전시로, 17일에는 을지로를 콘셉트로 하는 밴드공연 및 디제잉 퍼포먼스를 실시간 라이브 스크러닝을 통해 접할 수 있다.전시 현장 관람은 선착순 사전 예약제로 접수받으며, 희망하는 관람일자와 회차를 선택하면 된다. 회당 관람인원은 70명으로 제한된다. 네이버 ‘을지판타지아’를 검색해 예약하거나, 주소 https://booking.naver.com/booking/12/bizes/417687/items/3603222 로 접속해 예약 가능하다. 매일 저녁 7시에는 을지로 4가 일대 지역과 전시에 대한 이해를 돕는 무료 도슨트 투어 프로그램도 진행한다. 서양호 중구청장은 “을지로의 다양한 매력을 양분으로 성장하는 새로운 감각의 예술을 제대로 느낄 수 있도록 준비한 이번 전시에서 ‘오래된 미래, 을지로’의 특별한 풍경과 분위기를 경험해보길 바란다”고 말했다.류인하 기자 acha@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
7,"한국한의약진흥원, 제1회 한의약 홍보 공모전 ‘후끈’",2020.10.09," “한의약 인식개선과 변화·발전하는 한의약 산업에 관한 참신한 아이디어를 모집합니다.”한국한의약진흥원(원장 이응세·한의학 박사)이 국민건강과 국가경제 발전에 기여하는 현대 한의약 산업을 널리 알리기 위해 전 국민을 대상으로 제1회 한의약 홍보 콘텐츠 공모전을 개최한다.한의약진흥원은 한의약의 표준화, 과학화, 세계화를 통해 미래가치를 창출하고 있는 보건복지부 산하기관이다. 표준화, 과학화, 현대화를 통해 변화 발전하는 한의약 산업을 창의적으로 홍보함으로써 한의약 산업에 대한 국민 인식을 개선하고 한의약 소비 촉진 및 국민 공감대를 확산하기 위해 이번 공모전을 열었다고 주최 측은 밝혔다.개인 및 팀(3인 이하)) 참여 가능하며, 모집 분야는 영상, 만화, 포스터, 캐릭터 4개 부문이다. 응모 주제는 ‘한의약 인식개선 및 변화·발전하는 한의약(산업)에 관한 대국민 홍보’이며 세부 주제와 응모 서류는 공모전 홈페이지(nikomcontest.com)에서 확인할 수 있다. 공모 기간은 9월 28일부터 10월 27일까지이다. 출품 규격 및 공모 절차 준수 여부, 평가 기준에 의해 내·외부 전문 심사위원 5인이 작품 심사를 진행한다.시상은 보건복지부 장관상(300만원) 1작품, 한국한의약진흥원 원장상(200만원) 2작품, 장려상(50만원) 4작품으로 구성된다. 최종 수상자 명단은 11월 4일 한의햑진흥원 공식 SNS 채널을 통해 확인할 수 있다. 공모전 홈페이지(nikomcontest.com)에서 지원서를 내려받아 이메일(nikom2019@naver.com)로 접수하면 된다.박효순 기자 anytoc@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
8,‘코로나19 추석’ 집안에서 숲을 즐긴다,2020.10.01," 코로나19 사태로 추석 분위기가 무겁다. 많은 국민이 코로나19의 확산을 막기 위해 귀성과 여행을 자제하고 있다. 답답한 집에만 머무르게 되면서 자연을 호흡할 수 있는 기회조차 마련하지 못하고 있다.이런 상황에서 온 가족이 집안에 둘러앉아 영상을 통해 숲을 체험할 수 있는 프로그램이 제공되고 있어 관심을 끌고 있다. 산림청 한국산림복지진흥원은 숲속 영상과 숲속에서 나는 자연의 소리를 접하면서 지친 심신을 치유할 수 있는 동영상을 제작, 일반에 공개하고 있다고 1일 밝혔다. 이 영상은 산림복지진흥원 블로그(https://blog.naver.com/k-fowi)의 ‘오감치유영상’ 코너로 들어가면 볼 수 있다.진흥원 산하 국립횡성숲체원은 비로 촉촉해진 여름 숲을 영상을 통해 체험할 수 있는 프로그램을 제공하고 있다. ‘숲을 듣다’라는 주제로 만들어진 이 영상의 제목은 ‘비 내리는 숲 ASMR(자율감각 쾌락 반응)’. 이 영상은 숲속의 빗소리에 귀를 기울이면서 휴식의 시간을 가질 수 있도록 구성됐다. 국립횡성숲체원이 제작한 ‘비가 내리는 숲 ASMR’ 영상의 초기화면. 한국산림복지문화원 블로그 캡처영상은 아주 정적이다. 카메라의 움직임은 최소화했다. 계곡물로 떨어지는 빗방울을 보여주는 동안에도 카메라는 계속 멈춰 있다. 이 모습을 보고 있노라면, 어느덧 숲속에 들어와 있는 착각이 든다. 카메라는 비에 젖은 나뭇잎이 흔들리는 장면도 별다른 설명 없이 조용히 보여준다. 비록 영상을 통해 숲에 들어가게 되지만, 치유의 시간을 갖기에 충분하다. 횡성숲체원 측은 “나뭇잎 위로 떨어지는 빗방울의 모습이나 비에 젖어있는 나뭇잎의 모습을 바라보면서 힐링의 시간을 가질 수 있도록 구성했다”고 설명했다.국립김천치유의숲은 녹음으로 우거진 숲속 영상과 함께 바람소리, 새소리, 물소리 등을 들으면서 지친 심신을 치유할 수 있도록 꾸민 ‘자작나무 숲 같이 걸어요’라는 영상을 공개하고 있다.비오는 날 횡성숲체원. 한국산림복지문화원 블로그 캡처이 영상을 클릭하면 수도산의 울창한 자작나무 숲의 ‘숲길’로 들어가게 된다. 영상에는 계곡에서 쏟아지는 물소리까지 삽입돼 있어 눈은 물론 귀까지 시원해지는 느낌을 얻을 수 있다. 드론을 이용해 촬영한 아름다운 자작나무 숲의 전경이 압권이다.     김천치유의숲 측은 “나중에 초록빛 숲을 가게 된다면 혹시 모를 조난을 방지하기 위해서라도 빨간색 옷을 입고 가는 것이 좋다”면서 “빨간색 옷은 초록빛 숲과 보색을 이루기 때문에 더 멋진 사진을 얻을 수도 있다”고 밝혔다.국립칠곡숲체원은 ‘1박 2일 언택트 여행 다녀왔어요’라는 제목의 영상을 통해 칠곡숲체원의 숲과 숲체험 프로그램을 만날 수 있도록 하고 있다. 이 숲체원은 또 코로나19로 심신이 지쳐 있는 사람들의 면역력 강화 프로그램을 소개하는 영상도 올려놓고 있다. 코로나19로 인해 집에서 생활하게 되면서 면역력이 약해진 사람에게 좋은 ‘햇빛명상’ 등의 프로그램이 소개된다.또 국립대운산치유의숲은 환경성질환을 치유하기 위해 마련하는 숲캠프의 모습을 영상으로 제작, 공개하고 있다. 황토 위를 맨발로 걷거나, 황토를 이용해 염색을 하는 등의 체험활동을 하면서 심신의 피로를 풀 수 있도록 영상을 구성했다.이 밖에 국립장성숲체원은 장성숲체원을 가상현실(VR)을 통해 체험할 수 있는 영상을 유튜브에 올려놓고 있다. 국립양평치유의 숲은 ‘숲속을 배달해 드립니다’라는 제목의 영상을 역시 유튜브에 올려 비대면 산림치유를 할 수 있도록 하고 있다.윤희일 선임기자  yhi@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
9,‘비대면’도 우리의 흥을 막을 수는 없지,2020.09.29,"랜선 너머 전해지는 국악과 춤증강현실로 둘러보는 창덕궁 코로나19 시대엔 추석 황금연휴라도 어쩔 수 없다. 지난 28일 재개관한 국립박물관 등을 직접 찾아도 좋지만 여의치 않다면 ‘비대면’의 방법도 모색할 수 있다. 국립중앙박물관을 비롯한 전국의 국립박물관은 코로나19로 문을 닫았던 박물관의 운영이 28일부터 재개됐다. 국립중앙박물관은 잠시 중단됐던 ‘새 보물 납시었네, 신국보보물전 2017~2019’ 특별전을 10월18일까지 2주 연장한다. 사상 최대 규모의 국보·보물(83건)이 출동한 ‘신국보보물전’은 전 회 매진될 정도로 절찬리에 열렸다가 지난 8월19일 코로나19 재유행으로 중단된 바 있다. 다만 1회 30분 간격, 회당 40명 등으로 관람을 제한하고 온라인 사전예매 방식으로만 운영된다.하지만 국립고궁박물관 등 문화재청 산하 실내 전시공간의 관람은 여전히 불허된다. 문화재청은 대신 비대면으로 문화유산을 즐길 수 있는 ‘비대면 문화유산 서비스’를 마련했다.이름하여 ‘집콕’하며 즐기는 문화유산 프로그램이다. 30일부터 10월4일까지 온라인으로 궁궐 특별공연을 개최한다. 고궁음악회는 10월1~2일 오후 7시30분부터 ‘집콕하며 즐기는 가을밤 달빛공연’이라는 이름의 온라인 공연으로 펼쳐진다. 대중음악과 민요의 경계를 허문 ‘이희문의 오방신과’(1일·오른쪽 사진)와, 국악기와 전통 음악인이 만나 신명나는 무대를 선보이는 ‘악단광칠’ ‘앰비규어스 댄스컴퍼니’(2일·왼쪽)가 출연한다. 10월3~4일 오후 7시에는 ‘덕수궁 풍류’의 특별공연(‘소리 판타지아-붉은 꽃’)이 실시간 온라인으로 펼쳐진다.덕수궁 석조전 앞에서 펼쳐지는 공연에는 동서양의 목소리를 대표하는 성악가 바리톤 양준모와 정가 하윤주, 소리꾼 정윤형이 출연한다.이들 공연은 네이버TV 한국문화의 집(https://tv.naver.com/kous1720)과 문화유산채널 유튜브(https://www.youtube.com/user/koreanheritage)에서 관람할 수 있다. 조선왕실 5대 궁궐 중 유일하게 유네스코 세계유산에 등재된 창덕궁을 살펴보고 싶다면 증강현실(AR) 애플리케이션인 ‘창덕 아리랑(AR-irang) 앳홈’을 실행하면 된다. 국립고궁박물관 누리집(gogung.go.kr)에서는 ‘신왕실도자, 조선왕실에서 사용한 도자기’ 특별전의 온라인 전시와 관련 특강을 제공하고 있다.이기환 선임기자 lkh@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
