,title,date,content
0,"삼성, 연말 이웃사랑 성금 500억원 기탁",2020.12.01,"이재용 부회장 제안 따라 ‘NGO 제휴 달력’ 30만개도 구입 삼성그룹이 올해 연말 이웃사랑 성금으로 사회복지공동모금회에 500억원을 기탁했다고 1일 밝혔다. 삼성은 사회 취약계층을 돕기 위해 사회복지공동모금회에 해마다 성금을 내왔다. 삼성이 1999년부터 올해까지 기탁한 성금은 총 6700억원에 달한다. 이번 이웃사랑 성금 기탁에는 삼성전자, 삼성디스플레이, 삼성SDI, 삼성전기, 삼성SDS, 삼성생명, 삼성화재, 삼성카드, 삼성증권, 삼성물산, 삼성엔지니어링, 제일기획, 에스원 등 13개 계열사가 참여했다.또 삼성은 국내외 비정부기관(NGO)의 청소년 교육과 아동보호 사업을 후원하기 위해 유니세프, JA코리아, 아이들과 미래재단, 초록우산 어린이재단, 푸른나무재단 등 NGO 9곳의 탁상달력 30만개를 구매해 임직원들에게 지급하기로 했다. 삼성은 NGO 사업을 금전적으로 후원하는 데 그치지 않고, 기업의 사회적 역할에 대한 임직원들의 인식을 함께 높여 나가자는 이재용 삼성전자 부회장의 제안에 따라 지난해부터 달력을 자체 제작하는 대신 NGO들과 제휴해 만든 달력을 구입하고 있다. 달력은 청소년 학습지원, 취약계층 어린이 지원, 학교폭력 예방·치료, 지구환경보호 등 청소년 교육과 아동보호 사업 NGO들과 함께 제작한 것이다.구교형 기자 wassup01@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
1,삼성화재-알기 쉬운 재물보험 ‘비즈앤안전파트너’,2020.11.19," 삼성화재는 재물보험 신상품 비즈앤안전파트너를 출시했다. 이 상품은 사업장을 운영하면서 발생할 수 있는 재산손해와 종업원 관련 위험 보장을 한번에 가입할 수 있는 상품이다. 고객이 기존에 어렵게 느꼈던 재물보험을 이해하기 쉽고, 사고 시에 충분한 보장도 받을 수 있도록 구성했다.비즈앤안전파트너는 고객이 실제로 운영하고 있는 사업장의 업종에 따라 보험료를 적용하는 것이 특징이다. 주변 업종이 바뀌어도 매번 계약을 변경할 필요 없이 합리적인 보험료 적용이 가능해 간편하다. 기존에는 통상 사업장 주변의 가장 위험한 업종으로 가입해야 했다. 이 경우 주변 업종이 변경될 때마다 보험사에 통보해야 하고, 이에 따라 보험료가 변경되는 경우도 있다.이 상품은 화재 사고로 손해가 발생하면 가입금액한도 내에서 실제 손해액을 보상하는 화재손해(실손) 특약을 운영한다. 가입한도는 최대 20억원으로 업계 최고 수준이다. 고객이 충분한 보상을 받을 수 있도록 기존 대비 2배 이상 한도를 확대했다.보험 사각지대에 있는 업종에 대한 배상책임 보장도 추가됐다. 의무적으로 가입해야 하는 노인요양시설과 요양보호사에 대한 배상책임이나 실내 어린이 놀이시설의 트램펄린, 에어바운스 관련 사고도 선택해 가입할 수 있다.또 최근 늘고 있는 음식 배달과 관련해 포장 미숙으로 배달 후 고객의 옷이나 가방 등의 소지품에 손해를 입히는 등 재물손해에 대한 배상책임까지 보장할 수 있도록 보상범위를 넓혔다. 이 상품에는 업계 최초로 풍수재해로 인한 휴업까지 보상하는 특약이 신설됐다.▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
2,삼성화재-스마트링크 서비스 활용해 고객 편의성 지속적 향상,2020.10.22," 삼성화재는 최근 비대면 업무처리를 원하는 고객이 늘면서 스마트링크 서비스 활용을 통해 고객 편의성을 지속적으로 제고하고 있다.스마트링크 서비스는 회사가 고객에게 보내는 카카오 알림톡이나 문자 메시지에 링크를 포함시켜 원하는 서비스에 바로 접속할 수 있도록 하는 것이다.이를 통하여 고객은 직접 전화를 하거나 사람을 만나 처리하던 업무들을 모바일을 활용해 별도의 검색 없이도 쉽고, 빠르게 할 수 있는 장점이 있다.고객은 스마트폰 전자서명과 청약서부본 또는 약관 등의 서류를 온라인으로 제공하는 전자문서 전달 서비스와 같은 보험가입 업무처리 외에도 보험료 납입, 자동이체 변경과 같은 보험계약 관리 업무와 자동차 사고로 인한 보상의 업무처리, 만기·중도 환급금 및 휴면보험금 신청 등의 업무에 이용할 수 있다.지난해 12월에는 서비스 확대로 자동차 사고로 인해 보상을 받는 고객들이 자신의 스마트폰을 통해 편리하게 안내를 받고, 직접 업무를 처리하는 것이 가능해졌다.고객들은 스마트링크 서비스로 회사가 전달하는 다양한 알림 내용을 실시간으로 확인할 수 있게 된다.보상처리를 위한 개인정보동의, 전자서명을 통한 합의서 작성, 상해보험 청구서류 발급 등의 업무처리도 스마트링크로 손쉽게 할 수 있다.또 우수정비업체 안내, 자동차 보상 상식 콘텐츠, 보상처리 절차 안내 콘텐츠 등의 다양한 서비스도 함께 제공된다.▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
3,삼성생명·삼성화재 등 삼성 금융사들 ‘탈석탄’ 선언,2020.11.12," 삼성 금융사들이 석탄산업에 투자를 중단하고 보험도 인수하지 않기로 하는 ‘탈석탄 선언’을 내놨다. 삼성생명, 삼성화재, 삼성자산운용, 삼성증권, 삼성카드 등은 탈(脫)석탄 정책을 더욱 강력하게 추진한다고 12일 밝혔다.  삼성생명과 삼성화재는 석탄 화력발전소에 대한 직접적 투자·융자뿐만 아니라 석탄 화력발전소 건설 목적의 회사채에도 투자하지 않기로 했다. 앞서 두 보험사는 지난 2018년 6월 이후로 석탄 발전에 대한 신규 투자를 중단했다. 특히 손해보험사인 삼성화재는 석탄 화력발전소 건설을 위한 보험도 인수하지 않기로 방침을 정했다. 삼성증권과 삼성자산운용도 석탄 채굴 및 발전사업에 대한 투자 배제 정책 등을 포함한 환경·사회·지배구조(ESG) 투자 가이드라인을 수립해 다음달부터 현장에 적용할 예정이다. 아울러 이들 삼성 금융사는 신재생에너지와 전기차 등 친환경 자산 투자도 계속 확대할 방침이다. 각 삼성 금융사는 이러한 내용의 ESG 경영 추진 전략을 다음달 이사회에 보고하고 강력하게 추진하기로 했다.  ESG 경영은 재무성과 외에 환경보호(Environment), 사회적책임(Social), 지배구조(Governance) 등 비재무적 요소를 반영해 기업의 지속적 성장을 추구하는 경영활동으로 유럽연합(EU)과 북미 등에서 중요한 기업 평가척도로 자리잡았다. 삼성그룹에서는 삼성전자가 3분기 실적발표에서 ‘ESG 투자 확대로 지속 가능 경영에 박차를 가하겠다’고 발표했고 삼성물산도 지난달 이사회에서 ‘탈석탄’ 방침을 결정하고 “ESG 경영 선도기업으로 위상을 강화하겠다”고 대외적으로 선언했다. 삼성 금융사 한 관계자는 “환경보호 및 사회적 책임 강화를 위해 ‘탈석탄 정책’ 강화를 결정했다”며 “앞으로 다양한 이해 관계자들과 활발하게 소통하며 지속 가능한 성장을 추진하는 기업이 될 것”이라고 말했다.임아영 기자 layknt@kyunghyang.com▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
4,삼성화재 노조 3일 출범…‘일방 경영’ 넘어설까,2020.02.02,"ㆍ회사 설립 68년 만에…삼성 손해보험 계열사로는 처음ㆍ“상생 기업문화 조성”…한국노총 소속 삼성노조 5개로‘무노조 경영’을 주창해온 삼성의 손해보험 계열사에 처음으로 노동조합이 생겼다.한국노동조합총연맹(한국노총)은 3일 삼성화재 노동조합이 출범식을 갖고 노조활동을 시작한다고 2일 밝혔다. 삼성화재에 노조가 생긴 것은 1952년 회사 설립 이후 68년 만에 처음이다.한국노총에 따르면 삼성화재 노조는 지난해 12월 설립총회를 열고 지난달 23일 서울지방고용노동청에 노조 설립신고서를 제출했다. 한국노총 산하 전국공공노동조합연맹에 속한다. 첫 노조위원장은 오상훈 지점장이다. 노조원 규모는 알려지지 않았다.노조 측은 그동안 ‘무노조 경영’ 원칙을 고수해온 사측이 노조 설립을 가로막았다고 비판했다. 노조는 “사측은 대외적으로 윤리경영을 얘기하면서 내부적으로는 견제받지 않는 인사권을 휘두르며 약자인 직원들이 노동조합을 설립하지 못하도록 관리·통제해 왔다”면서 “노동자들은 사측의 일방통행식 경영과 인격 무시, 부당한 인사발령과 고과·급여·승진체계 등에서 각종 차별대우, 과중한 업무에 시달려 왔다”고 말했다.노조는 “노동자의 헌법상 권리와 노동인권을 존중하지 않는 부당노동행위와 일방통행식 경영에 종지부를 찍고, 서로 존중하고 상생하는 기업문화를 만들어 가기 위해 노동조합을 설립했다”고 밝혔다.삼성화재 노조 출범으로 삼성 내 한국노총 산하 노조는 다섯 개가 됐다. 무노조 경영의 상징처럼 여겨진 삼성전자에도 지난해 11월 노동조합(제4노조)이 한국노총 산하 단체로 공식 출범했다. 지난달 29일엔 한국노총 홈페이지에 ‘삼성디스플레이 노조 설립 문의’ 게시글이 올라왔다.이은호 한국노총 대변인은 노조 설립 의미를 두고 “지난해 12월 ‘삼성전자 노조 와해 공작’ 관련 법원 판결이 나온 후 삼성이 입장문을 내고 국민에 사과한다는 뜻을 밝힌 게 노조 설립 분위기에 영향을 미친 것 같다. 노동자들의 권리 의식도 바뀌고 있다. 삼성전자 노조 설립도 다른 사업장에 영향을 준 것 같다”고 말했다. 이 대변인은 “노동조합 결성은 헌법상 보장되는 노동자 권리인데, 유독 삼성이라는 기업에서 잘 보장되지 못했다. 노조가 ‘삼성의 벽’을 넘어서길 바란다”고 했다.조문희 기자 moony@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 지금 많이 보는 기사▶ 댓글 많은 기사©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
5,"삼성화재, 만성질환자도 가입 '유병자실손보험' 출시",2020.01.13,"과거 치료 이력이 있거나 만성질환을 앓고 있어도 가입할 수 있는 실손의료보험이 출시됐다. 삼성화재는 자사 다이렉트 사이트를 통해 ‘유병력자 실손의료비보험’을 선보인다고 13일 밝혔다. 과거 치료 이력이 있거나 만성질환을 앓고 있는 고객들도 가입 가능한 인터넷 전용 보험이다. 5세부터 65세까지 가입할 수 있으며 가입 후 매년 갱신을 통해 보험료가 변동될 수 있다. 3년마다 재가입 여부를 결정해 최대 100세까지 보장받을 수 있다. 이 보험은 세 가지 기준에만 부합하면 간편하게 가입이 가능하다. 간편심사 기준은 △3개월 내 입원·수술·추가검사 필요 소견 여부 △2년 내 입원·수술·7일 이상 치료 여부 △5년 내 암(백혈병 제외) 진단·입원·수술·치료 여부 등이다. 다만 유병력자 실손의료비보험은 일반 실손의료비보험과 보장 내용에 차이가 있어 가입할 때 주의해야 한다. 실손의료비보험의 자기부담금이 최소 10%인 반면 유병력자 실손의료비보험의 자기부담금은 30%이다. 또한 처방조제비와 비급여 추가 특약은 보장에서 제외된다. 삼성화재 다이렉트 관계자는 “일반 실손의료비보험 가입이 어려웠던 유병력자 및 만성질환자들에게 좋은 기회라고 생각한다”며 “특히 다이렉트로 저렴하게 출시되는 만큼 많은 고객들이 쉽고 간편하게 가입하시길 바란다”고 말했다.임아영 기자 layknt@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 최신기사▶ 기사 제보하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
6,12년간 15조 투자한 ‘화력발전’ 손 떼고…삼성 금융 계열사 “탈석탄·친환경” 선언,2020.11.12,"삼성생명·화재·증권 등 내달부터석탄 투자·융자·보험인수 등 중단ESG 투자 가이드라인 수립 예정 삼성생명·삼성화재 등 삼성의 금융 계열사가 기후위기에 대한 대응으로 석탄산업 투자를 중단하겠다며 ‘탈석탄 금융’을 선언했다. 12일 삼성생명, 삼성화재는 석탄 화력발전소에 대한 직접적 투자·융자뿐만 아니라 석탄 화력발전소 건설 목적의 회사채에도 투자하지 않기로 했다고 밝혔다. 손해보험사인 삼성화재는 석탄 화력발전소 건설을 위한 보험도 인수하지 않기로 방침을 정했다. 삼성증권과 삼성자산운용도 석탄 채굴 및 발전사업에 대한 투자 배제 정책 등을 포함한 환경·사회·지배구조(ESG) 투자 가이드라인을 수립해 다음달부터 적용할 예정이다. 아울러 삼성 금융 계열사들은 신재생에너지와 전기차 등 친환경 자산 투자도 확대할 계획이다. 각 회사는 이러한 내용의 ESG 경영 추진 전략을 다음달 이사회에 보고하고 추진하기로 했다. ESG 경영은 재무성과 외에 환경보호(Environment), 사회적책임(Social), 지배구조(Governance) 등 비재무적 요소를 반영해 기업의 지속적 성장을 추구하는 경영활동으로 유럽연합(EU)과 북미 등에서 중요한 기업 평가 척도로 자리 잡았다.그간 환경·시민사회단체들은 삼성의 석탄 산업 투자를 꾸준히 비판해왔다. 최근 환경운동연합이 공개한 ‘2020 한국 석탄금융 백서’에 따르면, 지난 12년간 삼성생명·삼성화재가 석탄사업에 투자한 규모는 국내 민간 금융사 중 최대인 15조원에 달한다. 두 회사가 금융을 제공한 국내 석탄화력발전소는 신규를 포함해 40기에 이른다. 이 중 신규로 추진되는 강릉 안인 석탄발전소는 삼성물산이 시공을 맡고 있다. 환경운동연합은 삼성생명·삼성화재가 투자한 국내 40기 석탄발전소에서 배출되는 대기오염 물질로 연간 최소 650명에서 최대 1060명의 조기 사망자가 발생할 수 있다는 모델링 결과를 발표하기도 했다. 두 회사가 투자한 석탄발전소가 총 배출하게 되는 이산화탄소 양은 약 60억t으로 추산된다. 이는 한국이 2018년 한 해 배출한 온실가스의 8배, EU 28개 회원국이 2017년에 배출한 온실가스 규모보다 크다.삼성이 그룹 차원에서 ‘탈석탄 선언’을 가속화하면서 국내 산업계의 탈석탄 움직임이 본격화할 것으로 보인다. 삼성전자는 3분기 실적발표에서 ‘ESG 투자 확대로 지속 가능 경영에 박차를 가하겠다’고 발표했고 삼성물산도 지난달 이사회에서 탈석탄 방침을 결정했다. 삼성 금융사 한 관계자는 “앞으로 다양한 이해관계자들과 소통하며 지속 가능한 성장을 추진하는 기업이 될 것”이라고 말했다.임아영 기자 layknt@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
7,11월10일 삼성 석탄사업투자 이제그만! [경향이 찍은 오늘],2020.11.10," 경향신문 사진기자들이 ‘오늘’ 한국의 사건사고·이슈 현장을 포착한 보도사진 [경향이 찍은 오늘] 11월10일입니다.■삼성 석탄사업투자 이제그만!환경운동연합 회원들이 10일 서울 종로구 누하동 환경운동연합 회화나무 마당에서 삼성생명과 삼성화재의 석탄 사업 투자 중단을 촉구하는 기자회견을 열었습니다. 참석자들은 ‘삼성 금융계열사들이 석탄사업에 투자한 금액이 최대 15조 원에 달한다.’라며 ‘투자한 40기의 석탄발전소에서 60억 톤의 이산화탄소가 발생한다’고 밝혔습니다. 이들은 ‘글로벌 기업을 자처하는 삼성이 반환경적 투자를 계속하면 미래를 망치는 것’이라고 비판했습니다. ■코로나시대, 군비증가 필요없다우철훈 선임기자“평화를 위협하고, 자주국방과 인연이 없는 공격적 무기도입에 대한  예산은 전액 삭감해야 합니다.” 10일 오전 서울 여의도 국회 앞에서  6.15공동선언 실천 남측위원회와 각계 대표 인사들이 2021년 정부 예산안 국회 심의에 맞춰‘무기증강 중단과 국방예산 삭감 등을 요구하는 기자회견을 하고 있습니다. 이들은 공동선언을 통해 “정부가 제출한 2021년 국방예산은 작년 대비 5.5% 인상하여 52조 9천억 원에 이른다”라며 “국방비 팽창은 세계 최고 수준으로 이러한 추세라면 2023년경이면 일본을 추월해 세계 6위 규모의 국방지출을 기록할 전망”이라고 지적했습니다.■특조위 고발하는 가습기 살균제 참사 피해자들김기남 기자가습기 살균제 피해자들이 10일 서울 종로구 광화문광장에서 기자회견을 열고 가습기 살균제 참사 진상규명에 대한 성과가 없었다며 사회적 참사 특별조사위원장과 부위원장을 직무유기로 검찰에 고발했습니다. 비상대책위원회는 “사망자만 1,566명이고 피해자는 수십만 명에 달하는데 사회적 참사 특조위는 활동 마감을 한 달 앞두고도 정부 대응과 기업의 책임 등 진상 규명에 대한 성과가 거의 없다”라고 주장했습니다. ■30인 미만 사업장 코로나19 직격탄…“8명 중 1명 실직”권호욱 선임기자코로나19로 인해 실직을 경험한 30인 미만 사업장 노동자 10명 중 7명은 실업급여도 받지 못한 것으로 조사됐습니다. 실업급여를 받지 못한 이유로는 고용보험 미가입(41.5%)이 가장 많았습니다. 민주노총 김재하 비대위원장이 10일 서울 중구 정동 민주노총 교육장에서 열린 ‘30인 미만 작은 사업장 노동자 코로나19 피해 실태 및 정부 정책 평가 기자간담회’에서 작은 사업장 노동자를 보호할 수 있는 정부 정책이 필요하며 전태일 3법을 통해 모든 노동자에게 근로기로법 등이 적용되어 사각지대가 해소돼야 한다고 밝혔습니다.■국민의힘 ‘중대 재해 방지·예방’ 정책간담회김영민 기자국민의힘 여의도연구 주원최로 10일 국회에서 열린 중대재해 방지 및 예방을 위한 정책간담회에서 김종인 비대위원장이 인사말을 하고 있습니다. 간담회에는 산업재해 사망사고에 대해 위험방지 의무를 다하지 않은 사업주의 책임을 묻는 ‘중대재해 기업 및 책임자 처벌법’을 대표발의한 정의당 강은미 원내대표도 참석해 의견을 나눴습니다.권호욱 기자 biggun@kyunghyang.com▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
8,"“삼성, 석탄발전 투자 중단하라” [포토뉴스]",2020.11.10," 환경단체 회원들이 10일 서울 종로구 환경운동연합 마당에서 삼성생명과 삼성화재의 석탄화력발전 투자 중단을 촉구하는 퍼포먼스를 하고 있다.김기남 기자 kknphoto@kyunghyang.com▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
9,삼성 이재용 대국민사과 후 5개월···민주당 최고위서 나온 ‘삼성 무노조 경영 질타’,2020.10.14," 박홍배 더불어민주당 최고위원이 14일 이재용 삼성전자 부회장의 ‘삼성 무노조 경영’을 비판하고 나섰다. 이 부회장이 5개월 전 대국민 사과에서 ‘무노조 경영 원칙 폐기’를 선언했지만, 여전히 지켜지지 않고 있다는 것이다.박 최고위원은 이날 최고위원회의에서 “이재용 부회장은  ‘무노조 경영의 마침표를 찍겠다’라고 약속했다”며 “그러나 일선 현장에서는 아무것도 바뀌지 않고 있다”라고 지적했다.이어 박 최고위원은 “삼성도 이제 기업가치의 핵심이 노동이라는 것을 인정하는구나, 삼성에서도 이제 노조할 수 있겠다고, 세상이 많이 바뀌었다고 생각했다”며 “그러나 일선 현실에선 아무것도 바뀌지 않았다”고 했다.앞서 이 부회장은 지난 5월 준법감시위 권고에 따라 경영권 승계와 노조 문제 등에 대해 대국민 사과를 했다. 이 부회장은 당시 “삼성의 노사 문화는 시대변화에 부응하지 못했다”며 “더 이상 무노조 경영이라는 말이 나오지 않도록 하겠다. 노사관계 법령을 철저히 준수하고 노동3권을 확실히 보장하겠다”고 약속한 바 있다.박 최고위원은 “어제 참다못한 노동자들이 국회 앞에 모여 노동3권 규탄 기자회견을 열었다”며 “삼성 애니카 노조는 사측의 노사 협의 위원들과 임금인상을 일방 결정해 유일한 법적단체 노조를 무력화시켰다”고 했다. 그는 “노조 교섭자리엔 대표인사가 단 한 번도 나오지 않았다”며 “삼성이 그동안 노조 조직법을 억제하고 노사협의회를 여전히 어용노조로 해서 각종 활동비를 제공하고 노조 탈퇴를 종요하는 노조탄압 도구로 악용했다”고 비판했다.박 최고위원은 “이쯤 되면 이 부회장의 대국민 사과의 진정성이 의심된다. 이 부회장의 노동3권 보장은 허구였으며 자신의 형량을 줄이기 위한 언론플레이였다”며 “삼성은 국민에 한 약속을 지키는 국민의 기업이 되려는 건지, 부당행위를 선도하는 기업이 되려는 건지 분명히 밝혀야 한다”고 밝혔다. 이어 “고용노동부는 관련 진정사건을 신속하고 엄정히 수사해 주길 바란다”고 촉구했다.전날 삼성 계열사 노동조합 연대 노동자들은 국회 앞에서 ‘노사협의회를 앞세운 삼성그룹의 노동3권 침해 규탄’ 기자회견을 열고 “이 부회장이 사과한 지 벌써 6개월이 지났다. 도대체 무엇을 반성하고, 무엇을 보장하겠다는 것인지 의문”이라고 비판했다. 이들은 노사 교섭을 가장 먼저 시작한 삼성화재애니카손해사정을 예로 들며 “모든 결정권을 가진 계열사 대표이사가 노조와의 교섭에 단 한 번도 나오지 않았을 뿐 아니라 교섭에 대한 자료제출도 하지 않는 등 불성실한 교섭 태도로 일관하고 있다”고 했다. 이어 “사측은 노사협의회(한마음협의회)를 악용한 교섭 해태와 임금교섭권 침해를 수년간 반복하고 있다”며 “2020년 현재 삼성의 노사협의회는 지배개입과 부당지원으로 자주성이 극도로 훼손됐을 뿐 아니라 노조탄압, 노조파괴의 도구로 악용돼 노조 고사화 작업에 철저히 이용되고 있다”고 지적했다.박홍두·김상범 기자 phd@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
