,title,date,content
0,"식약처, 셀트리온 코로나19 항체치료제 허가 심사 착수",2020.12.29,"임상 2상 끝낸 ‘렉키로나주960㎎’미국·유럽에도 긴급사용승인 절차 식품의약품안전처가 셀트리온이 개발한 국산 코로나19 항체치료제의 허가 심사에 착수했다. 29일 식품의약품안전처는 “셀트리온이 코로나19 항체치료제 ‘렉키로나주960㎎’에 대한 품목허가 신청을 접수함에 따라 허가심사에 착수했다”고 밝혔다. 셀트리온이 개발한 렉키로나주는 유전자재조합 중화항체치료제다. 코로나19 완치자의 혈액에서 코로나19 바이러스를 무력화하는 중화항체 유전자를 선별·채취한 후 숙주 세포에 삽입해 대량 생산한다. 이 때문에 완치자의 혈액에서 항체를 지속적으로 채취할 필요 없이 대량 생산이 가능하다. 예상 투여 대상은 경증부터 중등증까지의 코로나19 환자로 90분간 정맥투여하는 주사제로 개발됐다.렉키로나주는 현재 임상 2상까지 완료한 상태다. 임상 2상은 경증~중등증 코로나19 환자 327명을 대상으로 코로나19 증상에 대한 회복 기간 단축 등을 목표로 진행됐다. 임상 3상은 경증~중등증 코로나19 환자 720명을 대상으로 진행된다. 증상이 악화하는 비율이 감소하는지를 확인한다. 임상 3상은 이번 허가 신청과는 별개로 진행되며 식약처는 셀트리온이 허가 후 3상 임상시험 결과를 제출하는 것을 조건으로 렉키로나주를 허가심사를 할 계획이다.식약처는 180일 이상이 소요되는 허가·심사 기간을 단축해 40일 이내에 처리하는 것을 목표로 하고 있다. 셀트리온은 미국과 유럽에도 렉키로나주의 긴급사용승인 획득을 위한 절차에 돌입했다.박채영 기자 c0c0@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
1,삼성물산ㆍ교보생명ㆍ셀트리온 등 18개 기업 ‘납세대상’ 수상,2020.12.02," 2020 납세자축제 12월 1일 성료…""숭고한 납세, 성실납세자 존중받는 사회되길…""2020년 납세자축제에서 삼성물산, 셀트리온, 이마트, CJ제일제당, LG유플러스 등 18개 기업이 납세대상을, 법무법인 광장, EY한영 등 5개 법인이 납세자권익대상을 수상했다.조세일보, (사)한국세무학회, (사)한국조세정책학회는 지난 1일 오후 3시 아모리스 강남점 메리츠타워에서 웹(web)축제 형식으로 납세자축제를 갖고 납세대상을 수여했다.  이날 황춘섭 조세일보 대표이사는 개회사에서 ""세금 없이는 국가가 운용될 수 없다. 세금 없이는 국방도, 치안도, 정치도, 구호활동도 할 수 없다. 나라살림이 넉넉하지 않으면 고령자나 가난한 사람들을 위한 복지도 장담할 수 없다. 세금 없이는 코로나19 방역도 할 수 없다. 따라서 납세는 숭고하다""고 강조했다.또한 그는 ""세금을 많이 낸 사람을 존경하는 분위기가 조성되고 세금 내는 것을 자랑스럽게 생각하는 사회풍토가 충만해지는 그날까지 납세자축제는 계속 될 것""이라고 말했다.국회에서 박병석 국회의장이, 집권여당에서는 이낙연 더불어민주당 대표, 정부에서는 김대지 국세청장이 서면축사를 통해 성실납세자에게 응원의 메시지를 보냈다.박병석 국회의장은 축사에서 ""이번 행사를 통해 성실납세를 실천하는 기업들이 더욱 존중받기를 바라며, 일자리를 창출하고 법인세를 납부하는 기업에 대한 국민들의 인식이 더욱 좋아지길 기대하고 있다""며 ""국회도 납세자 권익보호를 위해 더 노력하겠다""고 밝혔다.이낙연 더불어민주당 대표는 ""국가의 경제활동은 세금의 선순환 속에서 이루어진다. 세수는 성장의 마중물이 되고, 포용국가의 초석이 된다. '납세의 의무' 이행은 사회적 책임의 울타리를 더 크게 칠 것이다. 성실 납세자 여러분께서 그 중심에 있다""고 말했다.그는 이어 ""민주당과 정부도 공정한 세정으로 모범 납세자의 권익을 증진하겠다. 성실한 납세자가 우대받고 존경받는 납세 문화를 확산시켜 나갈 것""이라며 ""성숙한 납세 문화는 선진 국가의 척도라고 믿고 있다. 납세자 축제가 '성실 납세의 꽃'을 피우는 토양이 되기를 희망하며 그 길에 함께 하겠다""고 덧붙였다.김대지 국세청장은 ""코로나19로 어려운 여건 속에서도 성실하게 세금을 납부해 주시는 납세자분들께 깊이 감사드린다. 모든 성실납세자는 마땅히 존경받아야 할 대한민국의 '숨은 영웅'이라고 생각한다""면서 ""납세자축제가 성실납세의 중요성과 소중한 가치를 우리사회 전반으로 확산시키는 중요한 계기가 되기를 기원한다""고 전했다.납세대상 시상식에 앞서 전규안 납세대상심사위원장(한국세무학회 학회장)은 납세대상 선정기준 및 경과보고를 발표했다.전 위원장은 ""심사기준은 2019년 귀속 법인세와 2020년 상반기 법인세 중간예납 합산액이 업종별 상위 10% 이내인 기업, 유효세율이 14%∼50% 수준으로 국세청 심층세무조사에 의한 추징액이 아닌 자진납세로 사회적 물의를 일으킨 기업은 제외한다는 엄격한 기준을 통과한 기업""이라고 설명했다.그러면서 ""개인 고액납세자는 검증이 난해하다는 측면을 고려해 금년에도 수상대상에서 제외했다""고 밝혔다.납세대상 수상기업은 ▲삼성물산 ▲포스코 ▲ LG유플러스 ▲셀트리온 ▲CJ제일제당 ▲이마트 ▲신세계 ▲KB국민은행 ▲KEB하나은행 ▲미래에셋대우 ▲한국투자증권 ▲교보생명 ▲DB손해보험 ▲신한카드 ▲KB국민카드 등이다.중소기업부문 납세대상은 ▲AP위성(주) ▲(주)비씨월드제약 ▲(주)코아스등 3개 기업이 받았다.납세자권리보호에 기여한 법인에 대해서는 납세자권익대상이 수여됐다. 2020년 납세자권익대상은 ▲법무법인 광장 ▲EY한영 ▲서현회계법인 ▲세무법인 T&P▲세무법인 택스홈앤아웃이 수상했다. 한편, 이번 행사는 신종 코로나바이러스 감염증(코로나19) 확산 방지를 위해 행사 참가자 수를 50명 이내로 최소화했으며, 체온 측정, 명부 작성, 마스크 착용, 참가자 간 거리두기 준수 등 방역수칙을 철저히 준수하며 진행됐다.▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
2,문재인 대통령이 셀트리온-삼성바이오로직스 온라인 기공식 참석 [경향포토],2020.11.18," 문재인 대통령이 18일 인천 연수구 송도 연세대 글로벌 캠퍼스에서 열린 대한민국 바이오산업에 참석해 셀트리온-삼성바이오로직스 온라인 기공식에서 발파버튼을 누른 뒤 영상을 관람하고 있다. 왼쪽부터 최기영 과기부 장관, 박남춘 인천시장, 김태한 삼성바이오로직스 대표, 문 대통령, 서정진 셀트리온 회장, 홍남기 경제부총리, 성윤모 산업부 장관, 박능후 복지부 장관.청와대사진기자단▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
3,"셀트리온, 코로나 항체 치료제 환자 대상 국내 임상 1상 승인",2020.08.26," 셀트리온이 개발 중인 코로나19 항체 치료제 CT-P59가 국내 개발 항체 치료제 중에서는 처음으로 환자를 대상으로 한 임상 1상 승인을 받았다.셀트리온은 식품의약품안전처로부터 CT-P59의 경증환자 대상 1상 임상시험계획(IND)을 승인받고 환자 모집에 나선다고 26일 밝혔다. 이번에 승인받은 국내 임상 1상은 CT-P59 투여 시 임상피험자가 부작용이나 불편감을 견뎌낼 수 있는지와 바이러스 무력화 정도를 평가하는 데 중점을 두기로 했다. 인천의료원과 가천대 길병원, 인하대병원 등 다수 의료기관과 협력해 진행한다.셀트리온은 앞서 지난 7월 말 영국 의약품건강관리제품규제청(MHRA)으로부터 임상 1상을 승인받고, 경증환자 대상 글로벌 임상 1상을 진행하고 있다. 국내에서는 지난달 17일 식약처로부터 건강한 사람을 대상으로 부작용 부분을 확인하는 임상 1상 승인을 받고 3분기 내 임상 결과 도출을 목표로 충남대병원에서 임상을 진행 중이다.셀트리온은 이후 경증환자 대상 글로벌 임상 2·3상과 예방 및 중증 임상 3상을 진행해 올 연말까지는 이들 임상에 대한 중간 결과를 확보하겠다는 계획이다. 이를 위해 식약처와 영국을 제외한 유럽 내 국가들과도 긴밀히 협의하고 있다. 특히 예방임상은 피험자를 무증상 확진자와 확진자 밀접 접촉자까지 넓혀 실시하는 만큼 감염 초기 바이러스 사멸효과는 물론 감염 예방 여부까지 확인할 수 있을 것으로 기대된다. 셀트리온은 CT-P59의 단기 백신효과도 기대할 수 있기 때문에 지역사회 전파 억제 및 팬데믹(세계적 대유행)의 안정화에 크게 기여할 수 있을 것으로 보고 있다.박효재 기자 mann616@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
4,"셀트리온, 코로나19 항체 치료제 동물시험 첫 단계 효능 확인",2020.06.01,"셀트리온이 질병관리본부와 국책과제로 개발하고 있는 코로나19 항체 치료제에서 바이러스 감소 및 폐 손상 개선 효과를 확인했다고 1일 밝혔다. 셀트리온은 족제비과 동물인 페럿을 대상으로 진행한 동물효능시험에서 바이러스가 최대 100배 이상 감소하고 폐조직 병변이 현저히 개선됐다고 설명했다. 페럿은 코로나 바이러스 감염에 민감해 코로나19 백신과 치료제 후보물질의 효능을 평가하는 데 적합한 동물모델로 평가받는다. 셀트리온은 지난 4월부터 바이러스를 무력화시키는 중화항체 선별을 마치고 세포주 개발에 돌입하면서 충북대와 함께 동물효능시험을 실시해왔다. 연구진에 따르면 저농도와 고농도 약물 투여그룹으로 나눠 경과를 지켜본 결과 두 그룹 모두 약물을 투입하지 않는 대조그룹 대비 콧물·기침, 활동성 관련 임상점수가 개선됐다. 5일째부터는 임상적으로 완전히 개선된 것으로 나타났다. 특히 고동도 그룹은 바이러스가 최대 100배 이상 감소했다. 폐조직 검사에서도 약물을 투여하지 않은 대조군에서는 감염 7일째까지 염증 소견이 관찰되는 반면, 약물 투여 그룹은 정상에 가까운 폐조직 모양을 보여줬다. 셀트리온은 페럿에 이어 햄스터, 생쥐, 원숭이를 대상으로 효능성 및 독성 시험을 이어 나가면서 동시에 임상물질 생산을 위한 준비에도 속도를 내겠다고 밝혔다. 셀트리온은 최근 세포주 개발을 완료하고 생산용 세포주 은행 생산을 이미 시작했다. 회사는 이달 중 임상물질 대량샌상에 들어가 예정대로 7월에는 인체 임상에 필요한 항체 치료제 물질을 공급할 수 있을 것이라고 내다봤다.박효재 기자 mann616@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
5,"코로나19발 유럽 내 복제약 수요 증가, 셀트리온에 날개 달아줄까",2020.05.19,"코로나19 영향으로 가격이 저렴한 복제약 사용이 특히 유럽을 중심으로 늘어나고 있다. 바이오 복제약을 주력으로 하며 유럽 시장 점유율이 높은 국내 1위 업체 셀트리온이 점유율을 더 높일 기회라는 평가도 나온다. 19일 업계에 따르면 글로벌 주요 복제약 업체들의 올 1분기 유럽지역 매출은 코로나19 국면에 더 늘었다. 테바와 마일란의 올 1분기 매출성장률은 전년도 마이너스에서 플러스로 전환했다. 산도스의 전년 대비 1분기 매출성장률은 지난해 10%대에서 올해는 30%대까지 올랐다. 코로나19 타격이 특히 컸던 유럽에서 경기침체가 장기화될 것으로 예상되면서 가격 경쟁력이 높은 복제약 수요가 늘어난 영향으로 분석된다. 유럽 각국은 정부가 자국민의 의약품 수요를 책임지는 만큼 이같은 현상이 다른 지역에 비해 두드러질 것으로 전망된다.유럽 각국 정부가 약품 수급, 보험 관련 재정 부담을 덜기 위해 현재보다 복제약 사용 비중을 늘리도록 유도하는 정책을 꺼내들 것이란 관측도 나온다. 2008년 글로벌 금융위기로 극심한 재정부담을 경험했던 유럽 각국 정부는 이미 다양한 복제약 사용 권장 정책을 실시하고 있다. 성분명 처방, 약국의 최저가 복제약 조제 의무화 조치 등이 대표적이다. 사용자들도 저렴한 가격에 오리지널 약과 비슷한 효능을 경험하면서 복제약에 대한 거부감이 많이 줄었다. 글로벌 금융위기 이전인 2006년과 이후인 2014년을 비교했을 때 독일, 프랑스 등 유럽 주요 5개국의 복제약 사용률은 모두 증가했다. 복제약 사용률이 채 20%가 안 됐던 스페인과 이탈리아의 사용률은 2014년 기준 50%에 육박한다. 여기에 주요 경제기관들의 암울한 전망, 유럽의 경제성장 ‘엔진’ 독일의 저조한 경제실적 발표가 이어지면서 각국 정부가 새로운 복제약 권장 정책을 꺼내들 수 있다는 관측이 나오는 것이다. 지난달 국제통화기금(IMF)은 올해 유로존의 경제성장률을 마이너스 7.5%로 전망했고, 독일 연방통계청은 지난 15일(현지시간) 1분기 성장률이 마이너스 2.2%로 나타났다고 발표했다. 이와 함께 지난 2월 0%로 발표한 지난해 4분기 성장률도 마이너스 0.1%로 조정했다.관련 국내 업체들에게는 기회가 될 수도 있다. 국내 업체 중에는 바이오 복제약을 주력으로 하는 셀트리온이 이같은 흐름의 최대 수혜자가 될 것으로 예상된다. 실제로 셀트리온 제품의 해외 판매를 담당하는 셀트리온헬스케어는 미국과 유럽에서 판매 호조로 1분기 실적이 급증했다. 셀트리온헬스케어는 지난 15일 전년 동기 대비 매출은 62%, 영업이익은 494%, 순이익은 1205% 증가했다고 공시했다. 회사는 “자가면역질환 치료제 램시마와 항암제 트룩시마·허쥬마가 유럽에서 꾸준히 처방되고, 트룩시마의 미국 판매가 늘어난 것이 실적 상승의 주요 요인”이라고 설명했다. 셀트리온이 개발한 자가면역질환 치료제 램시마. 셀트리온 제공셀트리온은 유럽 내 복제약 사용 증가세에 힘입어 시장 점유율을 더 늘릴 것으로 예상된다. 셀트리온 주력 상품의 유럽 시장 점유율은 꾸준히 증가하고 있다. 2016년 30%였던 램시마의 유럽 점유율은 전년 4분기 기준 60%까지 늘었다. 램시마의 원조격으로 얀센이 만든 레미케이드도 밀어내며 1위에 올랐다. 트룩시마의 유럽 점유율은 2017년 6%에 불과했지만 지난해 4분기에는 39%까지 늘었다. 셀트리온은 정맥주사 제형에서 피하주사 제제로 업그레이드한 램시마SC를 그동안 독일·영국 등 유럽 4개국에만 판매했는데, 다음달부터는 프랑스·이탈리아·스페인에도 출시해 점유율을 더욱 늘려나간다는 계획도 밝혔다. 다만 이미 유럽 내 복제약 사용량이 많아 각국 정부가 그 비중을 더 늘릴 여력이 있을지 두고 봐야한다는 시각도 있다. 현재 각 제약사가 개발 중인 신약 물질의 추가 승인도 복제약 시장 성장세를 제한할 것으로 예상된다. 생명공학 전문 매체 라이프사이언스리더는 각종 암 및 당뇨병, 알츠하이머 등 관련 치료물질 중 최소 19종이 향후 10년 내 승인받을 것이라고 전망했다.박효재 기자 mann616@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
6,"셀트리온, 코로나19 항체 치료제 개발 첫단계 완료",2020.03.23,"인체 임상 실험이 가능한 수준의 코로나19 치료제가 빠르면 오는 7월 안으로 개발될 것으로 보인다.23일 셀트리온 서정진 회장은 온라인 기자 간담회를 열고 코로나19 치료제 개발을 위한 항체 후보군 구축 및 항원에 결합하는 항체 300종 확보에 성공했다고 밝혔다.셀트리온 측은 “일반 항체 치료제 신약 개발의 경우 이 단계(항체 후보군 구축 등)까지 3~6개월이 걸린다”며 “셀트리온 연구개발진이 24시간 교대체제로 총 투입돼 3주만에 빠르게 성과를 낼 수 있었다”고 했다.셀트리온은 지난달 코로나19 항체 치료제 개발을 공식화한 이후 서울대병원 등 의료기관의 협조로 회복환자의 혈액을 우선 확보하고 코로나19 바이러스의 인간세포 감염 과정에서 중요한 역할을 하는 바이러스 표면단백질을 무력화하는 적합한 항체를 모색해왔다.이를 위해 먼저 환자 혈액에서 항체 유전 정보를 가진 DNA를 추출한 뒤 유전자 증폭과정을 거쳐 항체 발굴에 필요한 후보군을 추려 내, 총 300종으로 구성된 1차 항체 후보군을 선정한 것이다.셀트리온에 따르면 셀트리온은 항체 1차 후보군 선정 완료에 이어, 2차 후보 항체군 선별작업에 돌입한 상태다. 해당 과정에 필요한 중화능 검증법은 질본, 충북대학교와 협업해 진행한다.해당 검증법을 통해 선정된 후보 항체들은 동물 모델에서의 치료 효능, 항체 고유 특성 평가 등 일련의 추가적인 검증과정을 거쳐 최종 항체 선정까지 이어지게 된다. 또한 셀트리온의 자체 특허 기술인 고(高)발현 벡터를 적용한 세포주 개발, 생산 공정 개발, 제품 품질 보증을 위한 분석법 개발, 임상에 적용될 제형 등의 개발을 거의 같은 시기에 진행해, 비임상 및 임상 진입을 최대한 앞당긴다는 전략을 세워놓고 있다.셀트리온은 유관기관과의 적극적인 협력을 통해 빠르면 오늘 7월 말부터 인체 투여가 가능한 제품을 개발하는 것을 목표로 개발 노력을 가속화한다는 방침이다.이와 함께 글로벌 임상 계획도 병행하면서 치료제의 신속한 해외 공급을 준비할 예정이다. 셀트리온은 이미 대량생산 능력도 확보하고 있기 때문에 치료 물질에 대한 대규모 인체 임상 수요가 발생하더라도 자체적으로 충분히 대응할 수 있을 것으로 판단하고 있으며, 유사시에는 CMO 파트너까지 가용해 물량 공급에 대비한다는 계획도 세워놓고 있다.치료 항체를 보다 다양한 목적에 활용하는 연구개발 노력도 함께 진행된다. 이미 확보한 환자 혈액을 이용한 중화항체 선별에 이어서 더 많은 회복환자 혈액샘플을 추가로 확보해 코로나19 바이러스뿐 아니라 사스, 더 나아가 일반 감기를 일으키는 코로나 바이러스까지 모두 중화시키는 ‘슈퍼 항체’ 선별 작업도 3월 중에 착수한다.이와 함께 셀트리온 측은 백신 유사효과에도 주목하고 있다. 백신의 목적도 체내 항체 생성이므로 치료용 항체를 투여하면 백신과 유사한 예방 효과를 낼 수 있기 때문이다. 실제 독감치료 항체 개발과정에서 항체를 생쥐에 투여한 후 독감 바이러스를 감염시켰을 때 예방 효과가 있었던 것으로 나타났다. 연구진들은 코로나19 중화항체도 독감치료 항체와 유사한 백신 효과를 나타낼 것으로 보고, 해당 연구도 함께 병행한다는 계획이다.이날 간담회에서 서 회장은 “이런 팬데믹 상황에서는 이 바이러스가 언제 종식되느냐보다 더 중요한 것은 얼마나 빨리 백신과 치료제가 나오느냐다. 팬데믹 바이러스는 남반구, 북반구로 돌아가면서 확산될 수있다”며 “바이러스가 언제 종식될지보다 중요한 것은 이게 조기 종식되지 않았을 때나 재감염됐을 때에 대비하는 것이다. 국가와 전세계 기여하기 위해 예방적 차원에서라도 끝까지 투자할 생각”이라고 말했다.김지원 기자 deepdeep@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
7,셀트리온·삼성 ‘투톱’ 글로벌 질주,2020.02.27,"[기획]국내 제약바이오산업 분석· ①국내 바이오의약품산업의 현주소· ②국내 바이오의약품 개발현황· ③글로벌 제약기업의 바이오의약품 개발추세· ④K-바이오산업 발전의 핵심열쇠 ‘오픈이노베이션’생명의 소중함을 지키고 국민의 건강증진을 목표로 하는 우리나라 제약바이오산업은 인구고령화로 인해 의약품수요가 증가하면서 규모가 날로 성장하고 있습니다. 국내 의약품시장은 지난 5년 동안 매년 4.5%의 성장률을 보이면서 세계시장의 1.6%, 순위 12위를 차지할 정도로 성장을 거듭했습니다.하지만 지난해 일어난 인보사사태, 임상혼용 등 여러 사건을 통해 제약바이오산업에 대한 국민신뢰도가 크게 떨어진 것도 사실입니다. 따라서 이제 제약바이오기업들은 지난 과오를 반면교사(反面敎師)로 삼아 세계로 나아가면서 제약바이오산업을 새로운 미래국가성장동력으로 삼아야합니다. 이에 헬스경향은 대한민국 제약산업의 현주소와 나아가야할 길을 제시하고자 [국내 제약바이오산업 분석]이라는 기획기사를 준비했습니다. <편집자주>제약산업은 기술집약도가 높지만 그만큼 고위험사업이기도 하다. 하나의 신약개발에 보통 10년 이상 소요되며 연구개발비 역시 무려 1~2조원이 소요된다. 이 때문에 국내 제약기업들은 상대적으로 개발이 빠른 바이오의약품에 관심을 돌리고 있는 상황이다.국내 바이오산업은 1992년 한국생공(현 바이오니아)이 설립되면서 시작됐다. 1990년대 중반까지 매년 20~30개의 바이오벤처기업이 설립됐으며 2000년에는 200개 이상의 기업이 시장에 진출했다. 하지만 이후 황우석사태, 우회상장 등의 이유로 국내 바이오산업에 대한 신용이 추락했다.다행스럽게도 2010년부터 오픈이노베이션(기업이 업체, 대학, 연구기관과 컨소시엄을 구축하는 등 외부전문가와 협업해 미래기술투자에 대한 불확실성을 줄이는 방식)이 활성화되면서 2015년 한미약품, 한올바이오파마, 유한양행, JW중외제약 등이 글로벌제약사와 라이센싱을 체결하기 시작했다.특히 2017년에는 셀트리온이 최초로 의미 있는 실적을 증명하면서 기대감이 증폭했다. 현재 셀트리온의 주력제품으로는 류마티스관절염·궤양성대장염 등 자가면역질환치료제인 ‘렘시마SC’, 유방암치료제 ‘허쥬마’ 혈액암치료제 ‘트룩시마’가 있다.셀트리온 관계자는 ”현재 셀트리온은 14만 리터급 바이오의약품 생산설비를 보유하고 있다“며 ”향후 시장수요를 고려해 다각도로 생산능력 확대를 검토하고 있으며 국내에 3공장을 신설하거나 해외증설을 고려하고 있다“고 말했다.또 세계최대 바이오의약품 위탁개발생산업체(CDMO)인 삼성바이오로직스는 스위스 로자, 독일 베링거인겔하임과 차별성을 위해 제조공정기술(MSAT)를 도입, 대량생산의 기틀을 마련했다. 또 세포배양혁신, 정제라인 단순화를 통해 다른 CDMO와 차별화시켰다. 삼성바이오로직스는 2018년 4월 1일 미국 사이토다인과 최소구매물량 공급계약을 체결했다.한편 다른 국내 제약기업 역시 꾸준히 바이오의약품기술을 수출하고 있다. 한미약품, 동아ST, SK케미칼, 유한양행, 코오롱생명과학, JW중외제약 등이 현재 글로벌제약사에 신약후보물질을 기술수출 중이다. 단 아직까지 상업적 성공단계의 신약이 없어 신약물질사용권리가 반환되는 추세다. 대표적으로 지난해 7월 한미약품이 미국 얀센으로부터 당뇨 빛 비만치료신약물질 ‘HM12525A’의 권리를 돌려받았다.헬스경향 이원국 기자 21guk@k-health.com▶ 장도리 | 그림마당 보기▶ 지금 많이 보는 기사▶ 댓글 많은 기사©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
8,"셀트리온의 메르스 코로나바이러스 치료 항체 개발, 국책 지원과제 선정",2020.05.13,"셀트리온의 메르스(MERS·중동호흡기증후군) 코로나바이러스 치료 항체 개발이 국책 지원과제로 선정됐다. 셀트리온은 13일 보건복지부 산하 한국보건산업진흥원이 공모한 감염병 예방·치료 기술개발 분야에서 이같이 선정됐다고 밝혔다. 이번 선정으로 셀트리온은 정부 지원금 22억원을 포함해 총 37억여원의 사업비로 메르스 코로나바이러스 항체 ‘CT-P38’ 개발에 속도를 낼 수 있게 됐다. 셀트리온은 올해부터 2022년까지 CT-P38의 비임상 시험 및 임상 1상 승인을 목표로 고려대와 함께 연구를 진행한다.셀트리온은 2015년 5월 국내에 첫 메르스 환자가 유입돼 의료기관을 중심으로 유행하자 연구에 착수해 치료 후보물질을 개발하는 데 성공했다. 2018년에는 ‘메르스 코로나바이러스에 중화활성을 갖는 결합분자’로 국내외 특허를 취득했다. 메르스는 2015년 국내에서 종식될 때까지 확진자는 186명으로 코로나19에 비해 현격하게 적었지만 사망자는 38명이 발생해 20.4%의 높은 치사율을 보였다. 경제적으로는 2조3000억원에 달하는 손실을 입힌 것으로 추산된다. 셀트리온은 지속적이고 안정적인 메르스 항체 치료제 개발을 위해 중동 국가 정부 및 파트너사와도 개발비 관련 협의를 진행하겠다고 밝혔다. 세계보건기구(WHO)에 따르면 메르스는 전 세계 27개국에서 발병했는데 전체 확진자의 84%가 사우디아라비아에서 발생하는 등 중동지역에서는 토착화된 바이러스 감염병이 됐다. 셀트리온 관계자는 “메르스는 중동 국가에서 주로 유행하고 있지만, 언제든지  우리나라에서도 다시 발생할 수 있기 때문에 정부와의 확고한 협력체제를 통해 치료제 개발에 최선을 다하겠다”고 말했다.박효재 기자 mann616@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
9,"작년 실적부진에도 R&D 54조원 투자...셀트리온 매출 대비 27%, 삼성전자 20조로 최고",2020.04.14,"국내 대기업들이 지난해 실적 부진 속에도 연구개발(R&D) 투자를 4조원 가까이 늘린 것으로 나타났다. 매출액 대비 R&D 투자 비중은 0.2%포인트 상승해 글로벌 기업 평균 이상인 3%를 넘어섰다.기업평가사이트 CEO스코어(대표 박주근)가 14일 국내 500대 기업 중 사업보고서에 R&D 비용을 공시한 208개 기업을 조사한 결과를 보면, 지난해 R&D 투자액은 총 53조4529억원으로 집계됐다. 이는 2018년 49조5924억원보다 3조8606억원(7.8%) 증가한 수치다.같은 기간 이들 기업의 매출은 1723조4126억원에서 1709조7447억원으로 0.8% 줄었다. 영업이익은 146조2000억원에서 86조6689억원으로 40.7%나 급감했다. 매출에서 R&D 비용이 차지하는 비중은 2018년 2.88%에서 지난해는 3.13%로 0.25%포인트 높아졌다.이는 실적 악화에도 주요 기업들이 미래 성장동력 확보를 위한 R&D 투자에 적극적으로 나선 것으로 풀이된다. 셀트리온이 매출 1조1285억원 가운데 26.9%(3031억원)를 투자해 500대 기업 중 R&D 비중이 가장 높았다. 네이버와 넷마블은 각각 26.0%, 21.1%로 2, 3위를 차지했다.이어 한미약품(18.8%), 엔씨소프트(18.2%), 한화시스템(16.7%), 카카오(15.2%), 대웅제약(14.0%), 종근당(12.8%), SK하이닉스(11.8%) 등이 매출액 대비 R&D 비중 톱10에 이름을 올렸다.상위 10개 사에는 포함되지 않았지만, 녹십자도 11.0%로 10%를 넘었다.업종별로는 제약이 13.8%로 유일하게 10%를 넘겼고, 정보기술(IT)·전기전자(8.1%), 서비스(7.3%), 자동차·부품(3.0%), 조선·기계·설비(2.6%)가 뒤를 이었다. 생활용품(1.8%) 및 통신(1.3%)은 1%대였고 공기업·석유화학(각 0.8%), 건설 및 건자재·철강(각 0.7%), 식음료(0.6%), 운송·기타(각 0.3%), 유통·상사(각 0.1%), 에너지(0.04%) 등은 1% 미만이었다.R&D 투자비 지출이 가장 많은 기업은 삼성전자였다. 삼성전자는 지난해 20조2076억원을 투자해 전년보다 8.3%(1조5456억원) 늘렸다.이어 LG전자(4조344억원), SK하이닉스(3조1885억원), 현대자동차(3조389억원), LG디스플레이(1조7763억원), 기아자동차(1조7682억원), 네이버(1조7122억원), LG화학(1조1310억원) 등이 1조원 이상 투자했다.반면 서울도시가스는 지난해 R&D 투자액이 전무한 것으로 밝혔다. 코오롱글로벌(0.004%)과 대림코퍼레이션(0.01%), 현대엔지니어링(0.02%), SK인천석유화학(0.03%), GS리테일(0.04%), 금호산업(0.06%), SK에너지(0.07%), 삼성엔지니어링 (0.08%), 남해화학(0.09%)은 0.1%에도 못 미쳤다.전병역 기자 junby@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
