,title,date,content
0,계열사 자금 차입 돕고자 ‘750억 무상 담보’···아모레퍼시픽 ‘부당지원’ 공정위 제재,2020.04.06,"화장품 제조·판매 대기업집단인 아모레퍼시픽이 계열사의 공장 신축에 필요한 자금 차입을 돕기 위해 수백억원의 예금 담보를 무상으로 부당 지원했다가 공정거래위원회 제재를 받게 됐다.공정위는 공정거래법상 부당지원 혐의로 아모레퍼시픽의 지주사 아모레퍼시픽그룹과 계열사 코스비전에 시정명령과 총 9600만원의 과징금을 부과하기로 결정했다고 6일 밝혔다. 공정거래법은 총수일가 등 특수관계인이나 계열사에 상당히 유리한 조건으로 대여금·용역 등을 제공해 거래하는 행위를 금지한다.공정위 조사 결과 아모레퍼시픽의 화장품 제조 계열사 코스비전은 판매 계열사 이니스프리와 에뛰드 등을 통한 제품 판매가 늘어나자 2013년 생산능력을 늘리기 위해 신공장 건설을 추진했다. 그러나 2015년부터 당기순이익이 감소하는 등 경영상황 악화로 금융기관에서 신공장 건설에 필요한 대규모 자금을 끌어오기 어려운 상황에 직면했다.이러한 상황에서 아모레퍼시픽그룹이 코스비전의 자금 차입을 돕는 해결사로 나섰다. 코스비전이 시설자금 600억원을 산업은행에서 차입할 수 있도록 아모레퍼시픽그룹이 자사의 750억원 상당 우리은행 정기예금을 코스비전에 담보로 무상 제공한 것이다. 코스비전은 이 같은 담보 지원을 바탕으로 산업은행의 시설자금 600억원을 1.72~2.01% 저리로 끌어올 수 있었다.공정위는 아모레퍼시픽그룹의 무상 담보 제공행위를 공정거래법이 금지하는 ‘계열사 부당지원’으로 판단했다. 코스비전이 아모레퍼시픽그룹의 정기예금을 담보로 적용받은 금리가 신용 조건을 담보했을 때의 금리(2.04~2.33%)보다 13.7% 이상 낮았기 때문이다. 결국 아모레퍼시픽그룹의 무상 담보 제공으로 코스비전이 해당 금리차이 만큼의 수익(약 1억3900만원)을 거뒀다는 것이 공정위 판단이다. 공정위는 “코스비전이 과다한 경제상 이익을 제공 받았다”고 밝혔다.공정위는 코스비전이 아모레퍼시픽그룹의 무상 담보지원을 통한 자금 차입을 토대로 2016~2017년 화장품 제조시장에서 경쟁력을 높일 수 있었다고 판단했다. 신공장을 건축해 화장품 제조·포장능력을 40~50% 이상 향상시켰고, 국내 화장품 OEM(주문자 위탁생산) 및 ODM(생산자 개발생산) 시장에서 3위 사업자의 지위를 유지했다고 봤다. 이 과정에서 아모레퍼시픽의 OEM 및 ODM 점유율은 매해 늘어 2017년 48.5%에 이르렀다.공정위는 이에 대해 “아모레퍼시픽그룹의 지원으로 코스비전이 유력 사업자의 지위를 유지·강화하면서 관련 시장에서 공정한 거래가 저해됐다”고 설명했다.다만 공정위는 아모레퍼시픽그룹의 부당 지원이 생존이 위태로운 한계기업을 살리거나 총수일가 계열사에 일감을 몰아주는 등의 사익편취에 해당하지 않는다고 판단했다. 공정위는 “금리차이로 인한 부당이득 규모가 현저하게 크지 않고, 차입자금이 실제 신공장 건축에 전액 활용됐다”고 밝혔다.아모레퍼시픽 측은 “공정위 결정을 존중한다”며 “앞으로 유사한 일이 발생하지 않도록 경영 활동에 신중을 기하고, 기업으로서 사회적 책임을 다하기 위해 지속적으로 노력하겠다”고 밝혔다.박광연 기자 lightyear@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
1,아모레퍼시픽그룹 22억원 규모 물품 기탁,2020.11.05," 아모레퍼시픽그룹은 ‘아리따운 물품나눔’을 통해 사랑의열매 사회복지공동모금회에 22억5000만원 규모의 화장품과 생활용품 등을 기탁했다고 5일 밝혔다.아모레퍼시픽그룹의 한율, 려, 메디안, 이니스프리 등 14개 브랜드가 참여했으며 기부 물품은 1500여개 사회복지시설에 전달된다. 아모레퍼시픽그룹은 2005년 ‘사랑의 물품나눔’이라는 이름으로 기부 활동을 시작했다. 올해는 상·하반기에 모두 72억5000만원 상당 물품을 4500여개 사회복지시설에 기부했다.김지원 기자 deepdeep@kyunghyang.com▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
2,"공정위, 지위남용 혐의 아모레퍼시픽에 과징금 5억 재부과",2020.01.15,"ㆍ방판 대리점 판매원 일방 재배치ㆍ법원 판결 취지 맞춰 피해 재산정화장품 제조·유통 대기업인 아모레퍼시픽이 매출이 부진한 방문판매 대리점에 불이익을 줄 목적으로 대리점 소속 판매원들을 일방적으로 재배치했다가 수억원의 과징금을 물게 됐다.15일 공정거래위원회에 따르면 아모레퍼시픽은 거래상 지위남용 혐의로 지난달 공정위로부터 시정명령과 과징금 5억원을 재부과받았다. 공정위가 앞서 제재했던 같은 사건에 대한 법원의 패소 판결 취지에 따라 피해 대리점 규모를 재산정해 다시 제재한 것이다. 아모레퍼시픽은 2005~2013년 방문판매원 3482명을 기존 소속과 다른 대리점에 일방적으로 재배치했다. 화장품 방문판매 유통경로를 확대하는 동시에 매출이 부진한 대리점을 배제할 목적으로 이러한 ‘세분화 전략’이 집행됐다. 공정위는 2014년 과징금 5억원을 부과했으나 법원은 “세분화 전략이 문제가 있지만 불이익이 가해졌는지는 대리점별로 따져야 한다”며 2017년 공정위의 제재를 전부 취소했다.판결 취지에 따라 공정위는 불이익을 받은 대리점 범위를 2007~2012년 소속 방문판매원을 2~3회 빼앗긴 24개 대리점으로 추렸다. 소속 방문판매원을 1회 빼앗긴 149개 대리점에 대해서는 “강압을 받았다 보기 어렵고, 앞서 방문판매원을 유사하게 지원받았다”며 불이익을 인정하지 않았다. 그러나 2~3회 빼앗긴 대리점들에 대해서는 아모레퍼시픽의 강압에 따라 예상치 못한 손해를 입었다며 불이익을 인정했다. 공정위는 “대리점 운영에 심각한 지장을 초래했다”고 지적했다.아모레퍼시픽 관계자는 “공정위의 과징금 재부과 결정을 존중한다”며 “2013년부터 동반성장협의회를 운영하며 문제로 지적된 대리점 거래관행을 줄여가고 있다”고 말했다.지난해 10월 국정감사에서 더불어민주당 고용진 의원은 공정위가 법원 확정판결 이후 2년 넘게 과징금 재부과 처분을 내리지 않고 있다며 “대기업 봐주기”라고 비판했다. 공정위 관계자는 “판결 취지에 따라 위법행위를 판단하고 추려내는 작업에 시간이 걸렸다”고 말했다.박광연 기자 lightyear@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 최신기사▶ 기사 제보하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
3,"아모레 회장 딸 서민정씨, 보광창투 회장 아들 홍정환씨와 결혼",2020.10.18," 아모레퍼시픽 서경배 회장의 장녀 민정씨(29)와 보광창업투자 홍석준 회장의 장남 정환씨(35)가 19일 결혼식을 올린다. 아모레퍼시픽 그룹 2대 주주이자 30세 이하 ‘주식부자’ 1위로 꼽히는 서민정씨가 ‘범삼성가’인 보광그룹 자제와 결혼을 하면서 아모레퍼시픽도 삼성가(家)와 혼맥을 맺게 됐다.18일 업계에 따르면 해당 결혼식은 약혼식 장소와 같은 서울 장충동 신라호텔에서 친·인척 등 초대 없이 양가 직계 가족 및 친구들만 참석한 가운데 비공개로 진행될 예정이다.앞서 지난 6월27일 열린 약혼식 때는 홍라희 전 리움미술관장, 이부진 호텔신라 사장, 이서현 삼성복지재단 이사장, 홍석현 전 중앙일보 회장의 장남인 홍정도 중앙일보 발행인, 홍석조 BGF그룹 회장 등이 참석했다. 홍석준 보광창투 회장은 홍라희 전 관장, 홍석현 전 회장, 홍석조 회장의 동생이다. 약혼식 당시 범삼성가 인물들이 다수 참석하면서 식장 주변에 경호원 30여명이 배치돼 화제를 낳기도 했다.서민정씨는 미국 코넬대 경제학과를 졸업한 뒤 글로벌 컨설팅 회사인 베인앤드컴퍼니에서 일했다. 2017년 아모레퍼시픽에 경력사원으로 입사해 근무하다 중국에서 경영학 석사 과정을 마쳤다. 지난해 10월 아모레퍼시픽에 재입사한 서씨는 현재 뷰티영업전략팀 과장으로 근무 중이다. 그룹 지분의 2.93%를 보유해 부친에 이어 2대 주주인 그는 아모레퍼시픽의 차기 경영 후계자로 꼽힌다.홍정환씨는 보광창투에서 투자심사 총괄 업무를 맡고 있으며, 지주사인 BGF(0.52%)와 BGF리테일(1.56%) 등 보광그룹 지분도 보유하고 있다.김지원 기자 deepdeep@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
4,"틱톡X아모레퍼시픽 ‘라네즈’, MZ세대 소통 위해 손잡는다",2020.05.15,"뷰티업계까지 뻗친 글로벌 틱톡의 영향력, 라네즈와 단독 챌린지 진행짧아서 확실한 행복, 틱톡(TikTok)과 아모레퍼시픽의 프리미엄 수분 기능성 브랜드 ‘라네즈’가 MZ세대와의 새로운 소통을 위해 손잡는다고 밝혔다. 현재 라네즈는 이처럼 트렌드를 주도하는 MZ세대를 뉴 타깃으로 차별화된 브랜드 경험 제공을 위한 다양한 마케팅 활동을 전개 중이다. 이에 시너지를 더해줄 영향력 있는 파트너로 틱톡을 선택했다. 틱톡과 라네즈는 다음달 11일부터 22일까지 ‘갈증은 우리를 빛나게 하니까(Thirst For Life)’ 콜라보 챌린지를 전개한다. 이번 챌린지는 라네즈의 ‘갈증은 우리를 빛나게 하니까’(Thirst For Life) 캠페인의 일환으로, 피부 갈증에 강력한 수분공급 효과를 지닌 신제품 ‘라네즈 워터뱅크 에센스’처럼 ‘삶에 대한 갈증은 우리를 빛나게 한다’는 키 메시지를 중심으로 한다. MZ 세대의 더욱 빛나는 삶을 응원하고자 기획된 가운데, 숏폼 콘텐츠 선두주자 틱톡과의 이색 만남이 눈길을 끈다. 챌린지 참여 방법은 간단하다. #ThirstForLife 스티커와 송을 이용해 (삶의 갈증에 대한) 나만의 영상을 제작 후 필수 해시태그 #ThirstForLife #WBE #Waterbank와 함께 영상을 업로드하면 된다. 참가자 전원에게는 아리따움에서 사용 가능한 워터뱅크 라인 할인 쿠폰이 증정된다. 챌린지 종료 후엔 영상 심사를 거쳐 지난 2002년 출시 후 국내외 누적 판매 1,000만 개를 넘어선 라네즈 워터뱅크 에센스 리미티드 에디션 등 차별화된 제품 체험 혜택이 선물될 예정이다.   틱톡 관계자는 “틱톡은 지난 4월 전 세계에서 가장 인기 있는 앱으로 선정될 만큼, 현재 MZ세대의 전폭적 지지와 사랑을 받는 글로벌 쇼트 비디오 플랫폼이다”라며 “숏폼 콘텐츠를 이끄는 글로벌 틱톡의 영향력이 뷰티업계까지 전달되며 이번 라네즈와의 콜라보 챌린지가 성사된 것”이라고 전했다. 이어 “라네즈와의 단독 브랜드 콜라보는 뷰티업계에서도 MZ 세대에 대한 틱톡의 글로벌 영향력이 다시 한번 인정받고 있다는 의미”라며 “MZ세대인 틱톡커들의 더욱 빛나는 삶을 향한 열정과 응원이 이번 챌린지를 통해 잘 전달되길 바란다”고 설명했다.▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
5,"롯데백화점, 코로나19 비대면 트렌드 반영한 뷰티 매장 ‘아모레스토어’ 문 연다",2020.06.03," 롯데백화점과 아모레퍼시픽이 코로나19에 따른 비대면 소비 수요를 위해 새로운 형태의 뷰티 매장 ‘아모레스토어’를 오는 5일 롯데백화점 청량리점에 연다고 3일 밝혔다.아모레스토어는 롯데백화점과 아모레퍼시픽이 3년간의 준비 끝에 선보인 체험형 매장이다.약 165㎡(50평)의 공간 안에서 설화수와 헤라, 프리메라 등 아모레퍼시픽의 대표 브랜드 제품 1400개를 만날 수 있다.아모레스토어는 코로나19 이후 확산한 비대면 소비를 위해 새로운 체험 서비스를 준비했다.먼저 체험공간인 ‘언택트존’에서는 고객들이 피부 고민, 색조, 신제품 등 카테고리별로 원하는 상품을 한 자리에서 비교할 수 있다. 직원이 없어도 QR코드로 제품 설명을 볼 수 있는 서비스도 마련됐다.또 화장품을 얼굴에 직접 바르지 않아도 자신에게 잘 어울리는지 확인할 수 있는 증강현실(AR) 메이크업 체험 서비스도 제공된다.서비스를 원하는 고객이 매장 기기로 자신의 얼굴을 촬영한 후 제품을 선택하면 화면 속 얼굴에 메이크업이 자동으로 적용되는 시스템이다. 아모레스토어는 미용에 관심에 많은 밀레니얼 세대(1980∼2000년대생)를 겨냥해 매장에 상주하는 뷰티 전문가가 고객에게 맞는 메이크업, 스킨케어를 추천하는 ‘딥 카운셀링’ 서비스도 진행한다.이와 함께 애플리케이션을 통해 사전 예약을 하면 일대일 메이크업 조언을 받을 수 있는 ‘마이픽 서비스’, 매장 제품을 안내받을 수 있는 ‘도슨트 서비스’도 제공된다.한편 롯데백화점은 아모레스토어 오픈을 기념해 6월 한달 동안 경품, SNS 이벤트, 향수 시향회, 사은품 증정 등 매주 다양한 이벤트를 진행할 예정이다. 정유미 기자 youme@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
6,[여적] 재벌가 혼맥,2020.12.16," 1988년 9월, 노태우 전 대통령 취임 7개월이 됐을 때다. 청와대 영빈관에서는 이현재 전 국무총리 주례로 성대한 결혼식이 열렸다. 최태원 SK그룹 회장과 노 전 대통령의 딸 노소영 아트센터나비 관장이 주인공으로, 재벌가 혼맥 연결의 상징적 사건이었다. 예로부터 재벌가는 사세 확장이나 ‘보험용’으로 유력 정치인, 관료 집안이나 다른 재벌과 혼사를 늘려왔다. 대표적인 재벌가 혼맥은 삼성과 중앙일보의 결합이다. 이건희 삼성전자 회장의 장인은 이승만 정부 때 법무·내무부 장관을 지낸 홍진기 전 중앙일보 회장이다. 한진그룹 조양호 회장은 1973년 당시 이재철 교통부 차관의 장녀 이명희씨와 결혼했다. 대한항공을 관리·감독하는 중앙부처 실세와 사돈이 된 것이다.2~3세로 오면서 정·관계와의 ‘정략결혼’은 크게 줄고, 재벌끼리 혼사는 더 얽히고설켰다. 폭넓은 혼맥을 자랑하는 재벌은 국내 최대 기업 삼성이 아니라 LG나 GS다. 언론 집안과의 혼맥도 눈에 띈다. 서경배 아모레퍼시픽 회장의 장녀 서민정씨는 지난 10월 중앙홀딩스 홍석현 회장의 동생 홍석준 보광창업투자 회장의 장남 홍정환씨와 결혼식을 올렸다. 한편으론 반듯하고 학벌 좋은 일반인과의 혼인도 증가했다. 정몽준 아산사회복지재단 이사장의 장남 정기선 현대중공업 부사장은 7월 교육자 집안 여성과 혼인했다. 10년 사내연애 끝에 일반 직원과 결혼한 김동관 한화솔루션 대표도 그렇다.CEO스코어가 총수 있는 55개 대기업집단의 혼맥을 분석해보니, 317명 가운데 대기업 가문과 혼인한 비중이 153명(48.3%)이었다고 한다. 이 수치가 부모 세대는 46.3%였고 자녀 세대에선 50.7%로 늘었다. 반면 정·관계 집안과의 혼사는 부모 때 28%에서 자녀 세대는 7%로 급감했다.정치적 민주화가 진전되면서 노골적인 ‘정경유착’식 혼맥은 눈에 띄게 줄어들었다. 몸집이 커진 재계에서 과거의 개발연대 시대만큼 정치인·관료 집안과의 연 맺기에 공들이지 않는 것일까. 그보다는 재벌끼리 ‘그들만의 리그’를 굳혀서 부의 확대재생산과 대물림에 치중하겠다는 계산일까. 일감 몰아주기 견제 같은 경제 민주화가 더 중요해진 현실이 혼맥 지도로도 읽힌다.전병역 논설위원 junby@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
7,"GS칼텍스, 친환경 ‘2,3-부탄다이올’ 판매 전년 대비 10배 '쑥'",2020.12.10," GS칼텍스가 천연 원료를 활용해 세계 최초로 생산 공정을 산업화한 ‘2,3-부탄다이올’의 올해 누적 판매량이 전년 동기 대비 10배 이상 증가했다고 10일 밝혔다.GS칼텍스가 9년여 연구 끝에 지난해 양산에 성공한 2,3-부탄다이올은 최근 친환경적 가치와 제품 자체의 우수성으로 시장에서 높은 평가를 받고 있다. 2,3-부탄다이올은 꿀이나 채소, 어류 등에도 포함된 천연 물질이지만, 고품질 제품을 안정적으로 생산해 내는 데에는 한계가 있었다. GS칼텍스는 자연에서 미생물을 추출해 발효·정제 과정을 거쳐 안정적으로 이 물질을 생산하는 기술과 공정을 개발해 양산하고 있다. 현재는 주로 화장품 보습제의 원료 물질로 쓰이며, 기존에 널리 쓰이는 화학물질 부틸렌글라이콜(1,3-부탄다이올)을 대체하는 무독성·무자극 원료로 손꼽힌다. LG생활건강, 아모레퍼시픽 등에 공급하고 있으며, 향후 작물보호제나 식품첨가제, 고분자 가소제 등으로 활용하기 위한 연구개발도 진행 중이다.친환경 화장품 국제 인증인 코스모스(COSMOS)와 미국 농무부의 ‘100% 바이오’ 제품 인증도 받았다. 바이오 공정으로 생산되는 만큼 비슷한 물질을 생산하는 화학 공정에 비해 온실가스 발생량과 에너지 사용량을 40% 이상 줄일 수 있다고 GS칼텍스는 설명했다.허세홍 GS칼텍스 사장은 “생태계에 존재하는 천연 물질을 활용한 제품으로 친환경 소비 독려 측면에서 지속가능한 가치를 창출할 수 있다”며 “친환경 제품을 통해 사회적 책임 이행과 동시에 경제적 가치를 창출해 나가겠다”고 말했다.정환보 기자 botox@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
8,"[2020 경향광고대상]자신있으니까, 홍보 아닌 효능 전달",2020.12.02,"동상 아모레퍼시픽 설화수의 대표 안티에이징 제품, 자음생에센스에 보내주신 관심과 사랑에 깊은 감사의 말씀을 드립니다. 이희복 전무설화수는 혁신적인 한방 피부 과학으로 시간의 흐름에도 건강하게 빛나는 아름다움을 선사하는 한국 대표 럭셔리 뷰티 브랜드입니다. 1966년 ABC인삼크림으로 시작한 설화수의 인삼 연구는 피부에 놀라운 변화를 일으키는 고려 인삼 속 핵심 효능 성분인 진세노믹스™를 탄생시키며 50여년의 시간을 넘어 오늘도 진화하고 있습니다. 성분의 효능을 극대화하고 유효 성분을 피부에 전달하는 독보적 기술력이 더해져 탄생한 설화수 자음생에센스는 한국과 중국을 비롯, 글로벌 시장에서 많은 고객들에게 사랑받고 있는 제품입니다.설화수는 뛰어난 제품력을 기반으로 제품 효능 자체에 집중한 광고 활동을 펼쳐왔습니다. 인삼의 생명력을 6000배 이상 농축한 진세노믹스™로 쉽게 무너지지 않는 탄탄한 피부를 완성하는 자음생에센스의 이번 광고 역시 탄력 효능 전달에 집중했습니다. 빈틈없이 촘촘한 선들을 활용한 3중 오브제로 일차원적인 탄력이 아닌, 채우고 세우고 당기는 ‘3중 마이크로 타게팅’이라는 메시지를 주목도 있게 표현했습니다. 특히 제품을 중심으로 선들이 뻗어나가는 모습을 통해 힘있게 차오르는 탄탄한 힘, 자음생에센스만의 탄력을 효과적으로 전달하고자 했습니다. 이번 수상을 통해 설화수 브랜드와 자음생에센스를 사랑해주시고 아껴주신 모든 분들께 감사의 인사를 드립니다. 설화수는 더 혁신적이고 진보한 피부 솔루션을 통해 모든 여성들이 본연의 아름다움을 자신있게 누릴 수 있도록 앞으로도 더 노력하겠습니다. 감사합니다.이희복 전무▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
9,화장품 업계 첫 ‘리필 스테이션’ 운영,2020.10.27,"‘아모레스토어 광교’ 샴푸·보디워시 제품 ‘원하는 양’만 구입 아모레퍼시픽이 국내 화장품 업계 최초로 소비자들이 샴푸, 보디워시 제품의 내용물만 원하는 만큼 구입할 수 있는 판매방식을 도입했다.아모레퍼시픽은 지난 20일 문을 연 ‘아모레스토어 광교’ 매장 내에 샴푸와 보디워시 제품의 내용물만 소분해 판매하는 ‘리필 스테이션’을 운영한다고 27일 밝혔다. 소비자는 샴푸와 보디워시 15개 제품 가운데 희망하는 제품의 내용물을 원하는 만큼, 코코넛 껍질로 만든 리필용 용기에 담는 형태로 구매할 수 있다. 소비자들은 내용물의 무게를 측정해 g당 가격을 지불하게 된다.리필용 용기는 재활용이 가능하고 내용물은 상시 할인하기 때문에 상대적으로 저렴한 가격에 물품을 구입하는 동시에 환경 보호도 가능하다. 아모레퍼시픽 관계자는 “상품별로 가격이 다르지만 대체로 일반 용기 제품 가격의 절반 수준”이라고 말했다.아모레퍼시픽은 리필 제품은 제조 후 100일 이내의 내용물을 사용하며, 리필에 앞서 자외선 LED 램프를 이용해 용기를 살균처리하는 등 이용 고객들에게 안심할 수 있는 환경을 제공한다고 설명했다. 아모레퍼시픽 관계자는 “리필 상품과 판매 방식의 변화라는 시대적 요구에 맞춰 리필 스테이션을 처음 선보이게 됐다”며 “새로운 경험과 친환경 가치, 수준 높은 서비스로 고객들의 높은 호응이 기대된다”고 했다.김지원 기자 deepdeep@kyunghyang.com▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
