,title,date,content
0,현대건설-동반성장펀드 600억 추가해 업계 최대 1600억 확대,2020.10.28," 현대건설이 코로나19로 인한 불확실성으로 대·내외적 어려운 시기에도 대·중소기업 간 소통을 강화하고 다양한 금융지원 프로그램 제공으로 협력사와 상생협력을 이끌며 지속 가능한 경영에 적극 앞장서고 있다. 금융지원 프로그램에는 동반성장펀드 1600억원으로 증액, 계약이행보증수수료 지원, 직접대여금 상환 유예, 추석 연휴 전 협력사 납품대금 조기 지급 등이 포함된다. 현대건설은 건설업계 최고 수준인 신용을 바탕으로 상대적으로 자금난을 겪는 협력사에 유동성을 지원해 재무 안정성을 강화하는 한편 협력사와의 상생협력과 동반성장을 위해 지속적으로 노력하고 있다. 현대건설은 올해 하반기부터 동반성장펀드 규모를 기존 1000억원에서 1600억원으로 확대한다. 이는 업계 최대 규모이며 전보다 더 많은 협력사들이 자금 융통을 지원받을 수 있는 기회를 넓힐 계획이다. 동반성장펀드는 현대건설이 시중 금융기관에 자금을 예치하면 해당 은행에 대출을 요청한 협력업체에 시중 금리보다 낮은 이자로 대출 혜택을 주는 제도다.▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
1,현대건설-코로나로 어려운 대구·경북에 생계지원키트·헌혈증 지원,2020.07.29," 현대건설이 지역사회 이웃들에게 온정의 손길을 전하며 코로나19 극복에 힘을 보탰다.현대건설은 최근 서울 종로구 계동에 위치한 본사 사옥에서 어려움을 겪고 있는 대구·경북·부산지역의 주민들을 위한 생계지원키트(생필품·식료품·손 세정제 등)를 ‘플랜코리아’에 전달했다. 플랜코리아는 국내외 교육, 보건·생계유지 및 긴급재난구호활동 등을 수행하는 국제구호개발 비정부기구(NGO)로 유엔 경제사회이사회 협의기구다. 2019년 한 해 동안 현대건설 임직원이 모은 헌혈증 500장도 함께 도움이 필요한 곳에 전달됐다. 현대건설은 지난해 임직원들이 모금한 ‘사랑나눔기금’으로 어려움을 겪고 있는 대구·경북·부산지역의 주민들에게 생계지원키트 700개를 기부했다. 해당 키트는 플랜코리아를 통해 코로나19 사태로 식료품 및 생필품 지원이 원활치 않은 곳에 전달됐다. 현대건설은 2010년부터 매년 임직원들이 자발적으로 급여의 일정 금액을 내서 조성하는 사랑나눔기금으로 국내외 소외계층을 지원하고 있다. 헌혈 부족난 해소를 위해 임직원 헌혈 캠페인도 실시했다. 헌혈 캠페인은 임직원 총 138명이 자발적으로 참여해 철저한 간격 유지와 사전 체온검사를 거쳐 진행했다. 현대건설 임직원들은 매년 분기별 헌혈 캠페인을 실시해 헌혈증을 모으고 있다.▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
2,"총사업비 7조, 역대 최대 규모 재개발…현대건설 ‘한남 3구역’ 따냈다",2020.06.21,"2차 결선 투표서 대림산업 제쳐 역대 최대 재개발 사업으로 꼽히는 한남3재정비촉진구역(한남3구역) 시공사로 현대건설이 선정됐다.한남3구역 재개발 조합은 21일 서울 강남구 삼성동 코엑스에서 시공사 선정 임시총회를 열고 현대건설을 시공사로 선정했다. 현대건설과 대림산업, GS건설이 수주전에 참여했고, 1차 투표에서 현대건설과 대림산업이 1·2위를 차지했으나 참여 조합원(2801명)의 과반수 지지를 받은 곳이 없어 2차 결선 투표가 열렸다. 결국 현대건설이 1409표를 받아 1258표를 받은 대림산업을 제쳤다.한남3구역 재개발 사업은 서울 용산구 한남동 686번지 일대에 지하 6층∼지상 22층, 197개동, 5816가구(임대 876가구 포함)와 근린생활시설을 조성하는 사업이다. 총사업비 약 7조원, 예정 공사비만 1조8880억원에 달해 역대 최대 규모 재개발 사업으로 불린다. 2003년 뉴타운 지정 이후 2009년 정비구역 지정, 2012년 조합설립인가, 2017년 서울시 건축심의 통과를 거쳐 지난해 3월 말 사업시행인가 후 1년3개월 만에 시공사 선정이 마무리됐다.지난 8월 수주자 입찰 첫 공고가 난 이후에도 수주전이 과열되는 등 우여곡절이 많았다. 현대건설 등 3개사의 입찰 과정에서 다수 위법사항이 발견돼 지난해 11월 국토교통부와 서울시가 입찰을 무효로 하고 검찰에 3개사에 대한 수사를 의뢰하기도 했다. 지난 2월 검찰이 건설사들에 무혐의 처분을 내리면서 조합은 재입찰 절차를 시작했다. 재입찰 절차가 시작된 지 얼마 지나지 않아 코로나19 확산 탓에 일정이 더 미뤄졌고, 시공사 선정 총회 장소가 급히 변경되기도 했다.윤승민 기자  mean@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
3,"[단독]현장 노동자 코로나에도…현대건설, 해외 공사 강행",2020.05.20,"현대건설 등이 쿠웨이트에서 진행 중인 대규모 액화천연가스(LNG) 터미널 공사 현장에서 90명 넘는 코로나19 확진자가 나왔지만, 제대로 된 방역 조치나 정보 공유 없이 공사가 이뤄지고 있다는 주장이 나왔다. 천문학적 지연 배상금을 피하기 위해 무리하게 공사를 강행하고 있다는 것이다. 현대건설 측은 열악한 현지 상황에서도 최선을 다하고 있다며 의혹을 부인했다.쿠웨이트 LNG터미널 확진자 90명 넘어…대부분 외국인 협력업체 노동자 “출근 압박”…현대 측 “방역 최선 다해” 문제가 된 현장은 쿠웨이트 국영석유회사(KNPC)가 남부 알주르에 발주한 LNG 터미널 건설 사업이다. 이 공사는 현대엔지니어링·현대건설·한국가스공사가 2016년 컨소시엄을 구성해 수주했다. 현대건설은 LNG저장탱크 건설을 맡았다. 공사 규모는 3조6000억원으로 연내 준공을 목표로 진행 중이다.이곳에서 지난 2월부터 일해온 ㄱ협력업체 소속 ㄴ씨는 원청 시공사인 현대건설이 코로나19 방역 조치와 각종 정보 공유에 소극적인 탓에 불안한 노동 환경 속에서 일하고 있다고 19일 말했다. ㄴ씨는 “지난달 15일 첫 확진자 발생 이후 꾸준히 확진자가 나오자 현대건설은 현장 ‘셧다운’을 선언했지만 이후 ‘우리들은 나올 테니 너희들은 알아서 하라’라는 식으로 사실상 출근을 압박했다”며 “필수 인력 이상의 노동자들이 나와서 일했다”고 말했다.실제 현대건설은 지난달 18일 현지 협력업체에 “코로나19 확산에 따라 현장을 일시적으로 ‘셧다운’ 한다”고 공지했다. 그러나 공사는 중단되지 않았다. 경향신문이 확보한 녹취록에는 지난 9일 현대건설 측과 만난 협력업체 관계자가 “(현대건설 관계자가) ‘셧다운인데, 안 나오면 결근’이라고 한다. (너희들 건강) 책임질 사람 한 명도 없어”라고 말하는 내용이 담겼다. 현대건설 측이 협력업체들에 방역조치를 떠맡긴 채 뒷짐만 지고 있다는 주장도 제기됐다. ㄴ씨는 “4월 초부터 현대건설 측에 방역과 관련한 구체적 지침과 대책을 마련해달라고 요구했지만 아무런 반응이 없었다”고 말했다.‘공기 못 맞추면 거액의 배상금’ 공사 중단 못하는 현실도“현대건설 만의 문제 아냐…정부가 외교적 해결 나서야”현대건설 관계자는 “한국에서 마스크 대량 구매가 막혀 어려웠지만 손세정제를 보내는 등 나름대로 최선을 다했다”고 말했다. ‘안 나오면 결근’이라는 관계자 발언에 대해서도 “표현이 과할 수는 있지만, (그 말이 현대건설) 전체를 대변하는 것은 아니다”라고 했다. 또 “현장에서 셧다운이라는 표현을 쓰긴 했지만 ‘슬로다운’이 맞다. 며칠만 방치해도 자재가 망가지기 때문에 관리 차원에서 최소 인력만 나오라고 했다”고 말했다.19일까지 이 현장에서 나온 확진자는 모두 91명(완치자 포함)이다. 이곳에는 현대건설 소속 직원 100여명과 협력업체 직원 200명 등 300여명의 한국인이 있다. 인도, 필리핀 등에서 온 이주노동자는 수천명에 달하는 것으로 전해졌다.현대건설 측은 열악한 현지 상황을 고려해야 한다고 말했다. 한 관계자는 “쿠웨이트는 하루에도 1000명씩 확진자가 나온다”며 “2만명의 인력 중 91명이면 많은 숫자가 아니다”라고 했다. 쿠웨이트에서는 지난 18일 기준 1만5691명이 확진 판정을 받았다. 이날 하루만 841명이 추가됐다.경향신문이 확보한 현대건설·협력업체 간 단체채팅방 대화 내용을 보면 현장에서 확진자가 16명째 나온 지난달 27일 현대건설 한 관계자는 연령대별 코로나 사망자 그래프를 보내며 이를 외국인 노동자들에게 전달하라고 지시했다. ㄴ씨는 “젊은이들은 걸려도 죽지 않으니 일하라는 것 아니면 무엇이냐”고 말했다. 작업은 17일부터 ‘점진적 재개’ 상태다.현대건설이 파악 중인 현장 내 확진자 91명 중 다수가 외국인이다. 쿠웨이트를 비롯한 대부분 중동 국가 또한 외국인 노동자 의존도가 높아 비슷한 문제가 발생하고 있다. 현대건설 관계자는 “외국인 노동자들에게 개인 위생을 철저히 하라고 지시했지만, 숙소가 붙어 있고 위생 관념도 약하다”고 말했다.현대건설이 공사를 멈추지 못하는 배경에는 계약서에 명시된 공사 기한을 맞추지 못할 경우 발생하는 지연배상금이 있다. 발주처가 전염병을 천재지변으로 인정하지 않을 경우 꼼짝없이 거액의 배상금을 물어야 한다. 해외에 진출한 국내 건설회사 중 코로나19 같은 전염병이 계약 조건상 ‘불가항력 조항’으로 포함됐다고 한 곳은 24%에 불과하다는 한국건설산업연구원 조사도 있다. 현대건설 관계자는 “공기, 배상금 등과 관련해 발주처인 KNPC와 협의 중”이라며 “공기를 맞추기 위해 무리하게 (인력을) 투입하지 않을 것”이라고 밝혔다.정부 차원의 대책이 필요하다는 지적도 나온다. 건설기업노조 김지용 부장은 “발주처인 쿠웨이트 국영기업이 공사를 중단하라고 하지 않는 이상 시공사가 천문학적 배상을 감당하면서 나서기는 어렵다”며 “문제 해결을 위해 국가가 상대 정부와 협상을 하는 등 외교적 노력이 필요하다”고 말했다.최민지 기자 ming@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
4,"현대건설, 파나마서 ‘3조3000억’ 모노레일 공사 따냈다",2020.02.05,"ㆍ포스코건설·현대엔지니어링과 공동 수주…신시장 진출 성공현대건설이 파나마에서 3조3000억원에 이르는 모노레일 공사를 공동수주하며 신시장 진출에 성공했다.현대건설은 파나마 메트로청이 발주한 ‘파나마 메트로 3호선 공사’를 포스코건설·현대엔지니어링과 컨소시엄을 구성해 공동수주했다고 5일 밝혔다. 공사 금액은 28억1100만달러(약 3조3000억원)에 이른다. 이번 공사는 파나마시티와 수도 서쪽을 연결하는 총연장 25㎞ 모노레일을 짓는 것으로, 파나마에서 추진한 인프라 건설사업 중 역대 최대 규모다. 공사 기간은 착공일로부터 54개월이다.파나마 정부는 메트로 3호선이 완공되면 파나마시티 서쪽에 거주하는 주민들의 교통난을 해결할 수 있을 것으로 기대하고 있다.컨소시엄에 참여하게 된 회사의 지분은 현대건설이 51%(1조7000억원)로 가장 많다. 포스코건설과 현대엔지니어링은 각각 29%, 20%를 갖는다.현대건설 컨소시엄은 지난해 11월 입찰평가 결과에서 기술, 상업, 금융 모든 부문에서 글로벌 경쟁사들을 제치고 최고점을 받았다. 이번에 공사를 수주할 수 있었던 데는 현대건설 컨소시엄이 파나마 메트로 3호선과 유사한 국내외 대형 메트로 공사를 수행한 경험에다 높은 기술력과 공기 준수 능력 등을 인정받은 것으로 보인다.현대건설 관계자는 “이번 수주를 통해 중남미에서도 현대건설의 토목사업 부문 경쟁력과 우수성을 입증했다”며 “향후 지속적인 시장 다변화 전략으로 수주 확장에 힘쓸 것”이라고 말했다.이성희 기자 mong2@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 지금 많이 보는 기사▶ 댓글 많은 기사©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
5,"현대건설, 현대일렉트릭과 손잡고 전력인프라 스마트화",2020.02.03,"현대건설은 현대일렉트릭과 차세대 전력인프라·에너지 신사업 분야 공동 협력을 위한 양해각서(MOU)를 체결했다고 3일 밝혔다.양사는 이번 협약으로 신재생 발전과 에너지 신사업, 스마트 전력시스템 개발, 국내 신송전 변전서 사업 등에서 상호협력 방안을 모색하기로 했다.이번 MOU 체결에 따라 현대건설은 현대일렉트릭과 함께 신재생 발전의 새로운 사업참여 기회를 발굴하며, 스마트 그리드 관련 전력기술 사업모델을 공동 개발한다. 스마트 그리드는 기존 전력망에 정보통신기술(ICT)를 더해 전력 생산과 소비 정보를 실시간으로 주고받아 에너지효율을 높이는 차세대 전력망이다.현대건설 관계자는 “이번 양해각서 체결로 신재생과 스마트전력 시장의 경쟁력 강화에 도움이 될 것”이라며 “앞으로도 미래 에너지신사업 분야에서 지속적인 연구 협력 등을 통해 신시장 개척에 적극 나서겠다”고 밝혔다.이성희 기자 mong2@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 지금 많이 보는 기사▶ 댓글 많은 기사©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
6,"가구별 공기청정 시스템 현대건설, 세계 최초 개발",2020.01.16,"현대건설은 실내 미세먼지를 줄이고 제균 기능까지 첨가된 개별 가구용 종합 공기청정 시스템 ‘H 클린알파 플러스(Clean α+)’를 세계 최초로 개발했다고 16일 밝혔다.이 시스템은 미세먼지 저감과 함께 휘발성 유기화합물(VOCs)·폼알데하이드·박테리아·바이러스·곰팡이 등을 제거할 수 있는 환기 시스템이다. 공기조화기의 광플라스마 기능을 공동주택용 환기장비 및 천장형 공기청정기에 접목했다. 현대건설 독자 특허기술로, 개별 가구용 환기용으로 개발된 것은 세계 최초다.현대건설은 전열교환 환기 장비와 천장형 공기청정기를 연계한 하드웨어 장치와 상온 플라스마 기술을 활용, 제균 장치, 실내외 공기 질을 측정해 상황에 맞게 자동 운전시키는 센서 유닛 일체형 제어기 등도 통합 개발했다. 이에 따라 입주민이 모바일을 통해 집 안의 공기질 상태를 확인하고 제어할 수 있다. 현대건설은 이 기술을 최근 수주전에 참가하고 있는 서울 성동구 옥수동 한남하이츠 재건축과 용산구 한남3구역 재개발 현장에 제안했다.이성희 기자 mong2@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 최신기사▶ 기사 제보하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
7,"현대건설, 이번엔 알제리 복합화력발전소 공사 따내···이달에만 2조1000억원 수주",2020.01.15,"현대건설이 올해 초 대규모 해외공사를 잇따라 따냈다. 총 수주금액만 2조1000억원에 이른다.현대건설은 현대엔지니어링, 포스코인터내셔널과 컨소시엄으로 알제리 우마쉐3 복합화력발전소 공사를 총 7억3000만달러(약 8500억원)에 수주했다고 15일 밝혔다.이 프로젝트는 알제리 국영 전력청 산하 자회사인 하이엔코가 발주한 것으로, 수도 알제에서 동남쪽으로 340㎞ 떨어진 비스크라주 우마쉐 지역에 약 1300MW(메가와트) 용량의 복합화력발전소를 건설하는 공사다. 연평균 발전량은 968만MWh(메가와트시) 규모로, 공사기간은 착공 후 60개월이다. 현대건설 컨소시엄이 49%, 알제리 전력청이 51%의 지분을 갖고 있다.최근 알제리 정부는 급증하는 전력 소비량 충족을 위해 향후 10년간 총 2만MW 용량의 발전설비를 추가로 건설하겠다고 밝혔다. 현대건설에 따르면 하이엔코는 앞으로 현대건설 컨소시엄과 이번 프로젝트를 포함해 총 5개 유사 복합화력발전소 프로젝트 건설을 수행할 계획이다.현대건설 관계자는 “이번 수주는 현대건설 컨소시엄이 알제리 내 성공적 공사 수행으로 견고히 쌓아온 발주처 신뢰 및 네트워크를 통해 합작사 파트너로 선정돼 수주 기회를 확보했다”고 말했다.이번 공사 수주에 앞서 현대건설은 카타르·싱가포르 등에서 건축공사를 수주해 이달에만 약 18억달러(약 2조1000억원) 규모의 해외공사를 수주했다.이성희 기자 mong2@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 최신기사▶ 기사 제보하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
8,"현대건설, 1월에 카타르·싱가포르서 총 1조5000억원 공사 수주",2020.01.14,"현대건설이 올해 1월에만 중동 카타르와 싱가포르 지역에서 총 1조5000억원 규모의 오피스 공사를 잇따라 수주했다.현대건설은 카타르 부동산 개발회사인 루사일이 발주한 6093억원 규모의 루사일 플라자 타워 플롯(PLOT·구획)3 공사를 단독 수주했다고 14일 밝혔다. 지난 2일 이 타워 플롯4 공사를 6130억원에 수주한 데 이어 추가 수주에도 성공한 것이다.플롯3 공사는 카타르 루사일 시티 내 금융지구에 지하 5층에서 지상 70층 오피스 빌딩과 상가 등 주변 부대시설을 건설하는 프로젝트다. 플롯은 구획이라는 의미로 오피스 빌딩뿐 아니라 주변 부대시설이 위치한 인근 구역을 포함하는 개념이다. 루사일 플라자 타워 프로젝트 4개 중 현대건설이 2개를 따낸 것이다.카타르와의 인연은 1979년으로 거슬러 올라간다. 당시 쉐라톤 그랜드 도하 호텔 공사로 카타르에 첫 진출한 이후 현대건설은 라스라판 C IWPP 프로젝트, QAFCO 비료공장 5~6단계 공사, 하마드 메디컬 시티 2단계 공사, 루사일 고속도로 공사 등 다양한 분야에서 총 22건, 94억 달러 규모의 프로젝트를 수주했다. 현재는 알 마하 어린이 병원, 카타르 알부스탄 도로공사 등 총 4개 현장, 20억 달러 규모의 공사를 수행하고 있다.지난 7일에는 싱가포르 스포츠청이 발주한 2700억원 상당의 풍골 스포츠센터의 시공사로도 선정됐다. 현대건설이 싱가포르 현지업체와 공동수주한 것으로 현대건설 분은 약 1900억원이다. 카타르와 싱가포르에서의 해외수주 금액을 모두 합하면 총 1조5000억원에 이른다.풍골 스포츠센터 프로젝트는 4만8180㎡ 부지에 지하 1층, 지상 6층, 연면적 12만3617㎡ 규모의 스포츠센터와 야외경기장을 신축하는 공사다. 공사 기간은 착공후 36개월이며 2023년 1월 준공 예정이다.현대건설은 1981년 풀라우 테콩 매립공사를 시작으로 싱가포르에서 총 89건, 148억 달러 규모의 공사를 수행했다. 현재는 토목공사 총 7개 현장에서 14억 달러 규모의 공사를 진행하고 있다.현대건설 관계자는 “국내외 기업들과의 치열한 경쟁에서 우수한 해외 사업실력 및 수주 네트워크 확장 노력이 연이은 수주 결실로 빛을 발휘하고 있다”고 말했다.이성희 기자 mong2@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 최신기사▶ 기사 제보하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
9,"KT, 현대건설기계와 ‘AI 음성인식’ 무인지게차 개발",2020.09.24," KT가 5G 이동통신 기술 기반으로 자율주행과 작업이 가능한 무인지게차를 현대건설기계와 공동 개발해 선보였다. KT는 24일 현대건설기계와 함께 전북 군산 현대건설기계 공장에서 5G 기반 무인지게차 융합기술 공동개발 실증사업 성과 발표회를 열었다고 밝혔다. 앞서 양사는 올해 5월 5G, 인공지능(AI), 빅데이터, 클라우드 등 정보통신기술(ICT)을 무인지게차 기술과 결합해 스마트 물류 솔루션을 개발하기로 제휴한 바 있다.이날 행사에서는 5G 기반 무인지게차 원격관리 제어 기술, AI 기반 무인지게차 긴급 음성제어 기능, 3차원 무인지게차 측위 솔루션 기능, 증강현실(AR) 기반 원격지원 솔루션 등을 시연했다.KT는 “무인지게차에는 클라우드로 제공되는 KT의 통합 모빌리티 플랫폼 ‘모빌리티 메이커스’를 접목해 무인지게차를 멀리 떨어진 곳에서도 운용하거나 제어하는게 가능했다”며 “긴급상황이 발생했을 때 음성이나 음향으로 제어할 수 있어 안전성을 높였다”고 설명했다. 해당 지게차에는 공장의 소음에서도 듣고 싶은 소리만 선별적으로 판별하는 ‘소머즈 사운드 AI 기술’과 무인지게차가 안정적으로 주행하고 작업이 가능하도록한 3차원 라이더(LiDAR) 기반한 ‘실내 측위 솔루션’도 탑재됐다.양사는 지금까지 성과를 토대로 5G 기반 스마트 건설기계와 산업 차량 플랫폼 개발에 박차를 가할 계획이다.공기영 현대건설기계 공기영 사장은 “KT와 협력해 물류 자동화 및 스마트 팩토리 시장을 선도할 수 있는 5G 기반 첨단 무인 지게차를 선보일 것”이라고 말했다.전홍범 KT AI/DX융합사업부문장 부사장은 “다양한 분야에서 다각적인 협업을 통해 국내 기업의 디지털 혁신 가속화를 위해 더욱 노력하겠다”고 강조했다.노정연 기자 dana_fm@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
