,title,date,content
0,"현대차그룹, ‘로봇 개’ 만든 미 보스턴 다이내믹스 인수",2020.12.11," 현대차그룹이 11일 미국 로봇 제조업체 보스턴 다이내믹스 인수를 최종 확정했다. 그룹은 이번 인수로 차세대 로보틱스 기술을 확보할 수 있게 돼 도심항공기(UAM), 자율주행차, 스마트 팩토리 개발 등 신성장동력 분야에서 시너지 효과를 낼 것으로 기대했다.현대차그룹은 보스턴 다이내믹스 지분 80%를 소프트뱅크그룹으로부터 인수하기로 최종 합의했다고 11일 밝혔다. 보스턴 다이내믹스는 네 발로 움직이는 로봇 개 ‘스폿’을 개발한 업체다. 1992년 매사추세츠공대(MIT)에서 분사해 설립됐으며, 2013년 구글에 인수됐다가 2017년 7월 소프트뱅크에 매각됐다. 이 업체가 개발한 로봇 아틀라스는 사람처럼 두 발로 보행이 가능하며 물구나무서기, 공중제비 같은 고난도 동작도 할 수 있다. 보스턴 다이내믹스의 가치는 11억달러(약 1조2000억원) 수준으로, 현대차그룹의 투자 규모는 8억8000만달러(약 9590억원)에 이른다. 나머지 지분 20%는 소프트뱅크그룹이 보유한다. 계약 체결과 한국 및 미국 정부의 승인 절차를 거치면 이르면 내년 상반기 중에는 인수가 최종 마무리될 것으로 보인다. 그룹 내 참여 계열사는 현대차, 현대모비스, 현대글로비스이며, 정의선 현대차그룹 회장도 지분 인수에 참여한다. 인수 뒤 최종 지분율은 현대차 30%, 현대모비스 20%, 현대글로비스 10%, 정 회장 20%로 구성된다. 정 회장의 지분 참여는 미래 신사업에 대한 책임경영을 강화하고 지속적인 투자 의지를 표명하는 차원으로 읽힌다. 지난 10월 현대차그룹 회장에 부임한 이후 첫 대규모 인수·합병 대상으로 ‘로봇 사업’을 택한 것도 총수의 강력한 의지를 보여준 것으로 평가된다.그룹의 로봇 개발 역량도 한 단계 올라갈 것으로 기대된다. 현대차는 자율주행차와 UAM 개발에, 현대모비스와 현대글로비스는 물류 솔루션 개선 등에 보스턴 다이내믹스의 기술을 활용할 수 있다. 2017년 245억달러 수준이던 세계 로봇 시장은 올해 444억달러, 2025년에는 1772억달러 규모로 성장할 것으로 전망된다.정 회장은 이날 “첨단 로봇 기술을 보유한 보스턴 다이내믹스 인수는 현대차그룹의 브랜드 이미지를 높일 것”이라면서 “코로나19로 인한 언택트 트렌드에서 그룹이 개발한 로봇이 안전, 치안, 보건 등 공공영역에서 인류를 위해 선한 역할을 할 수 있을 것으로 기대한다”고 말했다.김준 선임기자 jun@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
1,현대글로비스 국내 최초로 냉장·냉동 물류 수송체계에 전기트럭 도입,2020.11.26," 현대글로비스가 국내 최초로 냉장·냉동 물류 수송체계인 콜드체인 시스템에 전기트럭을 투입했다. 현대글로비스는 SSG닷컴 신선상품 배송차량으로 1t 전기트럭 1대를 시범 투입했다고 26일 밝혔다.두 업체는 앞으로 3개월 간 서울 및 수도권 지역을 대상으로 시범운행을 실시한 뒤 친환경 냉장ㆍ냉동 전기배송차의 배송 수행 능력을 점검 및 보완하기로 했다.  이후 내년부터 점진적으로 차량 투입을 확대한다.이번에 도입한 친환경 전기배송차는 1시간 급속 충전으로 150㎞ 가량을 주행할 수 있다. 차체와 냉장·냉동칸의 전기 배터리를 분리해 주행 효율을 높이고 화물칸의 안정성을 확보했다고 한다. 신선도가 중요한 냉장·냉동 제품을 배송하는 만큼 단열 성능이 높은 설비를 탑재했으며, 온도를 실시간 체크해 적정 온도를 자동으로 조절하는 모니터링 장비도 설치했다. 내년 1분기에 친환경 전기배송차가 본격 도입되면 경유 화물차 사용으로 발생하는 질소산화물, 미세먼지 등 도심 대기오염을 야기하는 환경 저해물질이 효과적으로 저감될 것으로 보인다.서울시에 따르면 1일 주행거리 50㎞ 기준 1t 전기트럭을 활용하면 연간 200만원의 연료비 절감 효과가 발생한다. 또 온실가스(CO2)와 미세먼지도 연간 각각 1.96t과 0.93㎏ 감축할 수 있다.김준 선임기자 jun@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
2,"현대글로비스, 노르웨이 해운그룹과 가스 해상운송 진출",2020.09.03," 현대글로비스가 노르웨이 해운그룹 ‘윌·윌헬름센’과 가스 해상운송 진출과 미래 해운시장 공동 대응을 위한 업무협약(MOU)을 체결했다고 3일 밝혔다.1861년 설립된 윌·윌헬름센은 노르웨이 리사케르에 본사를 두고 있으며, 전 세계 2000여 지점에서 선박관리, 선상용품 공급 사업을 운영하고 있다. 선박 수리, 안전 관리, 선원 교육 분야에서는 업계 최고의 기술력을 보유하고 있는 것으로 알려져 있다.  이번 협약 체결에 따라 두 업체는 액화천연가스(LNG) 해상운송 사업을 공동 추진한다. LNG 해상운송은 벌크화물에 비해 폭발 위험이 크다. 현대글로비스의 선대 운영 능력과 윌·윌헬름센의 선박 관리 노하우를 결합하면 보다 안정한 LNG 운송이 가능하다는 설명이다. 두 업체는 해운업계의 수소 생태계 조성을 위해 친환경 수소 선박 운영, 수소 해상운송 사업 등도 단계적으로 논의할 방침이다. 현대글로비스는 지난 7월 국토교통부가 발족한 물류·수소업계 협의체인 ‘수소 물류 얼라이언스’에 동참해 수소에너지 활용을 촉진하는 정책을 발굴하기로 했다. 수소 생산부터 저장, 운송, 유통을 하나의 통합망으로 관리하는 수소 공급망 관리(SCM) 체계도 마련할 계획이다.현대글로비스 관계자는 “급증하는 LNG 수요와 강화되고 있는 환경 정책에 대응하기 위해 두 업체가 손을 잡았다”며 “현대글로비스와 윌·윌헬름센은 미래 친환경 해운사업에서 최고의 시너지를 낼 수 있을 것”이라고 말했다.김준 선임기자 jun@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
3,"현대글로비스, 폭스바겐 실어 나른다",2020.07.02,"해상운송 5182억 5년 장기계약‘유럽발 극동행’ 노선 완성차 운반일본·유럽업계 과점 시장서 성과 현대자동차그룹 계열 물류회사인 현대글로비스가 유럽 최대 완성차 업체 폭스바겐그룹과 5년간 장기 해상 운송 계약을 맺었다. 총 계약금액은 5182억원이다.완성차 해상 운송 시장은 일본계와 유럽계 선사들이 80% 이상 과점하고 있다. 이번 계약으로 현대글로비스는 현대차 이외에 해외 완성차 업체 운송 영업에 더욱 탄력이 붙을 것으로 보인다.현대글로비스는 독일 폭스바겐그룹 물류 자회사인 ‘폭스바겐 콘제른로기스틱’과 유럽에서 중국으로 가는 완성차 해상 운송 계약을 체결했다고 2일 밝혔다. 폭스바겐 콘제른로기스틱은 폭스바겐, 아우디, 포르셰, 벤틀리 등 폭스바겐 그룹 내 12개 완성차 브랜드의 조달·생산·판매 물류를 담당하는 업체다.이번 계약에 따라 현대글로비스는 2024년 12월까지 5년간(기본 3년+연장 옵션 2년) 폭스바겐그룹이 유럽에서 생산한 승용차를 매월 10회에 걸쳐 독일 브레머하펜항과 영국 사우샘프턴항에서 상하이, 신강, 황푸 등 중국 내 주요 항으로 운송하게 된다.이번 계약은 현대글로비스가 2008년 자동차운반선 사업에 진출한 이래 그룹 계열사가 아닌 글로벌 완성차 메이커와 체결한 해운 계약 중 가장 큰 물량이다.현대글로비스는 이번 계약으로 다른 항로에 비해 회송 화물이 부족하던 ‘유럽발 극동행’ 노선을 채울 수 있게 돼 전체 선단 운영의 효율성과 안정성을 높일 수 있을 것으로 기대했다.특히 극동에서 미주, 미주에서 유럽, 유럽에서 다시 극동으로 연결되는 전 세계 완성차 해상운송 핵심 항로의 물동량을 안정적으로 확보함으로써 자동차운반선이 빈 배로 운항하는 구간을 최소화하고 선박 적재율도 높일 수 있게 됐다고 설명했다.현대글로비스 관계자는 “이번 계약으로 비계열사 완성차 해상 운송 매출 비중이 크게 높아질 것”이라고 말했다.글로비스의 완성차 운반선 사업부문에서 비계열사 매출은 2016년 약 40% 수준에서 지난해에는 절반 이상인 53%로 뛰었다. 현대글로비스는 사업 확대를 위해 지난해 말 기준으로 자동차운반선을 90여척으로 늘렸고 차량을 7300대까지 싣는 배를 확보한 상태다.김준 선임기자 jun@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
4,"현대글로비스, 국내 첫 클라우드 활용 ‘비대면 중고차 경매’",2020.03.24,"ㆍ‘오토벨 스마트옥션’ 서비스 운영ㆍ모바일 확인·실시간 입찰 가능ㆍ‘입찰 경쟁’ 유도해 차주에게도 득현대글로비스가 국내 최초로 클라우드 서비스를 이용한 중고차 비대면 디지털 경매 시스템 ‘오토벨 스마트옥션’을 운영한다고 24일 밝혔다.오토벨 스마트옥션은 현대글로비스가 매주 경기 분당과 시화, 경남 양산 경매장에서 실시하는 중고차 경매를 클라우드 서비스를 활용해 하나로 통합한 디지털 경매 시스템이다. 경매장별 서버로 분리 처리되던 중고차 매물 정보를 하나의 대형 클라우드 서버에 모아 종합 관리하는 체계로, 경매장 3곳에 출품된 중고차 세부 정보를 개인 컴퓨터와 모바일을 이용해 확인, 실시간 원격 입찰을 할 수 있다.이 시스템을 활용하면 현대글로비스에 등록된 1900여개 중고차 매매업체는 앞으로 지역에 관계없이 일주일에 세 번 열리는 모든 자동차 경매에 휴대폰, 태블릿PC 같은 모바일 기기를 통해 참여할 수 있다. 이동 거리를 줄이고 시간을 절약할 수 있는 경매 환경이 마련되면 매매업체의 편의성과 효율성이 개선될 것으로 현대글로비스는 설명했다. 또 한 곳의 경매에만 참여하던 매매업체가 클라우드 서비스를 통해 3곳 경매장의 매물을 확인할 수 있어 3배에 이르는 매물 정보에 접근할 수 있게 된다.글로비스는 이 시스템이 중고차를 경매에 출품하는 차주에게도 이익이 될 것으로 보고 있다. 매매업체의 경매 참여를 촉진하고, 입찰 경쟁이 치열해져 낙찰가가 오르면 출품인이 예상했던 것보다 높은 가격에 타던 차를 매각할 수 있기 때문이다. 어느 경매장에 출품하더라도 주 3회 클라우드 서비스를 통한 실시간 경매가 이루어지기 때문에 주 1회 현장 경매로 최대 일주일이 필요했던 대기 기간이 줄어드는 장점도 있다고 한다.김준 선임기자 jun@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
5,현대글로비스-기금 출연·노하우 전수 ‘물류산업진흥재단 지원군’,2020.10.28," 글로벌 SCM 전문기업 현대글로비스는 물류산업진흥재단을 통해 중소 물류기업을 적극 지원하는 상생경영을 펼치고 있다.물류산업진흥재단은 2013년 현대글로비스가 중소 물류기업과 종사자를 직접 지원하기 위해 설립한 비영리 재단법인이다. 물류산업진흥재단은 중소 물류업체 컨설팅·교육, 상생협력 포럼 및 물류산업진흥 콘퍼런스 운영, 물류산업 정책 연구·개발, 우수 중소 물류업체 포상 등 다양한 분야의 사업을 체계적으로 실행해 오고 있다.효율적인 물류산업진흥재단의 운영을 위해 현대글로비스는 설립기금 20억원 전액을 출연하고 매년 운영비 전액을 후원하고 있다. 물류사업 운영 노하우 전수에 적극적으로 나서는 한편 민·관·학 물류 전문가들을 이사진으로 구성해 재단이 체계적인 운영 기반을 갖출 수 있도록 돕고 있다.올해 물류산업진흥재단은 컨설팅 지원사업과 물류 관련 교육을 적극적으로 추진해 중소 물류기업 경쟁력 강화와 종사자들의 역량 강화에 힘썼다. 컨설팅 지원사업은 중소 물류기업의 경영 프로세스를 진단하고 개선하는 사업이다.▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
6,"현대글로비스, 로봇업무자동화 시스템 도입",2020.02.25,"현대글로비스는 로봇이 단순반복 업무를 자동으로 처리하는 시스템을 도입, 연 1만4600시간을 절약하게 됐다고 25일 밝혔다.로봇업무자동화(RPA)는 사람이 컴퓨터로 하는 반복 업무를 소프트웨어로 자동화해 처리하는 시스템이다. 현대글로비스는 거리 데이터 확보, 신규부품 수출통관 코드 입력, 화물 주문 정보 입력, 중고차 서류 입력·신고 등 15건에 이 시스템을 우선 적용했다.예컨대 거리별 물류 운송요금을 책정하면서 출발지부터 도착지까지 데이터를 컴퓨터에 일일이 입력할 경우 연간 7000건, 업무 처리시간은 480시간 가까이 들었다. 하지만 시스템 도입으로 클릭 몇 차례로 끝나게 됐다. 현대글로비스 관계자는 “올해 대상을 40건 이상으로 확대해 생산성을 더 높일 계획”이라고 말했다.김준 선임기자 jun@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 지금 많이 보는 기사▶ 댓글 많은 기사©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
7,"현대글로비스, 카자흐스탄 음료 제조·판매 기업과 운송 계약",2020.10.06," 현대글로비스가 카자흐스탄 음료 제조·판매 기업인 RG 브랜즈(RG Brands)와 운송 사업 계약을 맺고 중앙아시아 물류 시장 공략에 나선다.현대글로비스는 카자흐스탄에 신규 지사를 설립하고 RG 브랜즈와 7년간 운송 사업 계약을 체결했다고 6일 밝혔다. RG 브랜즈는 현지 음료 시장 2위를 차지하고 있는 업체로 생수, 차, 탄산음료 등을 취급한다. 현대글로비스는 카자흐스탄 수도 누르술탄을 비롯해 핵심 도시인 알마티, 쉼켄트 등에서 운송 사업을 할 예정이다. RG 브랜즈 물류센터에서 제품을 실어 도·소매점에 배송하는 것이 주요 업무다.내년부터는 배송 도시를 대폭 늘릴 뿐 아니라 생산공장에서 물류센터로 제품을 나르는 수송 업무와 물류센터 관리 업무까지 사업 영역을 확장할 계획이다. 또 콜드체인(온도에 민감한 상품의 생산·보관·유통·판매 등 저온유통체계)과 친환경 상용트럭 등 스마트물류 기술을 바탕으로 협업 범위를 넓히고 현지 다른 업체들과의 거래도 추진할 예정이다.현대글로비스 관계자는 “이번 카자흐스탄 진출이 지난해 초 파견한 신흥 물류시장 개척 선발대 ‘글로벌 파이오니어’의 첫 결과물”이라면서 “아시아와 유럽을 잇는 카자흐스탄의 지리적 이점을 살려 인근 신흥 시장 개척에 속도를 내겠다”고 말했다.김준 선임기자 jun@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
8,"현대글로비스-중고차 판매, 전문 상담가가 평가부터 매각까지 한번에",2020.07.29," 국내 중고차 시장에서 현대글로비스의 중고차 매입 서비스 ‘오토벨’이 새로운 거래 플랫폼으로 급부상하고 있다. 편리한 판매 절차와 투명한 거래가 입소문이 나면서 찾는 이용자들이 해마다 늘어나고 있다.오토벨은 현대글로비스의 내 차 팔기 전문 서비스 브랜드다. 차량 소유주라면 누구나 쉽게 이용할 수 있다. 전문 상담가가 직접 방문해 무료로 차량을 평가해주고 매각, 경매 출품까지 이르는 일련의 과정을 원스톱으로 처리해 준다.접수 방법도 쉽다. 오토벨 전용 콜센터 또는 홈페이지에서 간단한 절차만 거치면 전문 컨설턴트가 고객이 있는 곳으로 직접 방문한다. 대금 수령과 명의이전 등록을 비롯한 중고차 거래 관련 부대 업무도 처리해 줘 차량 판매자는 큰 신경을 쓰지 않아도 된다. 현장 상담만 받아도 내 차의 관리 상태에 따른 시세를 정확하게 알 수 있는 것도 장점이다.현대글로비스 오토벨이 이끄는 중고차 매입 시장은 빠르게 성장하고 있다. 이는 자동차 경매시장의 활성화로 이어지고 있다. 최근에는 클라우드 기반의 비대면 경매 서비스까지 오픈해 접근성이 쉬워졌다. 현대글로비스의 비대면 중고차 경매 서비스 ‘오토벨 스마트옥션’은 컴퓨터·휴대폰 등 인터넷 연결이 되는 모바일 기기만 있으면 경매에 입찰할 수 있다.▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
9,현대글로비스 중국 냉장·냉동 물류 시장 진출,2020.05.13,"현대글로비스가 중국 냉장·냉동 물류(콜드체인) 시장에 진출한다. 현대글로비스는 한국농수산식품유통공사(aT)가 설립한 중국 칭다오 한국농수산식품 물류센터의 운영 사업자로 선정됐다고 13일 밝혔다.칭다오 물류센터는 농수산식품유통공사가 2015년 한국 농수산 식품의 수출 확대를 위해 해외에 세운 복합물류시설이다. 연간 2만t 규모의 물량을 취급한다. 이 시설은 연면적 1만3669㎡에 냉동·냉장·상온 시스템을 갖춘 창고(1만1614㎡)와 사무동(1831㎡) 등으로 이뤄져 있다. 칭다오 물류센터 운영은 2005년 중국에 진출한 현대글로비스 중국 법인인 베이징 글로비스가 맡는다. 베이징 글로비스는 2025년까지 한국산 농식품을 중국 주요 도시에 운송하게 된다. 특히 칭다오 물류센터는 한국 농식품의 해상 운송, 통관, 보관, 내륙 운송 등 수출 전 과정을 ‘원스톱’으로 지원할 예정이라고 글로비스는 밝혔다.물류센터에 도착한 농식품은 냉장·냉동·초저온 창고 등에 7∼30일 보관되고, 이후 중국 주요 도시로 배송된다. 현재 중국 내 한국 농식품 소비는 한류 수요가 높은 중국 동부 지역에 집중돼 있다. 현대글로비스는 농수산식품유통공사와 협력, 중국 20대 도시에 구축한 콜드체인 운송망을 강화하고 사업 영역도 현지 신선 물량으로 확대할 계획이다.한국해양수산개발원 중국연구센터에 따르면 2015년 1800억위안(약 31조원) 규모이던 중국의 콜드체인 시장은 지난해 3390억위안(약 58조원)으로 커지는 등 빠르게 성장하고 있다.현대글로비스 관계자는 “중국 정부도 콜드체인 부문을 정책적으로 지원하고 있어 관련 시장은 더욱 커질 것으로 기대된다”면서 “자동차 물류 사업으로 쌓은 노하우를 콜드체인 사업에도 적용해 매출 확대를 꾀할 방침”이라고 말했다.김준 선임기자 jun@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
