,title,date,content
0,"은행·당국, 이자상환 유예 연장 ‘온도차’",2020.12.27," 내년 3월 후 추가 연장 여부 놓고은행권 “한계기업 부실 위험 커져정상기업 중심 선별적 지원 필요”코로나19 충격으로 어려움을 겪는 중소기업과 소상공인 자영업자를 위한 이자 상환 유예를 내년 3월 말 이후로 또다시 연장할 필요성을 놓고 은행권과 금융 당국의 견해가 엇갈리고 있다. 은행권은 한계 상태에 도달한 기업에 대한 구조조정을 서두르지 않고 이자 납부를 유예할 경우 부실 위험만 커진다는 입장이다. 금융 당국은 상환 유예가 연장되지 않을 경우 내년 자영업 가구의 20% 이상이 적자 상태에 빠질 수 있어 연착륙 방안을 찾아야 한다고 본다.금융 당국과 금융권 협회는 코로나19로 일시적 유동성 어려움을 겪는 중소기업과 소상공인을 지원하기 위해 지난 4월부터 이자상환을 유예해왔다. 애초 지난 9월30일 종료될 예정이었던 지원안은 코로나 확산이 가라앉지 않으면서 내년 3월 말까지로 연장됐다. 은행권에서는 내년 3월 말 이후에도 추가로 연장하는 방안에는 동의하기 어렵다는 목소리가 나온다. 한 은행장은 “코로나 상황이 계속 호전되지 않을 경우 (내년 3월 말) 대출 원금 만기 연장은 긍정적으로 검토할 수 있으나 이자 만기를 계속 연장하는 것은 부작용이 크기 때문에 신중해야 한다”고 지난 21일 은성수 금융위원장 주재로 열린 ‘코로나19 대응 금융정책 평가’ 간담회에서 말했다.종료 땐 자영업 20% 이상이 적자금융위 “연착륙 방안 찾아야”은행권이 대출 만기 재연장보다 이자 재유예에 민감한 것은 이자 납부 여부가 해당 기업이나 상인의 건전성을 파악하는 지표가 될 수 있기 때문이다. 이자조차 못 내는 기업이라면 이미 한계 상황에 있을 가능성이 매우 높은데 이자 유예를 또다시 연장할 경우 부실 규모를 파악하기 어려워 은행의 위험 부담이 크다. 한 금융권 관계자는 “코로나 사태 장기화에 따른 대출 원금·이자 유예 연장의 필요성은 공감하지만, 부실 예상 기업을 제외한 정상기업 중심의 선별적 지원이 필요할 것”이라면서 “일시적 유동성 부족과 관계없는 ‘한계기업’의 이자 납입 시점만 늦춰줌으로써 향후 부실이 일시에 발생할 위험이 있다”고 말했다.은행연합회에 따르면 11월 말 기준 전체 은행권의 이자 납입 유예 규모는 950억원(8358건)이다. 은행권은 실제 대출 원금은 이자액의 평균 50배에 이를 것으로 본다. 중소기업·소상공인 코로나19 지원 대출 금리를 2.5%라고 가정하면, 기업이 은행에서 대출한 원금은 3조8000억원으로 추산된다. 은행권은 이자 유예 등으로 부실이 이연되는 상황에 대비해 대손충당금을 늘려왔다. 국민·신한·하나·우리은행 등 시중 4대 은행의 올해 3분기까지 누적충당금은 1조6226억원 규모다.금융당국은 이자 유예가 연장되지 않을 경우 한계 기업들의 연쇄 도산이 나타나고, 금융으로 위기가 전이될 가능성을 우려한다. 은성수 금융위원장은 이날 간담회에서 “한시적 금융지원 조치를 정상화하는 과정에서 개인과 기업의 지급 능력을 고려한 연착륙 방안을 마련하는 것이 실물경제의 건실한 회복을 뒷받침하고 금융회사의 건전성에 미치는 영향도 최소화하는 길”이라고 밝혔다. 지난 24일 한국은행이 발표한 ‘하반기 금융안정보고서’에 따르면 원리금 상환 유예 조치가 연장되지 않을 경우 적자 자영업자 가구의 비중이 20.3~22.4%에 이를 것으로 추산됐다.한은도 위험성을 경고하고 나섰다. 한은은 해당 보고서에서 “금융지원 조치가 장기간 지속되면 기업 구조조정을 지연시키고 금융자원의 효율적 배분을 저해할 우려가 있다”면서 “향후 금융지원 조치를 점진적으로 정상화해나가는 한편 장기 존속 가능성이 높은 기업을 중심으로 선별 지원이 이뤄지도록 할 필요가 있다”고 밝혔다.정원식 기자 bachwsik@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
1,김용범 차관 “5년간 디지털·그린 뉴딜 기업에 100조 금융지원”,2020.12.04," 정부가 내년부터 향후 5년간 디지털 및 그린 뉴딜분야의 기업에 총 100조원 규모의 투자·금융 지원에 나선다. 김용범 기획재정부 제1차관(사진)은 4일 서울 산업은행 본점에서 열린 제4차 혁신성장정책금융협의회에서 “한국판 뉴딜의 성공적 추진을 위한 물적 기반을 마련하는 데 정책금융이 적극 기여하겠다”며 이같이 밝혔다. 혁신성장정책금융협의회는 정부와 산업은행, 중소기업은행, 수출입은행 등 11개 정책금융기관으로 구성된 협의체다. 정부는 뉴딜분야 중소·중견기업, 수출기업 우대 대출 프로그램을 신설하고 언택트·바이오·재생에너지와 같은 혁신분야중소·벤처기업에 대해 투자자금을 공급하는 한편 성장 전과정을 지원하기 위해 ‘R&D → 사업화 → 성장’으로 이어지는 각 단계별 맞춤형 우대보증도 제공할 예정이다. 정부는 내년도 예산안에 정책형 뉴딜펀드 조성을 위한 산업은행 출자금 예산으로 6000억원을 편성했으나 국회 심의 과정에서 900억원이 삭감됐다.김 차관은 이어 “정책형 뉴딜펀드 조성을 위해 내년도 5100억원의 재정이 투입되고 뉴딜 인프라펀드 배당소득에 대한 분리과세를 신설하는 등 뉴딜펀드를 뒷받침하기 위한 예산 반영과 세법 개정이 완료됐다”며 “정책형 뉴딜펀드의 효과적 투자를 위해 40개 분야, 200개 품목을 투자대상으로 하는 투자 가이드라인을 금일 확정하겠다”고 덧붙였다.김 차관은 아울러 “우리 경제가 포스트 코로나 시대의 경제·산업 구조 변화를 선도해 나갈 수 있도록 산업구조 혁신과 산업경쟁력 강화를 위한 정책금융 지원에도 박차를 가할 것”이라고 말했다.안광호 기자 ahn7874@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
2,IBK기업은행-영세 소상공인 간판 바꿔주며 골목상권 ‘희망 심기’,2020.11.19," 기업은행은 재능기부를 통해 영세 소상공인의 가게 간판을 디자인부터 제작, 설치까지 지원하는 사회공헌 사업을 진행하고 있다.금전적 지원에서 나아가 디자인 및 시각적 마케팅 분야에 취약한 영세, 소상공인에게 실질적인 도움이 될 수 있는 사업을 지원, 지역상권의 지속적인 성장을 도모하고자 시행했다.IBK희망디자인 사업은 기업과 지역사회가 상생하며 사회적 가치를 증진시키고 지역상권 활성화에 기여하는 것을 목표로, IBK희망디자인을 꾸준히 확대하여 영세 자영업자의 지속 성장을 지원할 계획이다.기업은행이 코로나19, 집중 호우로 위기에 처한 지역상권 살리기에 나섰다.IBK기업은행(은행장 윤종원)은 IBK희망디자인 사업을 통해 전남 구례 5일시장에 있는 점포들의 전면간판 제작, 시장 환경 개선 등을 지원했다. 기업은행은 이를 위해 지난 9월28일 구례군, 구례 5일시장 상인회와 업무협약을 맺었다.IBK희망디자인은 기업은행 디자인경영팀의 재능기부를 통해 영세 소상공인들의 간판과 BI를 무료로 디자인·제작해주고 골목상권의 환경을 정비해주는 사회공헌 사업이다. 지난 2016년부터 시작해 103개 소상공인을 지원했다.기업은행은 9월 말까지 구례 5일시장 내 157개 점포의 전면간판을 제작·설치해 전반적인 시장 환경 개선을 지원했다.기업은행 관계자는 “명절 대목을 위해 일정을 서둘러 진행할 계획”이라며 “코로나19에 이어 최근 집중 호우로 피해가 더욱 커진 전통적인 영세상인 밀집 지역의 상권 활성화를 위해 구례 5일시장 지원을 결정했다”고 말했다.한편 기업은행은 지난 4월부터 대구 대신동 양말골목에 있는 점포들의 낙후된 간판을 교체하고 골목 환경을 정비해 하반기 중 완료할 계획이다. 대구가 코로나19 특별재난지역으로 지정돼 어려움을 겪을 때 IBK희망디자인 대상 지역으로 선정했다.윤종원 은행장은 “코로나19, 집중 호우 등 계속되는 위기로 어려움을 겪는 소상공인에게 실질적인 도움을 주기 위한 노력의 일환”이라며 “앞으로도 IBK희망디자인처럼 지역 소상공인과 상생하기 위한 사회공헌 활동을 추진할 것”이라고 말했다.IBK기업은행은 또 코로나19 확산으로 어려움을 겪고 있는 소상공인·자영업자, 중소기업을 위한 금융지원의 속도를 높이기 위한 노력에도 힘쓰고 있다.기업은행은 소상공인 초저금리 특별대출을 운영 중이다. 보증기관으로부터 보증서를 발급받은 소상공인·자영업자에게 연 1.5% 대출금리를 적용하는 대출이다. 지난 1월 초 1조2000억원 규모로 출시했지만, 코로나19 확산으로 소상공인 피해가 커지자 총 지원규모를 5조8000억원으로 늘렸다. 소상공인·자영업자의 금융 수요가 급증하며, 대출 병목 현상이 심해지자 기업은행은 신속한 금융지원을 위해 보증서 심사·발급, 대출을 은행에서 원스톱으로 진행하는 초저금리 특별대출 간편보증 업무도 지난 4월 시작했다.▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
3,"기업은행, 은행권 처음으로 영업점 직원들도 일부 재택근무",2020.09.02," IBK기업은행이 오는 3일부터 16일까지 2주간 재택근무를 시행한다. 코로나19 확산 영향으로 본점 직원을 포함해 영업점 직원을 대상으로 재택근무를 적용하는 것은 은행권에서 처음이다.기업은행은 본점의 경우 전체 인원의 3분의 1, 일선 지점은 5분의 1이 순환 형태로 재택근무에 나선다고 2일 밝혔다. 대상은 팀장급 이하 전 직원이다. 재택근무 대상 직원들은 영업점 고객 업무가 불가능한 만큼 대상 인원을 최소화하고 온라인 법정의무교육을 이수할 것이라고 은행은 설명했다.기업은행 관계자는 “이번 조치는 정부의 사회적 거리두기 방침에 적극적으로 동참하고 고객과 직원의 안전을 지키기 위한 선제적 조치”라며 “영업점의 재택 인원 비중을 5분의 1로 정해 본점과 차이를 둔 것은 영업점 방문 고객들의 불편을 최소화하기 위한 것”이라고 말했다.방역당국은 공공기관에 전 인원의 3분의 1 이상 재택근무를 시행하도록 지침을 내린 바 있다. 기업은행의 경우 지난달 31일 신 본점에서 근무하는 직원이 코로나19 확진 판정을 받아 IBK파이낸스타워가 폐쇄되기도 했다.안광호 기자 ahn7874@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
4,"기업은행 직원, 75억원어치 부동산 ‘셀프대출’ 드러나 면직돼",2020.09.01," 국책은행인 기업은행의 한 직원이 자신의 가족 명의로 70억원이 넘는 부동산 담보대출을 실행해 사익을 챙긴 것으로 확인됐다. 기업은행은 해당 직원을 면직처리한 상태로, 형사고발 등 법적 조치를 검토 중이라고 밝혔다. 1일 윤두현 미래통합당 의원실이 기업은행으로부터 받은 ‘대출취급의 적정성 조사 관련’ 문건에 따르면 기업은행 A차장은 2016년 3월부터 올해 상반기까지 자신과 아내, 모친 등의 앞으로 총 29건, 75억7000만원어치 부동산 담보대출을 받았다. 그는 이 시기에 법인 및 개인사업자 등 자격을 이용해 화성 일대 아파트와 오피스텔, 주택 등 29개 부동산을 사들였는데 평가차익은 50~60억 수준으로 알려졌다. 아파트의 경우 경기 화성의 아파트 14건을 포함해 18건, 오피스텔은 경기 화성 8건을 포함해 총 9건, 연립주택은 경기 부천에 있는 2건 등이다. 경기 화성의 한 지점에서 근무하던 그는 최근까지 서울 한 지점에서 근무했다. 정부가 부동산 투기대책을 쏟아내던 시점에 국책은행 직원은 부당대출로 투기를 해 차익을 노린 것이다. 그가 실제로 매매를 통해 차익을 현실화했는지는 확인되지 않았다. 기업은행 측은 “해당 직원은 이해상충행위 금지 위반에 따른 금융질서 문란, 바른경영이라는 핵심가치 등에 반하는 행동을 하여 면직 처리되었으며, 향후 직원교육, 제도개선 등을 통한 재발방지에 힘쓰겠다”고 밝혔다. 또 형사고발 등 법적 조치는 검토 중이라고 밝혔다.하지만 대출 과정이 미심쩍다는 지적도 나온다. 대출 승인은 지점장이 아니고서는 불가능한데, 70억원 이상이 실행되는 동안 상급자들이 이같은 사실을 몰랐다는 것은 어불성설이라는 것이다. 은행 측은 “당시 지점장에 대한 징계 여부는 개인의 인사정보라서 공개적으로 밝힐 수 없다”라고 말했다.윤두현 의원은 “현 정부의 부동산 폭등 정책으로 온 국민이 박탈감과 스트레스를 많이 받고 있는 상황에서 이런 문제가 발생해서 심히 유감”이라며 “국책은행인 기업은행은 다른 시중은행보다 내부통제기준이나 직원 개개인의 내부절차 규정이 더 잘 지켜져야 함에도 이런 문제가 발생하도록 뒀다는 것은 규정의 허점이 있었기 때문”이라고 말했다.안광호 기자 ahn7874@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
5,"‘항균’ 신용카드도 있어요…기업은행, 표면에 필름 코팅",2020.08.11," IBK기업은행이 카드 표면에 항균 필름을 코팅한 신용카드를 국내 최초로 출시한다.기업은행은 코로나19 감염 걱정 없이 사용할 수 있는 신용카드 ‘데일리위드(DailyWith) 카드’를 오는 24일 출시한다고 11일 밝혔다. 코로나19 확산 초기인 지난 3월 윤종원 행장이 고객들의 감염 걱정을 덜 수 있는 카드를 만들자는 아이디어를 직접 낸 것으로 알려졌다.  세계보건기구(WHO)는 코로나19와 비슷한 계열인 사스(SARS) 바이러스가 섬유로 만들어진 지폐보다 플라스틱 재질인 카드에서 더 오래 생존한다고 밝힌 바 있다. 이에 기업은행 카드사업부는 항균카드를 만들 수 있는 방안을 구상했다. 원래 신용카드는 5겹의 플레이트를 고열로 압착해 만드는데 플레이트 윗면, 아랫면에 항균 필름을 1겹씩 부착하기로 한 것이다. 항균 필름에는 바이러스와 박테리아 서식이 어려운 성분이 포함돼 있어 바이러스나 박테리아가 카드에 붙으면 수시간 안에 사멸하는 것으로 알려졌다. 원래 항균 필름은 고열이 가해질 경우 항균력이 약해지는 단점이 있지만, 전자카드 제조사인 (주)카드네이션이 기술 개발로 이를 극복하면서 이번 출시가 가능해졌다. 기업은행 관계자는 “이 항균카드로 코로나19 바이러스뿐 아니라 대장균 등 전염될 수 있는 세균들의 전파도 막을 수 있다”고 말했다.앞으로 기업은행은 모든 카드를 항균카드로 출시할 계획이다. 코로나19 사태 이후 감염 우려로 비대면 결제가 늘어나는 상황에서 항균카드가 인기를 끌 것으로 은행 측은 기대하고 있다. ‘데일리위드’ 카드는 6대 생활영역(통신·교통·외식·편의점·온라인쇼핑·병원) 무제한 1% 캐시백 제공, 건강검진 및 장례서비스 지원 등 혜택을 제공한다.임아영 기자 layknt@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
6,"창립 59주년 기업은행, 윤종원 행장 “혁신금융·바른경영” 강조",2020.07.31," 윤종원 IBK기업은행장(사진)이 31일 창립 59돌을 맞아 열린 기념식에서 ‘혁신금융’과 ‘바른경영’을 강조했다. 윤 행장은 이날 서울 중구 을지로 IBK파이낸스타워에서 창립 59주년 기념식에서 “혁신금융은 미래를 개척할 앞바퀴이며 바른경영은 조직의 균형과 중심을 유지하게 하는 뒷바퀴”라며 “두 바퀴 축으로 미래로 나아가자”고 말했다. 윤 행장은 혁신금융 주요 과제로 창업·재창업 종합지원센터 설립, 향후 5년 1000개 글로벌 혁신기업 육성, 향후 3년 모험자본 1조5000억원 공급 등을 제시하며 기업의 금융주치의가 돼야 한다고 강조했다. 바른경영 주요 과제로는 고객 신뢰회복을 위한 임직원의 준법·윤리의식 제고를 위해 IBK 바른경영지수 신설, IBK윤리헌장 제정 등을 제시했다.윤 행장은 이어 “윤리헌장을 기본가치로 삼아 청렴도 1등급 은행으로 도약하고 나아가 금융사고·부패 제로를 실현하자”고 덧붙였다.기업은행은 이날 기념식에서 윤리경영을 강화하기 위해 ‘IBK윤리헌장 선포식’을 가졌다. ‘IBK윤리헌장’은 기업은행은 물론 모든 자회사에도 적용되는 윤리경영체계라고 은행은 설명했다. 이날 기념식은 코로나 상황을 감안해서 외빈 초청행사 없이 임원, 본부 부서장들과 소규모로 진행됐다.안광호 기자 ahn7874@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
7,"기업은행, ‘초일류 금융’ 혁신경영 선포···성과평가제도 전면 개편",2020.07.27," IBK기업은행이 내년 기업은행 설립 60주년을 앞두고 ‘글로벌 경쟁력을 갖춘 초일류 금융그룹’ 목표를 이루기 위한 혁신경영에 들어간다고 밝혔다.기업은행은 27일 서울 중구 을지로 IBK파이낸스타워에서 비대면 방식으로 800여명이 참여하는 전국 영업점장 회의를 열고 혁신경영 선포식을 했다고 밝혔다. 혁신경영은 혁신금융이면서 은행 경쟁력을 강화하고 고객의 성장을 지원하며, 바른경영을 통해 고객의 신뢰를 확보하는 책임·윤리 경영에 중점을 두는 것을 말한다고 기업은행은 설명했다.기업은행은 혁신금융의 과제로 기업 성장단계별 지원 체계 구축, 스타트업을 위한 모험자본 시장 선도, 중기금융 노하우 글로벌 확산, 고객 최우선 디지털 환경 구축 등을 선정했다. 또 바른경영을 위해 고객보호 프로세스 강화, 준법·윤리경영을 통한 금융사고·부패 제로화, 사회적 책임을 다하는 기업시민, 공정과 포용에 기초한 인사혁신 등을 추진과제로 뽑았다.기업은행은 이날 혁신경영 전략의 실행을 위해 성과평가제도(KPI)도 전면 개편했다. 고객가치 지표를 신설하고 혁신금융에 대한 배점과 항목을 확대하는 한편 평가 지표수도 기존 30개에서 14개로 간소화했다. 다수 지표의 목표달성을 위한 무리한 영업보다 고객의 요구를 최우선으로 고려하는 영업 문화를 정착시키기 위한 취지라고 기업은행은 설명했다.윤종원 기업은행장(사진)은 “혁신경영은 고객과 함께 성장하고 정책 파트너로서 금융산업의 혁신을 선도하기 위한 로드맵”이라며 “기업은행은 물론 은행 산업에 의미 있는 변화의 계기가 되길 바란다”고 말했다.안광호 기자 ahn7874@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
8,IBK기업은행-중도상환 수수료 없는 사회초년생 생활자금 비대면 대출 [스마트 라이프],2020.05.22,"IBK기업은행(은행장 윤종원)은 청년층을 대상으로 생활안정자금을 지원하는 ‘i-ONE 햇살론 youth(유스)’를 판매 중이다. 대출대상은 대학(원)생, 미취업 청년, 중소기업 재직 1년 이하의 사회초년생으로 만 34세 이하, 연소득 3500만원 이하인 고객이다. 대출금리는 연 3.5%이며 한도는 최대 1200만원이다. 상환방법은 최장 15년 만기로 원금균등분할방식이다. 고객은 영업점 방문 없이 서민금융진흥원 애플리케이션(앱)에서 보증서를 신청·발급 후 기업은행 모바일뱅킹 ‘i-ONE뱅크’에서 대출을 실행한다. 보증료율은 고객별 차등 적용하며 중도상환은 별도 수수료 없이 가능하다.기업은행은 대출 이용 고객에게 전자금융수수료 및 ATM 이체 수수료 면제, 중소기업 재직 청년전용 대출상품 ‘IBK퍼스트원대출’ 상담 연계, 중소기업 전문 일자리 플랫폼 ‘i-ONE JOB’ 이용 혜택을 제공한다. 기업은행 관계자는 “청년층 고객이 모바일뱅킹으로 쉽고 빠르게 저금리 정책금융상품을 지원받을 수 있는 상품”이라면서 “대학생, 청년 고객들이 취업 활동에 전념하고 제도권 금융으로 안착하는 데 도움이 되길 바란다”고 말했다. 한편 IBK기업은행은 코로나19 확산으로 어려움을 겪고 있는 소상공인·자영업자, 중소기업을 위한 금융지원의 속도를 높이기 위한 노력에 힘쓰고 있다. 소상공인 초저금리 특별대출을 운영 중으로 보증기관으로부터 보증서를 발급받은 소상공인·자영업자에게 연 1.5%의 대출금리를 적용하고 있다.▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
9,"기업은행, 상반기 250명 신규채용···전년보다 30명 증원",2020.04.13,"IBK기업은행이 올 상반기 250명의 신입행원 공개채용 절차에 들어갔다. 1년 전보다 30명 늘어난 규모다.13일 기업은행에 따르면 250명 채용에 돌입한 기업은행은 오는 27일부터 5월11일까지 입사 지원을 받는다. 신입 행원 모집 분야는 금융 영업과 디지털로 나뉜다. 서류 심사, 필기시험, 실기·면접을 거쳐 7∼8월 중 최종 합격자를 발표한다.채용은 학교, 연령, 성별 등을 고려하지 않는 블라인드 방식으로 진행되고 보훈 대상자, 장애인 지원자는 우대받는다. 기업은행은 필기시험에 주관식을 도입하고 모집 분야별 관련 지식 등을 묻는 직무수행능력평가 비중을 공통평가인 직업기초능력평가보다 확대한다.코로나19 확산 방지를 위해 채용공고와 홍보는 온라인으로 진행한다. 신입행원 공개 채용 안내 영상은 오는 20일 기업은행 채용 홈페이지에 게시할 예정이다.기업은행은 이와 별도로 상반기 중 장애인 직원 30명과 청년 인턴 300명을 채용한다. 정년이 보장되는 장애인 직원은 다음 달 6일부터 지원서를 받고, 채용되면 치료와 재활을 병행하며 일할 수 있는 유연한 근무에 배치된다. 청년 인턴은 다음 달 중순 지원서를 받고 실기시험을 거쳐 최종 채용한다. 실기 시험은 온라인으로 대체한다.안광호 기자 ahn7874@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
