,title,date,content
0,넷마블 3분기 매출 6423억·영업익 874억…올해 누적 매출 1조원 달성,2020.11.11," 넷마블이 3분기 매출 6423억원, 영업이익 874억원을 기록했다고 11일 밝혔다. 매출은 전 분기 대비 6.3% 감소, 전년과 비교해서는 3.6% 증가했다. 영업이익은 전 분기 대비 7.0%, 전년 동기와 비교해 3.6% 늘었다. 올해 3분기까지 누적 매출은 1조 8609억원, 영업이익 1895억원으로 집계됐다.3분기 매출 중에서 해외매출은 4787억원으로 75%를 차지했다. 해외매출은 2분기 연속 분기 기준 역대 최고 기록을 이어갔다.넷마블은 올해 3월 북미와 일본 등 주요 글로벌 시장에서 출시한 ‘일곱 개의 대죄:그랜드 크로스’를 필두로 ‘마블 콘테스트 오브 챔피언스’와 ‘리니지2 레볼루션’, ‘블레이드&소울 레볼루션’, ‘쿠키잼’ 등의 게임들이 꾸준히 인기를 끌고 있다고 설명했다. 4분기의 경우 전날 전세계 172개국에 선보인 ‘A3:스틸얼라이브’와 오는 18일 출시 예정인 ‘세븐나이츠2’, 신작 ‘마블 렐름 오브 챔피언스’ 등이 글로벌 시장에서 의미있는 성과를 거둘 것으로 회사측은 기대했다.권영식 넷마블 대표는 “4분기는 자체 지식재산권(IP)인 ‘세븐나이츠2’와 자회사 카밤의 ‘마블 렐름 오브 챔피언스’ 등을 통해 긍정적인 기대감을 가지고 있다”며 “내년은 ‘제2의 나라’, ‘세븐나이츠 레볼루션’,‘마블 퓨처 레볼루션’ 등 신규 기대작들이 다수 포진한 만큼 글로벌 게임 경쟁력을 더욱 강화할 수 있는 시기가 될 것으로 생각한다”고 말했다.노정연 기자 dana_fm@kyunghyang.com▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
1,넷마블-‘일곱 개의 대죄’ 글로벌 시장 흥행 [스마트 라이프],2020.05.22,"넷마블이 지난 3월 글로벌에 출시한 ‘일곱 개의 대죄: GRAND CROSS’를 필두로 해외 시장 공략에 속도를 올리고 있다. 넷마블은 2분기에도 ‘블레이드&소울 레볼루션’과 ‘스톤에이지 월드’ 등 2종의 모바일 게임을 글로벌 시장에 내놓다는 계획이다. 대형 MMORPG ‘블레이드&소울 레볼루션’은 지난 3월17일 티저사이트를 개설하고 5월14일 아시아 시장에 출시했다. ‘블레이드&소울 레볼루션’은 현재 국내와 일본에서 서비스 중이며 국내 구글플레이 매출 순위 상위권에 꾸준히 위치하면서 이용자들의 사랑을 받고 있다. 특히 무협이라는 이국적 주제를 활용한 만큼 해외 이용자들에게 색다른 재미를 제공할 수 있을 것으로 기대된다.자체 IP ‘스톤에이지’를 활용한 모바일 MMORPG ‘스톤에이지 월드’ 역시 상반기 국내 및 글로벌 시장에 출시하는 것을 목표로 하고 있다. 이 게임은 오픈 필드에서 즐길 수 있는 석기시대 라이프를 기반으로 다양한 공룡 캐릭터들이 등장한다. 이번 글로벌 진출작들은 이미 국내외 시장에서 게임성이 검증된 만큼 흥행 가능성도 높을 것으로 예상된다. 넷마블은 지난해 4분기 72%에 이어 올해 1분기에도 해외 매출 비중 71%를 기록, 2분기 연속 해외 매출 70%를 넘길 정도로 글로벌 사업 비중이 높다.넷마블은 지난해 국내와 일본에서 좋은 성과를 거두며 주목받았던 ‘일곱 개의 대죄: GRAND CROSS’를 지난 3월 글로벌 시장에 출시해 흥행에 성공했다. 이 게임은 출시 한 달 만에 북미 애플 앱스토어 매출 순위 6위를 기록하고 지난 4월28일에는 3위까지 올랐으며 독일, 이탈리아, 스페인, 싱가포르 등 글로벌 19개 주요 시장에서도 인기를 이어가고 있다.‘일곱 개의 대죄: GRAND CROSS’는 원작자 스즈키 나카바 만화를 바탕으로 한 일본 애니메이션 <일곱 개의 대죄> IP를 활용한 모바일 RPG다.▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
2,"넷마블, 융합장르 ‘A3:스틸얼라이브’로 글로벌 시장 판도 바꾼다",2020.02.29,"“판이 불리하면 판을 바꿔라.”넷마블 방준혁 의장이 2017년에 한 말이다. 롤플레잉게임(RPG)을 가장 잘 만드는 회사가 글로벌 시장에서 RPG로 정면승부해야 한다는 전략으로 ‘리니지2 레볼루션’의 흥행을 이끌 때였다. 당시 ‘리니지2 레볼루션’은 난공불락으로 여겨졌던 일본 모바일 게임시장에 진출해 출시 18시간만에 현지 애플 앱스토어 매출 1위에 오르며 방 의장이 선언한 ‘RPG 세계화’에 무게를 더했다.3년이 지난 현재, 넷마블은 ‘RPG 세계화’의 완성을 기대하고 있다. 3월12일 정식 출시되는 ‘A3:스틸얼라이브’를 통해서다. 이 게임은 ‘다중접속역할수행게임(MMORPG)과 ‘배틀로얄’이 결합된 융합장르다. ‘MMORPG’와 ’배틀로얄’ 각각의 콘텐츠를 따로 플레이해도 재미를 느낄 수 있는데 더해 유기적으로 결합된 둘을 같이 즐기면 재미를 극대화할 수 있다고 넷마블 측은 설명한다.넷마블은 게임 내 ‘배틀로얄’ 콘텐츠로 출품한 2018년, 2019년 두 차례의 지스타에서 이용자들로부터 큰 호응을 얻으며 흥행성을 입증했다. 또 지난 1월 인기 게임 인플루언서를 대상으로 개최한 ‘A3 BJ 슈퍼 배틀로얄’ 대회 생방송도 총 7500명의 시청자를 기록하며 ‘보는 재미’에 대한 가능성도 검증했다.게임업계 관계자는 “A3:스틸얼라이브는 넷마블이 가장 잘 하는 RPG와 글로벌 인기 공통어인 배틀로얄이 결합된 만큼 국내를 넘어 글로벌 시장에서 높은 성과를 거둘 수 있을 것으로 기대된다”고 말했다.‘A3:스틸얼라이브’는 모바일 MMORPG와 배틀로얄 콘텐츠에서 경험할 수 있는 각각의 재미를 따로 또 함께 즐길 수 있는 것이 가장 큰 특징이다. MMORPG와 배틀로얄을 함께 즐기고 싶은 각각의 이용자 층 모두를 확보할 수 있다는 것이다.각양각색 특징을 지닌 총 5종의 클래스와 대규모 필드 및 다양한 파티 던전을 통해 MMORPG에서 경험할 수 있는 모든 콘텐츠와 성장의 재미를 만끽할 수 있다. ‘소울링커’(용병시스템)와 동시간 전체 필드 이용자와 무차별 프리 PK를 즐길 수 있는 ‘암흑출몰’도 즐거움을 더한다.배틀로얄 콘텐츠 ‘30인 배틀로얄’로 기존 모바일 MMORPG에서 볼 수 없었던 숨막히는 경쟁과 극한의 생존감도 선보인다. 이용자들은 오직 전략과 콘트롤만으로 승부하며 최후의 1인을 가리는 서바이벌 방식의 ‘30인 배틀로얄’의 생존결과에 따라 성장에 필요한 경험치와 아이템도 획득할 수 있다.넷마블은 모든 등록 이용자에게 10만 골드 및 블루 다이아 50개 등 게임재화를 지급하고 삼성 갤럭시S20, 갤럭시워치, 고프로 히어로 및 구글기프트카드 등 경품을 추첨을 통해 증정하는 ‘사전 등록 이벤트’를 게임 출시 전까지 진행하고 있다.김경은 기자 jjj@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향 유튜브 구독▶ 경향 페이스북 구독©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
3,넷마블 권영식·이승원 대표 체제로 전환,2020.01.13,"국내 2위 게임업체 ‘넷마블’이 권영식 대표 체제에서 권영식·이승원 대표 체제로 운영된다.넷마블은 글로벌 담당인 이승원 부사장(49·사진)을 각자 대표로 내정했다고 13일 밝혔다. 각자 대표는 여러 명의 대표이사를 선정해 대표이사 각자로 하여금 회사를 대표하는 제도다. 넷마블은 오는 2월 이사회를 열어 이승원 신임 대표 내정자를 정식 선임할 예정이다.이 신임 대표는 서울대 신문학과, 프랑스 인시아드 경영대학원 출신으로 야후의 한국 마케팅 이사를 거쳐 2007년 넷마블에 입사했다. 그는 해외사업 본부장, 글로벌전략실 상무 등을 지냈다. 2014년부터 넷마블 글로벌 담당 부사장으로 일했다. 권 대표는 게임사업을 지휘하며 게임사업 경쟁력 강화에 집중한다. 이 신임 대표는 경영전략과 글로벌 사업에 집중한다. 넷마블은 “이번 체제 전환은 ‘강(强)한 넷마블’ 실행의 일환”이라며 “이를 통해 회사의 본질인 게임사업의 경쟁력을 한층 강화할 수 있을 것으로 기대한다”고 밝혔다.곽희양 기자 huiyang@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 최신기사▶ 기사 제보하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
4,코로나19 재확산에 엔씨소프트·넷마블 등도 재택근무 돌입,2020.08.18," 지난 17일 SK텔레콤·카카오 등이 재택근무에 돌입한 데 이어, 18일 엔씨소프트·넷마블 등 도 재택근무에 들어갔다. 엔씨소프트는 이날 ‘전사 순환 재택근무제’를 운영한다고 밝혔다. 이번 주는 하루, 다음 주는 이틀을 재택근무하는 형태다. 31일 이후 근무형태는 상황에 따라 다시 정할 계획이다. 넷마블은 ‘주 3일 출근·2일 재택근무’를 19일부터 시행한다. 직원들은 각자의 상황에 맞춰 자율적으로 출근 가능한 3일을 선택할 수 있다. 넷마블은 “코로나19 감염병 확산 방지 및 임직원 건강 보호를 위해 필수인력을 제외하고 넷마블컴퍼니 전체 대상으로 28일까지 재택근무를 재시행하기로 결정했다”고 밝혔다.컴투스와 게임빌은 19일부터 전체 직원의 50% 수준에서 순환 재택근무를 시행한다. 각 부서별 직원들이 돌아가면서 재택근무를 하는 것이다. NHN도 이달 28일까지 재택근무를 시행한다. LG유플러스도 28일까지 순환 재택근무를 한다. 서울·경기·인천·부산 지역 근무자는 각 조직의 인원을 절반으로 나눠 돌아가면서 재택근무를 한다. 앞서 SK텔레콤, KT, 카카오, 네이버, 넥슨 등은 재택근무로 전환한 바 있다.곽희양 기자 huiyang@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
5,"IMM, 사모펀드 첫 ‘대기업집단’…사업 확장한 넷마블·카카오, 순위 약진",2020.05.03,"지난해 구독경제와 금융·모빌리티 등으로 사업영역을 확장한 정보기술(IT) 대기업들의 재계 순위 약진이 두드러졌다. 올해 사모펀드(PEF) 전업 기업집단이 역대 처음 공시대상기업집단(대기업집단)으로 지정돼 공정거래위원회 제재 대상에 올랐다.3일 공정위가 발표한 ‘공시대상기업집단 지정’ 결과에 따르면 IT 기업들은 지난해 결산 기준 자산총액이 크게 늘면서 재계 순위가 크게 뛰었다. 64개 대기업집단 가운데 넷마블(57위→47위)은 10계단, 카카오(32위→23위)는 9계단을 단번에 올라섰다.지난해 IT와 결합 가능한 영역으로 사업을 적극 확장한 결과로 분석된다. 넷마블은 구독경제·스마트홈 사업을 목표로 정수기 대여업체 코웨이를 인수하며 자산이 전년 대비 2조8000억원(51%) 늘었다. 카카오는 인터넷전문은행인 카카오은행과 택시업체 등 모빌리티 기업을 다수 인수하면서 자산이 3조6000억원(34%) 증가했다. 카카오는 대기업집단 중 계열사가 가장 많이(26개) 늘었다.재계 1~8위는 삼성·현대차·SK·LG·롯데·포스코·한화·GS로 지난해와 같았다. 지난해 재계 10위였던 현대중공업은 농협과 자리를 바꿔 9위로 올라섰다. IMM인베스트먼트는 PEF 전업집단으로는 처음 대기업집단에 지정됐다. 다른 PEF 집단과 달리 지성배 대표 개인이 최상위 회사 IMM의 지분 42.76%를 보유한 최대주주이며, IMM이 금융·보험사가 아닌 컨설팅 회사라 금융 규제를 받지 않는다는 것이다. 정진욱 공정위 기업집단국장은 “소유·지배구조가 지 대표에게 집중돼 있기에 공시대상기업집단으로 지정해 규제할 필요가 있다”고 말했다.2년 연속 대기업집단으로 지정된 59개 그룹의 동일인(법적 총수)은 변동이 없었다. 공정위는 정의선 수석부회장이 경영 전면으로 나선 현대차그룹의 경우 “정몽구 회장이 그룹 최상단 회사 지분을 정 수석부회장보다 많이 보유하는 등 지배력을 유지하고 있다”며 정 회장을 동일인으로 유지했다.박광연 기자 lightyear@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
6,AI 기술 활용…나보다 내 취향 잘 아는 ‘지능형 게임’ 개발 중,2020.11.17,"넷마블 넷마블은 ‘사람과 함께 노는 지능적인 인공지능(AI)’ 개발을 목표로 2014년부터 다양한 기술을 연구해왔다. 이용자의 특성을 면밀히 분석하고, 게임 내에서 펼쳐지는 여러 상황에 적절하게 반응할 수 있는 지능형 AI를 완성해나가는 것이 목표다. 2018년에는 AI 기술의 연구 범위를 확대하고 보다 심도 있게 기술을 개발하고자 전담 연구조직인 AI센터를 설립했다. 넷마블 AI센터는 마젤란실과 콜럼버스실에서 진행하는 프로젝트로 구분할 수 있다.마젤란은 지능형 게임을 만드는 데 중점을 둔 프로젝트이다. 마젤란실의 AI에이전트팀, 밸런싱AI팀 등이 관련 기술을 연구·개발하고 있다. 넷마블 지능형 게임의 핵심은 AI 플레이어가 이용자 패턴을 학습해 지속적으로 재미를 느낄 수 있는 요인을 제공하는 것이다. 이 AI 플레이어는 이용자들을 상대하는 것 외에도 게임 밸런싱과 QA(Quality Assurance) 등 게임 관련 업무를 지원하고 있다.넷마블은 사람이 수작업을 반복해 진행해왔던 QA를 AI가 수행하는 ‘게임 테스트 자동화 시스템’을 도입했다. 이를 통해 버그 발견 확률을 높이고 있을 뿐만 아니라, 버그 수정 후 정상 작동 여부를 검증하는 ‘리그레션 테스트’에서 최대 40%의 속도 개선 효과를 얻고 있다. 특히 콘텐츠 난이도 조정과 밸런싱 등에도 AI 기술을 활용하여 이용자들의 몰입도 향상에 기여하고 있다. 이 기술은 콘텐츠 제작 비용 감소와 제작 소요 기간 단축 등에도 긍정적 영향을 미친다.또 넷마블은 강화학습 기반 AI 기술 개발을 통해 콘텐츠별 난이도를 측정하고 이용자들이 각 콘텐츠를 클리어하는 데 필요한 캐릭터 스킬의 적절한 조합을 찾을 수 있도록 돕는다. 현재 서비스 중인 일부 게임에 이 기술을 적용 중이다.콜럼버스는 넷마블의 방대한 글로벌 이용자 데이터를 기반으로 한 AI 프로젝트다. 콜럼버스실의 개인화서비스개발팀, 이상유저정보팀, 유저프로필개발팀 등이 기술 개발을 담당하고 있다. 콜럼버스 프로젝트의 궁극적 목표는 게임 내 이용자 생애 구간(이용자 유입부터 이탈까지)에 대한 최적의 분석과 매니지먼트를 통해 게임 PLC(Product Life Cycle·제품 수명 주기) 개선을 이끌어내는 것이다.한편 넷마블은 오는 12월6일부터 캐나다 밴쿠버에서 개최되는 ‘NeurIPS 2020(Neural Information Processing Systems·신경정보처리시스템학회)’에서 딥러닝 기반 모바일 음성 인식 기술을 선보일 예정이다. NeurIPS는 세계 최고 권위의 콘퍼런스로, 다양한 AI 분야의 연구를 다룬다.▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
7,‘비대면’ 바람 탄 게임업계 ‘3N’…연말까지 훨훨 날아간다,2020.11.17,"3분기까지 누적 매출 6조원 넘어코로나19로 야외활동 제한되며게임 접속자·이용 시간 늘어나4분기에도 실적 상승 이어질 듯 (위부터) 엔씨소프트 ‘리니지M’,  넥슨 ‘카트라이더 러쉬플러스’, 넷마블 ‘블레이드 & 소울 레볼루션’.게임업계 빅3로 꼽히는 ‘3N’(넥슨·넷마블·엔씨소프트)이 코로나19에도 불구하고 올 3분기 일제히 호실적을 기록했다. 비대면 콘텐츠의 급부상과 신작 흥행을 바탕으로 실적이 고공행진을 이어가고 있는 것이다. 특히 모바일게임이 실적 상승을 견인했다.17일 게임업계에 따르면 올해 들어 3분기까지 넥슨, 넷마블, 엔씨소프트가 거둔 누적 매출은 6조원을 뛰어넘은 것으로 집계됐다. 넥슨은 올해 말까지 누적 매출 3조원, 넷마블과 엔씨소프트는 각각 2조원 달성이 유력시되며 3사 매출 합계가 7조원을 넘어설 것이라는 전망이 나온다.전날 실적을 발표한 엔씨소프트는 올 3분기 연결 기준 매출 5852억원, 영업이익 2177억원을 기록했다. 전년 동기 대비 각각 47%, 69% 늘어난 수치다. 효자 게임 ‘리니지’ 형제가 매출을 이끌었다. 모바일게임 매출이 3896억원을 기록한 가운데 ‘리니지M’은 2452억원, ‘리니지2M’은 1445억원의 매출을 거뒀다. 엔씨소프트는 “리니지M 매출이 3주년 기념 업데이트 효과로 전 분기 대비 53% 증가했다”고 설명했다. PC 온라인 게임 매출은 ‘리니지’ 499억원, ‘길드워2’ 188억원 등으로 각각 전 분기 대비 46%, 20% 상승했다. 올해 엔씨소프트는 설립 후 처음 연매출 2조원 클럽에 가입할 것으로 보인다. 엔씨소프트의 3분기 누적 매출은 1조8548억원으로 지난해 연매출 1조7012억원을 이미 뛰어넘었다.넥슨은 ‘바람의나라: 연’ ‘V4’ ‘카트라이더 러쉬플러스’ 등 모바일게임 흥행을 바탕으로 올 3분기에 역대 최대 분기 실적을 달성했다. 넥슨은 3분기 매출 8873억원, 영업이익 3085억원의 실적을 거뒀다. 매출은 전년 동기 대비 52%, 영업이익은 13% 늘었다. 모바일게임 매출이 전년 동기 대비 140%의 높은 성장률을 보이며 분기 사상 최대인 3695억원을 기록했다. 3분기 전체 매출의 42%를 차지하는 비중이다. 지난 7월 서비스를 시작한 ‘바람의나라: 연’은 구글플레이 최고 매출 2위를 기록하기도 했다. 넥슨은 3분기까지 누적 매출 2조5219억원을 기록하며 연매출 3조원 달성이 예상된다.넷마블은 해외에서의 탄탄한 성과에 힘입어 3분기 기대 이상의 성적표를 받아들었다. 전년 동기보다 각각 3.6% 증가한 매출 6423억원, 영업이익 874억원을 기록했다. 3분기 전체 매출 중 해외매출(4787억원) 비중은 75%로 2분기 연속 분기 기준 역대 최고기록을 이어갔다. 올해 3월 북미와 일본 등 주요 글로벌 시장에 출시한 ‘일곱개의 대죄: GRAND CROSS’를 필두로 ‘마블 콘테스트 오브 챔피언스(Kabam)’와 ‘리니지2 레볼루션’ ‘블레이드 & 소울 레볼루션’ ‘쿠키잼(Jam City)’ 등 인기 게임들이 꾸준한 성과를 보였다. 넷마블은 3분기 누적 매출 1조8609억원을 기록하며 연매출 2조원을 가뿐히 돌파할 것으로 보인다. 코로나19는 게임업계에 호재로 작용했다. 코로나19로 야외활동이 제한되고 집에 머무르는 시간이 늘면서 게임 접속자와 게임 이용 시간이 늘어났다. 업계에서는 팬데믹 장기화와 함께 게임업계 훈풍이 한동안 계속될 것으로 보고 있다. 게임업계 관계자는 “회사별로 대규모 신작 출시를 앞두고 있는 데다 계절적 성수기 효과까지 더해지며 게임업계 실적 상승은 4분기에도 이어질 것으로 전망된다”고 말했다.노정연 기자 dana_fm@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
8,김택진 엔씨 대표 연봉 94억원···한성숙 네이버 대표는 29억,2020.03.30,"엔씨소프트 창업자인 김택진 대표가 지난해 94억원의 연봉을 받은 것으로 나타났다. 한성숙 네이버 대표는 29억8400만원을, 조수용 카카오 공동대표는 21억4900만원을 받았다. 30일 공시된 엔씨소프트, 넷마블, 네이버, 카카오 등 게임·포털 업계의 각 사업보고서에 따르면, 엔씨소프트의 김 대표는 지난해 급여 18억4700만원, 상여 75억8600만원 등 94억5000만원을 수령했다. 이는 2018년에 받은 138억보다 32%가량 줄어든 수치다. 엔씨소프트측은 “2018년 성과 연도의 영업이익이 전년 대비 35% 감소한 것이 반영됐다”며 “엔씨소프트는 성과에 연동한 보상 정책을 시행하고 있다”고 밝혔다. 배재현 엔씨소프트 부사장은 162억3700만원을 받았다. 배 부사장은 주식매수 선택권(스톡옵션)으로 143억6300만원을 벌었다. 엔씨소프트 직원 3639명의 지난해 1인 평균 급여는 8641만원이었다. 넷마블 최대주주인 방준혁 이사회 의장은 지난해 13억8600만원을 받았다. 권영식 넷마블 대표는 급여 5억1500만원, 상여 6억5400만원 등 11억8700만원을 받았다. 넷마블 직원 777명의 1인 평균 급여는 9700만원으로 집계됐다.오웬 마호니 넥슨 대표는 지난해 기본보수 1억1200만엔, 상여 1억4100만엔, 스톡옵션 5억400만엔을 받아 총 7억5700만엔(86억2000만원)을 받았다. 한성숙 네이버 대표. 연합뉴스네이버 한성숙 대표는 지난해 급여 12억원, 상여 16억8000만원 등 총 29억8400만원을 받았다. 네이버의 최인혁 최고운영책임자(COO), 채선주 최고커뮤니케이션책임자(CCO), 박상진 최고재무책임자(CFO) 등이 나란히 13억원대의 연봉을 기록했다. 창업자인 이해진 글로벌투자책임자(GIO)는 12억3700만원을 받았다. 네이버 직원 3434명의 1인 평균 급여는 8455만원으로 나타났다.카카오의 조수용 공동대표는 지난해 21억4900만원을 받았다. 급여(7억5100만원)와 상여(5900만원)보다 스톡옵션(13억3900만원)으로 번 돈이 많았다. 카카오 창업자인 김범수 이사회 의장과 여민수 공동대표의 연봉은 5억원이 안 돼 공시되지 않았다. 카카오는 “스톡옵션 포함해 상위 5명의 연봉만 공시 의무가 있기 때문”이라고 설명했다. 카카오 직원 2534명의 평균 급여는 8000만원으로 나타났다.곽희양 기자 huiyang@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
9,"GH, 과천지식정보타운 27개 분양대상자 확정",2020.11.18," 경기주택도시공사(GH)는 과천시 지식정보타운 심의위원회에서 과천지식정보타운 내 3개 2차 잔여용지(지식1-A-1·4, 지식1-A-3, 지식4-7 사업용지)의 분양 대상자를 확정했다고 18일 밝혔다.이번 용지 분양은 과천시로부터 사업계획서 평가 위탁을 받은 GH에서 평가위원회를 구성해 평가를 진행했다. 지식1-A-1·4에는 엠케이전자(주) 외 21개 컨소시엄이, 관내기업전용용지인 지식1-A-3에는 (주)다원녹화건설 외 10개 컨소시엄, 지식4-7에는 광동제약(주)이 1순위로 평가돼 분양 대상자로 확정됐다.이로써 과천지식정보타운 지식기반산업용지는 2017년 10월 첫 분양공고를 시작으로 3년에 걸쳐 모든 사업자 선정을 완료했다.지식기반산업용지에는 넷마블(주), 광동제약(주), (주)비상교육 등 115개 기업, 2개 대학 산학협력단이 입주할 예정으로 정보기술(IT), 전기·전자, 바이오·의약, 신소재, 친환경산업 등 첨단 4차 산업기술 기반 산업군이 다양하게 포진돼 있다. 이번에 확정된 분양 대상자는 과천지식정보타운 홈페이지(www.gckitown.co.kr)에서 확인할 수 있으며 과천시는 분양 대상자와 분양계약 협의를 거쳐 내년 초에 계약할 예정이다.분양과 관련한 자세한 사항은 GH 수탁사업부(031-220-3023) 또는 과천시 도시개발과 개발행정팀(02-3677-2871~4)으로 문의하면 된다.경태영 기자 kyeong@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
