Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,252500,253000,245000,245000,32615,-0.02970297029702973,-0.0102,0.0
2020-01-02,252500,253000,245000,245000,32615,-0.02970297029702973,-0.0102,0.0
2020-01-02,252500,253000,245000,245000,32615,-0.02970297029702973,-0.0102,0.0
2020-01-03,245500,248000,240500,241000,40183,-0.01632653061224487,0.0006,-0.1000000014901161
2020-01-03,245500,248000,240500,241000,40183,-0.01632653061224487,0.0006,0.0
2020-01-06,239500,240500,232000,233500,39960,-0.03112033195020747,-0.0098,0.1000000014901161
2020-01-06,239500,240500,232000,233500,39960,-0.03112033195020747,-0.0098,0.3000000119209289
2020-01-06,239500,240500,232000,233500,39960,-0.03112033195020747,-0.0098,0.1000000014901161
2020-01-07,236000,236500,232500,234000,29816,0.0021413276231263545,0.0095,0.0
2020-01-08,230000,232500,227500,229500,36835,-0.019230769230769273,-0.0111,0.1000000014901161
2020-01-09,230000,233500,227000,231000,54201,0.006535947712418277,0.0163,0.2000000029802322
2020-01-13,229500,235000,229500,233500,31960,0.017429193899782147,0.0104,0.1000000014901161
2020-01-13,229500,235000,229500,233500,31960,0.017429193899782147,0.0104,0.3000000119209289
2020-01-14,236000,241500,236000,240000,34929,0.027837259100642386,0.0043,0.0
2020-01-14,236000,241500,236000,240000,34929,0.027837259100642386,0.0043,0.1000000014901161
2020-01-14,236000,241500,236000,240000,34929,0.027837259100642386,0.0043,0.1000000014901161
2020-01-14,236000,241500,236000,240000,34929,0.027837259100642386,0.0043,0.4000000059604645
2020-01-14,236000,241500,236000,240000,34929,0.027837259100642386,0.0043,0.1000000014901161
2020-01-15,238500,248000,237500,247000,53373,0.029166666666666563,-0.0034999999999999996,0.2000000029802322
2020-01-16,247000,252000,245000,247000,35093,0.0,0.0077,0.4000000059604645
2020-01-17,245500,252000,245000,250500,36338,0.014170040485830038,0.0011,0.2000000029802322
2020-01-17,245500,252000,245000,250500,36338,0.014170040485830038,0.0011,0.1000000014901161
2020-01-20,249000,252000,248000,249500,29639,-0.003992015968063867,0.0054,0.2000000029802322
2020-01-20,249000,252000,248000,249500,29639,-0.003992015968063867,0.0054,0.0
2020-01-28,244000,249500,240500,242500,36792,-0.028056112224448926,-0.030899999999999997,0.2000000029802322
2020-01-28,244000,249500,240500,242500,36792,-0.028056112224448926,-0.030899999999999997,0.1000000014901161
2020-01-28,244000,249500,240500,242500,36792,-0.028056112224448926,-0.030899999999999997,0.3000000119209289
2020-01-29,242500,243000,237500,237500,37747,-0.020618556701030966,0.0039000000000000003,0.0
2020-01-29,242500,243000,237500,237500,37747,-0.020618556701030966,0.0039000000000000003,0.1000000014901161
2020-01-31,235500,243000,235000,237500,59696,0.00849256900212314,-0.013500000000000002,0.2000000029802322
2020-01-31,235500,243000,235000,237500,59696,0.00849256900212314,-0.013500000000000002,0.1000000014901161
2020-01-31,235500,243000,235000,237500,59696,0.00849256900212314,-0.013500000000000002,0.2000000029802322
2020-02-03,238500,239500,229500,237500,42595,0.0,-0.0001,0.1000000014901161
2020-02-05,239500,244000,239000,241500,30503,0.008350730688935215,0.0036,0.2000000029802322
2020-02-11,246000,256500,246000,255000,85958,0.04508196721311486,0.01,0.2000000029802322
2020-02-11,246000,256500,246000,255000,85958,0.04508196721311486,0.01,0.2000000029802322
2020-02-12,253000,267000,253000,266500,92748,0.045098039215686336,0.0069,0.2000000029802322
2020-02-12,253000,267000,253000,266500,92748,0.045098039215686336,0.0069,0.2000000029802322
2020-02-12,253000,267000,253000,266500,92748,0.045098039215686336,0.0069,0.2000000029802322
2020-02-12,253000,267000,253000,266500,92748,0.045098039215686336,0.0069,0.3000000119209289
2020-02-12,253000,267000,253000,266500,92748,0.045098039215686336,0.0069,0.2000000029802322
2020-02-13,273500,284500,270000,275500,219566,0.03377110694183871,-0.0024,0.2000000029802322
2020-02-13,273500,284500,270000,275500,219566,0.03377110694183871,-0.0024,0.3000000119209289
2020-02-14,275500,279000,267000,276000,64161,0.001814882032667775,0.0048,0.0
2020-02-19,272500,278000,272000,274500,64463,0.022346368715083775,0.0007000000000000001,0.2000000029802322
2020-02-19,272500,278000,272000,274500,64463,0.022346368715083775,0.0007000000000000001,0.2000000029802322
2020-02-19,272500,278000,272000,274500,64463,0.022346368715083775,0.0007000000000000001,0.2000000029802322
2020-02-24,272500,279500,260000,263000,89274,-0.016822429906542036,-0.0387,0.4000000059604645
2020-02-25,263000,267500,260500,262000,49084,-0.0038022813688213253,0.0118,0.3000000119209289
2020-02-25,263000,267500,260500,262000,49084,-0.0038022813688213253,0.0118,0.3000000119209289
2020-02-27,263000,263500,256000,259000,38562,-0.020793950850661602,-0.0105,0.2000000029802322
2020-02-27,263000,263500,256000,259000,38562,-0.020793950850661602,-0.0105,0.2000000029802322
2020-02-28,257500,257500,243500,244000,75193,-0.05791505791505791,-0.033,0.0
2020-02-28,257500,257500,243500,244000,75193,-0.05791505791505791,-0.033,0.2000000029802322
2020-02-28,257500,257500,243500,244000,75193,-0.05791505791505791,-0.033,0.1000000014901161
2020-03-02,245500,250000,239500,247000,56974,0.012295081967213184,0.0078000000000000005,0.4000000059604645
2020-03-02,245500,250000,239500,247000,56974,0.012295081967213184,0.0078000000000000005,0.0
2020-03-03,253500,253500,248500,249500,47963,0.010121457489878471,0.0058,0.2000000029802322
2020-03-03,253500,253500,248500,249500,47963,0.010121457489878471,0.0058,0.3000000119209289
2020-03-06,258500,262000,254500,261500,49725,0.007707129094412402,-0.0216,0.0
2020-03-06,258500,262000,254500,261500,49725,0.007707129094412402,-0.0216,0.0
2020-03-10,254000,254500,247500,249500,54301,-0.021568627450980427,0.0042,0.3000000119209289
2020-03-12,249500,249500,233500,235000,83591,-0.04471544715447151,-0.0387,0.4000000059604645
2020-03-12,249500,249500,233500,235000,83591,-0.04471544715447151,-0.0387,0.4000000059604645
2020-03-16,224000,229000,217500,218000,55956,-0.018018018018018056,-0.0319,0.0
2020-03-19,210000,214000,148000,155000,263704,-0.26190476190476186,-0.0839,0.2000000029802322
2020-03-20,163000,189500,161000,188000,191267,0.2129032258064516,0.07440000000000001,0.2000000029802322
2020-03-20,163000,189500,161000,188000,191267,0.2129032258064516,0.07440000000000001,0.2000000029802322
2020-03-23,171500,182000,165000,172500,84035,-0.08244680851063835,-0.053399999999999996,0.3000000119209289
2020-03-23,171500,182000,165000,172500,84035,-0.08244680851063835,-0.053399999999999996,0.1000000014901161
2020-03-23,171500,182000,165000,172500,84035,-0.08244680851063835,-0.053399999999999996,0.2000000029802322
2020-03-24,178000,197500,175500,191000,97920,0.1072463768115941,0.086,0.1000000014901161
