Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,52400,52600,50000,50100,194505,-0.042065009560229405,-0.0102,0.0
2020-01-03,50500,51300,50100,50800,246721,0.013972055888223478,0.0006,0.0
2020-01-06,50800,50800,49900,50200,142825,-0.011811023622047223,-0.0098,0.0
2020-01-07,50500,50500,49450,49750,192139,-0.008964143426294813,0.0095,0.0
2020-01-08,49250,49300,47950,48550,211203,-0.024120603015075348,-0.0111,0.1000000014901161
2020-01-09,48700,49200,47450,47900,298826,-0.013388259526261548,0.0163,0.0
2020-01-10,47900,48150,46850,47400,215837,-0.01043841336116913,0.0091,0.2000000029802322
2020-01-13,47300,48050,46900,48000,143464,0.012658227848101333,0.0104,0.1000000014901161
2020-01-14,48100,48500,47600,48450,177303,0.009374999999999911,0.0043,0.0
2020-01-15,48450,48600,47950,48150,142492,-0.006191950464396245,-0.0034999999999999996,0.0
2020-01-16,48150,48400,47450,48150,127130,0.0,0.0077,0.0
2020-01-17,47950,48350,47500,47500,147129,-0.01349948078920038,0.0011,0.0
2020-01-20,47500,47850,46950,47350,126446,-0.0031578947368421373,0.0054,0.0
2020-01-21,47400,47400,46500,46600,151357,-0.015839493136219684,-0.0101,0.0
2020-01-22,46450,46450,45250,45500,268496,-0.023605150214592308,0.0123,0.0
2020-01-23,45250,45350,44000,44500,323330,-0.02197802197802201,-0.009300000000000001,0.0
2020-01-28,43800,44250,42800,42900,238331,-0.035955056179775235,-0.030899999999999997,0.0
2020-01-29,42950,43350,42550,43200,156538,0.006993006993007089,0.0039000000000000003,0.0
2020-01-30,43300,43950,42050,42550,243897,-0.01504629629629628,-0.0171,0.2000000029802322
2020-01-31,42550,43400,42350,42500,293817,-0.001175088131609825,-0.013500000000000002,0.0
2020-02-03,42400,43100,41750,42550,264741,0.0011764705882353343,-0.0001,0.0
2020-02-04,42650,43700,42400,43400,266273,0.0199764982373678,0.0184,0.0
2020-02-05,43000,44600,43000,44200,273580,0.018433179723502224,0.0036,0.0
2020-02-06,44700,45800,44550,45400,222311,0.02714932126696823,0.0288,0.0
2020-02-07,45400,46100,44800,45050,211570,-0.00770925110132159,-0.0072,0.0
2020-02-10,44100,45250,43700,45000,207434,-0.0011098779134295356,-0.0049,0.0
2020-02-11,45050,46100,45000,45450,216294,0.010000000000000009,0.01,0.0
2020-02-12,44700,45800,44500,45450,269118,0.0,0.0069,0.0
2020-02-13,45050,45450,44100,44200,224227,-0.027502750275027465,-0.0024,0.0
2020-02-14,43950,44600,43500,43500,214234,-0.015837104072398245,0.0048,0.0
2020-02-17,43400,43750,43050,43350,175604,-0.0034482758620689724,-0.0006,0.0
2020-02-18,43000,43800,42200,42900,181825,-0.01038062283737029,-0.0148,0.0
2020-02-19,43600,43600,41800,42050,203842,-0.019813519813519864,0.0007000000000000001,0.0
2020-02-20,41550,43700,41550,43200,317478,0.027348394768133222,-0.0067,0.0
2020-02-21,42750,43250,42200,42750,233894,-0.01041666666666663,-0.0149,0.0
2020-02-24,42750,44850,42750,43300,443280,0.012865497076023358,-0.0387,0.0
2020-02-25,43600,44500,42900,43100,239271,-0.004618937644341847,0.0118,0.0
2020-02-26,42600,43750,42100,42150,310908,-0.022041763341067333,-0.0128,0.2000000029802322
2020-02-27,42400,44400,41850,43750,301506,0.03795966785290639,-0.0105,0.2000000029802322
2020-02-28,44350,44350,42550,43300,505475,-0.010285714285714231,-0.033,0.0
2020-03-02,43400,43900,41600,41600,338382,-0.03926096997690531,0.0078000000000000005,0.0
2020-03-03,41800,42900,41250,41450,286005,-0.0036057692307692735,0.0058,0.0
