Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,51300,51400,50000,50000,143431,-0.03100775193798455,-0.0102,0.13333333532015482
2020-01-03,50000,50700,49700,50300,126085,0.006000000000000005,0.0006,0.1000000014901161
2020-01-06,50600,51100,49950,50100,154646,-0.003976143141153132,-0.0098,0.20000000447034832
2020-01-07,50100,50500,49900,50500,107859,0.007984031936127733,0.0095,0.0
2020-01-08,49050,49250,47600,48800,193500,-0.03366336633663369,-0.0111,0.033333333830038704
2020-01-09,48600,49050,48200,48600,203679,-0.004098360655737654,0.0163,0.05714285799435206
2020-01-10,48600,48600,48000,48300,124103,-0.006172839506172867,0.0091,0.2000000029802322
2020-01-13,48050,48150,47750,48150,96816,-0.0031055900621117516,0.0104,0.25000000745058054
2020-01-14,48150,48700,48000,48700,137916,0.011422637590861928,0.0043,0.20000000447034832
2020-01-15,48900,48900,47900,48250,185624,-0.00924024640657084,-0.0034999999999999996,0.18333333979050315
2020-01-16,48100,48350,47500,48300,219738,0.0010362694300518616,0.0077,0.3000000119209289
2020-01-17,48150,48850,48000,48850,170520,0.011387163561076497,0.0011,0.1571428605488368
2020-01-20,48550,48900,48300,48700,129551,-0.0030706243602866,0.0054,0.20000000298023218
2020-01-21,48450,48700,48250,48400,72113,-0.006160164271047264,-0.0101,0.09000000208616256
2020-01-22,48500,48800,48150,48600,95055,0.004132231404958775,0.0123,0.07500000111758708
2020-01-23,48200,48650,48000,48350,156925,-0.005144032921810648,-0.009300000000000001,0.13333333532015482
2020-01-28,47800,48050,46400,46550,196418,-0.03722854188210967,-0.030899999999999997,-0.1000000014901161
2020-01-29,46350,46850,46050,46550,125544,0.0,0.0039000000000000003,0.30000000447034836
2020-01-30,46450,46700,46050,46400,117403,-0.0032223415682062218,-0.0171,0.10000000521540639
2020-01-31,46600,46750,45650,45700,192347,-0.015086206896551713,-0.013500000000000002,0.1000000014901161
2020-02-03,45600,45850,44350,45000,187401,-0.015317286652078765,-0.0001,0.1000000014901161
2020-02-04,44650,45300,44600,45300,288497,0.006666666666666599,0.0184,0.05000000074505805
2020-02-05,44900,45250,44650,45100,197538,-0.004415011037527616,0.0036,0.17500000447034833
2020-02-06,45400,47050,45250,47050,199039,0.0432372505543237,0.0288,0.06000000089406967
2020-02-07,46500,46550,45750,46000,137553,-0.022316684378320906,-0.0072,-0.025000000372529026
2020-02-10,45350,45900,45100,45600,166758,-0.008695652173912993,-0.0049,0.3500000089406967
2020-02-11,46050,46700,45600,46600,157635,0.021929824561403466,0.01,0.14000000357627868
2020-02-12,46300,46850,46000,46450,214620,-0.0032188841201716833,0.0069,0.2000000029802322
2020-02-13,46450,47100,46000,46000,164354,-0.009687836383207804,-0.0024,0.06000000089406966
2020-02-14,45700,46250,45500,46050,139337,0.0010869565217390686,0.0048,0.1000000014901161
2020-02-17,46050,46450,45450,45900,89084,-0.0032573289902280145,-0.0006,0.05000000074505805
2020-02-18,45500,46150,45500,45850,96289,-0.0010893246187363426,-0.0148,0.2000000029802322
2020-02-19,46050,46100,45200,45300,87714,-0.01199563794983638,0.0007000000000000001,0.23333333805203435
2020-02-20,45200,45500,44900,45150,124948,-0.0033112582781457123,-0.0067,0.0
2020-02-21,44650,44650,43900,43950,193560,-0.02657807308970095,-0.0149,0.0
2020-02-24,43550,43600,41500,41600,229758,-0.05346985210466437,-0.0387,0.1000000014901161
2020-02-25,41100,41750,40750,41650,198750,0.0012019230769231282,0.0118,0.0
2020-02-26,41400,42000,41050,41950,252165,0.007202881152460927,-0.0128,0.06666666766007741
2020-02-27,41500,42000,41150,41950,210228,0.0,-0.0105,0.15000000223517418
2020-02-28,41600,41600,40950,41250,294536,-0.016686531585220488,-0.033,0.1000000014901161
2020-03-02,41100,41500,40400,40800,187080,-0.010909090909090868,0.0078000000000000005,0.0
2020-03-03,41000,41650,40450,40750,215622,-0.001225490196078427,0.0058,0.1000000014901161
2020-03-04,40750,41100,40550,40650,200295,-0.0024539877300613355,0.022400000000000003,0.13333333532015482
2020-03-05,40650,41300,40500,41300,254575,0.01599015990159902,0.0126,0.23333333929379776
2020-03-06,41000,41000,39650,40000,374898,-0.03147699757869249,-0.0216,0.1000000014901161
2020-03-09,39400,39400,37950,38550,401937,-0.036250000000000004,-0.04190000000000001,-0.06666666766007741
2020-03-10,37900,40450,37800,40400,361388,0.0479896238651103,0.0042,0.1000000014901161
2020-03-11,40000,40450,38750,40150,262281,-0.006188118811881194,-0.0278,0.10000000255448475
2020-03-12,40550,40550,37600,38100,345886,-0.05105853051058529,-0.0387,0.4000000059604645
2020-03-13,35100,36400,33850,35850,406795,-0.05905511811023623,-0.034300000000000004,0.14000000208616253
2020-03-16,36250,36950,35050,36100,216706,0.0069735006973501434,-0.0319,0.20000000298023224
2020-03-17,34600,36700,34550,36650,251836,0.015235457063711877,-0.024700000000000003,0.2500000037252903
2020-03-18,36500,37650,36300,36650,232190,0.0,-0.048600000000000004,0.25000000558793545
2020-03-19,36650,37650,35200,35600,406946,-0.028649386084583894,-0.0839,0.2000000048428774
2020-03-20,35600,36500,34700,35750,351928,0.004213483146067398,0.07440000000000001,0.15000000596046445
2020-03-23,34600,34600,32200,32600,339139,-0.08811188811188808,-0.053399999999999996,0.2500000037252903
2020-03-24,32600,35150,32600,34900,366497,0.07055214723926384,0.086,0.12000000178813934
2020-03-25,35150,40300,34800,39900,484138,0.14326647564469908,0.058899999999999994,0.10000000255448475
2020-03-26,39900,40600,37400,37400,400721,-0.06265664160401008,-0.0109,0.07142857355730872
2020-03-27,38550,38850,37000,38100,261659,0.018716577540107027,0.0187,0.08750000130385159
2020-03-30,36550,37850,35850,37150,214033,-0.02493438320209973,-0.0004,0.06666666766007741
2020-03-31,37150,37650,36300,36800,318723,-0.009421265141319024,0.0219,0.033333333830038704
2020-04-01,36100,37600,35100,35400,273704,-0.03804347826086951,-0.0394,0.15000000347693762
2020-04-02,35550,39150,35150,38450,364422,0.08615819209039555,0.023399999999999997,0.04000000059604644
2020-04-03,39850,41000,36700,37400,447562,-0.0273081924577373,0.0003,0.1000000014901161
2020-04-06,37900,40200,37700,39650,301095,0.06016042780748654,0.0385,0.17500000260770318
2020-04-07,39850,40000,38600,39500,340677,-0.003783102143757877,0.0177,0.16666667163372037
2020-04-08,38800,40000,38350,39000,282670,-0.012658227848101222,-0.009000000000000001,0.13333333532015482
2020-04-09,39850,39950,38800,39450,322406,0.011538461538461497,0.0161,0.10000000255448475
2020-04-10,38850,39150,38550,39150,231442,-0.0076045627376425395,0.013300000000000001,0.08571428805589675
2020-04-13,39150,39300,38600,39100,164461,-0.0012771392081737387,-0.018799999999999997,0.04000000059604644
2020-04-14,39150,39450,38850,38950,269727,-0.0038363171355498826,0.0172,0.033333333830038704
2020-04-16,38450,39150,37600,38950,366290,0.0,-0.0,0.06666667014360426
2020-04-17,38400,39450,38400,38800,331931,-0.0038510911424903815,0.030899999999999997,0.04000000059604644
2020-04-20,38950,39400,38300,38350,310990,-0.011597938144329856,-0.0084,0.15555555870135623
2020-04-21,37700,38300,37250,37850,282678,-0.013037809647979182,-0.01,0.12222222404347526
2020-04-22,37250,37350,36300,37350,409883,-0.013210039630118908,0.0089,0.0
2020-04-23,37400,38700,37400,38600,402968,0.03346720214190091,0.0098,0.13333333780368167
2020-04-24,38750,39100,37350,37500,300181,-0.02849740932642486,-0.0134,0.2000000067055225
2020-04-27,37500,38450,37500,38100,256655,0.016000000000000014,0.0179,0.15000000298023222
2020-04-28,37650,38300,37350,37800,432912,-0.007874015748031482,0.0059,0.30000000447034836
2020-04-29,38000,39250,37950,38550,445543,0.01984126984126977,0.006999999999999999,0.04285714349576404
2020-05-04,37800,37850,37100,37250,306287,-0.03372243839169908,-0.0268,0.033333333830038704
2020-05-06,38050,39300,38050,38800,382368,0.041610738255033475,0.0176,0.0
2020-05-07,38650,38700,38100,38250,197276,-0.014175257731958713,-0.0001,0.033333333830038704
2020-05-08,38500,38600,38200,38400,226357,0.0039215686274509665,0.0089,0.20000000577419993
2020-05-11,38300,38550,37800,37800,157719,-0.015625,-0.0054,0.180000002682209
2020-05-12,37500,37600,36700,36950,349027,-0.022486772486772444,-0.0068000000000000005,0.07500000298023222
2020-05-13,36500,37250,36500,37100,214773,0.004059539918809252,0.0095,0.11428571705307279
2020-05-14,36850,37050,36300,36800,293655,-0.008086253369272267,-0.008,0.03750000149011611
