Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,3555,3770,3555,3750,1799891,0.05633802816901401,-0.0102,0.0
2020-01-03,3765,3865,3745,3775,1567072,0.006666666666666599,0.0006,0.0
2020-01-06,3725,3840,3660,3835,1312388,0.015894039735099286,-0.0098,0.0
2020-01-07,3840,3920,3810,3900,1300247,0.016949152542372836,0.0095,0.0
2020-01-08,3845,3960,3740,3765,1745074,-0.0346153846153846,-0.0111,0.0
2020-01-09,3900,3910,3800,3850,876535,0.02257636122177953,0.0163,0.0
2020-01-10,3850,3890,3750,3780,892735,-0.018181818181818188,0.0091,0.0
2020-01-13,3790,3845,3755,3780,930436,0.0,0.0104,0.0
2020-01-14,3795,3810,3725,3785,997094,0.001322751322751392,0.0043,0.0
2020-01-15,3795,3825,3740,3805,598888,0.005284015852047519,-0.0034999999999999996,0.0
2020-01-16,3805,3840,3740,3760,670170,-0.01182654402102501,0.0077,0.0
2020-01-17,3825,3835,3740,3745,808336,-0.003989361702127714,0.0011,0.0
2020-01-20,3715,3735,3645,3650,873145,-0.025367156208277675,0.0054,0.0
2020-01-21,3685,3685,3545,3565,744621,-0.023287671232876672,-0.0101,0.0
2020-01-22,3560,3585,3470,3585,1104399,0.005610098176718203,0.0123,0.0
2020-01-23,3570,3675,3560,3635,561275,0.013947001394700065,-0.009300000000000001,0.0
2020-01-28,3500,3545,3435,3475,1518192,-0.044016506189821225,-0.030899999999999997,0.0
2020-01-29,3525,3565,3495,3500,744188,0.007194244604316502,0.0039000000000000003,0.0
2020-01-30,3520,3570,3480,3500,559778,0.0,-0.0171,0.0
2020-01-31,3455,3525,3455,3475,639462,-0.0071428571428571175,-0.013500000000000002,0.0
2020-02-03,3435,3435,3340,3400,1032561,-0.021582733812949617,-0.0001,0.0
2020-02-04,3400,3530,3400,3475,574954,0.022058823529411686,0.0184,0.0
2020-02-05,3530,3545,3490,3520,396345,0.012949640287769792,0.0036,0.0
2020-02-06,3520,3580,3520,3530,582315,0.0028409090909091717,0.0288,0.0
2020-02-07,3540,3555,3485,3525,416722,-0.0014164305949008194,-0.0072,0.0
2020-02-10,3520,3720,3505,3710,1144368,0.052482269503546064,-0.0049,0.0
2020-02-11,3710,3865,3710,3800,1925391,0.0242587601078168,0.01,0.0
2020-02-12,3830,3850,3725,3820,957511,0.0052631578947368585,0.0069,0.0
2020-02-13,3820,3830,3750,3815,602701,-0.0013089005235602524,-0.0024,0.0
2020-02-14,3815,3850,3760,3825,907607,0.002621231979030192,0.0048,0.0
2020-02-17,3865,4020,3810,3980,2545266,0.04052287581699354,-0.0006,0.0
2020-02-18,3960,3960,3835,3860,1255162,-0.03015075376884424,-0.0148,0.0
2020-02-19,3850,3850,3685,3710,1324618,-0.03886010362694303,0.0007000000000000001,0.2000000029802322
2020-02-20,3680,3755,3590,3625,1253935,-0.022911051212938016,-0.0067,0.0
2020-02-21,3580,3620,3475,3500,1642334,-0.03448275862068961,-0.0149,0.0
2020-02-24,3385,3420,3335,3345,1838543,-0.04428571428571426,-0.0387,0.0
2020-02-25,3305,3415,3305,3395,1625635,0.014947683109117982,0.0118,0.0
2020-02-26,3360,3395,3325,3380,1165749,-0.004418262150220897,-0.0128,0.0
2020-02-27,3375,3445,3340,3340,1114852,-0.011834319526627168,-0.0105,0.0
2020-02-28,3330,3330,3215,3255,1538226,-0.025449101796407136,-0.033,0.0
2020-03-02,3220,3320,3220,3320,1120832,0.019969278033794113,0.0078000000000000005,0.0
2020-03-03,3385,3465,3375,3405,1169853,0.025602409638554313,0.0058,0.0
2020-03-04,3385,3535,3355,3525,883729,0.03524229074889873,0.022400000000000003,0.0
2020-03-05,3545,3745,3535,3730,1721638,0.0581560283687943,0.0126,0.0
2020-03-06,3670,3805,3605,3670,1564936,-0.01608579088471851,-0.0216,0.0
2020-03-09,3610,3635,3395,3450,1951088,-0.05994550408719346,-0.04190000000000001,0.0
2020-03-10,3395,3475,3335,3430,1904808,-0.005797101449275366,0.0042,0.0
2020-03-11,3460,3555,3375,3430,1119481,0.0,-0.0278,0.0
2020-03-12,3310,3390,3260,3275,1790039,-0.04518950437317781,-0.0387,0.0
2020-03-13,2995,3120,2905,3060,3964328,-0.06564885496183204,-0.034300000000000004,0.0
2020-03-16,3145,3210,2975,2990,1815097,-0.022875816993464082,-0.0319,0.0
2020-03-17,2805,3030,2805,3000,1650696,0.0033444816053511683,-0.024700000000000003,0.0
2020-03-18,3040,3095,2825,2825,1617712,-0.05833333333333335,-0.048600000000000004,0.0
2020-03-19,2825,2890,2250,2325,4066380,-0.17699115044247793,-0.0839,0.0
2020-03-20,2360,2500,2245,2425,3836779,0.043010752688172005,0.07440000000000001,0.0
2020-03-23,2255,2285,2120,2190,2438506,-0.09690721649484535,-0.053399999999999996,0.0
2020-03-24,2210,2360,2210,2340,1740696,0.06849315068493156,0.086,0.0
2020-03-25,2500,2705,2480,2600,2671935,0.11111111111111116,0.058899999999999994,0.0
2020-03-26,2605,2770,2510,2660,1772977,0.023076923076922995,-0.0109,0.0
2020-03-27,2840,2850,2620,2665,1817584,0.001879699248120259,0.0187,0.1000000014901161
2020-03-30,2555,2820,2515,2805,1631441,0.052532833020637826,-0.0004,0.0
2020-03-31,2885,3170,2825,3100,3365384,0.10516934046345816,0.0219,0.13333333532015482
2020-04-01,3120,3340,3015,3150,2783750,0.016129032258064502,-0.0394,0.05000000074505805
2020-04-02,3070,3270,3000,3270,2026781,0.03809523809523818,0.023399999999999997,0.0
2020-04-03,3335,3335,3165,3215,1679240,-0.016819571865443472,0.0003,0.0
2020-04-06,3230,3260,3180,3240,1350717,0.007776049766718529,0.0385,0.0
2020-04-07,3335,3340,3180,3250,1474044,0.0030864197530864335,0.0177,0.0
2020-04-08,3230,3320,3190,3260,1415468,0.003076923076922977,-0.009000000000000001,0.0
2020-04-09,3320,3325,3265,3280,772143,0.006134969325153339,0.0161,0.0
2020-04-10,3300,3345,3235,3290,1351040,0.0030487804878047697,0.013300000000000001,0.0
2020-04-13,3295,3475,3265,3460,2574276,0.05167173252279644,-0.018799999999999997,0.0
2020-04-14,3425,3595,3425,3585,2766846,0.036127167630057855,0.0172,0.0
2020-04-16,3605,3765,3525,3705,3209617,0.03347280334728042,-0.0,0.0
2020-04-17,3725,3985,3635,3655,5135984,-0.013495276653171406,0.030899999999999997,0.0
