Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-09,91700,93200,91700,92700,554409,0.009803921568627416,0.0163,0.2000000029802322
2020-01-10,92600,94800,92600,94700,451873,0.02157497303128375,0.0091,0.0
2020-01-10,92600,94800,92600,94700,451873,0.02157497303128375,0.0091,0.0
2020-01-13,94200,94700,93800,94100,321542,-0.006335797254487852,0.0104,0.1000000014901161
2020-01-14,94000,94300,93200,94100,349378,0.0,0.0043,0.1000000014901161
2020-01-15,93600,94300,93500,94100,231117,0.0,-0.0034999999999999996,0.1000000014901161
2020-01-15,93600,94300,93500,94100,231117,0.0,-0.0034999999999999996,0.1000000014901161
2020-01-15,93600,94300,93500,94100,231117,0.0,-0.0034999999999999996,0.1000000014901161
2020-01-21,93200,94300,93000,93700,288371,0.007526881720430145,-0.0101,0.1000000014901161
2020-01-29,93200,98100,93200,95100,1675200,0.020386266094420513,0.0039000000000000003,0.1000000014901161
2020-01-29,93200,98100,93200,95100,1675200,0.020386266094420513,0.0039000000000000003,0.1000000014901161
2020-01-29,93200,98100,93200,95100,1675200,0.020386266094420513,0.0039000000000000003,0.1000000014901161
2020-01-30,95500,96100,93900,93900,591846,-0.012618296529968487,-0.0171,0.1000000014901161
2020-01-30,95500,96100,93900,93900,591846,-0.012618296529968487,-0.0171,0.2000000029802322
2020-01-31,94500,95600,93500,95100,663957,0.012779552715654896,-0.013500000000000002,0.1000000014901161
2020-02-07,92900,93700,92300,93700,371957,0.008611410118406937,-0.0072,0.1000000014901161
2020-02-10,92800,93000,92500,92700,228048,-0.01067235859124871,-0.0049,0.3000000119209289
2020-02-10,92800,93000,92500,92700,228048,-0.01067235859124871,-0.0049,0.4000000059604645
2020-02-11,92700,93400,92600,93000,261834,0.003236245954692629,0.01,0.0
2020-02-12,93200,93500,92600,93100,260060,0.0010752688172042113,0.0069,0.1000000014901161
2020-02-13,92900,93100,92000,92200,543872,-0.009667024704618665,-0.0024,0.2000000029802322
2020-02-18,90300,90300,88600,89300,503239,-0.011074197120708784,-0.0148,0.3000000119209289
2020-02-18,90300,90300,88600,89300,503239,-0.011074197120708784,-0.0148,0.1000000014901161
2020-02-19,89600,89600,87500,88000,447883,-0.014557670772676334,0.0007000000000000001,0.6000000238418579
2020-02-20,88000,88400,86100,86300,495625,-0.01931818181818179,-0.0067,0.0
2020-02-20,88000,88400,86100,86300,495625,-0.01931818181818179,-0.0067,-0.1000000014901161
2020-02-25,83700,84800,82700,83900,541303,0.002389486260454099,0.0118,-0.2000000029802322
2020-02-26,83000,83900,82700,83100,492014,-0.009535160905840279,-0.0128,-0.1000000014901161
2020-02-26,83000,83900,82700,83100,492014,-0.009535160905840279,-0.0128,0.1000000014901161
2020-02-27,82800,87800,82800,86200,866272,0.03730445246690728,-0.0105,0.1000000014901161
2020-02-27,82800,87800,82800,86200,866272,0.03730445246690728,-0.0105,0.2000000029802322
2020-02-28,85600,86000,83900,84700,638713,-0.01740139211136893,-0.033,-0.1000000014901161
2020-03-03,85400,86400,84800,84900,434828,-0.005854800936768156,0.0058,-0.1000000014901161
2020-03-04,80100,84000,79100,81500,2017991,-0.0400471142520612,0.022400000000000003,0.0
2020-03-05,81800,82700,81400,82500,1079846,0.012269938650306678,0.0126,-0.2000000029802322
2020-03-12,81000,81700,78400,79500,1239210,-0.03284671532846717,-0.0387,-0.1000000014901161
2020-03-18,76600,77200,75100,75500,705583,-0.02580645161290318,-0.048600000000000004,0.4000000059604645
2020-03-19,74500,75800,68600,69100,881642,-0.08476821192052986,-0.0839,0.1000000014901161
2020-03-20,69800,71600,66400,67900,900538,-0.01736613603473225,0.07440000000000001,0.0
2020-03-23,65200,65700,63000,63600,600618,-0.06332842415316642,-0.053399999999999996,-0.2000000029802322
2020-03-25,69200,72100,68500,72100,657557,0.06499261447562787,0.058899999999999994,0.1000000014901161
2020-03-26,71000,75700,70500,72200,684372,0.001386962552011095,-0.0109,0.0
2020-03-26,71000,75700,70500,72200,684372,0.001386962552011095,-0.0109,-0.1000000014901161
2020-03-26,71000,75700,70500,72200,684372,0.001386962552011095,-0.0109,0.3000000119209289
2020-03-27,74300,75400,72600,74500,633524,0.03185595567867039,0.0187,0.0
2020-03-27,74300,75400,72600,74500,633524,0.03185595567867039,0.0187,0.0
2020-03-31,73500,74700,73200,74700,521451,0.017711171662125436,0.0219,0.0
2020-04-02,70700,72100,69100,71300,564737,0.004225352112676051,0.023399999999999997,0.3000000119209289
2020-04-03,71200,75000,71200,74900,606101,0.05049088359046294,0.0003,0.0
2020-04-08,76700,78500,76000,76200,558577,-0.010389610389610393,-0.009000000000000001,0.1000000014901161
2020-04-08,76700,78500,76000,76200,558577,-0.010389610389610393,-0.009000000000000001,0.1000000014901161
2020-04-08,76700,78500,76000,76200,558577,-0.010389610389610393,-0.009000000000000001,0.0
2020-04-08,76700,78500,76000,76200,558577,-0.010389610389610393,-0.009000000000000001,0.0
2020-04-14,77800,78400,77200,77800,423335,0.0051679586563306845,0.0172,0.0
2020-04-16,76300,77500,75500,77200,727390,-0.007712082262210762,-0.0,0.3000000119209289
2020-04-21,77500,78100,76100,78000,630670,0.0012836970474967568,-0.01,0.2000000029802322
2020-04-27,78700,81000,78600,80400,434581,0.019011406844106515,0.0179,0.3000000119209289
2020-04-28,79900,80600,79200,80300,499074,-0.0012437810945273853,0.0059,0.1000000014901161
2020-05-06,78600,80000,78500,79000,415323,0.006369426751592355,0.0176,0.2000000029802322
2020-05-08,79400,79800,78700,78700,344788,0.0012722646310432406,0.0089,0.2000000029802322
2020-05-18,77900,78500,77400,77900,319382,0.0,0.0051,-0.1000000014901161
2020-05-19,78900,79100,78500,78700,429097,0.010269576379974277,0.0225,0.3000000119209289
2020-05-19,78900,79100,78500,78700,429097,0.010269576379974277,0.0225,-0.1000000014901161
2020-05-19,78900,79100,78500,78700,429097,0.010269576379974277,0.0225,-0.1000000014901161
2020-05-20,78800,79100,78100,78500,322093,-0.0025412960609910717,0.0046,-0.1000000014901161
2020-05-20,78800,79100,78100,78500,322093,-0.0025412960609910717,0.0046,0.3000000119209289
2020-05-20,78800,79100,78100,78500,322093,-0.0025412960609910717,0.0046,0.2000000029802322
2020-05-20,78800,79100,78100,78500,322093,-0.0025412960609910717,0.0046,-0.1000000014901161
2020-05-20,78800,79100,78100,78500,322093,-0.0025412960609910717,0.0046,0.2000000029802322
2020-05-22,79100,83400,78800,82200,1531549,0.04580152671755733,-0.0141,0.2000000029802322
2020-05-25,83100,86200,82000,85900,938074,0.045012165450121655,0.0124,0.1000000014901161
2020-05-25,83100,86200,82000,85900,938074,0.045012165450121655,0.0124,0.1000000014901161
2020-05-27,84800,87300,84600,84900,537749,-0.004689331770222793,0.0007000000000000001,0.1000000014901161
2020-05-29,83500,85800,83000,83900,981672,0.0145102781136639,0.0005,-0.1000000014901161
2020-05-29,83500,85800,83000,83900,981672,0.0145102781136639,0.0005,0.0
2020-06-04,88000,88600,87400,87400,543804,-0.006818181818181834,0.0019,0.4000000059604645
2020-06-05,87600,88500,86900,88300,348995,0.010297482837528626,0.0143,0.0
2020-06-05,87600,88500,86900,88300,348995,0.010297482837528626,0.0143,-0.1000000014901161
2020-06-05,87600,88500,86900,88300,348995,0.010297482837528626,0.0143,0.0
2020-06-10,87900,87900,85600,85700,617418,-0.016073478760045945,0.0031,0.1000000014901161
2020-06-10,87900,87900,85600,85700,617418,-0.016073478760045945,0.0031,0.1000000014901161
2020-06-10,87900,87900,85600,85700,617418,-0.016073478760045945,0.0031,0.1000000014901161
2020-06-11,85000,86400,84100,84800,598441,-0.010501750291715295,-0.0086,0.1000000014901161
2020-06-12,82900,84300,82100,83200,484659,-0.018867924528301883,-0.0204,0.0
2020-06-12,82900,84300,82100,83200,484659,-0.018867924528301883,-0.0204,0.1000000014901161
2020-06-15,82400,82600,79300,79300,542656,-0.046875,-0.047599999999999996,0.2000000029802322
2020-06-18,82200,82300,81100,81700,307118,-0.007290400972053468,-0.0034999999999999996,0.3000000119209289
2020-06-19,82000,82100,80200,80600,531345,-0.01346389228886169,0.0037,0.3000000119209289
2020-06-25,78600,78900,78200,78200,335888,-0.01635220125786163,-0.0227,0.2000000029802322
2020-06-30,78000,79500,77700,78200,420964,0.006435006435006496,0.0070999999999999995,0.1000000014901161
2020-07-01,79100,79200,78200,78500,239525,0.0038363171355497716,-0.0008,0.1000000014901161
