Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,14200,14300,13800,13850,1398146,-0.02464788732394363,-0.0102,0.2000000029802322
2020-01-03,13950,14150,13800,13800,1033335,-0.0036101083032491488,0.0006,0.1000000014901161
2020-01-06,13750,13800,13550,13600,848301,-0.01449275362318836,-0.0098,0.1000000014901161
2020-01-07,13600,13800,13600,13800,849727,0.014705882352941124,0.0095,0.15000000223517415
2020-01-08,13650,13700,13300,13450,2084062,-0.025362318840579712,-0.0111,0.15000000223517415
2020-01-09,13500,13650,13150,13300,2440283,-0.01115241635687736,0.0163,0.13333333780368167
2020-01-10,13300,13300,12950,13100,1771715,-0.015037593984962405,0.0091,0.07500000111758708
2020-01-13,13150,13350,13050,13200,1642843,0.007633587786259444,0.0104,0.12500000186264512
2020-01-14,13200,13250,13050,13150,1725591,-0.0037878787878787845,0.0043,0.0
2020-01-15,13050,13150,13000,13100,1367569,-0.0038022813688213253,-0.0034999999999999996,0.3000000119209289
2020-01-16,13100,13200,13000,13050,1504312,-0.003816793893129722,0.0077,0.2000000029802322
2020-01-17,13200,13700,13200,13500,7588146,0.034482758620689724,0.0011,0.10000000149011612
2020-01-20,13550,13850,13400,13650,4533924,0.011111111111111072,0.0054,0.17500000447034833
2020-01-21,13650,13850,13500,13800,1471782,0.01098901098901095,-0.0101,0.01428571449858802
2020-01-22,13800,13950,13650,13800,1580896,0.0,0.0123,0.05000000074505805
2020-01-23,13700,13750,13550,13700,1338178,-0.007246376811594235,-0.009300000000000001,0.033333333830038704
2020-01-28,13250,13550,13250,13400,1685137,-0.021897810218978075,-0.030899999999999997,0.15000000223517415
2020-01-29,13350,13700,13250,13550,1678591,0.011194029850746245,0.0039000000000000003,0.0
2020-01-30,13650,13750,13250,13350,1765153,-0.014760147601476037,-0.0171,0.4000000059604645
2020-01-31,13300,13450,13200,13250,1577697,-0.0074906367041198685,-0.013500000000000002,0.15000000223517415
2020-02-03,13100,13200,12850,13050,2295120,-0.015094339622641506,-0.0001,0.08750000130385159
2020-02-04,13000,13250,13000,13150,1836114,0.00766283524904221,0.0184,0.06666666766007741
2020-02-05,13250,13450,13150,13300,1763157,0.011406844106463865,0.0036,0.10000000273187953
2020-02-06,13400,13650,13350,13500,1896967,0.015037593984962516,0.0288,0.13333333532015482
2020-02-07,13500,14050,13450,13750,3273145,0.0185185185185186,-0.0072,0.1833333373069763
2020-02-10,13750,14250,13600,14000,3366430,0.018181818181818077,-0.0049,0.0
2020-02-11,14150,14300,13950,14100,1690146,0.0071428571428571175,0.01,0.07500000298023222
2020-02-12,14000,14400,14000,14250,2467032,0.010638297872340496,0.0069,0.15000000596046445
2020-02-13,14300,14500,14200,14400,3617690,0.010526315789473717,-0.0024,0.0
2020-02-14,14300,14500,14150,14400,2382759,0.0,0.0048,0.11428571598870411
2020-02-17,14450,14550,14400,14500,1365021,0.00694444444444442,-0.0006,0.2000000067055225
2020-02-18,14450,14550,14300,14500,2116752,0.0,-0.0148,0.05000000074505805
2020-02-19,14600,14600,14400,14500,1403136,0.0,0.0007000000000000001,0.2000000029802322
2020-02-20,14550,14650,14350,14500,1479550,0.0,-0.0067,0.10000000335276125
2020-02-21,14400,14500,14100,14150,1456830,-0.024137931034482807,-0.0149,0.05000000074505805
2020-02-24,14050,14100,13750,13850,2556990,-0.021201413427561877,-0.0387,0.1000000014901161
2020-02-25,13800,13900,13500,13800,2245143,-0.0036101083032491488,0.0118,0.20000000447034835
2020-02-26,13650,13700,13150,13550,2410786,-0.018115942028985477,-0.0128,0.14000000357627868
2020-02-27,13450,13550,13250,13550,2245239,0.0,-0.0105,0.13333333532015482
2020-02-28,13300,13350,12850,13200,11864642,-0.02583025830258301,-0.033,0.04285714349576404
2020-03-02,13100,13300,12800,12850,2684398,-0.02651515151515149,0.0078000000000000005,0.12500000186264512
2020-03-03,13050,13100,12700,12800,2561941,-0.0038910505836575737,0.0058,0.06666666766007741
2020-03-04,12700,13150,12700,13150,2141661,0.02734375,0.022400000000000003,0.3500000089406967
2020-03-05,13350,13400,13050,13300,2099305,0.011406844106463865,0.0126,0.10000000149011609
2020-03-06,13100,13300,13000,13300,1786985,0.0,-0.0216,0.13333333532015482
2020-03-09,13100,13100,12850,13000,1603882,-0.022556390977443663,-0.04190000000000001,0.0
2020-03-10,12850,13150,12800,13000,1504926,0.0,0.0042,0.30000000447034836
2020-03-11,13000,13050,12750,12850,1367186,-0.011538461538461497,-0.0278,0.1000000014901161
2020-03-12,12850,12850,12150,12350,2475912,-0.03891050583657585,-0.0387,0.2000000067055225
2020-03-13,11550,12150,11100,11850,3319611,-0.04048582995951422,-0.034300000000000004,0.08000000119209288
2020-03-16,11900,12200,11350,11500,1665304,-0.029535864978902926,-0.0319,0.15000000223517418
2020-03-17,10750,11300,10750,11050,1764657,-0.03913043478260869,-0.024700000000000003,0.12000000178813934
2020-03-18,11000,11150,10200,10300,2309109,-0.0678733031674208,-0.048600000000000004,0.0
2020-03-19,10200,10450,9310,9430,3128963,-0.08446601941747578,-0.0839,0.06666666766007741
2020-03-20,9570,9880,9500,9800,2583759,0.03923647932131491,0.07440000000000001,0.16000000387430188
2020-03-23,9350,9790,9210,9470,2419664,-0.03367346938775506,-0.053399999999999996,0.13333333532015482
2020-03-24,9580,9850,9370,9850,2870350,0.040126715945089764,0.086,0.1000000014901161
2020-03-25,10100,10300,9910,10250,3263266,0.04060913705583746,0.058899999999999994,0.1000000014901161
2020-03-26,10350,10850,10200,10450,3091020,0.019512195121951237,-0.0109,-0.1000000014901161
2020-03-27,10850,10950,10350,10450,2793237,0.0,0.0187,0.06000000089406966
2020-03-30,10200,10550,10100,10450,2462844,0.0,-0.0004,0.11428571598870411
2020-03-31,10600,10850,10500,10800,2699633,0.03349282296650724,0.0219,0.06250000093132256
2020-04-01,10700,11000,10500,10550,2266095,-0.02314814814814814,-0.0394,0.07142857249294007
2020-04-02,10900,11550,10500,11350,3139243,0.07582938388625582,0.023399999999999997,0.06666666890184084
2020-04-03,11500,11700,11000,11250,1926154,-0.008810572687224627,0.0003,-1.8626451422920631e-09
2020-04-06,11400,12300,11300,12250,3006547,0.0888888888888888,0.0385,0.2000000029802322
2020-04-07,12400,12550,11800,12050,3024409,-0.01632653061224487,0.0177,0.1000000014901161
2020-04-08,12050,12350,11750,11950,2024905,-0.008298755186721962,-0.009000000000000001,0.14000000059604645
2020-04-09,12200,12250,11950,12050,1617904,0.008368200836819994,0.0161,0.1000000014901161
2020-04-10,12050,12100,11800,11950,1925549,-0.008298755186721962,0.013300000000000001,0.4000000059604645
2020-04-13,11950,12000,11550,11650,1882273,-0.025104602510460206,-0.018799999999999997,0.3000000119209289
2020-04-14,11800,12300,11700,12300,1987722,0.05579399141630903,0.0172,0.0
2020-04-16,12000,12200,11800,12150,1958525,-0.012195121951219523,-0.0,0.3000000119209289
2020-04-17,12350,12400,12150,12150,2162381,0.0,0.030899999999999997,0.2000000029802322
2020-04-20,12200,12700,12200,12400,2437088,0.020576131687242816,-0.0084,0.0
2020-04-21,12300,12550,12100,12350,2257924,-0.0040322580645161255,-0.01,0.06666666766007741
2020-04-22,12300,12950,12200,12650,3430791,0.02429149797570851,0.0089,0.12500000186264512
2020-04-23,12700,13150,12700,12950,2088963,0.02371541501976293,0.0098,0.16666666915019349
2020-04-24,12950,13050,12700,12750,1606398,-0.015444015444015413,-0.0134,0.2000000029802322
2020-04-27,12850,13300,12700,13200,1433740,0.03529411764705892,0.0179,0.13333333532015482
2020-04-28,13100,13300,12950,13050,1600645,-0.011363636363636354,0.0059,0.07142857462167738
2020-04-29,13100,13350,13050,13350,1690838,0.02298850574712641,0.006999999999999999,0.1750000026077032
2020-05-04,13100,13200,12750,12750,2183559,-0.0449438202247191,-0.0268,0.1000000014901161
2020-05-06,12850,12950,12550,12700,1989007,-0.0039215686274509665,0.0176,0.080000002682209
2020-05-07,12700,13250,12550,13100,2387208,0.03149606299212593,-0.0001,0.16666666915019349
2020-05-08,13200,13600,13100,13100,2211679,0.0,0.0089,0.1090909113938158
2020-05-11,13150,13600,13150,13450,2446433,0.026717557251908497,-0.0054,0.1000000014901161
2020-05-12,13450,14100,13450,13850,3398007,0.029739776951672958,-0.0068000000000000005,0.025000000372529026
2020-05-13,13900,14250,13850,14200,1853301,0.025270758122743597,0.0095,0.1000000014901161
2020-05-14,14250,14250,13850,14000,2082929,-0.014084507042253502,-0.008,0.07500000111758708
2020-05-15,14050,14100,13750,13850,1694826,-0.010714285714285676,0.0012,0.10000000521540639
2020-05-18,13900,14050,13500,13650,2467603,-0.014440433212996373,0.0051,0.08000000119209288
2020-05-19,13750,13850,13500,13600,1985962,-0.00366300366300365,0.0225,0.1000000014901161
2020-05-20,13600,13750,13450,13550,2072518,-0.003676470588235281,0.0046,0.025000000372529026
2020-05-21,13650,13650,13250,13350,2716514,-0.014760147601476037,0.0044,0.0
2020-05-22,13300,13450,13050,13150,1930122,-0.014981273408239737,-0.0141,0.0
2020-05-25,13300,13450,13150,13250,1560940,0.0076045627376426506,0.0124,0.1000000014901161
2020-05-26,13300,13300,13100,13300,1894666,0.0037735849056603765,0.0176,0.05000000198682148
2020-05-27,13250,13350,13050,13150,2148099,-0.011278195488721776,0.0007000000000000001,0.0
2020-05-28,13100,13150,12900,13000,2238184,-0.011406844106463865,-0.0013,0.16666666915019349
2020-05-29,12950,13150,12850,13150,2933185,0.011538461538461497,0.0005,0.08750000223517417
2020-06-01,13050,13300,13050,13300,1440692,0.011406844106463865,0.0175,0.3000000119209289
2020-06-02,13250,13350,13150,13250,1425630,-0.003759398496240629,0.010700000000000001,0.05000000074505805
2020-06-03,13300,13500,13250,13300,2803512,0.0037735849056603765,0.0287,0.16666666915019349
2020-06-04,13400,13450,13200,13350,1685603,0.003759398496240518,0.0019,0.1000000014901161
2020-06-05,13300,13350,13150,13300,1923446,-0.0037453183520599342,0.0143,0.20000000447034832
2020-06-08,13450,13450,13100,13150,1747761,-0.011278195488721776,0.0011,0.12500000372529027
2020-06-09,13200,13350,13050,13100,2013552,-0.0038022813688213253,0.0021,0.1000000014901161
2020-06-10,13200,13250,13050,13050,1705628,-0.003816793893129722,0.0031,0.14000000208616253
2020-06-11,13050,13100,12700,12750,2635329,-0.02298850574712641,-0.0086,0.10000000255448475
2020-06-12,12350,12600,12300,12600,1999748,-0.0117647058823529,-0.0204,0.0
2020-06-15,12450,12500,11950,12000,1977159,-0.04761904761904767,-0.047599999999999996,0.20000000298023224
2020-06-16,12100,12500,12100,12350,1980614,0.029166666666666563,0.0528,0.0666666676600774
2020-06-17,12250,12400,12150,12200,2144459,-0.012145748987854255,0.0014000000000000002,0.033333333830038704
2020-06-18,12150,12300,12100,12200,1344656,0.0,-0.0034999999999999996,0.030000000447034835
2020-06-19,12300,12400,12150,12300,2113493,0.008196721311475308,0.0037,0.13333333656191823
2020-06-22,12250,12600,12200,12350,2019433,0.004065040650406582,-0.0068000000000000005,0.0
2020-06-23,12450,12500,12200,12200,1908134,-0.012145748987854255,0.0021,0.150000004718701
2020-06-24,12250,12350,12200,12250,1478811,0.004098360655737654,0.014199999999999999,0.0
2020-06-25,12200,12250,11900,11900,1630024,-0.02857142857142858,-0.0227,0.0
2020-06-26,12000,12700,11900,12350,4173974,0.037815126050420256,0.0105,0.20000000049670538
2020-06-29,12200,12300,11900,12100,2251952,-0.020242914979757054,-0.019299999999999998,0.08000000119209288
2020-06-30,12200,12350,12100,12200,2253428,0.008264462809917328,0.0070999999999999995,0.08000000119209288
2020-07-01,12250,12450,12000,12050,3242915,-0.012295081967213073,-0.0008,0.05000000074505805
2020-07-02,12150,12500,12100,12450,3398220,0.03319502074688807,0.013600000000000001,0.06666666766007741
2020-07-03,12400,12500,12250,12300,1405154,-0.012048192771084376,0.008,0.1000000014901161
2020-07-06,12300,12500,12250,12500,1057418,0.016260162601626105,0.0165,0.0
2020-07-07,12550,12700,12400,12500,2011341,0.0,-0.0109,0.0
2020-07-08,12400,12550,12300,12350,1623165,-0.01200000000000001,-0.0024,-0.020000000298023218
2020-07-09,12350,12400,12150,12150,2397548,-0.01619433198380571,0.0042,0.02000000029802322
2020-07-10,12100,12150,11900,11950,1519687,-0.016460905349794275,-0.008100000000000001,0.1000000014901161
2020-07-13,12050,12100,11900,12050,1489773,0.008368200836819994,0.0167,0.1000000014901161
2020-07-14,12000,12500,11950,12450,2621526,0.03319502074688807,-0.0011,0.1000000014901161
2020-07-15,12500,12600,12200,12300,2245097,-0.012048192771084376,0.0084,0.1000000014901161
2020-07-16,12300,12400,12150,12250,1288427,-0.004065040650406471,-0.008199999999999999,0.1000000014901161
2020-07-17,12350,12450,12200,12250,1109292,0.0,0.008,0.4000000059604645
2020-07-20,12250,12350,12050,12300,1816233,0.004081632653061273,-0.0014000000000000002,0.13333333532015482
2020-07-21,12250,12250,12100,12150,1886996,-0.012195121951219523,0.0139,0.16666666915019349
2020-07-22,12200,12200,12100,12100,1089688,-0.004115226337448541,-0.0001,0.08000000119209288
2020-07-23,11750,11800,11400,11600,6049921,-0.04132231404958675,-0.005600000000000001,0.10000000284476714
2020-07-24,11400,11450,11200,11300,3698843,-0.025862068965517238,-0.0070999999999999995,0.02000000029802322
2020-07-27,11300,11600,11250,11400,1535081,0.008849557522123908,0.0079,0.08750000316649673
2020-07-28,11300,11650,11300,11600,2006886,0.01754385964912286,0.0176,0.04000000059604644
2020-07-29,11500,11800,11450,11750,1702730,0.012931034482758674,0.0027,0.12000000178813933
2020-07-30,11700,11800,11550,11650,1910810,-0.008510638297872353,0.0017000000000000001,0.2000000029802322
2020-07-31,11600,11750,11450,11450,1809616,-0.01716738197424894,-0.0078000000000000005,0.17500000260770318
2020-08-03,11450,11550,11300,11300,1309081,-0.013100436681222738,0.0007000000000000001,0.05714285799435206
2020-08-04,11250,11500,11250,11400,2829179,0.008849557522123908,0.0129,0.1000000014901161
2020-08-05,11450,11500,11300,11350,1473374,-0.004385964912280715,0.013999999999999999,0.08571428805589675
2020-08-06,11400,11650,11350,11500,2782923,0.013215859030837107,0.013300000000000001,0.10000000149011612
2020-08-07,11750,11800,11400,11600,3455481,0.008695652173912993,0.0039000000000000003,0.13333333614799708
2020-08-10,11750,12250,11600,12200,5829345,0.051724137931034475,0.0148,0.08888889021343654
2020-08-11,12250,12250,11900,11900,3978583,-0.024590163934426257,0.013500000000000002,0.13333333656191823
2020-08-12,12050,12450,12000,12400,5613573,0.04201680672268915,0.005699999999999999,0.13750000391155479
2020-08-13,12550,12700,12250,12300,4268848,-0.008064516129032251,0.0021,0.17500000447034833
2020-08-14,12300,12450,12100,12300,2233279,0.0,-0.0123,0.033333333830038704
2020-08-18,12200,12300,11700,11750,3295087,-0.04471544715447151,-0.0246,0.05000000074505805
2020-08-19,11750,12150,11750,11850,1854424,0.008510638297872353,0.0052,0.033333333830038704
2020-08-20,11850,12000,11500,11500,2331403,-0.029535864978902926,-0.0366,0.0
2020-08-21,11550,12050,11500,11850,2584158,0.0304347826086957,0.0134,-0.1000000014901161
2020-08-24,11900,12100,11800,12000,1841775,0.012658227848101333,0.011000000000000001,0.033333333830038704
2020-08-25,12050,12600,12050,12400,3878741,0.03333333333333344,0.0158,0.0
2020-08-26,12550,12550,12150,12350,2426787,-0.0040322580645161255,0.0011,0.10000000149011612
2020-08-27,12350,12400,12000,12100,2094957,-0.020242914979757054,-0.0105,0.1000000014901161
2020-08-28,12150,12200,12000,12150,1730580,0.004132231404958775,0.004,0.15000000316649675
2020-08-31,12200,12400,11950,11950,2068701,-0.016460905349794275,-0.011699999999999999,0.1500000040978193
2020-09-01,11950,12150,11900,12050,1772066,0.008368200836819994,0.0101,0.15000000347693757
2020-09-02,12150,12250,12000,12100,1457999,0.004149377593360981,0.0063,0.15000000223517415
2020-09-03,12150,12200,11900,12000,1849689,-0.008264462809917328,0.013300000000000001,0.14000000357627868
2020-09-04,11800,11850,11600,11800,1599945,-0.01666666666666672,-0.0115,0.040000002086162556
2020-09-07,11800,11950,11700,11900,1330737,0.008474576271186418,0.0067,0.05000000074505805
2020-09-08,12000,12200,11950,12000,2123655,0.008403361344537785,0.0074,0.3000000119209289
2020-09-09,11850,12000,11750,11850,1538987,-0.012499999999999956,-0.0109,0.0
2020-09-10,12000,12100,11900,11900,1869587,0.00421940928270037,0.0087,0.18000000417232512
2020-09-11,11850,12000,11850,11900,1200020,0.0,0.0001,0.014285713434219369
2020-09-14,11950,12150,11900,12100,1940146,0.01680672268907557,0.013000000000000001,-0.1000000014901161
2020-09-15,12100,12100,11900,11950,1671590,-0.012396694214875992,0.006500000000000001,0.12000000178813933
2020-09-16,11900,11950,11750,11850,1893851,-0.008368200836820106,-0.0031,0.12000000178813933
2020-09-17,11900,12050,11750,11850,8982303,0.0,-0.012199999999999999,0.06666666766007741
2020-09-18,11850,11850,11650,11700,2365898,-0.012658227848101222,0.0026,0.2000000029802322
2020-09-21,11700,11750,11500,11500,2329330,-0.017094017094017144,-0.0095,0.13333333532015482
2020-09-22,11500,11500,11250,11350,1645768,-0.013043478260869601,-0.023799999999999998,0.2000000067055225
2020-09-23,11350,11400,11150,11300,1852650,-0.004405286343612369,0.0003,0.13333333532015482
