Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-03,185000,186000,180500,181500,454492,-0.005479452054794498,0.0006,0.2000000029802322
2020-01-08,182000,183500,179000,183000,820867,-0.021390374331550777,-0.0111,0.0
2020-01-10,185000,188000,183999,188000,398739,0.010752688172043001,0.0091,0.0
2020-01-14,188000,194499,188000,190500,501286,0.013297872340425565,0.0043,0.2000000029802322
2020-01-14,188000,194499,188000,190500,501286,0.013297872340425565,0.0043,0.2000000029802322
2020-01-16,190000,192500,189000,191500,245107,0.0,0.0077,0.3000000119209289
2020-01-17,190500,192499,189500,191000,286019,-0.0026109660574412663,0.0011,0.1000000014901161
2020-01-22,185000,190000,184500,186000,429852,0.0219780219780219,0.0123,0.2000000029802322
2020-01-23,185000,185500,181500,183000,375929,-0.016129032258064502,-0.009300000000000001,-0.3000000119209289
2020-01-28,182000,184500,178000,178500,476253,-0.024590163934426257,-0.030899999999999997,-0.2000000029802322
2020-01-29,183000,183500,180000,180000,434897,0.008403361344537785,0.0039000000000000003,-0.2000000029802322
2020-01-29,183000,183500,180000,180000,434897,0.008403361344537785,0.0039000000000000003,0.0
2020-01-30,179500,183000,175000,180000,772160,0.0,-0.0171,0.3000000119209289
2020-01-30,179500,183000,175000,180000,772160,0.0,-0.0171,0.2000000029802322
2020-01-30,179500,183000,175000,180000,772160,0.0,-0.0171,0.3000000119209289
2020-01-30,179500,183000,175000,180000,772160,0.0,-0.0171,0.3000000119209289
2020-01-30,179500,183000,175000,180000,772160,0.0,-0.0171,-0.4000000059604645
2020-01-30,179500,183000,175000,180000,772160,0.0,-0.0171,-0.4000000059604645
2020-02-04,177500,181500,175000,180500,563463,0.016901408450704203,0.0184,0.1000000014901161
2020-02-05,181000,183500,178500,181500,653809,0.005540166204986097,0.0036,0.0
2020-02-06,182500,183500,180500,181500,659850,0.0,0.0288,0.0
2020-02-06,182500,183500,180500,181500,659850,0.0,0.0288,0.1000000014901161
2020-02-07,181500,188500,181000,185000,728633,0.019283746556473913,-0.0072,0.0
2020-02-07,181500,188500,181000,185000,728633,0.019283746556473913,-0.0072,0.1000000014901161
2020-02-07,181500,188500,181000,185000,728633,0.019283746556473913,-0.0072,0.0
2020-02-12,183000,185000,181500,185000,351892,0.0027100271002709064,0.0069,0.1000000014901161
