Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,150500,151000,146500,146500,217016,-0.023333333333333317,-0.0102,0.1000000014901161
2020-01-03,147500,150000,146500,149500,274987,0.020477815699658786,0.0006,0.17500000260770318
2020-01-06,151000,153000,147000,148000,317436,-0.010033444816053505,-0.0098,0.1571428605488368
2020-01-07,148000,148500,144000,144500,324559,-0.023648648648648685,0.0095,0.2000000029802322
2020-01-08,144000,144000,136000,137000,703267,-0.05190311418685123,-0.0111,0.2000000029802322
2020-01-09,140000,141000,136000,137500,642625,0.0036496350364962904,0.0163,0.17500000447034833
2020-01-10,137500,140500,136500,138000,421153,0.0036363636363636598,0.0091,0.1000000014901161
2020-01-13,138000,139500,137000,138000,316600,0.0,0.0104,0.2000000029802322
2020-01-14,138500,141000,138500,139500,407292,0.010869565217391353,0.0043,0.0
2020-01-15,140000,140000,136000,137000,390034,-0.017921146953404965,-0.0034999999999999996,0.1000000014901161
2020-01-16,136500,137000,132000,133000,768253,-0.029197080291970767,0.0077,0.1833333373069763
2020-01-17,133000,135000,132500,133500,712244,0.003759398496240518,0.0011,0.1000000014901161
2020-01-20,134000,136500,134000,135500,336029,0.014981273408239737,0.0054,0.1000000014901161
2020-01-21,136500,137000,134000,134500,301217,-0.0073800738007380184,-0.0101,0.0
2020-01-22,134500,135500,133000,134500,171566,0.0,0.0123,0.2000000029802322
2020-01-23,134000,134000,129500,130000,487400,-0.03345724907063197,-0.009300000000000001,-0.033333333830038704
2020-01-28,125500,126000,123000,125000,646320,-0.038461538461538436,-0.030899999999999997,0.15000000223517415
2020-01-29,125500,126000,123000,125000,481939,0.0,0.0039000000000000003,0.0
2020-01-30,125000,127500,124000,125000,401074,0.0,-0.0171,0.1500000040978193
2020-01-31,125000,132000,122000,130000,1239192,0.040000000000000036,-0.013500000000000002,0.05000000198682148
2020-02-03,128500,128500,123500,123500,784715,-0.050000000000000044,-0.0001,0.0
2020-02-04,124000,129000,123500,128000,984815,0.036437246963562764,0.0184,0.02857142899717603
2020-02-05,131000,137000,130000,134000,1477432,0.046875,0.0036,0.0
2020-02-06,136000,137000,134000,136000,715116,0.014925373134328401,0.0288,0.0
2020-02-07,135000,135000,132500,133500,469148,-0.018382352941176516,-0.0072,0.0
2020-02-10,133000,137500,132000,136500,475102,0.022471910112359605,-0.0049,0.15000000223517415
2020-02-11,136500,141500,136000,140500,831853,0.0293040293040292,0.01,0.05000000074505805
2020-02-12,141000,142000,138500,140500,543484,0.0,0.0069,0.1000000014901161
2020-02-13,140000,142000,138500,138500,535292,-0.014234875444839812,-0.0024,0.05000000074505805
2020-02-14,140000,140000,137500,137500,373925,-0.0072202166064981865,0.0048,-0.080000002682209
2020-02-17,129000,138000,128000,136500,1037542,-0.0072727272727273196,-0.0006,0.0
2020-02-18,136500,140000,134500,136500,524500,0.0,-0.0148,0.1000000014901161
2020-02-19,137500,138000,134000,135000,432028,-0.01098901098901095,0.0007000000000000001,0.1000000014901161
2020-02-20,135500,136000,132000,133000,437224,-0.014814814814814836,-0.0067,0.1000000014901161
2020-02-21,132000,132500,130000,130500,428746,-0.018796992481203034,-0.0149,-0.1000000014901161
2020-02-24,126000,127000,123500,123500,531391,-0.05363984674329503,-0.0387,0.0
2020-02-25,120000,124000,120000,122500,647578,-0.0080971659919028,0.0118,0.08000000119209288
2020-02-26,120500,122000,119500,120000,787056,-0.020408163265306145,-0.0128,0.14000000208616253
2020-02-27,120000,120000,116500,116500,675134,-0.029166666666666674,-0.0105,0.0
2020-02-28,113500,114000,112000,113000,771944,-0.030042918454935674,-0.033,0.0
2020-03-02,112000,115500,112000,114000,609843,0.008849557522123908,0.0078000000000000005,0.0
2020-03-03,116500,118500,114000,114500,625052,0.004385964912280604,0.0058,0.10000000149011609
2020-03-04,115500,117000,114000,115000,555120,0.004366812227074135,0.022400000000000003,0.025000000372529026
2020-03-05,116500,116500,112000,113000,799821,-0.017391304347826098,0.0126,0.05000000074505805
2020-03-06,111000,111500,107000,108000,827288,-0.04424778761061943,-0.0216,0.2000000029802322
2020-03-09,101500,103000,99000,99100,1440983,-0.08240740740740737,-0.04190000000000001,0.03750000055879354
2020-03-10,98000,102000,96700,100500,1154291,0.01412714429868811,0.0042,0.0
2020-03-11,101000,102500,96800,98000,791383,-0.02487562189054726,-0.0278,0.033333333830038704
2020-03-12,97300,97400,90500,92400,1006172,-0.05714285714285716,-0.0387,0.0
2020-03-13,83300,87200,82500,86500,1232107,-0.06385281385281383,-0.034300000000000004,0.1000000014901161
2020-03-16,86000,86900,80200,80200,1113686,-0.07283236994219655,-0.0319,0.06666666766007741
2020-03-17,75100,79400,75100,77900,1006085,-0.028678304239401542,-0.024700000000000003,0.05000000074505805
