Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,41149,41236,40200,40374,1540215,-0.01680303915838688,-0.0102,0.30000000447034836
2020-01-03,40459,40632,39942,40374,1520433,0.0,0.0006,0.2666666731238365
2020-01-06,40200,40373,39855,39942,1306745,-0.010699955416852425,-0.0098,0.17142857504742484
2020-01-07,40114,40373,39942,40201,792685,0.006484402383456045,0.0095,0.15000000223517415
2020-01-08,39942,40287,39683,40115,1612617,-0.0021392502674062452,-0.0111,0.260000005364418
2020-01-09,39942,40373,39769,40028,3096264,-0.0021687648011965432,0.0163,0.08333333457509674
2020-01-10,40028,40200,39769,39856,1142507,-0.004296992105526143,0.0091,0.1571428605488368
2020-01-13,39855,40545,39855,40460,951081,0.015154556403051078,0.0104,0.20000000422199563
2020-01-14,40632,40977,40373,40719,1396030,0.006401384083045025,0.0043,0.0
2020-01-15,40632,41063,40459,40977,1223748,0.006336108450600397,-0.0034999999999999996,0.1500000040978193
2020-01-16,40891,41063,40459,40719,1285028,-0.006296214949849888,0.0077,0.23333334177732465
2020-01-17,40718,40977,40200,40546,1578589,-0.004248630860286373,0.0011,-0.02000000029802322
2020-01-20,40632,40977,40546,40719,1393370,0.004266758743155963,0.0054,0.1000000014901161
2020-01-21,40804,40891,40632,40805,526817,0.0021120361502000584,-0.0101,0.1000000014901161
2020-01-22,40891,41149,40632,41150,840605,0.008454846219825951,0.0123,0.1000000014901161
2020-01-23,41063,41063,40632,40891,1019037,-0.00629404617253948,-0.009300000000000001,0.0
2020-01-28,40287,40287,39769,40115,1850375,-0.01897728106429286,-0.030899999999999997,0.06666666766007741
2020-01-29,40028,40114,39855,40115,740012,0.0,0.0039000000000000003,0.2000000029802322
2020-01-30,40114,40114,39424,39511,1620789,-0.015056711953134738,-0.0171,0.2666666756073633
2020-01-31,39769,39942,39424,39597,1279394,0.002176609045582145,-0.013500000000000002,0.0
2020-02-03,39424,39510,38993,39079,1177758,-0.013081799126196447,-0.0001,0.1000000014901161
2020-02-04,39165,39252,38734,39079,1317856,0.0,0.0184,0.16666667163372037
2020-02-05,39079,39079,38734,38821,1227898,-0.006602011310422484,0.0036,0.15000000223517418
2020-02-06,38993,39769,38993,39511,1465691,0.01777388526828272,0.0288,0.15000000596046445
2020-02-07,39596,39683,39079,39425,1270938,-0.002176609045582256,-0.0072,0.20000000447034832
2020-02-10,38993,39079,38648,38821,1226965,-0.015320228281547221,-0.0049,0.06000000089406966
2020-02-11,38820,38993,38475,38562,1776420,-0.006671646789109031,0.01,0.10000000397364296
2020-02-12,38561,39079,38303,39079,1461518,0.013406980965717574,0.0069,0.3000000119209289
2020-02-13,39079,40114,39079,39425,2319082,0.008853860129481417,-0.0024,0.0
2020-02-14,39424,39855,39079,39252,1065903,-0.0043880786303107655,0.0048,0.12857143048729214
2020-02-17,39252,39597,39252,39338,591893,0.002190971160705102,-0.0006,0.0
2020-02-18,39165,39165,38820,38993,951533,-0.008770145914891447,-0.0148,0.05000000074505805
2020-02-19,39252,39252,38561,38821,994434,-0.004411048136845119,0.0007000000000000001,0.0
2020-02-20,38820,38906,38303,38303,1132289,-0.013343293578217952,-0.0067,0.1000000014901161
2020-02-21,38130,38216,37612,37872,1286639,-0.01125238231992276,-0.0149,0.05000000074505805
2020-02-24,37181,37699,36750,37527,1914031,-0.009109632446134386,-0.0387,0.016666666915019352
2020-02-25,37440,37699,37181,37527,1337301,0.0,0.0118,0.10000000397364296
2020-02-26,37526,37526,37008,37268,1315236,-0.006901697444506638,-0.0128,0.06666666848791969
2020-02-27,37181,37440,37009,37440,976472,0.004615219491252542,-0.0105,0.06000000089406966
2020-02-28,37354,37699,36318,36664,1749104,-0.020726495726495764,-0.033,0.04444444510671827
2020-03-02,36750,36750,35887,35888,1689024,-0.021165175649138113,0.0078000000000000005,0.1000000014901161
2020-03-03,36232,36405,35628,35715,1303389,-0.0048205528310298895,0.0058,0.1500000040978193
2020-03-04,36146,37871,35887,37872,2045975,0.06039479210415788,0.022400000000000003,0.05000000074505805
2020-03-05,38044,38734,37871,38217,2164553,0.009109632446134386,0.0126,0.08000000119209288
2020-03-06,37871,38475,37871,38389,2264491,0.004500614909595191,-0.0216,0.16666666915019349
2020-03-09,37871,38130,37354,37785,1652249,-0.01573367370861445,-0.04190000000000001,0.20000000546375907
2020-03-10,37785,37785,37354,37699,1201718,-0.00227603546380839,0.0042,0.0
2020-03-11,37267,37871,37009,37527,1438908,-0.004562455237539509,-0.0278,0.11666666964689888
2020-03-12,37526,37526,35801,36491,2263077,-0.02760678977802644,-0.0387,0.0
2020-03-13,34334,34852,32781,33990,3886439,-0.06853744758981661,-0.034300000000000004,0.07777777893675697
2020-03-16,34248,34421,33126,33300,2088969,-0.02030008826125329,-0.0319,0.07777777893675697
2020-03-17,32264,33040,31832,32351,2470291,-0.028498498498498503,-0.024700000000000003,0.0
2020-03-18,32695,32868,31056,31057,1612165,-0.03999876356217735,-0.048600000000000004,0.0
2020-03-19,31056,31487,28468,29849,3337992,-0.03889622307370322,-0.0839,0.05000000074505805
2020-03-20,30193,30797,29503,30194,2340672,0.011558176153305011,0.07440000000000001,0.18571428954601285
2020-03-23,28641,29417,28295,28555,1978812,-0.05428230774326026,-0.053399999999999996,0.1285714315516608
2020-03-24,28899,29589,28382,29504,2420893,0.03323410961302753,0.086,0.14000000357627868
2020-03-25,30021,30797,29848,30108,3999296,0.02047180043383956,0.058899999999999994,0.02000000029802322
2020-03-26,29935,30366,29417,29849,3941819,-0.008602364819981445,-0.0109,0.07500000111758708
2020-03-27,30884,31142,29848,30453,3040333,0.020235183758249953,0.0187,0.06666666766007741
2020-03-30,29848,30711,29331,30366,2241852,-0.002856861392966259,-0.0004,0.07500000111758708
2020-03-31,30797,31229,30280,30539,5759934,0.00569716129882103,0.0219,0.1000000014901161
2020-04-01,30625,31487,30021,30194,3185555,-0.011297030027178412,-0.0394,0.06000000089406966
2020-04-02,30452,31401,29848,31402,2656084,0.04000794859905943,0.023399999999999997,0.05000000074505805
2020-04-03,31401,31660,31056,31574,2236369,0.005477358130055343,0.0003,0.20000000298023224
2020-04-06,31746,32954,31660,32868,2419728,0.04098308735035161,0.0385,0.13333333780368167
2020-04-07,33385,33730,32350,32868,2118157,0.0,0.0177,0.13333333656191823
2020-04-08,33126,34334,32609,33472,3107571,0.01837653644882553,-0.009000000000000001,0.08571428805589675
2020-04-09,34075,34248,33126,33386,2199426,-0.002569311663479956,0.0161,0.17500000260770318
2020-04-10,33385,33817,33299,33472,1134097,0.0025759300305516764,0.013300000000000001,0.15000000223517415
2020-04-13,33471,33471,32695,32782,1394634,-0.02061424474187379,-0.018799999999999997,0.1800000041723251
2020-04-14,33213,33903,33126,33817,1569032,0.031572204258434544,0.0172,0.14000000357627868
2020-04-16,32781,33903,32695,33903,2323835,0.0025430996244493187,-0.0,0.2000000029802322
2020-04-17,33989,34766,33989,34335,1621224,0.012742235200424723,0.030899999999999997,0.21111111591259635
2020-04-20,34507,35283,34507,35111,1972732,0.022600844619193206,-0.0084,-0.2000000029802322
2020-04-21,35024,36146,34766,36146,2943612,0.02947794138589055,-0.01,0.1000000014901161
2020-04-22,35628,37009,35542,37009,2588521,0.023875394234493363,0.0089,0.14285714498588015
2020-04-23,37009,37957,36750,37182,1857400,0.004674538625739633,0.0098,0.0
2020-04-24,36491,37009,36060,36146,1681286,-0.027862944435479542,-0.0134,0.20000000298023224
2020-04-27,36146,37095,35973,36750,1388623,0.016710009406296633,0.0179,0.27500000409781933
2020-04-28,36663,37440,36663,36750,1335568,0.0,0.0059,0.11428571598870411
2020-04-29,36750,37095,36491,36491,1656909,-0.00704761904761908,0.006999999999999999,0.11666666840513545
2020-05-04,35715,36405,35456,35974,1807608,-0.014167877010769825,-0.0268,0.12000000178813933
2020-05-06,35973,36232,35369,35629,1749562,-0.009590259631956366,0.0176,0.033333333830038704
2020-05-07,35369,35887,35111,35715,1519865,0.002413764068595725,-0.0001,0.10000000149011609
2020-05-08,35973,36491,35542,35715,1456319,0.0,0.0089,0.14285714498588017
2020-05-11,35801,36060,35369,35370,1331395,-0.009659806803863913,-0.0054,0.12857143048729214
2020-05-12,35369,36663,35283,36233,1851222,0.02439920836867393,-0.0068000000000000005,0.08333333457509674
2020-05-13,36232,36663,35542,35629,1722640,-0.016669886567493686,0.0095,0.180000002682209
2020-05-14,35628,35887,35369,35715,1537421,0.002413764068595725,-0.008,0.06923077026238808
2020-05-15,35542,35628,35197,35197,1762794,-0.014503709925801522,0.0012,0.04000000208616256
2020-05-18,35369,35887,35283,35456,1387690,0.0073585816973038565,0.0051,0.23333333681027094
2020-05-19,35887,36232,35887,36060,1411766,0.0170351985559567,0.0225,0.08571428699152808
2020-05-20,36060,36750,35973,36491,1427102,0.011952301719356573,0.0046,0.04444444510671827
2020-05-21,37009,37095,36663,36750,1336194,0.007097640514099446,0.0044,0.1285714315516608
2020-05-22,37009,37009,35887,35974,1400690,-0.021115646258503373,-0.0141,0.1000000014901161
2020-05-25,36232,36663,36060,36578,990893,0.016789903819425245,0.0124,0.13333333532015482
2020-05-26,36491,36750,36146,36578,1308269,0.0,0.0176,0.06666666766007741
2020-05-27,36577,36750,36232,36233,1745858,-0.009431898955656437,0.0007000000000000001,0.14000000357627868
2020-05-28,36232,36750,36146,36578,1605586,0.0095217067314326,-0.0013,0.11428571598870411
2020-05-29,36405,37699,36405,37268,2706363,0.018863797911312874,0.0005,0.07500000111758708
2020-06-01,37440,38820,37440,38734,2457888,0.03933669636148984,0.0175,0.2000000051089695
2020-06-02,38648,39079,38303,38821,1905303,0.0022460887075954616,0.010700000000000001,0.12500000186264512
2020-06-03,39079,40028,38906,39683,2124381,0.022204476958347374,0.0287,0.08750000130385159
2020-06-04,40028,40200,38993,39166,2029074,-0.01302824887231313,0.0019,0.1000000014901161
2020-06-05,38820,39079,38303,38562,1792666,-0.015421539090027081,0.0143,0.13333333532015482
2020-06-08,38906,39079,38389,38389,1440665,-0.004486281831855177,0.0011,0.16250000242143867
2020-06-09,38475,38820,37957,38131,1210788,-0.0067206751934147935,0.0021,0.20000000546375907
2020-06-10,38130,38389,37785,37785,1478772,-0.009073981799585629,0.0031,0.16666667039195693
2020-06-11,37612,37871,36750,37095,2608303,-0.01826121476776499,-0.0086,0.05714285799435206
2020-06-12,35887,36146,35542,35974,2674526,-0.030219706159859805,-0.0204,0.0
2020-06-15,35887,36491,34679,34680,2445212,-0.03597042308333798,-0.047599999999999996,0.15000000223517415
2020-06-16,35197,36146,35111,36060,2037321,0.03979238754325265,0.0528,0.13333333532015482
2020-06-17,35801,36146,35369,35715,1987419,-0.009567387687188011,0.0014000000000000002,0.025000000372529026
2020-06-18,35456,35887,35197,35456,1508540,-0.007251854962900706,-0.0034999999999999996,0.033333333830038704
2020-06-19,35801,35887,35369,35542,1409651,0.002425541516245522,0.0037,0.2000000029802322
2020-06-22,35456,36146,35369,35629,1380695,0.0024478082268863943,-0.0068000000000000005,0.2000000029802322
2020-06-23,35715,35973,35369,35456,1685291,-0.004855595161245008,0.0021,0.11666666964689888
2020-06-24,35628,35715,35369,35456,1261827,0.0,0.014199999999999999,0.04000000059604644
2020-06-25,35369,35715,35024,35025,1447028,-0.012155911552346521,-0.0227,0.11428571598870411
2020-06-26,35197,36405,35024,35974,1787264,0.027094932191291887,0.0105,0.1500000040978193
2020-06-29,35283,36060,35024,35715,1824885,-0.007199644187468768,-0.019299999999999998,0.0
2020-06-30,35887,36577,35715,36405,2006980,0.019319613607727826,0.0070999999999999995,0.033333333830038704
2020-07-01,37009,38734,36663,38303,5057213,0.05213569564620246,-0.0008,0.12500000372529027
2020-07-02,38648,39079,37699,38821,2594236,0.013523744876380528,0.013600000000000001,0.15000000223517415
2020-07-03,38820,39338,38044,38131,1645132,-0.017773885268282608,0.008,0.1750000026077032
2020-07-06,38216,38993,37785,38821,1631587,0.018095512837323913,0.0165,-0.033333333830038704
2020-07-07,39252,39252,37612,37613,2620700,-0.03111717884650056,-0.0109,0.06666667014360426
2020-07-08,37612,38475,37526,37699,2170296,0.002286443516869241,-0.0024,0.016666666915019352
2020-07-09,37785,38044,37440,37613,1510777,-0.002281227618769699,0.0042,0.022222222553359136
2020-07-10,37440,37699,36922,37095,1644598,-0.013771834206258493,-0.008100000000000001,0.11250000167638062
2020-07-13,37354,37440,36750,37182,1281498,0.002345329559239717,0.0167,0.08750000130385159
