Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,77300,77400,76000,76000,60772,-0.01935483870967747,-0.0102,0.0
2020-01-03,76100,78100,75600,76200,124594,0.002631578947368318,0.0006,0.0
2020-01-06,75500,77500,74500,74600,112052,-0.02099737532808399,-0.0098,0.0
2020-01-07,74700,77500,73800,77500,215165,0.03887399463806962,0.0095,0.0
2020-01-08,75800,76600,73400,73700,142062,-0.049032258064516165,-0.0111,0.0
2020-01-09,74300,75300,73100,74100,144144,0.005427408412483015,0.0163,0.0
2020-01-10,73800,74800,73200,73600,73567,-0.006747638326585648,0.0091,0.0
2020-01-13,73900,76500,73600,76100,102685,0.033967391304347894,0.0104,0.0
2020-01-14,76700,80900,76700,78300,220522,0.028909329829172048,0.0043,0.1000000014901161
2020-01-15,78100,78300,77000,77400,120277,-0.011494252873563204,-0.0034999999999999996,-0.13333333532015482
2020-01-16,77000,78200,76700,77800,78825,0.0051679586563306845,0.0077,0.0
2020-01-17,77900,79300,77200,77700,89662,-0.0012853470437017567,0.0011,0.0
2020-01-20,77800,80300,77800,79700,125489,0.025740025740025763,0.0054,0.0
2020-01-21,80300,82100,79100,79300,141999,-0.005018820577164407,-0.0101,0.0
2020-01-22,80100,80200,77800,78900,71887,-0.0050441361916772065,0.0123,0.0
2020-01-23,78100,78500,75900,76100,124028,-0.03548795944233207,-0.009300000000000001,0.0
2020-01-28,74000,75500,72100,72300,171215,-0.04993429697766094,-0.030899999999999997,0.0
2020-01-29,72300,73600,71100,72600,120519,0.004149377593360981,0.0039000000000000003,0.0
2020-01-30,72600,73500,70500,71000,131497,-0.02203856749311295,-0.0171,0.3000000119209289
2020-01-31,70600,70700,65400,65400,479667,-0.07887323943661972,-0.013500000000000002,0.0
2020-02-03,64700,67000,64000,65600,140438,0.003058103975535076,-0.0001,0.0
2020-02-04,66100,67400,66000,66400,134297,0.012195121951219523,0.0184,0.0
2020-02-05,67000,68000,66000,66200,178031,-0.003012048192771122,0.0036,0.0
2020-02-06,67400,71100,67300,70900,238530,0.07099697885196377,0.0288,0.0
2020-02-07,70300,70800,69300,70300,78641,-0.008462623413258097,-0.0072,0.1000000014901161
2020-02-10,69500,70400,68500,69500,86401,-0.011379800853485111,-0.0049,0.0
2020-02-11,69100,70300,69000,69300,84704,-0.0028776978417266452,0.01,0.0
2020-02-12,68800,69800,68500,68700,105064,-0.008658008658008698,0.0069,0.0
2020-02-13,68900,69800,68200,68200,119397,-0.00727802037845704,-0.0024,0.0
2020-02-14,68200,69000,66900,67500,125128,-0.01026392961876832,0.0048,0.0
2020-02-17,67400,68100,66600,68000,81181,0.007407407407407307,-0.0006,0.0
2020-02-18,66700,67600,66500,66900,61533,-0.016176470588235348,-0.0148,0.0
2020-02-19,67600,68000,66600,67300,87504,0.005979073243647326,0.0007000000000000001,0.0
2020-02-20,67400,68000,66700,67300,99823,0.0,-0.0067,0.0
2020-02-21,66700,66900,66100,66200,84632,-0.01634472511144136,-0.0149,0.0
2020-02-24,66500,67400,63800,64600,116547,-0.024169184290030232,-0.0387,0.0
2020-02-25,63800,66900,63800,65400,102448,0.01238390092879249,0.0118,0.0
2020-02-26,65400,65500,63400,64300,175493,-0.016819571865443472,-0.0128,0.0
2020-02-27,63600,64100,62400,62400,106775,-0.029548989113530322,-0.0105,0.0
2020-02-28,61100,61400,58800,59300,220357,-0.049679487179487225,-0.033,0.0
2020-03-02,59100,61000,58000,59500,120615,0.003372681281618828,0.0078000000000000005,0.0
2020-03-03,60900,61100,58200,58500,146000,-0.01680672268907568,0.0058,0.1000000014901161
2020-03-04,59200,62200,58700,61900,180579,0.058119658119658135,0.022400000000000003,0.0
2020-03-05,61800,66100,61800,66000,226620,0.06623586429725359,0.0126,0.0
2020-03-06,65400,65900,63700,64500,142898,-0.022727272727272707,-0.0216,0.0
2020-03-09,62900,64200,60600,61800,192663,-0.041860465116279055,-0.04190000000000001,0.13333333532015482
