Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,44100,44300,42300,42500,1355029,-0.040632054176072185,-0.0102,0.1000000014901161
2020-01-03,42600,42900,41500,42000,1569720,-0.0117647058823529,0.0006,0.1454545496539636
2020-01-06,41350,41950,41350,41900,830880,-0.0023809523809523725,-0.0098,0.17777778125471536
2020-01-07,41900,42300,41550,42050,1124218,0.0035799522673030104,0.0095,0.05000000074505805
2020-01-08,41300,41900,41100,41300,997335,-0.017835909631391256,-0.0111,0.0
2020-01-09,41250,41750,40300,40750,1908796,-0.013317191283293006,0.0163,-0.06000000387430189
2020-01-10,40850,41200,40400,40400,1455064,-0.008588957055214674,0.0091,0.06666666766007741
2020-01-13,40150,40500,39950,40450,1299326,0.0012376237623761277,0.0104,0.11666666964689888
2020-01-14,40450,41300,40350,41150,1412170,0.017305315203955507,0.0043,0.11333333502213158
2020-01-15,40900,41350,40550,41200,920045,0.0012150668286756705,-0.0034999999999999996,0.12222222487131752
2020-01-16,41100,41800,40900,41150,1105472,-0.0012135922330097637,0.0077,0.13333333532015482
2020-01-17,41150,41800,41100,41400,1016691,0.0060753341433779084,0.0011,0.07000000178813934
2020-01-20,41700,41900,41450,41600,722748,0.004830917874396157,0.0054,0.033333333830038704
2020-01-21,41700,41750,41300,41600,567421,0.0,-0.0101,0.13333333780368167
2020-01-22,41900,42650,41300,42600,1435894,0.024038461538461453,0.0123,0.16666667163372037
2020-01-23,43300,44300,42900,43400,2060957,0.018779342723004744,-0.009300000000000001,0.08000000119209288
2020-01-28,42200,42800,42000,42700,1631227,-0.016129032258064502,-0.030899999999999997,0.07500000111758708
2020-01-29,42750,42750,42000,42550,1025015,-0.003512880562060894,0.0039000000000000003,0.06666666766007741
2020-01-30,42450,42750,41650,41950,1030375,-0.014101057579318454,-0.0171,0.1000000014901161
2020-01-31,41900,42350,40900,40900,1349571,-0.02502979737783073,-0.013500000000000002,0.03000000044703483
2020-02-03,40200,40550,39100,40100,1428913,-0.019559902200488977,-0.0001,0.028571428997176025
2020-02-04,40900,41150,40150,40250,1122184,0.0037406483790523026,0.0184,0.12857143048729217
2020-02-05,39950,40200,39350,39400,1554328,-0.02111801242236022,0.0036,0.12222222487131752
2020-02-06,39750,41700,39250,41300,1405887,0.048223350253807196,0.0288,0.038461539034660035
2020-02-07,40550,40750,40200,40500,1054261,-0.01937046004842613,-0.0072,0.060000001390775035
2020-02-10,40100,40850,39900,40650,701557,0.0037037037037037646,-0.0049,0.03333333507180213
2020-02-11,41100,42050,40900,41350,1141865,0.017220172201722006,0.01,0.16666667163372037
2020-02-12,40950,41900,40800,41650,1012598,0.007255139056831839,0.0069,0.1571428605488368
2020-02-13,41750,42250,41200,41250,951609,-0.009603841536614643,-0.0024,0.08000000119209288
2020-02-14,41000,42300,40650,41650,984696,0.00969696969696976,0.0048,0.10909091139381583
2020-02-17,41500,41650,41200,41450,776081,-0.004801920768307322,-0.0006,0.18181818588213483
2020-02-18,41150,41900,40900,41350,809542,-0.0024125452352231624,-0.0148,0.05000000074505805
2020-02-19,41500,41650,41050,41300,818025,-0.0012091898428052694,0.0007000000000000001,0.16666667039195693
2020-02-20,41250,41500,40500,40550,1144520,-0.018159806295399483,-0.0067,0.13333333780368167
