Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,11750,11800,11550,11550,2004412,-0.021186440677966156,-0.0102,0.1000000014901161
2020-01-02,11750,11800,11550,11550,2004412,-0.021186440677966156,-0.0102,0.0
2020-01-02,11750,11800,11550,11550,2004412,-0.021186440677966156,-0.0102,0.0
2020-01-02,11750,11800,11550,11550,2004412,-0.021186440677966156,-0.0102,-0.1000000014901161
2020-01-02,11750,11800,11550,11550,2004412,-0.021186440677966156,-0.0102,0.0
2020-01-03,11600,11750,11550,11600,1478623,0.0043290043290042934,0.0006,0.0
2020-01-03,11600,11750,11550,11600,1478623,0.0043290043290042934,0.0006,0.0
2020-01-03,11600,11750,11550,11600,1478623,0.0043290043290042934,0.0006,0.0
2020-01-03,11600,11750,11550,11600,1478623,0.0043290043290042934,0.0006,0.1000000014901161
2020-01-03,11600,11750,11550,11600,1478623,0.0043290043290042934,0.0006,0.0
2020-01-03,11600,11750,11550,11600,1478623,0.0043290043290042934,0.0006,-0.1000000014901161
2020-01-03,11600,11750,11550,11600,1478623,0.0043290043290042934,0.0006,0.0
2020-01-03,11600,11750,11550,11600,1478623,0.0043290043290042934,0.0006,0.1000000014901161
2020-01-03,11600,11750,11550,11600,1478623,0.0043290043290042934,0.0006,0.0
2020-01-03,11600,11750,11550,11600,1478623,0.0043290043290042934,0.0006,0.0
2020-01-03,11600,11750,11550,11600,1478623,0.0043290043290042934,0.0006,-0.1000000014901161
2020-01-03,11600,11750,11550,11600,1478623,0.0043290043290042934,0.0006,0.0
2020-01-03,11600,11750,11550,11600,1478623,0.0043290043290042934,0.0006,0.0
2020-01-06,11550,11550,11300,11350,1840398,-0.02155172413793105,-0.0098,0.1000000014901161
2020-01-06,11550,11550,11300,11350,1840398,-0.02155172413793105,-0.0098,-0.1000000014901161
2020-01-06,11550,11550,11300,11350,1840398,-0.02155172413793105,-0.0098,0.0
2020-01-06,11550,11550,11300,11350,1840398,-0.02155172413793105,-0.0098,0.0
2020-01-06,11550,11550,11300,11350,1840398,-0.02155172413793105,-0.0098,0.0
2020-01-06,11550,11550,11300,11350,1840398,-0.02155172413793105,-0.0098,0.1000000014901161
2020-01-06,11550,11550,11300,11350,1840398,-0.02155172413793105,-0.0098,0.0
