Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,92200,92400,90300,90300,150304,-0.022727272727272707,-0.0102,0.05000000074505805
2020-01-03,91500,92200,90300,90600,157973,0.0033222591362125353,0.0006,0.1000000014901161
2020-01-06,89700,90100,87700,87800,200760,-0.030905077262693204,-0.0098,0.2000000029802322
2020-01-07,87900,89500,87900,89100,97663,0.01480637813211838,0.0095,0.0
2020-01-08,87700,88300,86200,87300,218616,-0.02020202020202022,-0.0111,0.3000000119209289
2020-01-09,87500,89000,87400,89000,184099,0.019473081328751363,0.0163,0.2000000029802322
2020-01-10,88400,90800,88300,89700,159126,0.00786516853932584,0.0091,0.1000000014901161
2020-01-13,90000,97000,89800,96500,571447,0.0758082497212933,0.0104,0.1000000014901161
2020-01-14,98200,101000,96300,98300,486097,0.01865284974093262,0.0043,0.1000000014901161
2020-01-15,97700,99700,97700,98900,169884,0.006103763987792554,-0.0034999999999999996,0.0
2020-01-16,98800,98900,97300,98100,133887,-0.008088978766430777,0.0077,0.3000000119209289
2020-01-17,98000,98300,95000,95200,223712,-0.02956167176350666,0.0011,0.0
2020-01-20,95400,96100,94400,94600,166563,-0.006302521008403339,0.0054,0.0
2020-01-21,94400,95100,93200,93600,151849,-0.010570824524312905,-0.0101,0.0
2020-01-22,93000,94800,93000,94100,150127,0.005341880341880323,0.0123,0.3000000119209289
2020-01-23,93300,97300,92500,96400,319617,0.02444208289054206,-0.009300000000000001,0.13333333780368167
2020-01-28,93900,95300,91200,91900,242539,-0.04668049792531115,-0.030899999999999997,0.0
2020-01-29,91500,92300,90500,91100,213910,-0.008705114254624613,0.0039000000000000003,0.26666667064030963
2020-01-30,91100,91900,88500,88900,263879,-0.02414928649835346,-0.0171,0.05000000074505805
2020-01-31,89000,93300,88100,89600,429661,0.007874015748031482,-0.013500000000000002,0.3000000119209289
2020-02-03,89600,92300,89600,90700,284650,0.01227678571428581,-0.0001,0.2000000029802322
2020-02-04,90900,92400,90000,91900,215829,0.013230429988974723,0.0184,0.3000000119209289
2020-02-05,92000,92100,90500,90600,208973,-0.014145810663764968,0.0036,0.0
2020-02-06,91700,94900,91200,94400,255725,0.04194260485651213,0.0288,0.0
2020-02-07,94100,95600,93000,93500,193643,-0.009533898305084776,-0.0072,0.1000000014901161
2020-02-10,92900,94100,91800,93900,133222,0.004278074866310266,-0.0049,0.0
2020-02-11,93900,94900,93700,94100,135011,0.0021299254526092604,0.01,0.05000000074505805
2020-02-12,93100,94900,93000,94900,160053,0.008501594048884176,0.0069,0.1000000014901161
2020-02-13,94900,95400,93200,93400,252523,-0.015806111696522684,-0.0024,0.1000000014901161
2020-02-14,93000,98400,92200,97700,540815,0.04603854389721618,0.0048,0.0
2020-02-17,99600,99700,94400,95700,502970,-0.020470829068577223,-0.0006,0.15000000223517415
2020-02-18,96100,96800,94200,94500,217957,-0.01253918495297801,-0.0148,0.2500000037252903
2020-02-19,95400,95600,92000,94300,231965,-0.002116402116402072,0.0007000000000000001,0.0
2020-02-20,93300,94400,92800,93100,209334,-0.012725344644750836,-0.0067,0.0
2020-02-21,92300,94300,92000,92300,174947,-0.008592910848549962,-0.0149,0.1000000014901161
2020-02-24,91100,93700,90100,90300,280824,-0.021668472372697756,-0.0387,0.2000000029802322
2020-02-25,90900,93200,90100,92100,240443,0.019933554817275656,0.0118,0.2000000029802322
2020-02-26,91000,92200,90500,91100,198622,-0.010857763300760048,-0.0128,0.1000000014901161
2020-02-27,90500,91600,88700,89500,206632,-0.01756311745334793,-0.0105,0.20000000546375907
2020-02-28,88200,88900,87400,88600,300929,-0.010055865921787754,-0.033,0.22500000335276127
2020-03-02,89000,89600,86600,88300,241318,-0.003386004514672636,0.0078000000000000005,0.20000000546375907
2020-03-03,89900,90600,87600,88000,210329,-0.003397508493771184,0.0058,0.3000000119209289
2020-03-04,88700,94500,88400,94300,453992,0.07159090909090904,0.022400000000000003,0.15000000223517415
2020-03-05,95000,96500,94300,96300,358464,0.021208907741251393,0.0126,0.0
2020-03-06,95300,95900,92000,92500,280031,-0.039460020768432025,-0.0216,0.3000000119209289
2020-03-09,91300,91300,87600,88400,377974,-0.044324324324324316,-0.04190000000000001,0.2000000067055225
2020-03-10,88400,91000,87500,90900,292412,0.02828054298642524,0.0042,0.1000000014901161
2020-03-11,90700,91400,87900,88600,255600,-0.025302530253025313,-0.0278,0.1000000014901161
2020-03-12,90400,90900,86400,87000,599164,-0.018058690744920947,-0.0387,0.30000000074505806
2020-03-13,82000,94800,80000,91800,892080,0.05517241379310356,-0.034300000000000004,0.5
2020-03-16,93000,95000,89300,91400,430767,-0.004357298474945481,-0.0319,0.0
2020-03-17,88000,94500,88000,94300,423552,0.03172866520787743,-0.024700000000000003,0.30000000447034836
2020-03-18,93400,94300,89700,89700,346239,-0.04878048780487809,-0.048600000000000004,0.0
2020-03-19,92000,93200,88900,90700,617969,0.011148272017837302,-0.0839,0.0
2020-03-20,91300,93500,89900,93500,514529,0.030871003307607392,0.07440000000000001,0.15000000223517415
2020-03-23,90300,93400,90000,91900,422115,-0.01711229946524062,-0.053399999999999996,0.0
