Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,33900,34250,33700,33750,92442,-0.017467248908296984,-0.0102,0.0
2020-01-03,34000,34650,33700,34250,126193,0.014814814814814836,0.0006,0.0
2020-01-06,33950,34600,33350,33550,92858,-0.020437956204379604,-0.0098,0.0
2020-01-07,33850,34250,33500,33750,69340,0.005961251862891315,0.0095,0.0
2020-01-08,32950,33100,32350,32900,171951,-0.0251851851851852,-0.0111,0.0
2020-01-09,32900,33450,32900,33350,111171,0.013677811550151908,0.0163,0.3000000119209289
2020-01-10,33100,33100,32750,33000,120289,-0.010494752623688153,0.0091,0.25000000745058054
2020-01-13,32900,33350,32900,33100,67191,0.003030303030302939,0.0104,0.0
2020-01-14,33300,33950,33100,33750,127229,0.01963746223564944,0.0043,0.0
2020-01-15,33350,34000,33300,33950,97298,0.00592592592592589,-0.0034999999999999996,0.0
2020-01-16,33600,33750,33000,33200,261906,-0.022091310751104598,0.0077,0.0
2020-01-17,32900,33350,32600,32650,128675,-0.016566265060240948,0.0011,0.0
2020-01-20,32450,32700,32050,32300,94723,-0.01071975497702915,0.0054,0.0
2020-01-21,32300,32800,32150,32150,95352,-0.004643962848297267,-0.0101,0.0
2020-01-22,32200,32200,31750,31850,132939,-0.009331259720062213,0.0123,0.0
2020-01-23,31600,31700,31350,31550,350741,-0.009419152276295084,-0.009300000000000001,0.0
2020-01-28,31500,31700,30850,30900,180871,-0.020602218700475405,-0.030899999999999997,0.0
2020-01-29,30850,31350,30450,31000,198521,0.003236245954692629,0.0039000000000000003,0.4000000059604645
2020-01-30,31250,31450,30800,30800,131610,-0.006451612903225823,-0.0171,0.3000000119209289
2020-01-31,31100,31100,30600,30800,127373,0.0,-0.013500000000000002,0.0
2020-02-03,30300,30700,30050,30350,147248,-0.01461038961038963,-0.0001,0.0
2020-02-04,30050,30350,29750,30050,200853,-0.009884678747940745,0.0184,0.0
2020-02-05,30100,30500,29900,30200,200004,0.004991680532445919,0.0036,0.0
2020-02-06,30450,30900,30300,30600,108531,0.013245033112582849,0.0288,0.0
2020-02-07,30600,30850,30100,30150,357152,-0.014705882352941124,-0.0072,0.2000000029802322
2020-02-10,29950,30400,29750,30250,251913,0.0033167495854062867,-0.0049,0.3000000119209289
2020-02-11,30300,30450,29950,30450,167543,0.006611570247933907,0.01,0.0
2020-02-12,30150,30850,30150,30850,174308,0.013136288998357948,0.0069,0.0
2020-02-13,30950,31000,30600,30650,163839,-0.00648298217179899,-0.0024,0.1000000014901161
2020-02-14,30700,30750,29950,29950,178572,-0.022838499184339334,0.0048,0.1000000014901161
2020-02-17,30200,30350,29950,30350,125151,0.013355592654423987,-0.0006,0.0
2020-02-18,30050,30450,30000,30100,178988,-0.008237232289950547,-0.0148,0.0
2020-02-19,30400,30600,30100,30250,110978,0.004983388704318914,0.0007000000000000001,-0.1000000014901161
2020-02-20,30200,30500,28950,29050,277656,-0.03966942148760333,-0.0067,0.0
2020-02-21,28800,28850,28100,28100,436864,-0.03270223752151458,-0.0149,0.0
2020-02-24,28050,28100,26800,26950,259355,-0.040925266903914626,-0.0387,0.0
2020-02-25,26950,28250,26950,27950,195578,0.03710575139146566,0.0118,0.0
2020-02-26,27850,28050,27300,27800,196967,-0.00536672629695889,-0.0128,0.0
