Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,38650,38750,37600,37700,126017,-0.03209242618741981,-0.0102,0.0
2020-01-03,37700,38050,37150,37350,96088,-0.009283819628647216,0.0006,0.0
2020-01-06,36850,37100,36450,36650,87830,-0.018741633199464536,-0.0098,0.0
2020-01-07,36850,37250,36550,36750,80878,0.0027285129604366354,0.0095,0.2000000029802322
2020-01-08,36350,36700,35400,35450,136450,-0.03537414965986396,-0.0111,0.0
2020-01-09,35650,36050,35450,35800,117480,0.009873060648801113,0.0163,0.0
2020-01-10,35600,35800,35200,35250,152778,-0.015363128491620137,0.0091,0.0
2020-01-13,35250,36800,35100,36650,252389,0.039716312056737646,0.0104,0.0
2020-01-14,36400,37400,36100,36350,138566,-0.008185538881309684,0.0043,0.0
2020-01-15,36250,36600,36150,36550,92180,0.005502063273727709,-0.0034999999999999996,0.0
2020-01-16,36400,36500,35750,35900,110187,-0.017783857729138153,0.0077,-0.1000000014901161
2020-01-17,35900,36350,35650,35700,98902,-0.005571030640668551,0.0011,0.04166666728754837
2020-01-20,38950,42800,37400,37750,2999304,0.05742296918767509,0.0054,0.06666666848791969
2020-01-21,37600,39100,36600,37200,964767,-0.014569536423841067,-0.0101,0.1000000014901161
2020-01-22,36950,37400,36650,36700,381988,-0.013440860215053752,0.0123,0.2000000029802322
2020-01-23,36500,39300,36500,38900,760040,0.05994550408719346,-0.009300000000000001,0.2000000029802322
2020-01-28,38000,38300,37200,37900,420664,-0.02570694087403602,-0.030899999999999997,0.0
2020-01-29,38100,38350,37050,37300,273926,-0.0158311345646438,0.0039000000000000003,0.0
2020-01-30,37200,37500,36100,36200,236753,-0.029490616621983934,-0.0171,0.0
2020-01-31,36050,36400,35300,35300,188260,-0.024861878453038666,-0.013500000000000002,0.0
2020-02-03,34400,34850,33650,34150,222548,-0.03257790368271951,-0.0001,0.1000000014901161
2020-02-04,34050,34800,33850,34400,185389,0.007320644216691097,0.0184,0.0
2020-02-05,34450,34600,33900,33950,166690,-0.013081395348837233,0.0036,0.0
2020-02-06,34100,35200,34050,35150,193437,0.0353460972017674,0.0288,0.0
2020-02-07,34850,35100,34500,34650,94270,-0.014224751066856278,-0.0072,0.025000000372529026
2020-02-10,34500,34550,33850,34200,137224,-0.012987012987012991,-0.0049,0.0
2020-02-11,34500,35100,34100,35000,138260,0.023391812865497075,0.01,0.0
2020-02-12,34850,35300,34650,35000,137479,0.0,0.0069,0.0
2020-02-13,35050,35600,34950,35000,177711,0.0,-0.0024,0.14444444659683436
2020-02-14,34650,34900,34000,34100,289250,-0.02571428571428569,0.0048,0.1000000014901161
2020-02-17,33700,34450,33700,33850,135408,-0.007331378299120228,-0.0006,0.0
2020-02-18,33800,33800,32650,33300,251964,-0.01624815361890697,-0.0148,0.0
