Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-08,11500,11550,11450,11500,754982,0.0,-0.0111,0.1000000014901161
2020-06-16,11600,11750,11600,11700,1534332,0.01298701298701288,0.0528,0.0
2020-07-16,11450,11450,11400,11450,481332,0.004385964912280604,-0.008199999999999999,0.1000000014901161
2020-07-28,11300,11350,11300,11300,423768,0.0,0.0176,0.0
2020-08-18,11150,11200,11050,11050,730629,-0.008968609865470878,-0.0246,-0.1000000014901161
2020-08-19,11050,11200,11050,11150,460331,0.009049773755656076,0.0052,0.0
2020-10-19,10950,11000,10950,11000,674073,0.004566210045662045,0.0022,0.1000000014901161
2020-10-23,11000,11150,11000,11100,840275,0.009090909090909038,0.0024,-0.1000000014901161
2020-11-11,10900,11000,10900,10950,654644,0.004587155963302836,0.013500000000000002,0.0
2021-01-07,10650,10650,10550,10600,1397236,-0.0046948356807511304,0.021400000000000002,-0.1000000014901161
2021-02-18,11150,11200,11100,11200,899031,0.004484304932735439,-0.015,0.0
2021-02-25,11100,11150,11050,11100,779609,0.0,0.035,0.2000000029802322
2021-04-19,12000,12050,11950,12050,868536,0.004166666666666652,0.0001,0.1000000014901161
2021-06-10,12600,12650,12550,12600,1035375,0.0,0.0026,-0.2000000029802322
2021-06-25,12600,12650,12600,12600,1349636,-0.0039525691699604515,0.0051,0.1000000014901161
2021-06-28,12600,12700,12600,12650,3255502,0.003968253968253954,-0.0003,0.1000000014901161
2021-06-30,12450,12550,12450,12550,1184311,0.0040000000000000036,0.003,0.3000000119209289
2021-07-16,12300,12400,12300,12400,1037039,0.008130081300812941,-0.0028000000000000004,0.3000000119209289
2021-07-30,12300,12350,12300,12300,583387,0.0,-0.0124,0.4000000059604645
2021-08-03,12300,12350,12300,12300,407616,0.0,0.0044,0.3000000119209289
2021-09-08,12600,12600,12550,12600,605409,0.0,-0.0077,-0.1000000014901161
2021-09-09,12550,12600,12550,12550,580623,-0.003968253968253954,-0.015300000000000001,-0.1000000014901161
2021-09-10,12550,12600,12550,12600,847909,0.003984063745019917,0.0036,0.0
2021-11-01,13700,13750,13550,13600,807694,-0.007299270072992692,0.0028000000000000004,0.3000000119209289
2021-11-02,13550,13600,13450,13550,1118237,-0.003676470588235281,0.0116,0.3000000119209289
2021-11-26,14250,14250,14050,14150,1341321,-0.007017543859649145,-0.0147,0.4000000059604645
