Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-03,11500,11550,11300,11400,78982,-0.004366812227074246,0.0006,0.0
2020-01-06,11350,11400,11000,11250,115523,-0.013157894736842146,-0.0098,0.0
2020-01-30,10500,10500,10200,10250,98410,-0.009661835748792313,-0.0171,0.3000000119209289
2020-02-26,9730,9850,9710,9770,129324,-0.01213346814964611,-0.0128,0.1000000014901161
2020-03-13,9400,9710,8580,8790,408661,-0.11212121212121207,-0.034300000000000004,0.1000000014901161
2020-05-29,10350,10400,10050,10050,116185,-0.024271844660194164,0.0005,0.2000000029802322
2020-06-03,10550,10950,10550,10750,144694,0.023809523809523725,0.0287,0.1000000014901161
2020-12-11,10100,10350,10000,10100,647289,0.004975124378109541,0.0086,-0.4000000059604645
2020-12-11,10100,10350,10000,10100,647289,0.004975124378109541,0.0086,0.0
2021-01-13,9870,9970,9810,9840,192053,0.005107252298263587,0.0070999999999999995,-0.1000000014901161
2021-01-13,9870,9970,9810,9840,192053,0.005107252298263587,0.0070999999999999995,-0.2000000029802322
2021-01-14,9900,9910,9800,9900,172451,0.0060975609756097615,0.0005,-0.1000000014901161
2021-01-14,9900,9910,9800,9900,172451,0.0060975609756097615,0.0005,-0.2000000029802322
2021-02-17,11050,11100,10900,11050,159691,0.0,-0.009300000000000001,0.0
2021-02-18,11000,11100,10950,11000,234630,-0.004524886877828038,-0.015,0.0
2021-04-02,16500,16500,15600,15700,378649,-0.051359516616314216,0.008199999999999999,0.3000000119209289
2021-04-07,15800,15950,15450,15800,163861,-0.003154574132492094,0.0033,0.1000000014901161
2021-05-14,20850,20950,19550,19600,418958,-0.041564792176039145,0.01,0.0
2021-05-14,20850,20950,19550,19600,418958,-0.041564792176039145,0.01,0.0
2021-05-14,20850,20950,19550,19600,418958,-0.041564792176039145,0.01,0.0
2021-07-01,21300,21850,21000,21250,326350,0.002358490566037652,-0.0044,0.0
2021-09-03,31650,33150,31150,32650,199502,0.029968454258675115,0.0079,0.0
2021-09-03,31650,33150,31150,32650,199502,0.029968454258675115,0.0079,0.0
2021-09-27,33550,33700,32300,32650,217366,-0.03687315634218291,0.0027,0.1000000014901161
2021-09-27,33550,33700,32300,32650,217366,-0.03687315634218291,0.0027,0.1000000014901161
2021-09-28,32650,34900,32650,33500,236479,0.026033690658499253,-0.011399999999999999,0.1000000014901161
2021-11-18,34300,34500,33400,33600,92503,-0.014662756598240456,-0.0051,0.0
2021-11-19,33800,35100,33200,35100,252772,0.044642857142857206,0.008,0.1000000014901161
2021-11-19,33800,35100,33200,35100,252772,0.044642857142857206,0.008,0.1000000014901161
2021-11-25,36650,36650,35400,35700,266616,-0.016528925619834656,-0.004699999999999999,0.1000000014901161
2021-11-26,35950,37100,35700,36150,278530,0.012605042016806678,-0.0147,0.1000000014901161
