Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,3795,3795,3730,3745,1511259,-0.01187335092348285,-0.0102,0.0
2020-01-03,3770,3815,3750,3780,1289903,0.009345794392523255,0.0006,0.0
2020-01-06,3745,3750,3610,3635,2357367,-0.03835978835978837,-0.0098,0.0
2020-01-07,3635,3650,3560,3585,2149403,-0.01375515818431916,0.0095,0.0
2020-01-08,3585,3585,3430,3450,4254520,-0.03765690376569042,-0.0111,0.07500000111758708
2020-01-09,3505,3595,3495,3595,2739820,0.04202898550724643,0.0163,0.0
2020-01-10,3575,3590,3500,3520,2223701,-0.020862308762169657,0.0091,0.05000000074505805
2020-01-13,3520,3525,3470,3505,2547243,-0.0042613636363636465,0.0104,0.1000000014901161
2020-01-14,3525,3630,3520,3630,2574108,0.03566333808844502,0.0043,0.0
2020-01-15,3635,3665,3580,3615,1813871,-0.004132231404958664,-0.0034999999999999996,0.0
2020-01-16,3630,3635,3580,3590,964181,-0.006915629322268302,0.0077,-0.1000000014901161
2020-01-17,3595,3645,3580,3595,1403707,0.0013927576601671099,0.0011,0.0
2020-01-20,3600,3700,3595,3645,1880166,0.013908205841446364,0.0054,0.0
2020-01-21,3660,3675,3580,3590,1175142,-0.015089163237311354,-0.0101,0.0
2020-01-22,3605,3615,3570,3610,1224067,0.0055710306406684396,0.0123,0.0
2020-01-23,3585,3610,3520,3530,1801057,-0.02216066481994461,-0.009300000000000001,0.0
2020-01-28,3435,3480,3430,3445,2268848,-0.024079320113314484,-0.030899999999999997,-0.05000000074505805
2020-01-29,3445,3510,3440,3490,1622152,0.013062409288824295,0.0039000000000000003,0.10000000397364296
2020-01-30,3575,3790,3455,3690,7267035,0.057306590257879764,-0.0171,0.0
2020-01-31,3710,3730,3630,3660,3191874,-0.008130081300813052,-0.013500000000000002,0.1000000014901161
2020-02-03,3575,3695,3575,3630,1665097,-0.008196721311475419,-0.0001,0.0
2020-02-04,3630,3680,3625,3650,1907266,0.005509641873278293,0.0184,0.0
2020-02-05,3675,3810,3670,3760,2856741,0.03013698630136985,0.0036,0.0
2020-02-06,3805,3895,3790,3880,2997267,0.03191489361702127,0.0288,0.3000000119209289
2020-02-07,3845,3850,3750,3770,1788548,-0.028350515463917536,-0.0072,0.0
2020-02-10,3745,3750,3685,3700,1967671,-0.018567639257294433,-0.0049,0.0
2020-02-11,3725,3740,3675,3675,1765032,-0.006756756756756799,0.01,0.1000000014901161
2020-02-12,3680,3710,3615,3680,2242268,0.0013605442176871652,0.0069,0.1000000014901161
2020-02-13,3675,3690,3625,3645,2462675,-0.009510869565217406,-0.0024,0.0
2020-02-14,3615,3680,3615,3635,1246783,-0.002743484224965731,0.0048,-0.1000000014901161
2020-02-17,3640,3660,3600,3615,1113907,-0.005502063273727598,-0.0006,0.0
2020-02-18,3585,3600,3540,3585,1693252,-0.008298755186721962,-0.0148,-0.1000000014901161
2020-02-19,3605,3610,3550,3555,1206837,-0.008368200836820106,0.0007000000000000001,0.0
2020-02-20,3580,3585,3535,3540,1031536,-0.00421940928270037,-0.0067,-0.1000000014901161
2020-02-21,3510,3575,3490,3510,1765917,-0.008474576271186418,-0.0149,0.033333333830038704
2020-02-24,3445,3465,3370,3395,2321261,-0.03276353276353272,-0.0387,0.0
