Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,17950,17950,17050,17150,301623,-0.039215686274509776,-0.0102,0.0
2020-01-03,17150,17350,16950,17150,300473,0.0,0.0006,0.0
2020-01-06,16950,17000,16500,16650,273673,-0.029154518950437303,-0.0098,0.0
2020-01-07,16600,16800,16200,16400,353788,-0.01501501501501501,0.0095,0.0
2020-01-08,16250,16350,15850,16150,272689,-0.015243902439024404,-0.0111,0.0
2020-01-09,16150,16600,16050,16350,336682,0.01238390092879249,0.0163,0.1000000014901161
2020-01-10,16250,16850,16250,16500,164295,0.00917431192660545,0.0091,0.0
2020-01-13,16400,16500,16200,16400,221954,-0.0060606060606061,0.0104,0.0
2020-01-14,16400,16650,16050,16450,138915,0.0030487804878047697,0.0043,0.3500000089406967
2020-01-15,16450,16650,16350,16450,59458,0.0,-0.0034999999999999996,0.0
2020-01-16,16400,16550,16300,16450,141345,0.0,0.0077,0.25000000745058054
2020-01-17,16500,16600,16450,16600,91813,0.00911854103343468,0.0011,0.0
2020-01-20,16700,16700,16350,16400,134099,-0.012048192771084376,0.0054,0.0
2020-01-21,16400,16500,16250,16300,97514,-0.0060975609756097615,-0.0101,0.0
2020-01-22,16350,16350,15950,16150,150339,-0.009202453987730008,0.0123,0.0
2020-01-23,16200,16200,15800,15850,143531,-0.018575851393188847,-0.009300000000000001,0.0
2020-01-28,15700,15700,15200,15350,127458,-0.03154574132492116,-0.030899999999999997,0.0
2020-01-29,15350,15650,15250,15400,107471,0.0032573289902280145,0.0039000000000000003,0.0
2020-01-30,15350,15650,15350,15450,166451,0.0032467532467532756,-0.0171,0.3000000119209289
2020-01-31,15700,15850,15300,15700,205876,0.016181229773462702,-0.013500000000000002,0.0
2020-02-03,15650,15650,15100,15450,131509,-0.015923566878980888,-0.0001,0.0
2020-02-04,15450,15650,15300,15450,163815,0.0,0.0184,0.0
2020-02-05,15550,15700,15350,15600,177322,0.009708737864077666,0.0036,0.0
2020-02-06,15650,16000,15650,15700,181048,0.0064102564102563875,0.0288,0.0
2020-02-07,15850,16000,15700,15850,127419,0.009554140127388644,-0.0072,-0.13333333532015482
2020-02-10,15850,15900,15600,15600,52917,-0.01577287066246058,-0.0049,-0.1000000014901161
2020-02-11,15650,15800,15500,15600,101222,0.0,0.01,0.0
2020-02-12,15700,15800,15350,15650,180219,0.0032051282051281937,0.0069,0.0
2020-02-13,15600,15650,15200,15450,220522,-0.012779552715655007,-0.0024,0.0
