Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,7550,7590,7450,7450,1279267,-0.013245033112582738,-0.0102,0.0
2020-01-03,7510,7630,7490,7560,1825794,0.014765100671140896,0.0006,0.0
2020-01-06,7460,7510,7390,7400,1239612,-0.021164021164021163,-0.0098,0.0
2020-01-07,7420,7510,7400,7420,1242596,0.002702702702702675,0.0095,0.0
2020-01-08,7380,7380,7200,7270,2255821,-0.020215633423180557,-0.0111,0.0
2020-01-09,7330,7420,7270,7360,1870489,0.012379642365887289,0.0163,0.0
2020-01-10,7370,7420,7310,7400,1362653,0.005434782608695565,0.0091,0.0
2020-01-13,7410,7470,7350,7450,1245370,0.006756756756756799,0.0104,0.0
2020-01-14,7500,7760,7480,7750,4135800,0.04026845637583887,0.0043,0.0
2020-01-15,7710,7740,7640,7710,1586082,-0.005161290322580614,-0.0034999999999999996,0.0
2020-01-16,7670,7720,7610,7690,1808176,-0.0025940337224383825,0.0077,0.0
2020-01-17,7760,7770,7650,7700,2055233,0.0013003901170351995,0.0011,0.0
2020-01-20,7710,7790,7670,7720,1632283,0.0025974025974024872,0.0054,0.0
2020-01-21,7740,7740,7600,7600,1186718,-0.015544041450777257,-0.0101,0.0
2020-01-22,7600,7730,7560,7730,1417701,0.017105263157894735,0.0123,0.0
2020-01-23,7670,7700,7560,7560,1861496,-0.021992238033635148,-0.009300000000000001,0.0
2020-01-28,7280,7440,7150,7180,2642995,-0.050264550264550234,-0.030899999999999997,0.10000000397364296
2020-01-29,7240,7250,7150,7180,1695168,0.0,0.0039000000000000003,0.0
2020-01-30,7160,7180,6980,7030,2181040,-0.02089136490250698,-0.0171,0.0
2020-01-31,7110,7120,6850,6890,3064046,-0.019914651493598834,-0.013500000000000002,0.0
2020-02-03,6790,6890,6700,6800,2491590,-0.013062409288824406,-0.0001,0.0
2020-02-04,6790,6890,6780,6810,2376020,0.0014705882352941124,0.0184,0.0
2020-02-05,6870,6930,6820,6890,2099816,0.011747430249632984,0.0036,0.0
2020-02-06,6970,7200,6960,7180,2328672,0.04208998548621201,0.0288,0.0
2020-02-07,7170,7180,7030,7060,1626756,-0.01671309192200554,-0.0072,0.0
2020-02-10,7000,7030,6940,7000,1300135,-0.008498583569405138,-0.0049,0.0
2020-02-11,7040,7080,6980,7020,1308856,0.0028571428571428914,0.01,0.0
2020-02-12,7000,7050,6930,7020,1504941,0.0,0.0069,0.3000000119209289
2020-02-13,7070,7090,6980,7000,1974345,-0.002849002849002802,-0.0024,0.0
2020-02-14,6990,7080,6990,7010,1403982,0.0014285714285713347,0.0048,0.0
2020-02-17,7030,7030,6950,6970,1040372,-0.005706134094151216,-0.0006,0.0
2020-02-18,6950,7000,6900,6940,1548921,-0.004304160688665681,-0.0148,0.0
2020-02-19,6980,7000,6860,6920,1316291,-0.0028818443804035088,0.0007000000000000001,0.0
2020-02-20,6950,6960,6830,6850,1327880,-0.010115606936416222,-0.0067,0.0
2020-02-21,6780,6790,6690,6700,1991463,-0.021897810218978075,-0.0149,0.0
2020-02-24,6540,6570,6450,6450,2584385,-0.03731343283582089,-0.0387,0.0
2020-02-25,6370,6690,6370,6650,2372587,0.03100775193798455,0.0118,0.0
2020-02-26,6520,6690,6520,6650,1796377,0.0,-0.0128,0.1000000014901161
2020-02-27,6600,6660,6520,6600,1866338,-0.007518796992481258,-0.0105,0.0
2020-02-28,6490,6520,6320,6340,3309245,-0.039393939393939426,-0.033,0.0
2020-03-02,6350,6420,6250,6330,2076204,-0.001577287066246047,0.0078000000000000005,0.0
2020-03-03,6430,6500,6350,6370,1830762,0.006319115323854652,0.0058,0.0
2020-03-04,6370,6590,6350,6550,1840563,0.028257456828885363,0.022400000000000003,0.1000000014901161
2020-03-05,6620,6720,6570,6640,1658814,0.013740458015267132,0.0126,0.0
2020-03-06,6530,6580,6460,6490,1546505,-0.02259036144578308,-0.0216,0.0
2020-03-09,6350,6360,6160,6190,2834246,-0.046224961479198745,-0.04190000000000001,0.0
2020-03-10,6130,6290,6120,6260,2326196,0.011308562197092087,0.0042,0.0
2020-03-11,6240,6320,6030,6090,2758304,-0.027156549520766737,-0.0278,0.0
2020-03-12,6120,6130,5710,5800,4142758,-0.04761904761904767,-0.0387,0.0
2020-03-13,5230,5690,5170,5510,4486498,-0.050000000000000044,-0.034300000000000004,0.1000000014901161
2020-03-16,5580,5670,5350,5360,2645942,-0.02722323049001818,-0.0319,0.0
2020-03-17,5000,5320,4960,5050,4446265,-0.057835820895522416,-0.024700000000000003,0.0
2020-03-18,5080,5130,4530,4530,5423802,-0.10297029702970295,-0.048600000000000004,0.0
2020-03-19,4575,4610,3505,3600,10119912,-0.20529801324503316,-0.0839,0.0
2020-03-20,3750,3985,3675,3985,8484456,0.10694444444444451,0.07440000000000001,0.0
2020-03-23,3615,3790,3565,3595,7702606,-0.09786700125470515,-0.053399999999999996,0.0
2020-03-24,3750,4260,3665,4170,7099214,0.1599443671766343,0.086,0.0
2020-03-25,4445,4990,4410,4990,9379585,0.19664268585131905,0.058899999999999994,0.0
2020-03-26,4995,5320,4855,5080,6829247,0.018036072144288484,-0.0109,0.0
2020-03-27,5490,5520,5010,5200,5758452,0.023622047244094446,0.0187,0.0
2020-03-30,4950,5330,4910,5320,4182851,0.023076923076922995,-0.0004,0.1000000014901161
2020-03-31,5450,5490,5220,5270,4263950,-0.009398496240601517,0.0219,0.1000000014901161
2020-04-01,5220,5310,4895,4895,5245398,-0.07115749525616699,-0.0394,0.1000000014901161
2020-04-02,4900,5100,4685,5090,4081955,0.039836567926455624,0.023399999999999997,0.0
2020-04-03,5130,5160,4870,4920,4210580,-0.03339882121807469,0.0003,0.0
2020-04-06,4965,5150,4935,5120,3772042,0.04065040650406515,0.0385,0.0
2020-04-07,5280,5290,5010,5170,5527707,0.009765625,0.0177,0.0
2020-04-08,5090,5130,5020,5020,3966497,-0.029013539651837505,-0.009000000000000001,0.0
2020-04-09,5120,5140,5040,5120,3373538,0.019920318725099584,0.0161,0.0
2020-04-10,5050,5230,5020,5150,4870774,0.005859375,0.013300000000000001,0.0
2020-04-13,5160,5190,5030,5030,3048585,-0.023300970873786353,-0.018799999999999997,0.0
2020-04-14,5090,5220,5030,5190,3095766,0.031809145129224614,0.0172,-0.1000000014901161
2020-04-16,5080,5120,5000,5060,3603016,-0.025048169556840083,-0.0,0.0
2020-04-17,5160,5530,5130,5440,8448983,0.07509881422924902,0.030899999999999997,0.0
2020-04-20,5490,5500,5260,5320,4034450,-0.022058823529411797,-0.0084,0.0
2020-04-21,5270,5330,5120,5230,3951087,-0.016917293233082664,-0.01,0.0
2020-04-22,5120,5220,5060,5210,2632401,-0.003824091778202643,0.0089,0.0
2020-04-23,5250,5280,5190,5220,2394924,0.0019193857965451588,0.0098,0.0
2020-04-24,5160,5200,5120,5150,1722616,-0.013409961685823757,-0.0134,0.0
2020-04-27,5210,5450,5180,5380,3807428,0.044660194174757306,0.0179,0.0
2020-04-28,5430,5520,5260,5350,3810029,-0.005576208178438624,0.0059,0.0
2020-04-29,5380,5740,5330,5610,8511707,0.04859813084112141,0.006999999999999999,0.0
2020-05-04,5450,5570,5350,5470,4367698,-0.024955436720142554,-0.0268,0.0
2020-05-06,5540,5750,5540,5610,3834726,0.025594149908592323,0.0176,0.0
2020-05-07,5580,5680,5530,5590,2256454,-0.0035650623885917776,-0.0001,0.0
2020-05-08,5680,5710,5640,5650,2177933,0.01073345259391778,0.0089,0.0
2020-05-11,5630,5720,5510,5520,2691555,-0.023008849557522137,-0.0054,0.0
2020-05-12,5500,5520,5340,5370,2613257,-0.02717391304347827,-0.0068000000000000005,0.0
2020-05-13,5280,5440,5250,5440,1750961,0.013035381750465591,0.0095,0.0
2020-05-14,5380,5440,5280,5440,2548793,0.0,-0.008,0.0
2020-05-15,5490,5540,5330,5340,2333884,-0.018382352941176516,0.0012,0.0
2020-05-18,5410,5410,5280,5330,2078550,-0.0018726591760299671,0.0051,0.0
2020-05-19,5560,5680,5490,5650,5154711,0.060037523452157515,0.0225,0.0
2020-05-20,5580,5730,5570,5650,2206353,0.0,0.0046,0.0
2020-05-21,5720,6040,5610,5870,5271266,0.038938053097345104,0.0044,0.0
2020-05-22,5870,5940,5550,5610,3626474,-0.04429301533219765,-0.0141,0.0
2020-05-25,5670,5760,5590,5760,2240639,0.02673796791443861,0.0124,0.0
2020-05-26,5800,5990,5770,5990,3140925,0.03993055555555558,0.0176,0.0
2020-05-27,6030,6190,5950,6160,4068057,0.028380634390651194,0.0007000000000000001,0.0
2020-05-28,6280,6590,6220,6450,7651448,0.04707792207792205,-0.0013,0.0
2020-05-29,6400,6540,6170,6170,9966883,-0.04341085271317835,0.0005,0.0
2020-06-01,6260,6390,6240,6320,3941879,0.024311183144246407,0.0175,0.0
2020-06-02,6280,6600,6250,6460,4738661,0.02215189873417711,0.010700000000000001,0.0
2020-06-03,6580,7040,6570,6940,9158624,0.07430340557275539,0.0287,0.0
2020-06-04,7110,7250,6740,6790,6188333,-0.021613832853025983,0.0019,0.0
2020-06-05,6730,7190,6690,6960,7492586,0.025036818851251752,0.0143,0.0
2020-06-08,7280,7280,7040,7080,5211707,0.01724137931034475,0.0011,0.0
2020-06-09,7170,7180,6870,6910,4191138,-0.02401129943502822,0.0021,0.0
2020-06-10,6890,7100,6820,7080,3520239,0.02460202604920414,0.0031,0.0
2020-06-11,7000,7000,6810,6970,4644874,-0.015536723163841804,-0.0086,0.0
2020-06-12,6520,6850,6450,6840,5373004,-0.0186513629842181,-0.0204,0.0
2020-06-15,6710,6820,6320,6320,4175382,-0.07602339181286555,-0.047599999999999996,0.0
2020-06-16,6550,6790,6550,6720,3761634,0.06329113924050622,0.0528,0.0
2020-06-17,6690,6820,6610,6720,2979586,0.0,0.0014000000000000002,0.0
2020-06-18,6660,6900,6660,6730,3358776,0.0014880952380953438,-0.0034999999999999996,0.0
2020-06-19,6840,6860,6650,6780,2635179,0.007429420505200568,0.0037,0.0
2020-06-22,6720,7050,6720,6930,3164347,0.022123893805309658,-0.0068000000000000005,0.0
2020-06-23,7030,7040,6780,6890,2997311,-0.005772005772005762,0.0021,0.0
2020-06-24,6980,7060,6950,6980,2938189,0.013062409288824295,0.014199999999999999,0.0
2020-06-25,6820,6890,6650,6650,3610969,-0.04727793696275073,-0.0227,0.0
2020-06-26,6720,6780,6590,6610,2556971,-0.006015037593984918,0.0105,0.0
2020-06-29,6420,6520,6410,6450,2344283,-0.024205748865355536,-0.019299999999999998,0.0
2020-06-30,6560,6750,6550,6670,2321496,0.03410852713178292,0.0070999999999999995,0.0
2020-07-01,6730,6850,6720,6730,1837148,0.008995502248875464,-0.0008,0.0
2020-07-02,6830,6850,6740,6770,1228685,0.005943536404160454,0.013600000000000001,0.0
2020-07-03,6780,6850,6730,6800,1294379,0.004431314623338345,0.008,0.0
2020-07-06,6810,6930,6740,6890,1858072,0.013235294117647012,0.0165,0.0
2020-07-07,7000,7040,6880,6900,2336558,0.0014513788098693414,-0.0109,0.0
2020-07-08,6900,6970,6870,6960,1603216,0.008695652173912993,-0.0024,0.0
2020-07-09,6990,7020,6910,6990,1956622,0.004310344827586299,0.0042,0.0
2020-07-10,6990,6990,6850,6850,2153521,-0.02002861230329045,-0.008100000000000001,0.0
2020-07-13,6940,7300,6890,7160,5858403,0.045255474452554845,0.0167,0.0
2020-07-14,7090,7130,6950,7070,2820530,-0.012569832402234637,-0.0011,0.0
2020-07-15,7260,7420,7210,7400,4946484,0.04667609618104662,0.0084,0.0
