Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-09,189500,192000,189000,192000,91492,0.018567639257294433,0.0163,0.0
2020-01-13,196000,198000,194500,197500,91808,0.007653061224489832,0.0104,0.0
2020-01-20,200000,206000,199500,204000,179569,0.022556390977443552,0.0054,0.0
2020-01-30,198000,204000,195000,201000,221159,0.015151515151515138,-0.0171,0.3000000119209289
2020-01-30,198000,204000,195000,201000,221159,0.015151515151515138,-0.0171,0.2000000029802322
2020-02-18,200500,202000,198500,199000,98236,-0.012406947890818865,-0.0148,0.1000000014901161
2020-03-06,177000,178500,175500,178000,128619,-0.016574585635359074,-0.0216,0.0
2020-03-11,169500,171000,164500,166500,163684,-0.017699115044247815,-0.0278,0.0
2020-03-11,169500,171000,164500,166500,163684,-0.017699115044247815,-0.0278,0.0
2020-03-12,167000,167500,155500,158000,281229,-0.05105105105105101,-0.0387,-0.1000000014901161
2020-03-12,167000,167500,155500,158000,281229,-0.05105105105105101,-0.0387,-0.1000000014901161
2020-03-16,153000,156000,148500,148500,144413,-0.023026315789473673,-0.0319,0.0
2020-03-19,144500,147500,132500,139000,312816,-0.014184397163120588,-0.0839,0.0
2020-03-25,150000,152500,144500,148500,280289,0.017123287671232834,0.058899999999999994,0.1000000014901161
2020-03-26,147000,149000,143000,143500,287659,-0.03367003367003363,-0.0109,0.0
2020-04-06,147500,157000,147000,154500,261338,0.0692041522491349,0.0385,0.0
2020-04-10,155500,159000,154500,157500,207611,0.006389776357827559,0.013300000000000001,0.2000000029802322
2020-04-20,165500,172000,165000,166000,241786,0.012195121951219523,-0.0084,0.0
2020-04-21,165500,170500,161000,165500,301031,-0.003012048192771122,-0.01,0.0
2020-04-23,166000,167000,162500,163000,251703,-0.01807228915662651,0.0098,0.2000000029802322
2020-05-06,158500,165000,157500,162000,212012,0.03514376996805102,0.0176,-0.1000000014901161
2020-05-22,177500,177500,172000,174500,156223,-0.016901408450704203,-0.0141,0.0
2020-05-29,188000,191500,184500,190500,279814,0.018716577540107027,0.0005,0.1000000014901161
2020-06-19,179500,179500,175000,177000,129746,0.0,0.0037,0.2000000029802322
2020-06-24,178500,180500,177000,179000,122032,0.008450704225352101,0.014199999999999999,0.1000000014901161
2020-07-02,172500,177500,171500,176500,119195,0.032163742690058506,0.013600000000000001,0.1000000014901161
2020-08-03,168000,168500,166500,167000,115256,0.0030030030030030463,0.0007000000000000001,0.1000000014901161
2020-09-01,157500,160000,157000,159000,112178,0.00952380952380949,0.0101,-0.2000000029802322
2020-09-02,159500,161500,159000,161500,110943,0.01572327044025168,0.0063,0.0
2020-09-10,179000,181000,174000,174500,405860,-0.01412429378531077,0.0087,0.0
2020-10-08,179000,179000,177000,177000,167018,-0.0028169014084507005,0.0021,0.0
2020-10-15,170500,171000,167500,167500,114400,-0.020467836257309968,-0.008100000000000001,0.2000000029802322
2020-10-19,174500,179000,173500,174000,163333,0.0028818443804035088,0.0022,0.0
2020-10-20,173500,176000,171500,176000,155443,0.011494252873563315,0.005,-0.1000000014901161
2020-10-22,174500,175500,171500,174000,117001,-0.008547008547008517,-0.0067,0.0
2020-10-23,176000,176000,172500,172500,105009,-0.008620689655172376,0.0024,0.1000000014901161
2020-10-23,176000,176000,172500,172500,105009,-0.008620689655172376,0.0024,0.0
