Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,126000,128000,125500,126500,540197,0.01200000000000001,-0.0102,0.0
2020-01-03,128500,129000,127000,127500,573710,0.007905138339920903,0.0006,0.3000000119209289
2020-01-06,125000,127500,124500,127500,675565,0.0,-0.0098,0.0
2020-01-07,128000,128500,127000,128000,483309,0.0039215686274509665,0.0095,0.0
2020-01-08,126500,127000,122000,125000,1060974,-0.0234375,-0.0111,0.0
2020-01-09,128000,132000,127500,132000,1402192,0.05600000000000005,0.0163,0.033333333830038704
2020-01-10,133500,135000,132000,132500,692859,0.0037878787878788955,0.0091,0.0
2020-01-13,131500,134500,131500,134500,483706,0.015094339622641506,0.0104,0.033333333830038704
2020-01-14,135500,138500,134500,135500,1036106,0.0074349442379182396,0.0043,0.1000000014901161
2020-01-15,135500,135500,133000,133500,668967,-0.014760147601476037,-0.0034999999999999996,0.0
2020-01-16,133000,134000,131500,133000,645743,-0.0037453183520599342,0.0077,0.1000000014901161
2020-01-17,134500,136500,134000,134500,435027,0.011278195488721776,0.0011,0.15000000223517415
2020-01-20,135500,137500,134500,136500,481037,0.014869888475836479,0.0054,0.13333333532015482
2020-01-21,136500,137000,133000,133500,437663,-0.02197802197802201,-0.0101,0.08750000130385159
2020-01-22,133500,137000,133000,137000,478121,0.02621722846441954,0.0123,0.18000000417232512
2020-01-23,136000,137500,133500,134500,415411,-0.018248175182481785,-0.009300000000000001,0.0
2020-01-28,128500,131500,128500,131000,794118,-0.026022304832713727,-0.030899999999999997,0.025000000372529026
2020-01-29,132500,134000,130000,132500,713120,0.011450381679389388,0.0039000000000000003,0.25000000745058054
2020-01-30,132000,133000,125000,126000,1115743,-0.049056603773584895,-0.0171,0.0
2020-01-31,126000,129500,125000,125000,887907,-0.007936507936507908,-0.013500000000000002,0.1000000014901161
2020-02-03,122000,126000,120500,125000,844406,0.0,-0.0001,0.0
2020-02-04,127000,134000,126500,134000,1124528,0.07200000000000006,0.0184,0.0
2020-02-05,137500,137500,130000,131000,967323,-0.02238805970149249,0.0036,0.0
2020-02-06,132500,136500,132000,135500,706088,0.03435114503816794,0.0288,0.0
2020-02-07,134500,135500,132500,134000,467455,-0.011070110701106972,-0.0072,0.07500000111758708
2020-02-10,131500,134500,130500,133000,381534,-0.007462686567164201,-0.0049,0.1000000014901161
2020-02-11,134000,141500,133500,141000,1510533,0.06015037593984962,0.01,0.0
2020-02-12,141000,144000,139500,142500,814274,0.010638297872340496,0.0069,0.0
2020-02-13,144500,146500,141500,142500,979192,0.0,-0.0024,0.06666666766007741
2020-02-14,143500,144000,141500,142500,458841,0.0,0.0048,0.12500000186264512
2020-02-17,143500,147500,143000,146000,565335,0.024561403508772006,-0.0006,0.0
2020-02-18,145500,148000,144000,145500,766754,-0.003424657534246589,-0.0148,-0.033333333830038704
2020-02-19,147000,148500,144000,146000,750365,0.0034364261168384758,0.0007000000000000001,0.2000000029802322
2020-02-20,146500,148000,145000,145500,566418,-0.003424657534246589,-0.0067,0.0
2020-02-21,144000,146000,143000,143500,588887,-0.013745704467353903,-0.0149,0.1000000014901161
2020-02-24,139000,142000,137500,138500,1101194,-0.03484320557491294,-0.0387,0.0
