Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-08,6738,6748,6512,6541,4107815,-0.03354018912529555,-0.0111,0.0
2020-01-08,6738,6748,6512,6541,4107815,-0.03354018912529555,-0.0111,0.0
2020-01-09,6663,6729,6625,6731,2403232,0.02904754624675121,0.0163,0.0
2020-01-09,6663,6729,6625,6731,2403232,0.02904754624675121,0.0163,0.0
2020-01-14,7078,7097,6984,6995,2831867,-0.007942135867252897,0.0043,0.0
2020-01-16,7116,7125,6975,6985,2670373,-0.01202263083451205,0.0077,-0.1000000014901161
2020-01-22,6880,6928,6852,6909,1285297,0.00670260818883861,0.0123,0.0
2020-01-23,6852,6889,6748,6759,2379774,-0.021710811984368195,-0.009300000000000001,0.2000000029802322
2020-01-30,6484,6560,6361,6409,2657672,-0.010193050193050168,-0.0171,0.1000000014901161
2020-01-30,6484,6560,6361,6409,2657672,-0.010193050193050168,-0.0171,0.0
2020-01-30,6484,6560,6361,6409,2657672,-0.010193050193050168,-0.0171,0.0
2020-01-30,6484,6560,6361,6409,2657672,-0.010193050193050168,-0.0171,0.1000000014901161
2020-01-30,6484,6560,6361,6409,2657672,-0.010193050193050168,-0.0171,0.0
2020-01-30,6484,6560,6361,6409,2657672,-0.010193050193050168,-0.0171,0.1000000014901161
2020-01-30,6484,6560,6361,6409,2657672,-0.010193050193050168,-0.0171,0.0
2020-01-31,6408,6465,6276,6277,2803150,-0.020596036823217312,-0.013500000000000002,0.1000000014901161
2020-01-31,6408,6465,6276,6277,2803150,-0.020596036823217312,-0.013500000000000002,0.1000000014901161
2020-01-31,6408,6465,6276,6277,2803150,-0.020596036823217312,-0.013500000000000002,0.0
2020-01-31,6408,6465,6276,6277,2803150,-0.020596036823217312,-0.013500000000000002,0.1000000014901161
2020-02-04,6210,6210,6097,6154,5407508,-0.009177266140718121,0.0184,-0.1000000014901161
2020-02-04,6210,6210,6097,6154,5407508,-0.009177266140718121,0.0184,0.1000000014901161
2020-02-07,6437,6550,6257,6305,4159674,-0.024748646558391374,-0.0072,0.0
2020-02-12,6437,6502,6361,6428,2995300,0.007365616674502418,0.0069,0.2000000029802322
2020-02-12,6437,6502,6361,6428,2995300,0.007365616674502418,0.0069,0.4000000059604645
2020-02-13,6446,6456,6294,6305,3077646,-0.019135034225264413,-0.0024,0.1000000014901161
2020-02-14,6314,6352,6257,6287,1865993,-0.0028548770816811952,0.0048,0.2000000029802322
2020-02-14,6314,6352,6257,6287,1865993,-0.0028548770816811952,0.0048,0.2000000029802322
2020-02-17,6248,6333,6248,6268,1735780,-0.0030221091140448797,-0.0006,0.0
2020-02-18,6257,6333,6257,6287,1598612,0.0030312699425654177,-0.0148,0.2000000029802322
2020-02-18,6257,6333,6257,6287,1598612,0.0030312699425654177,-0.0148,0.3000000119209289
2020-02-26,5701,5898,5682,5833,2652557,0.0032679738562091387,-0.0128,0.0
2020-02-28,5662,5672,5474,5503,4615797,-0.04279005044355544,-0.033,0.0
2020-02-28,5662,5672,5474,5503,4615797,-0.04279005044355544,-0.033,0.0
2020-02-28,5662,5672,5474,5503,4615797,-0.04279005044355544,-0.033,0.0
2020-03-02,5493,5597,5474,5569,3044507,0.011993458113756184,0.0078000000000000005,0.1000000014901161
