Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,177742,179705,172832,176761,621826,-0.005524830795024305,-0.0102,0.0
2020-01-03,178232,179214,173814,174306,498043,-0.013888810314492406,0.0006,0.0
2020-01-06,170868,172340,169395,169887,575093,-0.025351967230043737,-0.0098,0.0
2020-01-07,171359,175778,170868,174797,457371,0.02890156398076371,0.0095,0.0
2020-01-08,171850,172831,167431,169887,891120,-0.02808972694039369,-0.0111,0.0
2020-01-09,174795,176268,171850,173815,519560,0.023121251184611058,0.0163,0.0
2020-01-10,175286,175286,171850,174306,431127,0.0028248425049621773,0.0091,0.0
2020-01-13,175778,177741,175287,176270,453131,0.011267540991130476,0.0104,0.1000000014901161
2020-01-14,176269,178232,173814,174797,506237,-0.008356498553355629,0.0043,0.0
2020-01-15,174795,175286,172832,173324,293546,-0.008426918082118151,-0.0034999999999999996,0.1000000014901161
2020-01-16,172832,183142,170868,177252,1272730,0.02266275876393342,0.0077,0.1000000014901161
2020-01-17,177250,177741,170868,171851,818082,-0.03047074222011603,0.0011,0.16666667163372037
2020-01-20,170868,171849,168904,169396,568512,-0.014285631157223366,0.0054,0.0
2020-01-21,170868,172340,169395,169396,413021,0.0,-0.0101,0.07500000111758708
2020-01-22,169395,173323,169395,173324,380522,0.02318826890835668,0.0123,0.1000000014901161
2020-01-23,174304,174304,170868,172342,349287,-0.005665689690983355,-0.009300000000000001,0.0
2020-01-28,167431,170376,166940,167432,677942,-0.028489863179027797,-0.030899999999999997,0.1000000014901161
2020-01-29,169395,169886,166940,167923,490096,0.0029325338047685445,0.0039000000000000003,0.0
2020-01-30,168903,169885,162521,163995,632053,-0.023391673564669535,-0.0171,0.0
2020-01-31,164977,168414,162031,162031,587953,-0.011975974877282858,-0.013500000000000002,0.1000000014901161
2020-02-03,159084,164485,157120,163504,682627,0.009090852984922737,-0.0001,0.0
2020-02-04,164485,166448,162030,164486,714181,0.006005969272923073,0.0184,0.0
2020-02-05,165959,166450,160558,161540,654917,-0.017910338873825093,0.0036,0.1000000014901161
2020-02-06,163012,170868,162521,169396,831467,0.04863191779125908,0.0288,0.0
2020-02-07,170376,170867,166940,168414,430732,-0.00579706722708917,-0.0072,0.0
2020-02-10,167922,172340,166449,169887,496142,0.008746303751469675,-0.0049,0.2000000029802322
