Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,82800,84100,80200,83200,120171,0.006045949214026569,-0.0102,0.0
2020-01-03,83600,85000,81800,82300,108725,-0.01081730769230771,0.0006,0.0
2020-01-06,80700,82700,80500,80800,69179,-0.018226002430133614,-0.0098,0.0
2020-01-07,82700,86800,81400,85700,197173,0.060643564356435586,0.0095,0.0
2020-01-08,84000,85900,83500,84200,112383,-0.017502917152858788,-0.0111,0.0
2020-01-09,84600,85900,83500,84200,110921,0.0,0.0163,0.0
2020-01-10,84300,86900,84300,86400,134236,0.026128266033254244,0.0091,0.0
2020-01-13,87100,92000,86600,90000,209911,0.04166666666666674,0.0104,0.0
2020-01-14,90300,92200,89100,90300,126386,0.0033333333333334103,0.0043,0.0
2020-01-15,90300,91900,89700,91000,108201,0.007751937984496138,-0.0034999999999999996,0.0
2020-01-16,90800,91800,90000,91600,125531,0.00659340659340657,0.0077,0.0
2020-01-17,91000,92700,90500,91200,75584,-0.004366812227074246,0.0011,0.0
2020-01-20,90600,91900,85400,86300,198397,-0.05372807017543857,0.0054,0.0
2020-01-21,86400,87400,84200,84800,148105,-0.017381228273464666,-0.0101,0.0
2020-01-22,85000,86100,83000,85800,142638,0.011792452830188704,0.0123,0.0
2020-01-23,85500,85500,82500,83200,153288,-0.030303030303030276,-0.009300000000000001,0.0
2020-01-28,77700,79900,76300,76800,251693,-0.07692307692307687,-0.030899999999999997,0.0
2020-01-29,77100,78600,75400,77400,135874,0.0078125,0.0039000000000000003,0.0
2020-01-30,76800,77400,73700,74000,101839,-0.043927648578811374,-0.0171,0.0
2020-01-31,74900,75400,71600,72200,150596,-0.024324324324324298,-0.013500000000000002,0.0
2020-02-03,69000,74400,69000,74000,197829,0.024930747922437657,-0.0001,0.0
2020-02-04,72600,74800,71500,74000,158468,0.0,0.0184,0.0
2020-02-05,74600,75200,67100,68500,419078,-0.07432432432432434,0.0036,0.0
2020-02-06,68700,70000,67000,69900,180360,0.020437956204379493,0.0288,0.0
2020-02-07,69100,69300,68300,69300,155161,-0.008583690987124415,-0.0072,0.0
2020-02-10,68100,69200,67300,69100,111360,-0.0028860028860029363,-0.0049,0.0
2020-02-11,69200,70600,68900,69600,124721,0.00723589001447178,0.01,0.0
2020-02-12,69400,72300,68600,71900,179226,0.03304597701149414,0.0069,0.0
2020-02-13,72000,73300,70800,71500,208732,-0.0055632823365785455,-0.0024,0.0
2020-02-14,71000,72500,70600,71800,72838,0.00419580419580412,0.0048,0.0
2020-02-17,72100,74000,71400,72800,112444,0.013927576601671321,-0.0006,0.0
2020-02-18,72100,73100,70900,71300,96596,-0.020604395604395642,-0.0148,0.0
2020-02-19,72300,72600,69600,70500,119896,-0.011220196353436185,0.0007000000000000001,0.0
2020-02-20,69900,71200,68300,68500,111358,-0.028368794326241176,-0.0067,0.0
2020-02-21,67500,69800,67000,67400,126276,-0.016058394160583966,-0.0149,0.0
2020-02-24,66100,66500,64200,64600,179160,-0.041543026706231445,-0.0387,0.0
2020-02-25,64500,67700,64100,66900,149713,0.035603715170278605,0.0118,0.0
2020-02-26,66100,66700,64800,65700,267036,-0.017937219730941756,-0.0128,0.0
2020-02-27,64700,67100,64600,65100,111545,-0.0091324200913242,-0.0105,0.0
2020-02-28,64200,64400,60900,62000,193127,-0.04761904761904767,-0.033,0.0
2020-03-02,62900,64200,61000,63400,164777,0.022580645161290214,0.0078000000000000005,0.0
2020-03-03,64400,64700,61500,61600,171409,-0.028391167192429068,0.0058,0.0
2020-03-04,61600,63500,61400,63000,104606,0.022727272727272707,0.022400000000000003,0.0
2020-03-05,63400,65000,62200,64500,223826,0.023809523809523725,0.0126,0.0
2020-03-06,63200,63800,62100,62800,74056,-0.02635658914728678,-0.0216,0.0
2020-03-09,61400,62300,60200,60500,109280,-0.0366242038216561,-0.04190000000000001,0.0
2020-03-10,60000,61900,59200,61200,173201,0.011570247933884392,0.0042,0.0
2020-03-11,60600,61400,57200,57700,249719,-0.05718954248366015,-0.0278,0.0
2020-03-12,57700,58200,53300,55100,312917,-0.045060658578856105,-0.0387,0.0
2020-03-13,49600,53000,48200,52600,328339,-0.04537205081669693,-0.034300000000000004,0.0
2020-03-16,52900,54600,49700,49950,203610,-0.050380228136882144,-0.0319,0.0
2020-03-17,48550,52700,48000,51500,260528,0.03103103103103111,-0.024700000000000003,0.0
2020-03-18,51100,55400,50600,51300,280024,-0.003883495145631022,-0.048600000000000004,0.0
2020-03-19,52300,53600,46250,48000,281988,-0.06432748538011701,-0.0839,0.0
2020-03-20,48150,49600,46050,49150,231976,0.023958333333333304,0.07440000000000001,0.0
2020-03-23,47000,47000,43500,43850,177304,-0.10783316378433372,-0.053399999999999996,0.0
2020-03-24,44450,47050,43950,46950,179382,0.07069555302166486,0.086,0.0
2020-03-25,48000,51800,47750,51800,263173,0.10330138445154424,0.058899999999999994,0.0
2020-03-26,52800,55000,51100,53600,224080,0.03474903474903468,-0.0109,0.0
2020-03-27,57000,57100,52600,54000,215580,0.00746268656716409,0.0187,0.0
2020-03-30,51300,54900,51200,54100,105362,0.0018518518518517713,-0.0004,0.0
2020-03-31,54600,55500,53400,55400,158026,0.02402957486136792,0.0219,0.0
2020-04-01,54100,55400,50100,50600,162390,-0.08664259927797835,-0.0394,0.0
2020-04-02,50300,53600,50200,52900,114545,0.045454545454545414,0.023399999999999997,0.0
2020-04-03,52100,52900,50500,51200,204545,-0.032136105860113395,0.0003,0.0
2020-04-06,51700,52800,51600,52800,229118,0.03125,0.0385,0.0
2020-04-07,54100,55300,53000,54100,217434,0.024621212121212155,0.0177,0.0
2020-04-08,54700,59900,54100,59200,485599,0.0942698706099816,-0.009000000000000001,0.0
2020-04-09,60900,62200,58300,59900,296511,0.011824324324324342,0.0161,0.0
2020-04-10,60000,60700,58200,60500,182905,0.01001669449081799,0.013300000000000001,0.0
2020-04-13,61000,61100,58600,60000,204855,-0.008264462809917328,-0.018799999999999997,0.0
2020-04-14,60700,61200,60000,60700,170399,0.011666666666666714,0.0172,0.0
2020-04-16,61000,61100,59600,60300,163962,-0.00658978583196046,-0.0,0.0
2020-04-17,61000,63700,61000,62500,232244,0.036484245439469376,0.030899999999999997,0.0
2020-04-20,62000,62800,60300,60600,175765,-0.030399999999999983,-0.0084,0.0
2020-04-21,60700,60800,56700,58700,255765,-0.031353135313531344,-0.01,0.0
2020-04-22,58100,58400,56900,58300,168003,-0.006814310051107331,0.0089,0.0
2020-04-23,58400,59400,58300,58500,158849,0.0034305317324185847,0.0098,0.0
2020-04-24,57700,58600,57100,57600,162137,-0.01538461538461533,-0.0134,0.0
2020-04-27,58000,58800,57700,58200,121829,0.01041666666666674,0.0179,0.0
2020-04-28,58200,60500,58100,58300,252601,0.0017182130584192379,0.0059,0.0
2020-04-29,58500,59000,57700,58100,225842,-0.0034305317324184736,0.006999999999999999,0.1000000014901161
2020-05-04,56000,57200,55200,56000,255958,-0.03614457831325302,-0.0268,0.0
2020-05-06,57000,57300,56300,56400,198918,0.0071428571428571175,0.0176,0.0
2020-05-07,55900,57200,55900,56900,223454,0.00886524822695045,-0.0001,0.0
2020-05-08,57700,58800,57600,57700,144397,0.014059753954305698,0.0089,0.0
2020-05-11,57500,57600,55900,56000,153839,-0.029462738301559765,-0.0054,0.0
2020-05-12,55900,56300,54300,54500,128198,-0.0267857142857143,-0.0068000000000000005,0.0
2020-05-13,53700,55100,53300,55100,116635,0.011009174311926495,0.0095,0.0
2020-05-14,55300,55400,54100,55000,118322,-0.001814882032667886,-0.008,0.0
2020-05-15,55100,55300,53800,55000,103626,0.0,0.0012,0.0
2020-05-18,55200,55300,54200,54700,77149,-0.00545454545454549,0.0051,0.0
2020-05-19,56100,58100,55300,57800,257532,0.05667276051188308,0.0225,0.0
