Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,106000,107500,103000,105500,92420,0.0,-0.0102,0.0
2020-01-03,105000,107000,104000,104000,49588,-0.014218009478673022,0.0006,0.0
2020-01-06,103500,107500,103500,105000,78843,0.009615384615384581,-0.0098,0.0
2020-01-07,105000,108000,105000,107000,67827,0.01904761904761898,0.0095,0.0
2020-01-08,105500,107500,104500,106500,65268,-0.004672897196261627,-0.0111,0.0
2020-01-09,105500,107000,104500,106000,89658,-0.0046948356807511304,0.0163,0.0
2020-01-10,105500,106500,104000,105500,64933,-0.004716981132075526,0.0091,0.0
2020-01-13,106500,112500,106000,110500,126239,0.04739336492891,0.0104,0.0
2020-01-14,112000,112500,110000,111500,82001,0.009049773755656076,0.0043,0.4000000059604645
2020-01-15,111000,113000,111000,112500,52397,0.008968609865470878,-0.0034999999999999996,0.2000000029802322
2020-01-16,112500,115000,111000,114500,86991,0.01777777777777767,0.0077,0.0
2020-01-17,114500,118500,113500,116500,113370,0.017467248908296984,0.0011,0.0
2020-01-20,116000,117000,113000,113000,79475,-0.030042918454935674,0.0054,0.05000000074505805
2020-01-21,113500,114000,109500,111000,86225,-0.017699115044247815,-0.0101,0.0
2020-01-22,110500,112500,109500,111500,54231,0.0045045045045044585,0.0123,0.0
2020-01-23,110000,110500,107000,108500,75764,-0.026905829596412523,-0.009300000000000001,0.3000000119209289
2020-01-28,104000,105000,101000,102500,161312,-0.055299539170506895,-0.030899999999999997,0.0
2020-01-29,103500,107500,102000,105500,128364,0.029268292682926855,0.0039000000000000003,0.0
2020-01-30,105500,107000,103500,104000,63360,-0.014218009478673022,-0.0171,0.11666666840513547
2020-01-31,105500,106000,102500,102500,111904,-0.014423076923076872,-0.013500000000000002,0.0
2020-02-03,103000,106000,102000,106000,107051,0.034146341463414664,-0.0001,0.0
2020-02-04,104500,106500,102500,103000,91835,-0.028301886792452824,0.0184,0.3000000119209289
2020-02-05,103500,105000,102000,103000,123436,0.0,0.0036,0.2750000096857547
2020-02-06,106000,109500,105000,109500,212644,0.06310679611650483,0.0288,0.15000000223517415
2020-02-07,109000,110000,107500,108500,85526,-0.0091324200913242,-0.0072,0.0
2020-02-10,107000,109000,106000,107000,74248,-0.01382488479262678,-0.0049,0.0
2020-02-11,107500,112000,107500,108500,128816,0.014018691588784993,0.01,0.0
2020-02-12,108500,111000,108500,110500,100942,0.018433179723502224,0.0069,0.0
2020-02-13,110500,112000,109500,110000,73377,-0.004524886877828038,-0.0024,0.0
2020-02-14,108500,109500,108000,108500,54337,-0.013636363636363669,0.0048,0.0
2020-02-17,109500,112000,108000,111000,72323,0.02304147465437789,-0.0006,0.0
2020-02-18,109500,109500,107500,107500,44815,-0.03153153153153154,-0.0148,0.0
2020-02-19,107500,109500,106500,108000,41823,0.0046511627906977715,0.0007000000000000001,0.15000000223517415
2020-02-20,107000,107500,102000,102500,161730,-0.05092592592592593,-0.0067,0.0
2020-02-21,102000,104500,102000,103500,63674,0.009756097560975618,-0.0149,0.0
2020-02-24,100500,101000,96200,96900,122362,-0.06376811594202902,-0.0387,0.1000000014901161
2020-02-25,99900,102500,98000,101000,126265,0.04231166150670784,0.0118,0.0
2020-02-26,100500,103000,99400,99900,98695,-0.0108910891089109,-0.0128,0.0
2020-02-27,99800,101500,97200,97300,79174,-0.026026026026025995,-0.0105,0.0
2020-02-28,97100,97700,93200,94300,111715,-0.03083247687564239,-0.033,0.0
2020-03-02,96400,96400,92800,94600,121980,0.0031813361611876534,0.0078000000000000005,0.0
2020-03-03,95200,96200,94000,94100,107741,-0.005285412262156397,0.0058,0.0
2020-03-04,94800,97700,94400,97100,118575,0.03188097768331555,0.022400000000000003,0.0
2020-03-05,96600,99500,96200,99200,70538,0.02162718846549949,0.0126,0.0
2020-03-06,96600,99600,96600,99000,66882,-0.0020161290322581182,-0.0216,0.0
2020-03-09,96200,97900,94900,96800,59158,-0.022222222222222254,-0.04190000000000001,0.0
2020-03-10,98000,101000,96100,101000,115635,0.04338842975206614,0.0042,0.2000000067055225
2020-03-11,98600,102000,98200,98800,93773,-0.0217821782178218,-0.0278,0.0
2020-03-12,100500,102000,94500,96600,149068,-0.022267206477732837,-0.0387,0.4000000059604645
2020-03-13,87600,101000,87300,96300,201424,-0.0031055900621117516,-0.034300000000000004,0.0
2020-03-16,98000,106000,98000,100500,191633,0.04361370716510904,-0.0319,0.0
2020-03-17,98900,109500,98900,105000,195308,0.04477611940298498,-0.024700000000000003,0.0
2020-03-18,104000,109000,102000,102000,117081,-0.02857142857142858,-0.048600000000000004,0.0
2020-03-19,103500,106500,99000,101500,190700,-0.004901960784313708,-0.0839,0.0
2020-03-20,103000,106000,98800,102000,172892,0.0049261083743843415,0.07440000000000001,0.0
2020-03-23,95600,98200,92100,94700,135945,-0.07156862745098036,-0.053399999999999996,0.5
2020-03-24,94500,100500,94100,97300,165357,0.02745512143611406,0.086,0.0
2020-03-25,99300,108500,98000,105500,200822,0.08427543679342242,0.058899999999999994,0.0
2020-03-26,104000,110500,102500,104500,141945,-0.009478672985781977,-0.0109,0.0
2020-03-27,109500,112000,106000,108500,142569,0.038277511961722466,0.0187,0.0
2020-03-30,106000,109500,103500,109000,126643,0.004608294930875667,-0.0004,0.0
2020-03-31,109000,117500,108000,115000,192613,0.05504587155963292,0.0219,0.0
2020-04-01,115000,118500,110000,110000,126300,-0.04347826086956519,-0.0394,0.0
2020-04-02,110000,115000,109000,114500,106172,0.040909090909091006,0.023399999999999997,0.0
2020-04-03,112000,119500,112000,118500,181299,0.03493449781659397,0.0003,0.0
2020-04-06,121000,126500,120000,121500,156115,0.025316455696202445,0.0385,0.0
2020-04-07,121000,121500,116500,119500,209088,-0.016460905349794275,0.0177,0.4000000059604645
2020-04-08,120000,123500,117500,120000,166785,0.004184100418409997,-0.009000000000000001,0.0
2020-04-09,121500,121500,112500,115000,236313,-0.04166666666666663,0.0161,0.0
2020-04-10,113500,114000,109500,113000,234004,-0.017391304347826098,0.013300000000000001,0.0
2020-04-13,112000,115000,112000,114000,110290,0.008849557522123908,-0.018799999999999997,0.0
2020-04-14,114500,122000,114000,119500,278329,0.04824561403508776,0.0172,0.0
2020-04-16,118500,121500,116500,119000,206127,-0.004184100418409997,-0.0,0.0
2020-04-17,119000,121000,116500,117500,156168,-0.012605042016806678,0.030899999999999997,0.0
2020-04-20,116500,119500,114500,114500,113624,-0.025531914893617058,-0.0084,0.0
2020-04-21,113500,116500,110500,112500,191325,-0.017467248908296984,-0.01,0.2000000029802322
2020-04-22,112000,119500,111000,118500,176746,0.05333333333333323,0.0089,0.25000000745058054
2020-04-23,117500,125500,117000,124500,246839,0.05063291139240511,0.0098,0.4000000059604645
2020-04-24,124500,126000,121000,121500,94082,-0.02409638554216864,-0.0134,0.2000000029802322
2020-04-27,122000,125000,119500,120500,99513,-0.008230452674897082,0.0179,0.15000000223517415
2020-04-28,121000,124500,119500,123000,78533,0.020746887966804906,0.0059,0.1000000014901161
2020-04-29,123500,124500,121500,124000,95109,0.008130081300812941,0.006999999999999999,0.0
2020-05-04,121000,123000,118500,121000,112199,-0.024193548387096753,-0.0268,0.0
2020-05-06,122000,125000,119500,123500,135758,0.02066115702479343,0.0176,0.3000000119209289
2020-05-07,126000,128000,122000,124000,146526,0.004048582995951344,-0.0001,0.3000000119209289
2020-05-08,125500,127500,123000,124000,104446,0.0,0.0089,0.0
2020-05-11,125500,125500,123000,123500,80729,-0.0040322580645161255,-0.0054,0.0
2020-05-12,125000,129500,124000,126000,164332,0.020242914979757165,-0.0068000000000000005,0.0
2020-05-13,125500,129500,125000,129500,109765,0.02777777777777768,0.0095,0.0
2020-05-14,129500,137000,127000,133500,167902,0.030888030888030826,-0.008,0.0
2020-05-15,138500,142000,134500,140000,202683,0.04868913857677892,0.0012,0.17500000633299348
2020-05-18,143000,150000,129500,129500,363838,-0.07499999999999996,0.0051,0.15000000596046445
2020-05-19,131500,132500,126500,128500,169977,-0.007722007722007707,0.0225,0.05000000074505805
2020-05-20,129500,133000,129000,131000,141671,0.01945525291828787,0.0046,-0.2000000029802322
2020-05-21,131000,131000,128000,129000,142466,-0.01526717557251911,0.0044,0.0
2020-05-22,130500,134500,129000,132500,144398,0.027131782945736482,-0.0141,0.0
2020-05-25,134500,140500,130500,140500,185784,0.060377358490566024,0.0124,0.0
2020-05-26,141000,141000,134000,134000,151862,-0.0462633451957295,0.0176,0.1000000014901161
2020-05-27,134000,134000,131500,132500,166604,-0.011194029850746245,0.0007000000000000001,0.1000000014901161
2020-05-28,132000,132500,129000,130000,133463,-0.018867924528301883,-0.0013,0.0
2020-05-29,130500,134000,129500,132000,155965,0.01538461538461533,0.0005,0.0
2020-06-01,132000,134000,130000,133000,96639,0.007575757575757569,0.0175,0.0
2020-06-02,131500,133500,130500,131500,66932,-0.011278195488721776,0.010700000000000001,0.025000000372529026
2020-06-03,132000,134000,129500,131000,144964,-0.0038022813688213253,0.0287,-0.1000000014901161
2020-06-04,131000,132000,127500,129500,132031,-0.011450381679389277,0.0019,0.0
2020-06-05,129500,132000,128000,130500,96342,0.007722007722007707,0.0143,0.05000000074505805
2020-06-08,131500,132500,128500,129500,87004,-0.007662835249042099,0.0011,0.0
2020-06-09,130500,131000,128000,130500,84454,0.007722007722007707,0.0021,0.0
2020-06-10,131000,135000,129500,134000,152451,0.026819923371647514,0.0031,0.0
2020-06-11,134000,139000,132500,136500,202550,0.018656716417910557,-0.0086,0.0
2020-06-12,135000,141000,131000,137500,182122,0.0073260073260073,-0.0204,0.0
2020-06-15,135000,138500,128000,128000,193045,-0.06909090909090909,-0.047599999999999996,0.3000000119209289
2020-06-16,130000,132500,128000,130000,185923,0.015625,0.0528,0.0
2020-06-17,132000,139000,131500,136500,242122,0.050000000000000044,0.0014000000000000002,0.0
2020-06-18,135000,136500,132500,134000,80689,-0.01831501831501836,-0.0034999999999999996,0.2000000029802322
2020-06-19,135500,136500,131500,134500,158326,0.003731343283582156,0.0037,0.1000000014901161
2020-06-22,132500,136000,132500,134500,105572,0.0,-0.0068000000000000005,0.0
2020-06-23,134500,138500,133000,137500,92149,0.02230483271375472,0.0021,0.0
2020-06-24,139000,140500,135000,137000,73609,-0.0036363636363636598,0.014199999999999999,0.0
2020-06-25,134500,136500,134000,134500,73647,-0.018248175182481785,-0.0227,0.0
2020-06-26,135000,137500,135000,137000,61238,0.018587360594795488,0.0105,0.0
2020-06-29,135000,139500,135000,139000,78342,0.014598540145985384,-0.019299999999999998,0.10000000521540639
2020-06-30,139500,139500,134000,134000,117300,-0.03597122302158273,0.0070999999999999995,0.0
2020-07-01,134000,138000,134000,136500,53685,0.018656716417910557,-0.0008,0.0
2020-07-02,136500,141000,135500,138000,74202,0.01098901098901095,0.013600000000000001,0.0
2020-07-03,137000,140500,136500,140000,91866,0.01449275362318847,0.008,0.15000000596046445
2020-07-06,141500,148500,139000,146500,114712,0.046428571428571486,0.0165,0.0
2020-07-07,148500,151500,143000,145500,215521,-0.0068259385665528916,-0.0109,0.0
2020-07-08,148500,153500,144500,146000,123290,0.0034364261168384758,-0.0024,0.0
2020-07-09,147500,153000,146000,150500,82067,0.03082191780821919,0.0042,0.2000000029802322
2020-07-10,150500,152500,146500,147000,83411,-0.023255813953488413,-0.008100000000000001,0.2000000029802322
2020-07-13,147500,149000,147000,147000,45442,0.0,0.0167,0.1000000014901161
2020-07-14,147000,147000,142000,143000,253639,-0.027210884353741527,-0.0011,0.05000000074505805
2020-07-15,145000,146500,134500,135000,295805,-0.05594405594405594,0.0084,0.0
2020-07-16,135500,139000,134000,137000,136376,0.014814814814814836,-0.008199999999999999,0.0
2020-07-17,136000,139000,136000,138000,83486,0.007299270072992803,0.008,0.0
2020-07-20,137000,138000,135500,136500,74965,-0.010869565217391353,-0.0014000000000000002,0.3000000119209289
2020-07-21,136500,139500,134500,139500,158541,0.0219780219780219,0.0139,0.0
2020-07-22,138500,139000,135000,135000,82568,-0.032258064516129004,-0.0001,0.0
2020-07-23,135000,135500,132500,134000,69098,-0.007407407407407418,-0.005600000000000001,0.4000000059604645
2020-07-24,133500,136000,132000,133000,83699,-0.007462686567164201,-0.0070999999999999995,0.0
2020-07-27,134000,134000,130500,132000,57193,-0.007518796992481258,0.0079,0.3500000089406967
2020-07-28,131500,136000,131000,134500,81639,0.018939393939394034,0.0176,0.2000000029802322
2020-07-29,133000,135000,132000,134000,73220,-0.0037174721189591198,0.0027,0.0
2020-07-30,133000,135500,132500,133500,60713,-0.003731343283582045,0.0017000000000000001,0.0
2020-07-31,133500,135500,132500,134000,72688,0.0037453183520599342,-0.0078000000000000005,0.0
2020-08-03,135000,136000,133500,135000,64089,0.00746268656716409,0.0007000000000000001,0.3000000119209289
2020-08-04,136000,137500,135000,137500,101972,0.0185185185185186,0.0129,0.2000000029802322
2020-08-05,138500,138500,136500,137500,45719,0.0,0.013999999999999999,0.0
2020-08-06,137000,140000,136000,140000,68386,0.018181818181818077,0.013300000000000001,0.0
2020-08-07,140500,149500,140000,145000,187113,0.03571428571428581,0.0039000000000000003,0.13333333780368167
2020-08-10,149000,150000,145500,146500,128193,0.010344827586206806,0.0148,0.1000000014901161
2020-08-11,145500,150500,143500,145000,100688,-0.010238907849829393,0.013500000000000002,0.3000000119209289
2020-08-12,147000,149500,144500,149500,77397,0.03103448275862064,0.005699999999999999,0.0
2020-08-13,150000,161000,148500,157500,180264,0.05351170568561869,0.0021,0.0
2020-08-14,157500,164500,156500,158000,105555,0.0031746031746031633,-0.0123,0.1000000014901161
2020-08-18,158000,163000,151000,151000,149539,-0.044303797468354444,-0.0246,0.0
2020-08-19,151500,156500,148000,152500,61630,0.009933774834437026,0.0052,0.0
2020-08-20,150000,154000,150000,151000,84627,-0.00983606557377048,-0.0366,0.3000000119209289
2020-08-21,150500,152000,148000,148000,79533,-0.019867549668874163,0.0134,0.0
2020-08-24,149000,152000,146500,150000,89742,0.013513513513513598,0.011000000000000001,0.2000000029802322
2020-08-25,149500,151000,146500,147500,64183,-0.01666666666666672,0.0158,0.1000000014901161
2020-08-26,146500,147000,143000,144000,70330,-0.023728813559321993,0.0011,0.0
2020-08-27,143500,146000,142000,143500,68656,-0.00347222222222221,-0.0105,0.0
2020-08-28,145500,146000,141000,143000,72614,-0.0034843205574912606,0.004,0.0
2020-08-31,144500,145500,140500,140500,100670,-0.0174825174825175,-0.011699999999999999,0.1000000014901161
2020-09-01,139500,142500,137000,139500,88677,-0.007117437722419906,0.0101,0.0
2020-09-02,141000,142000,138500,139000,52457,-0.0035842293906810374,0.0063,0.1000000014901161
2020-09-03,139000,140000,137000,137000,70776,-0.014388489208633115,0.013300000000000001,0.0
2020-09-04,135000,137500,134000,135000,83066,-0.014598540145985384,-0.0115,0.0
2020-09-07,135000,136500,134500,135000,71076,0.0,0.0067,0.1000000014901161
2020-09-08,135500,140500,135500,138000,77258,0.022222222222222143,0.0074,0.0
2020-09-09,139500,141500,136000,137000,151659,-0.007246376811594235,-0.0109,0.0
2020-09-10,137000,141500,137000,139000,79052,0.014598540145985384,0.0087,0.2000000029802322
2020-09-11,138000,141000,138000,140500,46067,0.010791366906474753,0.0001,0.25000000745058054
2020-09-14,140000,140000,137000,138000,89256,-0.017793594306049876,0.013000000000000001,0.0
2020-09-15,136500,139500,135000,139000,97332,0.007246376811594235,0.006500000000000001,0.0
2020-09-16,138000,146000,138000,140000,183587,0.007194244604316502,-0.0031,0.1000000014901161
2020-09-17,141500,149500,140500,147000,212246,0.050000000000000044,-0.012199999999999999,0.0
2020-09-18,147500,151500,147000,150000,171937,0.020408163265306145,0.0026,0.1000000014901161
2020-09-21,148000,149500,145000,146000,67003,-0.026666666666666616,-0.0095,0.0
2020-09-22,146500,147000,136000,137000,115557,-0.06164383561643838,-0.023799999999999998,0.0
2020-09-23,136000,137000,134000,134000,76709,-0.021897810218978075,0.0003,0.0
2020-09-24,132500,132500,128000,128000,87342,-0.04477611940298509,-0.0259,0.5
2020-09-25,128500,130500,125000,128000,102850,0.0,0.0027,0.0
2020-09-28,129500,134000,129000,133000,50181,0.0390625,0.0129,0.0
2020-09-29,133000,134500,130500,131000,80408,-0.015037593984962405,0.0086,0.1000000014901161
2020-10-05,133500,134000,131500,133500,96328,0.01908396946564883,0.0129,0.0
2020-10-06,133500,135500,132500,134000,70049,0.0037453183520599342,0.0034000000000000002,0.0
2020-10-07,135500,136000,131500,132000,160191,-0.014925373134328401,0.0089,0.3000000119209289
2020-10-08,133000,133500,129000,130000,223456,-0.015151515151515138,0.0021,0.0
2020-10-12,130500,130500,128000,128000,244898,-0.01538461538461533,0.0049,0.0
2020-10-13,129000,130500,127500,129000,72846,0.0078125,-0.0002,0.0
2020-10-14,129000,130500,127500,128000,67534,-0.007751937984496138,-0.009399999999999999,0.0
2020-10-15,127500,131500,126500,128000,127066,0.0,-0.008100000000000001,0.3000000119209289
2020-10-16,130000,130000,126500,126500,93601,-0.01171875,-0.0083,0.0
2020-10-19,128500,130000,127000,128500,442540,0.015810276679841806,0.0022,0.0
2020-10-20,128500,130500,126500,129000,72216,0.0038910505836575737,0.005,0.0
2020-10-21,128500,129000,127000,127000,68368,-0.015503875968992276,0.0053,0.0
2020-10-22,127000,127000,124000,124000,68212,-0.023622047244094446,-0.0067,0.2000000029802322
2020-10-23,125000,125500,122500,123000,71374,-0.008064516129032251,0.0024,0.1000000014901161
2020-10-26,122500,122500,118500,118500,81053,-0.03658536585365857,-0.0072,0.0
2020-10-27,117000,119000,115500,116000,154299,-0.021097046413502074,-0.005600000000000001,0.3000000119209289
2020-10-28,115000,117000,114500,115500,155103,-0.004310344827586188,0.0062,0.2000000067055225
2020-10-29,114500,118500,113500,116000,158602,0.0043290043290042934,-0.0079,0.2000000029802322
2020-10-30,115000,115000,108000,108500,217014,-0.06465517241379315,-0.0256,0.1000000014901161
2020-11-02,110000,112500,110000,111000,138332,0.02304147465437789,0.0146,0.0
2020-11-03,111000,113500,110000,113000,92214,0.018018018018018056,0.018799999999999997,0.1000000014901161
2020-11-04,114500,120000,114000,118000,181830,0.04424778761061954,0.006,0.0
2020-11-05,119000,120000,115500,120000,123863,0.016949152542372836,0.024,0.0
2020-11-06,119000,121000,117000,117500,92831,-0.02083333333333337,0.0011,0.0
2020-11-09,118500,122500,118500,120000,108717,0.02127659574468077,0.0127,0.0
2020-11-10,121000,122500,116500,117000,175243,-0.025000000000000022,0.0023,0.0
2020-11-11,117000,118000,113000,116000,199842,-0.008547008547008517,0.013500000000000002,0.0
2020-11-12,116500,117000,115000,116000,190473,0.0,-0.0040999999999999995,0.2000000029802322
2020-11-13,115000,116000,111000,112500,302462,-0.030172413793103425,0.0074,0.0
2020-11-16,113500,116000,112000,112500,259496,0.0,0.0197,0.4000000059604645
2020-11-17,113000,115000,111000,114000,242384,0.01333333333333342,-0.0015,0.0
2020-11-18,115000,125500,115000,124000,448569,0.08771929824561409,0.0026,0.25000000745058054
