Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,45357,45357,44113,44305,31296,-0.021143564137687254,-0.0102,0.1000000014901161
2020-01-02,45357,45357,44113,44305,31296,-0.021143564137687254,-0.0102,0.2000000029802322
2020-01-13,44592,44783,44305,44688,27374,0.006463818382468789,0.0104,0.1000000014901161
2020-01-16,44018,44305,43635,44305,25618,0.0,0.0077,0.1000000014901161
2020-01-22,44209,44401,43731,44018,21659,0.0,0.0123,0.2000000029802322
2020-01-23,43826,43826,43444,43444,25681,-0.01304011995092913,-0.009300000000000001,0.0
2020-01-30,43061,43444,42487,42583,26128,-0.011100531803720282,-0.0171,-0.1000000014901161
2020-02-03,40764,42104,40764,41626,45896,-0.002300944345908662,-0.0001,0.1000000014901161
2020-02-10,43252,43539,42965,43253,19525,-0.008777156476303949,-0.0049,0.2000000029802322
2020-02-21,41625,41913,40860,40860,44739,-0.02954588637659128,-0.0149,0.1000000014901161
2020-02-27,41051,41913,40573,41435,57995,0.023642472454172614,-0.0105,0.1000000014901161
2020-02-27,41051,41913,40573,41435,57995,0.023642472454172614,-0.0105,0.2000000029802322
2020-03-03,42582,43635,42486,43348,72635,0.017964915576638596,0.0058,0.2000000029802322
2020-03-11,44495,44688,42965,43444,65185,-0.025744528166487313,-0.0278,0.0
2020-03-13,37798,41243,37511,39808,103445,-0.02803008106260374,-0.034300000000000004,0.1000000014901161
2020-03-20,38181,38468,37128,38277,76558,0.02828820116054165,0.07440000000000001,0.1000000014901161
2020-03-24,37702,38563,37415,38372,53960,0.02818863879957134,0.086,0.2000000029802322
2020-03-27,39903,48994,39425,42679,555567,0.09853028236081429,0.0187,0.2000000029802322
2020-03-27,39903,48994,39425,42679,555567,0.09853028236081429,0.0187,-0.2000000029802322
2020-03-30,42200,43635,41147,42679,122325,0.0,-0.0004,-0.2000000029802322
2020-03-31,43444,43922,42391,43827,145657,0.02689847465966877,0.0219,0.0
2020-03-31,43444,43922,42391,43827,145657,0.02689847465966877,0.0219,0.0
2020-04-01,44783,46984,42774,42966,195574,-0.01964542405366554,-0.0394,0.1000000014901161
2020-04-01,44783,46984,42774,42966,195574,-0.01964542405366554,-0.0394,0.2000000029802322
2020-04-01,44783,46984,42774,42966,195574,-0.01964542405366554,-0.0394,0.3000000119209289
2020-04-06,0,0,0,42966,0,0.0,0.0385,0.1000000014901161
2020-04-10,47845,47845,45645,46458,712604,-0.009191921346157983,0.013300000000000001,0.2000000029802322
2020-04-27,45166,45214,44640,44736,262739,-0.004251341064393399,0.0179,0.2000000029802322
2020-04-27,45166,45214,44640,44736,262739,-0.004251341064393399,0.0179,0.0
2020-04-27,45166,45214,44640,44736,262739,-0.004251341064393399,0.0179,0.1000000014901161
2020-04-29,44879,45118,44544,45119,320172,0.01181826336562608,0.006999999999999999,0.2000000029802322
2020-05-06,44975,45023,44496,44927,228405,0.012941627398372235,0.0176,0.1000000014901161
2020-05-12,50142,50238,48420,48803,646714,-0.0192323151125402,-0.0068000000000000005,0.3000000119209289
2020-05-20,49664,51003,49568,49664,576266,-0.005745630718103745,0.0046,0.1000000014901161
2020-05-21,49664,50142,49089,50047,539296,0.007711823453608213,0.0044,0.2000000029802322
2020-05-21,49664,50142,49089,50047,539296,0.007711823453608213,0.0044,0.2000000029802322
2020-05-21,49664,50142,49089,50047,539296,0.007711823453608213,0.0044,0.3000000119209289
2020-06-08,49855,58850,49185,54544,5974675,0.10038734667527427,0.0011,0.2000000029802322
2020-06-12,50812,53587,50716,52631,878967,-0.01784014779704035,-0.0204,0.1000000014901161
2020-06-12,50812,53587,50716,52631,878967,-0.01784014779704035,-0.0204,0.1000000014901161
2020-06-15,53013,54353,49377,49377,1326801,-0.06182668009348102,-0.047599999999999996,0.1000000014901161
2020-06-19,52152,52439,50812,51674,432473,0.0,0.0037,0.0
2020-06-19,52152,52439,50812,51674,432473,0.0,0.0037,0.3000000119209289
2020-06-26,50046,50238,49089,49760,348660,-0.0019055260254738915,0.0105,0.1000000014901161
2020-06-26,50046,50238,49089,49760,348660,-0.0019055260254738915,0.0105,0.3000000119209289
2020-06-26,50046,50238,49089,49760,348660,-0.0019055260254738915,0.0105,0.2000000029802322
2020-06-26,50046,50238,49089,49760,348660,-0.0019055260254738915,0.0105,0.3000000119209289
2020-06-30,48802,48898,48324,48420,307974,0.001986590514030384,0.0070999999999999995,0.1000000014901161
2020-06-30,48802,48898,48324,48420,307974,0.001986590514030384,0.0070999999999999995,0.0
2020-07-01,48994,50716,48515,49760,470857,0.02767451466336235,-0.0008,0.1000000014901161
2020-07-01,48994,50716,48515,49760,470857,0.02767451466336235,-0.0008,0.1000000014901161
2020-07-02,50621,50716,49472,49951,234286,0.0038384244372990928,0.013600000000000001,0.2000000029802322
2020-07-14,49377,50908,48994,49568,471753,0.00973721735587696,-0.0011,-0.1000000014901161
2020-07-21,49185,49951,48994,49377,590682,0.011761572034506118,0.0139,0.1000000014901161
2020-07-27,55214,56745,53204,54257,2184663,0.0035327192690415288,0.0079,0.0
