Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,128000,128000,125500,125500,103554,-0.015686274509803977,-0.0102,0.1000000014901161
2020-01-02,128000,128000,125500,125500,103554,-0.015686274509803977,-0.0102,0.3000000119209289
2020-01-02,128000,128000,125500,125500,103554,-0.015686274509803977,-0.0102,0.0
2020-01-02,128000,128000,125500,125500,103554,-0.015686274509803977,-0.0102,0.3000000119209289
2020-01-02,128000,128000,125500,125500,103554,-0.015686274509803977,-0.0102,0.2000000029802322
2020-01-02,128000,128000,125500,125500,103554,-0.015686274509803977,-0.0102,0.3000000119209289
2020-01-02,128000,128000,125500,125500,103554,-0.015686274509803977,-0.0102,0.1000000014901161
2020-01-03,126000,126500,122500,122500,169434,-0.0239043824701195,0.0006,0.3000000119209289
2020-01-03,126000,126500,122500,122500,169434,-0.0239043824701195,0.0006,0.1000000014901161
2020-01-03,126000,126500,122500,122500,169434,-0.0239043824701195,0.0006,0.0
2020-01-06,121500,122500,118500,120000,176765,-0.020408163265306145,-0.0098,0.3000000119209289
2020-01-06,121500,122500,118500,120000,176765,-0.020408163265306145,-0.0098,0.4000000059604645
2020-01-06,121500,122500,118500,120000,176765,-0.020408163265306145,-0.0098,0.0
2020-01-06,121500,122500,118500,120000,176765,-0.020408163265306145,-0.0098,0.2000000029802322
2020-01-07,120500,121500,119500,121000,138060,0.008333333333333304,0.0095,0.3000000119209289
2020-01-07,120500,121500,119500,121000,138060,0.008333333333333304,0.0095,0.3000000119209289
2020-01-07,120500,121500,119500,121000,138060,0.008333333333333304,0.0095,0.5
2020-01-07,120500,121500,119500,121000,138060,0.008333333333333304,0.0095,0.4000000059604645
2020-01-07,120500,121500,119500,121000,138060,0.008333333333333304,0.0095,0.2000000029802322
2020-01-08,120500,120500,116500,118000,280257,-0.024793388429752095,-0.0111,0.2000000029802322
2020-01-08,120500,120500,116500,118000,280257,-0.024793388429752095,-0.0111,0.1000000014901161
2020-01-09,119000,120500,118500,120000,212498,0.016949152542372836,0.0163,0.3000000119209289
2020-01-09,119000,120500,118500,120000,212498,0.016949152542372836,0.0163,0.4000000059604645
2020-01-09,119000,120500,118500,120000,212498,0.016949152542372836,0.0163,0.2000000029802322
2020-01-09,119000,120500,118500,120000,212498,0.016949152542372836,0.0163,0.1000000014901161
2020-01-10,119500,121000,118500,119500,269884,-0.004166666666666652,0.0091,0.3000000119209289
2020-01-10,119500,121000,118500,119500,269884,-0.004166666666666652,0.0091,0.1000000014901161
2020-01-13,119500,121000,118500,120000,211358,0.004184100418409997,0.0104,0.0
2020-01-14,121000,125000,120500,124000,195645,0.03333333333333344,0.0043,0.3000000119209289
2020-01-14,121000,125000,120500,124000,195645,0.03333333333333344,0.0043,0.2000000029802322
2020-01-14,121000,125000,120500,124000,195645,0.03333333333333344,0.0043,0.2000000029802322
2020-01-15,123500,125500,122000,123500,212637,-0.0040322580645161255,-0.0034999999999999996,0.3000000119209289
2020-01-15,123500,125500,122000,123500,212637,-0.0040322580645161255,-0.0034999999999999996,0.0
2020-01-15,123500,125500,122000,123500,212637,-0.0040322580645161255,-0.0034999999999999996,0.4000000059604645
2020-01-15,123500,125500,122000,123500,212637,-0.0040322580645161255,-0.0034999999999999996,0.3000000119209289
2020-01-16,123000,124000,121500,122000,242299,-0.012145748987854255,0.0077,0.0
2020-01-16,123000,124000,121500,122000,242299,-0.012145748987854255,0.0077,0.1000000014901161
2020-01-17,122000,123000,120500,121000,210911,-0.008196721311475419,0.0011,0.1000000014901161
2020-01-17,122000,123000,120500,121000,210911,-0.008196721311475419,0.0011,0.2000000029802322
2020-01-17,122000,123000,120500,121000,210911,-0.008196721311475419,0.0011,0.1000000014901161
2020-01-17,122000,123000,120500,121000,210911,-0.008196721311475419,0.0011,0.0
2020-01-20,121000,121500,119500,120500,207641,-0.004132231404958664,0.0054,0.4000000059604645
2020-01-21,120500,121000,118500,119000,221720,-0.012448132780082943,-0.0101,0.1000000014901161
2020-01-21,120500,121000,118500,119000,221720,-0.012448132780082943,-0.0101,0.2000000029802322
2020-01-21,120500,121000,118500,119000,221720,-0.012448132780082943,-0.0101,0.2000000029802322
2020-01-21,120500,121000,118500,119000,221720,-0.012448132780082943,-0.0101,0.4000000059604645
2020-01-21,120500,121000,118500,119000,221720,-0.012448132780082943,-0.0101,0.3000000119209289
