Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,36450,36650,35900,35950,1028130,-0.0257452574525745,-0.0102,0.15000000596046445
2020-01-03,36200,36550,35950,36200,820710,0.006954102920723182,0.0006,0.0
2020-01-06,35800,36250,35300,35450,712446,-0.02071823204419887,-0.0098,0.2000000029802322
2020-01-07,35300,35700,35150,35550,857889,0.0028208744710860323,0.0095,-0.2000000029802322
2020-01-08,35000,35050,34450,34950,1250712,-0.016877637130801704,-0.0111,-0.2000000029802322
2020-01-09,35000,35700,34800,35050,1219458,0.0028612303290413976,0.0163,0.0
2020-01-10,35200,35400,34650,34950,846935,-0.0028530670470755526,0.0091,0.0
2020-01-13,35000,35050,34350,34750,907965,-0.005722460658083017,0.0104,0.0
2020-01-14,34800,35400,34500,35300,1046458,0.015827338129496438,0.0043,0.0
2020-01-15,35150,35400,34750,35350,603632,0.0014164305949009304,-0.0034999999999999996,-0.1000000014901161
2020-01-16,35200,35350,34750,35350,617259,0.0,0.0077,0.0
2020-01-17,35000,35350,34850,35150,1325575,-0.005657708628005631,0.0011,0.0
2020-01-20,35100,35450,34750,35100,627896,-0.0014224751066855834,0.0054,0.0
2020-01-21,35150,35400,34950,35250,632903,0.004273504273504258,-0.0101,0.0
2020-01-22,35400,35400,34950,35050,478666,-0.005673758865248235,0.0123,0.0
2020-01-23,34750,35200,34650,35100,805879,0.0014265335235377208,-0.009300000000000001,0.0
2020-01-28,34400,34950,33450,33850,936529,-0.035612535612535634,-0.030899999999999997,0.0
2020-01-29,33850,33900,33300,33450,886261,-0.011816838995568735,0.0039000000000000003,0.0
2020-01-30,33500,33800,33100,33450,882566,0.0,-0.0171,-0.1000000014901161
2020-01-31,33750,33750,33150,33200,961134,-0.007473841554558991,-0.013500000000000002,-0.2000000029802322
2020-02-03,33200,33400,32600,33200,897198,0.0,-0.0001,0.0
2020-02-04,33250,33600,32900,33400,886767,0.006024096385542244,0.0184,0.3000000119209289
2020-02-05,34100,34650,33950,34300,1421072,0.026946107784431073,0.0036,0.0
2020-02-06,34700,34900,34000,34900,1113193,0.017492711370262315,0.0288,0.0
2020-02-07,34800,35000,34000,34500,960466,-0.011461318051575908,-0.0072,0.15000000223517415
2020-02-10,34000,34150,33550,34000,803813,-0.01449275362318836,-0.0049,0.2000000029802322
2020-02-11,34050,34600,33700,34300,680713,0.008823529411764675,0.01,0.0
2020-02-12,34300,35600,34050,35500,1671181,0.03498542274052485,0.0069,0.0
2020-02-13,35050,35300,34250,34300,877574,-0.033802816901408406,-0.0024,0.0
2020-02-14,34050,34600,33900,33900,683324,-0.011661807580174877,0.0048,0.0
2020-02-17,34050,34100,33100,33350,954605,-0.016224188790560423,-0.0006,0.0
2020-02-18,33150,33650,32950,33300,682496,-0.0014992503748125774,-0.0148,0.1000000014901161
2020-02-19,33550,33550,32850,33050,877994,-0.007507507507507505,0.0007000000000000001,0.0
2020-02-20,32900,33200,32600,32900,875740,-0.004538577912254205,-0.0067,0.0
2020-02-21,32500,32900,32100,32900,1279195,0.0,-0.0149,0.0
2020-02-24,32200,32450,31500,31650,1256739,-0.037993920972644424,-0.0387,0.0
2020-02-25,31600,32000,31200,31600,1340521,-0.0015797788309637184,0.0118,0.0
2020-02-26,31150,31750,31050,31400,1203535,-0.006329113924050667,-0.0128,0.1000000014901161
2020-02-27,31150,32000,31150,31800,1074674,0.01273885350318471,-0.0105,0.0
2020-02-28,31100,31400,31000,31400,1530184,-0.012578616352201255,-0.033,0.0
2020-03-02,31400,31700,30700,30750,1452864,-0.02070063694267521,0.0078000000000000005,0.0
2020-03-03,31000,31100,30100,30100,1639851,-0.021138211382113803,0.0058,0.0
2020-03-04,30100,30850,30000,30650,1350588,0.0182724252491695,0.022400000000000003,0.0
2020-03-05,30550,30650,30050,30200,1307321,-0.014681892332789603,0.0126,0.0
2020-03-06,30000,30100,29600,29850,1338163,-0.011589403973509937,-0.0216,-0.1000000014901161
2020-03-09,28800,28900,27600,27900,1581464,-0.0653266331658291,-0.04190000000000001,0.0
2020-03-10,27800,28050,27450,27600,1367485,-0.010752688172043001,0.0042,0.0
2020-03-11,27600,28250,27000,27350,2114331,-0.009057971014492794,-0.0278,0.0
2020-03-12,26750,26850,24950,24950,3230934,-0.08775137111517373,-0.0387,0.0
2020-03-13,22500,24450,22450,24100,2526089,-0.034068136272545124,-0.034300000000000004,0.0
2020-03-16,23900,24800,23400,23400,2063144,-0.02904564315352698,-0.0319,0.0
2020-03-17,22050,22650,21000,21200,3142301,-0.09401709401709402,-0.024700000000000003,0.0
2020-03-18,21100,22650,20700,21200,2885812,0.0,-0.048600000000000004,0.0
2020-03-19,21000,21550,18550,18550,2790246,-0.125,-0.0839,-0.2000000029802322
2020-03-20,19150,20650,18450,20650,3413303,0.1132075471698113,0.07440000000000001,-0.1000000014901161
2020-03-23,18750,19150,18450,18450,2660270,-0.10653753026634383,-0.053399999999999996,0.0
2020-03-24,19000,19450,18600,19200,3296990,0.04065040650406515,0.086,0.0
2020-03-25,20500,22150,19900,21200,4994511,0.10416666666666674,0.058899999999999994,0.0
2020-03-26,21850,23350,21000,21900,5086061,0.03301886792452824,-0.0109,0.0
2020-03-27,23700,24350,22600,23750,3537522,0.08447488584474883,0.0187,0.0
2020-03-30,22500,23350,21950,23000,3182402,-0.03157894736842104,-0.0004,0.0
2020-03-31,23550,24250,22800,23100,3033558,0.004347826086956497,0.0219,0.0
2020-04-01,22600,23450,21750,21850,2390120,-0.05411255411255411,-0.0394,0.0
2020-04-02,22200,22650,21350,22550,2043544,0.03203661327231111,0.023399999999999997,0.0
2020-04-03,22200,22850,22100,22400,1327828,-0.006651884700665134,0.0003,0.0
2020-04-06,22650,23800,22450,23800,1971860,0.0625,0.0385,0.05000000074505805
2020-04-07,24550,24800,23750,24350,2318081,0.02310924369747891,0.0177,0.1000000014901161
2020-04-08,24250,24350,23650,23700,2073841,-0.026694045174537995,-0.009000000000000001,0.0
2020-04-09,24250,24300,23650,23950,2001547,0.010548523206751037,0.0161,0.0
2020-04-10,24250,25550,24200,25300,2977354,0.056367432150313146,0.013300000000000001,0.0
2020-04-13,25350,25800,24550,24600,2052164,-0.02766798418972327,-0.018799999999999997,0.0
2020-04-14,24950,25100,24600,25000,1442934,0.016260162601626105,0.0172,0.0
2020-04-16,24150,24500,23650,24250,2790850,-0.030000000000000027,-0.0,0.0
2020-04-17,24500,25250,24500,24750,2651249,0.020618556701030855,0.030899999999999997,0.0
2020-04-20,25050,25050,24500,24550,1927694,-0.008080808080808133,-0.0084,0.0
2020-04-21,24250,24450,23400,23750,2865591,-0.03258655804480648,-0.01,0.0
2020-04-22,23350,23900,23000,23700,1729884,-0.002105263157894721,0.0089,0.0
2020-04-23,23650,23900,23500,23600,1344943,-0.00421940928270037,0.0098,0.0
2020-04-24,23350,23600,23150,23150,1225780,-0.01906779661016944,-0.0134,0.0
2020-04-27,24100,27050,24000,27050,6692821,0.16846652267818585,0.0179,0.0
2020-04-28,27850,29100,26850,27350,4762094,0.01109057301293892,0.0059,0.0
2020-04-29,27600,28600,27400,27600,2342476,0.009140767824497242,0.006999999999999999,0.1000000014901161
2020-05-04,26650,27150,26350,26350,2747849,-0.04528985507246375,-0.0268,0.033333333830038704
2020-05-06,27000,27100,26250,26350,1762468,0.0,0.0176,0.1000000014901161
2020-05-07,25950,26950,25850,26750,1691402,0.015180265654648917,-0.0001,0.0
2020-05-08,27200,27400,26550,26850,1560062,0.0037383177570093906,0.0089,0.0
2020-05-11,26850,27100,26200,26250,1299544,-0.022346368715083775,-0.0054,0.0
2020-05-12,26050,26250,25200,25400,1887089,-0.0323809523809524,-0.0068000000000000005,0.0
2020-05-13,25150,25800,24700,25800,1549424,0.015748031496062964,0.0095,0.0
2020-05-14,25350,25400,24600,24800,1968362,-0.03875968992248058,-0.008,0.0
2020-05-15,25500,25600,24850,25350,1463935,0.022177419354838745,0.0012,0.0
2020-05-18,25500,25500,24750,24900,1248668,-0.017751479289940808,0.0051,0.0
2020-05-19,26350,27200,26050,26100,3506962,0.04819277108433728,0.0225,0.0
2020-05-20,25900,26500,25650,26050,1626263,-0.0019157088122605526,0.0046,0.0
2020-05-21,26350,26500,25800,25900,1567601,-0.0057581573896353655,0.0044,0.0
2020-05-22,25950,25950,25000,25250,1481775,-0.025096525096525046,-0.0141,0.0
2020-05-25,25250,25750,24900,25600,1053276,0.013861386138613874,0.0124,0.0
2020-05-26,25600,26900,25500,26750,2522700,0.044921875,0.0176,0.0
2020-05-27,27500,27800,26850,27200,2357255,0.016822429906542036,0.0007000000000000001,0.0
2020-05-28,28250,29100,27850,28450,5036049,0.045955882352941124,-0.0013,0.0
2020-05-29,28300,29900,27850,29750,3900266,0.04569420035149374,0.0005,0.0
2020-06-01,29700,30200,29200,30100,2175290,0.0117647058823529,0.0175,0.10000000149011609
2020-06-02,30050,31700,29850,31600,2627730,0.04983388704318936,0.010700000000000001,0.0
2020-06-03,32000,32550,31600,32250,3563430,0.020569620253164667,0.0287,0.0
2020-06-04,32550,33350,30750,31250,3615734,-0.03100775193798455,0.0019,-0.1000000014901161
2020-06-05,30950,31450,30400,31250,1999273,0.0,0.0143,-0.1000000014901161
2020-06-08,31950,32000,30850,31050,1823759,-0.006399999999999961,0.0011,-0.1000000014901161
2020-06-09,30800,31500,30500,30900,1686944,-0.004830917874396157,0.0021,-0.1000000014901161
2020-06-10,30500,30650,29550,29650,3333691,-0.04045307443365698,0.0031,0.0
2020-06-11,29050,29300,28550,29000,3001698,-0.021922428330522714,-0.0086,0.0
2020-06-12,27150,28200,27150,27800,2502641,-0.04137931034482756,-0.0204,0.0
2020-06-15,27350,28250,26550,26550,2631725,-0.04496402877697847,-0.047599999999999996,0.0
2020-06-16,27250,28950,27250,28850,2368001,0.08662900188323919,0.0528,0.0
2020-06-17,28500,28600,27700,28250,1831602,-0.020797227036395194,0.0014000000000000002,0.0
2020-06-18,27700,28450,27550,28050,1902267,-0.0070796460176991705,-0.0034999999999999996,0.0
2020-06-19,28550,28600,27700,27850,1837207,-0.007130124777183555,0.0037,0.0
2020-06-22,27550,28150,27450,27450,1388639,-0.014362657091561926,-0.0068000000000000005,0.0
2020-06-23,27600,27850,26850,27150,1455314,-0.010928961748633892,0.0021,0.0
2020-06-24,27200,27950,27150,27650,1302508,0.018416206261510082,0.014199999999999999,0.0
2020-06-25,27150,27300,26800,26850,1118524,-0.02893309222423146,-0.0227,0.2000000029802322
2020-06-26,27600,27850,27250,27550,1236957,0.026070763500931182,0.0105,0.1000000014901161
2020-06-29,26750,26950,26400,26800,1219700,-0.02722323049001818,-0.019299999999999998,-0.1000000014901161
2020-06-30,27000,27350,26850,27000,1465986,0.00746268656716409,0.0070999999999999995,0.0
2020-07-01,27000,27600,26950,27300,1101229,0.011111111111111072,-0.0008,0.0
2020-07-02,27400,27550,27100,27250,919082,-0.001831501831501825,0.013600000000000001,0.0
2020-07-03,27450,27600,27150,27250,793889,0.0,0.008,0.0
2020-07-06,27300,27600,26700,27600,1453333,0.012844036697247763,0.0165,0.0
2020-07-07,27750,28100,27050,27100,1868278,-0.018115942028985477,-0.0109,0.0
2020-07-08,26900,27200,26800,26800,1070425,-0.011070110701106972,-0.0024,0.0
2020-07-09,26800,26950,26500,26500,1438669,-0.011194029850746245,0.0042,0.0
2020-07-10,26500,26500,25650,25750,1574122,-0.028301886792452824,-0.008100000000000001,0.0
2020-07-13,26250,27200,25950,27200,1447994,0.056310679611650594,0.0167,0.0
2020-07-14,27200,27400,26800,27400,1208861,0.007352941176470562,-0.0011,0.0
2020-07-15,27850,28300,27500,27800,1937812,0.014598540145985384,0.0084,0.0
2020-07-16,28050,28300,27750,28050,1376852,0.008992805755395628,-0.008199999999999999,0.0
2020-07-17,27900,28200,27750,28000,795349,-0.0017825311942959443,0.008,0.0
2020-07-20,28100,29550,27850,29550,2844468,0.05535714285714288,-0.0014000000000000002,0.0
2020-07-21,29800,30100,29050,29900,2598705,0.011844331641285955,0.0139,0.0
2020-07-22,30300,30600,28800,28900,2106286,-0.03344481605351168,-0.0001,0.0
2020-07-23,28650,28800,28200,28650,1236184,-0.00865051903114189,-0.005600000000000001,0.0
2020-07-24,29000,29400,28600,28850,2174768,0.00698080279232105,-0.0070999999999999995,0.2000000029802322
2020-07-27,28850,29450,28600,28750,1014520,-0.0034662045060658286,0.0079,0.0
2020-07-28,28750,28950,28250,28700,1765082,-0.0017391304347825765,0.0176,0.0
2020-07-29,28450,29700,28350,29700,1880761,0.03484320557491283,0.0027,0.0
2020-07-30,30050,30450,29800,30100,1990458,0.013468013468013407,0.0017000000000000001,0.0
2020-07-31,30050,30300,29500,29500,1194365,-0.019933554817275767,-0.0078000000000000005,0.0
2020-08-03,29500,29700,29050,29550,1282160,0.0016949152542373724,0.0007000000000000001,0.0
2020-08-04,29450,29900,29100,29200,1125598,-0.011844331641285955,0.0129,0.0
2020-08-05,29100,29300,28700,28800,1472458,-0.013698630136986356,0.013999999999999999,0.0
2020-08-06,28900,30400,28850,29350,2849679,0.01909722222222232,0.013300000000000001,0.0
2020-08-07,29550,29550,28900,29300,1505492,-0.0017035775127768327,0.0039000000000000003,0.0
2020-08-10,29400,30400,29350,30250,2067079,0.03242320819112621,0.0148,-0.1000000014901161
2020-08-11,30750,31350,30300,31250,3158361,0.03305785123966931,0.013500000000000002,0.0
2020-08-12,31700,32100,31100,31900,2713547,0.02079999999999993,0.005699999999999999,0.0
2020-08-13,31800,31950,31200,31950,2544845,0.0015673981191222097,0.0021,0.0
2020-08-14,31600,31650,30800,30800,1662551,-0.035993740219092296,-0.0123,0.0
2020-08-18,30500,30550,29050,29050,2370890,-0.05681818181818177,-0.0246,0.1000000014901161
2020-08-19,29200,29700,29050,29050,1318610,0.0,0.0052,0.0
2020-08-20,28800,28900,27650,27800,2282005,-0.04302925989672979,-0.0366,0.1000000014901161
2020-08-21,27850,28850,27850,28350,1282208,0.019784172661870603,0.0134,0.0
2020-08-24,28150,28800,28000,28450,915900,0.003527336860670305,0.011000000000000001,0.0
2020-08-25,28900,29450,28700,29350,1188982,0.03163444639718804,0.0158,0.0
2020-08-26,29300,29500,28600,29150,948210,-0.006814310051107331,0.0011,0.0
2020-08-27,28950,28950,28450,28700,1167842,-0.015437392795883409,-0.0105,0.0
2020-08-28,29100,29700,28900,28950,1455320,0.008710801393728262,0.004,0.0
2020-08-31,29250,29400,28200,28200,1820975,-0.025906735751295318,-0.011699999999999999,0.2000000029802322
2020-09-01,28200,28750,28200,28500,1247607,0.010638297872340496,0.0101,0.0
2020-09-02,28750,28800,28200,28500,1030671,0.0,0.0063,0.0
2020-09-03,28650,28750,28000,28050,1854711,-0.015789473684210575,0.013300000000000001,0.15000000223517415
2020-09-04,27500,27950,27500,27950,1207726,-0.0035650623885917776,-0.0115,0.0
2020-09-07,28000,28250,27650,28050,1525584,0.003577817531305927,0.0067,0.0
2020-09-08,28200,28600,28000,28050,1292266,0.0,0.0074,0.0
2020-09-09,27700,27850,27400,27700,1407002,-0.012477718360071277,-0.0109,0.0
2020-09-10,28000,28150,27850,27850,1395051,0.005415162454873723,0.0087,0.0
2020-09-11,27650,28250,27600,28200,890728,0.012567324955116588,0.0001,0.0
2020-09-14,28450,28800,28250,28700,1171860,0.01773049645390068,0.013000000000000001,0.0
2020-09-15,28650,28700,28350,28600,889883,-0.0034843205574912606,0.006500000000000001,-0.2000000029802322
2020-09-16,28350,28600,28250,28450,796563,-0.005244755244755206,-0.0031,0.0
2020-09-17,28700,28750,28350,28450,1054473,0.0,-0.012199999999999999,0.2000000029802322
2020-09-18,28500,28550,28150,28150,1080781,-0.010544815465729385,0.0026,0.0
2020-09-21,28000,28400,28000,28150,708954,0.0,-0.0095,0.1000000014901161
2020-09-22,28050,28250,27650,27750,1311417,-0.014209591474245165,-0.023799999999999998,0.0
2020-09-23,27650,28000,27600,27700,1298744,-0.0018018018018017834,0.0003,0.0
2020-09-24,27600,27700,27350,27550,1094078,-0.005415162454873612,-0.0259,0.0
2020-09-25,27650,28250,27450,27550,1078057,0.0,0.0027,0.1000000014901161
2020-09-28,27800,27900,27550,27750,593893,0.007259528130671544,0.0129,0.0
2020-09-29,28200,28450,28000,28100,1299172,0.012612612612612706,0.0086,0.0
2020-10-05,27950,29600,27750,29300,2961211,0.04270462633451966,0.0129,-0.2000000029802322
2020-10-06,29500,30050,29100,29300,1687551,0.0,0.0034000000000000002,0.0
2020-10-07,28900,29800,28650,29650,1567864,0.011945392491467643,0.0089,0.033333333830038704
2020-10-08,29950,30100,29550,29950,1559667,0.010118043844856706,0.0021,-0.1000000014901161
2020-10-12,29800,30600,29700,30550,1507349,0.02003338898163598,0.0049,0.0
2020-10-13,30400,30600,29900,30000,1068667,-0.018003273322422242,-0.0002,0.0
2020-10-14,29850,30000,29100,29100,1464666,-0.030000000000000027,-0.009399999999999999,0.0
2020-10-15,29000,29550,29000,29300,1035606,0.0068728522336769515,-0.008100000000000001,0.0
2020-10-16,29500,29500,29000,29100,1665052,-0.0068259385665528916,-0.0083,0.0
2020-10-19,29250,30450,29100,29950,2223495,0.029209621993127044,0.0022,0.0
2020-10-20,29700,30450,29700,30400,1495545,0.015025041736226985,0.005,0.0
2020-10-21,30450,31400,30250,31400,2101444,0.03289473684210531,0.0053,0.0
2020-10-22,31200,32250,30900,32150,2758287,0.023885350318471277,-0.0067,0.0
2020-10-23,32350,33000,32100,32950,2500540,0.02488335925349916,0.0024,0.0
2020-10-26,33050,33450,32400,32650,2719319,-0.009104704097116834,-0.0072,0.0
2020-10-27,32150,32150,31000,31100,3144245,-0.04747320061255744,-0.005600000000000001,0.0
2020-10-28,30700,31800,30650,31400,1728032,0.009646302250803762,0.0062,0.1000000014901161
2020-10-29,30950,31000,30200,30800,1957198,-0.019108280254777066,-0.0079,0.0
2020-10-30,30650,31450,30400,30400,1822797,-0.012987012987012991,-0.0256,0.0
2020-11-02,30500,32400,30450,32250,2057204,0.06085526315789469,0.0146,0.0
2020-11-03,32750,33050,32300,32850,1816012,0.018604651162790642,0.018799999999999997,0.0
2020-11-04,33350,33450,31150,31800,3017404,-0.03196347031963476,0.006,0.0
2020-11-05,32050,32800,31550,32200,1848331,0.012578616352201255,0.024,0.0
2020-11-06,32400,32950,32300,32550,1753035,0.010869565217391353,0.0011,0.0
2020-11-09,32750,33150,32400,33000,1453941,0.01382488479262678,0.0127,0.0
2020-11-10,35000,35100,34300,34900,3233993,0.05757575757575761,0.0023,-0.1000000014901161
2020-11-11,34900,36400,34750,36000,2444462,0.03151862464183375,0.013500000000000002,0.0
2020-11-12,35700,36200,34950,35250,2301576,-0.02083333333333337,-0.0040999999999999995,0.0
2020-11-13,34200,34750,33900,34650,2705579,-0.017021276595744705,0.0074,0.0
2020-11-16,34950,36850,34700,36500,2553852,0.05339105339105332,0.0197,0.0
2020-11-17,36350,37500,36300,36750,2625629,0.006849315068493178,-0.0015,0.0
2020-11-18,36850,36900,35850,36100,1666702,-0.017687074829931926,0.0026,0.0
2020-11-19,36100,36150,35200,35700,1471380,-0.011080332409972304,0.0007000000000000001,0.0
2020-11-20,35350,36100,35300,35400,1315689,-0.008403361344537785,0.0024,0.16666667163372037
2020-11-23,35200,36100,34950,35800,1414186,0.011299435028248483,0.0192,0.05000000074505805
2020-11-24,35900,35950,35350,35550,1349381,-0.006983240223463638,0.0058,0.0
2020-11-25,35950,36900,35700,36100,2609213,0.015471167369901506,-0.0062,0.0
2020-11-26,35800,36300,35500,36100,1161801,0.0,0.009399999999999999,0.0
2020-11-27,35800,36150,35500,35600,1183922,-0.013850415512465353,0.0029,0.0
2020-11-30,35600,35850,33850,33850,3275948,-0.0491573033707865,-0.016,0.0
2020-12-01,34200,34850,34150,34800,1329084,0.028064992614475592,0.0166,0.0
2020-12-02,35150,35700,34700,35450,1630665,0.018678160919540332,0.0158,0.0
2020-12-03,36050,36050,35400,35850,1491064,0.01128349788434413,0.0076,0.0
2020-12-04,35850,36850,35650,36550,1787507,0.019525801952580135,0.0131,0.0
2020-12-07,36000,36250,34800,35400,2668824,-0.03146374829001364,0.0051,0.0
2020-12-08,35300,35400,34400,34750,2168363,-0.01836158192090398,-0.016200000000000003,0.2000000029802322
2020-12-09,34550,35300,34550,35100,1390670,0.010071942446043147,0.0202,0.0
2020-12-10,34850,35500,34550,35500,2060104,0.01139601139601143,-0.0033,0.0
2020-12-11,36000,36350,35800,36150,1602523,0.018309859154929553,0.0086,0.0
2020-12-14,36100,36200,35700,36050,1319910,-0.0027662517289073207,-0.0028000000000000004,0.1000000014901161
2020-12-15,35950,36250,35800,36250,1447429,0.00554785020804438,-0.0019,0.0
2020-12-16,36450,36500,35850,36150,1396148,-0.0027586206896551557,0.0054,0.2000000029802322
2020-12-17,35900,36050,35500,36050,1286334,-0.0027662517289073207,-0.0005,0.0
2020-12-18,35950,36000,35650,35800,984766,-0.006934812760055475,0.0006,0.0
2020-12-21,36000,36300,35650,36050,956644,0.006983240223463749,0.0023,0.0
2020-12-22,36000,36050,35500,35550,1069827,-0.01386962552011095,-0.016200000000000003,0.0
2020-12-23,35500,35750,34800,34900,1303109,-0.01828410689170179,0.0096,0.0
2020-12-24,35250,35800,35100,35800,1231269,0.025787965616045794,0.017,0.0
2020-12-28,36000,36150,35700,35850,2430080,0.0013966480446927498,0.0006,0.1000000014901161
2020-12-29,34550,34550,33800,34100,2294951,-0.04881450488145045,0.0042,0.0
2020-12-30,34050,34550,33200,34500,1896169,0.011730205278592365,0.018799999999999997,0.0
2021-01-04,34000,34050,33250,33450,2312196,-0.0304347826086957,0.024700000000000003,0.0
2021-01-05,33250,34100,32750,34050,2441785,0.017937219730941756,0.015700000000000002,0.1000000014901161
2021-01-06,34150,35300,33900,34750,3379422,0.0205580029368575,-0.0075,0.0
