Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,72300,72400,70700,70900,89751,-0.02071823204419887,-0.0102,0.0
2020-01-03,71800,72300,71000,71600,122503,0.009873060648801113,0.0006,0.0
2020-01-06,70700,70900,69200,69500,152742,-0.029329608938547524,-0.0098,0.0
2020-01-07,70100,70600,69300,70200,153464,0.010071942446043147,0.0095,0.2000000029802322
2020-01-08,68900,69500,67700,69100,198963,-0.015669515669515688,-0.0111,0.0
2020-01-09,69200,70100,68500,69000,317981,-0.0014471780028944004,0.0163,0.0
2020-01-10,69300,69800,68800,69200,144732,0.0028985507246377384,0.0091,0.06666666766007741
2020-01-13,69500,70200,68500,70100,125924,0.013005780346820872,0.0104,0.0
2020-01-14,70900,72400,70400,72400,254689,0.032810271041369576,0.0043,0.0
2020-01-15,71900,73400,71600,72800,153545,0.005524861878453136,-0.0034999999999999996,0.0
2020-01-16,73300,73400,72200,73400,129683,0.008241758241758212,0.0077,0.0
2020-01-17,73300,74300,73200,73700,147942,0.004087193460490468,0.0011,0.0
2020-01-20,73400,75200,73300,74600,144838,0.012211668928086894,0.0054,0.1000000014901161
2020-01-21,74300,74700,73700,74500,136265,-0.0013404825737265424,-0.0101,0.0
2020-01-22,75000,75800,74400,75800,165505,0.01744966442953011,0.0123,0.0
2020-01-23,74700,75500,73800,74200,149386,-0.02110817941952503,-0.009300000000000001,0.0
2020-01-28,72200,73000,69300,69500,299548,-0.06334231805929924,-0.030899999999999997,0.0
2020-01-29,69900,70000,68700,68900,179623,-0.008633093525179825,0.0039000000000000003,0.0
2020-01-30,69000,69300,67200,67400,193442,-0.021770682148040676,-0.0171,0.0
2020-01-31,68700,68700,66500,66500,168557,-0.013353115727002929,-0.013500000000000002,0.0
2020-02-03,65000,66700,65000,66100,154933,-0.006015037593984918,-0.0001,0.0
2020-02-04,65800,67300,65700,66300,197748,0.00302571860816947,0.0184,0.0
2020-02-05,66700,67000,65300,65500,247100,-0.012066365007541435,0.0036,0.0
2020-02-06,66800,69600,66800,69400,252251,0.05954198473282446,0.0288,0.0
2020-02-07,69800,70000,68700,69000,265592,-0.0057636887608069065,-0.0072,0.0
2020-02-10,67800,68400,67000,67400,183360,-0.023188405797101463,-0.0049,0.0
