Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,127500,127500,125500,125500,85564,-0.007905138339920903,-0.0102,0.1000000014901161
2020-01-20,128000,129000,126000,128500,164228,0.00390625,0.0054,0.1000000014901161
2020-01-29,120000,120500,117500,118500,132021,-0.004201680672268893,0.0039000000000000003,0.1000000014901161
2020-01-29,120000,120500,117500,118500,132021,-0.004201680672268893,0.0039000000000000003,0.1000000014901161
2020-01-30,119000,120000,116500,116500,114536,-0.016877637130801704,-0.0171,0.2000000029802322
2020-02-06,112500,124000,112500,123500,678051,0.1227272727272728,0.0288,0.2000000029802322
2020-02-06,112500,124000,112500,123500,678051,0.1227272727272728,0.0288,0.1000000014901161
2020-02-07,123000,125000,119000,120500,263663,-0.02429149797570851,-0.0072,0.0
2020-02-07,123000,125000,119000,120500,263663,-0.02429149797570851,-0.0072,0.1000000014901161
2020-02-07,123000,125000,119000,120500,263663,-0.02429149797570851,-0.0072,0.0
2020-02-12,119500,121500,118000,120500,222810,0.0,0.0069,0.0
2020-02-12,119500,121500,118000,120500,222810,0.0,0.0069,0.2000000029802322
2020-02-12,119500,121500,118000,120500,222810,0.0,0.0069,0.1000000014901161
2020-02-12,119500,121500,118000,120500,222810,0.0,0.0069,-0.1000000014901161
2020-02-12,119500,121500,118000,120500,222810,0.0,0.0069,-0.1000000014901161
2020-02-12,119500,121500,118000,120500,222810,0.0,0.0069,0.0
2020-02-13,121000,121500,116500,116500,260709,-0.03319502074688796,-0.0024,0.0
2020-02-20,116000,117500,114500,115000,127187,-0.0043290043290042934,-0.0067,0.0
2020-02-24,109000,109500,105500,106000,286441,-0.0535714285714286,-0.0387,0.0
2020-02-27,107500,109000,106500,107500,167722,-0.00462962962962965,-0.0105,0.1000000014901161
2020-02-28,105000,106000,103000,104000,303668,-0.032558139534883734,-0.033,0.0
2020-03-02,104500,106000,103000,104500,169866,0.004807692307692291,0.0078000000000000005,0.0
2020-03-13,78700,84000,75500,80900,969928,-0.09203142536475872,-0.034300000000000004,0.0
2020-03-19,73000,74900,64200,66300,661951,-0.07788595271210019,-0.0839,0.2000000029802322
2020-03-24,70800,75000,69400,73900,294642,0.07725947521865884,0.086,0.3000000119209289
2020-03-25,77000,81400,76000,79000,492705,0.06901217861975639,0.058899999999999994,0.0
