Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,33350,33500,32400,32450,254405,-0.032786885245901676,-0.0102,0.0
2020-01-03,32250,32650,31750,31900,326118,-0.016949152542372836,0.0006,0.0
2020-01-06,31400,31850,31050,31250,254161,-0.020376175548589393,-0.0098,0.0
2020-01-07,31100,31750,31100,31500,274108,0.008000000000000007,0.0095,0.0
2020-01-08,30850,30850,30200,30600,475610,-0.02857142857142858,-0.0111,0.0
2020-01-09,30350,30950,30200,30750,319201,0.004901960784313708,0.0163,0.0
2020-01-10,30400,30750,29950,30150,807448,-0.019512195121951237,0.0091,0.0
2020-01-13,30250,30300,29900,30250,235779,0.0033167495854062867,0.0104,0.0
2020-01-14,30150,30300,29800,30300,451024,0.0016528925619834212,0.0043,0.4000000059604645
2020-01-15,30150,30650,30150,30650,436279,0.011551155115511635,-0.0034999999999999996,0.0
2020-01-16,30800,30800,30000,30650,235361,0.0,0.0077,0.2000000029802322
2020-01-17,30350,31100,30350,31000,240668,0.011419249592169667,0.0011,0.0
2020-01-20,31000,31150,30600,30750,208000,-0.008064516129032251,0.0054,0.3000000119209289
2020-01-21,30600,31300,30550,30850,152901,0.003252032520325132,-0.0101,0.0
2020-01-22,31100,31250,30750,31050,342970,0.006482982171799101,0.0123,0.0
2020-01-23,30800,31200,30650,30800,242770,-0.008051529790660261,-0.009300000000000001,0.2000000029802322
2020-01-28,30050,30650,28900,29100,312082,-0.05519480519480524,-0.030899999999999997,0.0
2020-01-29,29100,29600,28750,29250,218285,0.005154639175257714,0.0039000000000000003,0.0
2020-01-30,29050,29500,28800,29000,233283,-0.008547008547008517,-0.0171,0.0
2020-01-31,29300,29300,28700,28700,295750,-0.010344827586206917,-0.013500000000000002,0.0
2020-02-03,28300,28850,27800,28350,306641,-0.012195121951219523,-0.0001,0.1000000014901161
2020-02-04,28350,29000,28350,28750,324857,0.014109347442680775,0.0184,0.0
2020-02-05,28650,28800,28200,28750,320719,0.0,0.0036,0.3000000119209289
2020-02-06,29100,29800,28950,29700,324804,0.03304347826086951,0.0288,0.2000000029802322
2020-02-07,29300,29550,28950,29250,338628,-0.015151515151515138,-0.0072,0.0
2020-02-10,29000,29300,28650,29250,204870,0.0,-0.0049,0.0
2020-02-11,29150,29400,29000,29300,143680,0.0017094017094017033,0.01,0.0
2020-02-12,29000,30150,29000,30000,334415,0.023890784982935065,0.0069,0.0
2020-02-13,29700,29750,29000,29100,393281,-0.030000000000000027,-0.0024,0.2000000029802322
2020-02-14,28750,28900,27450,27700,957658,-0.04810996563573888,0.0048,0.0
2020-02-17,27750,28050,27500,27900,183982,0.0072202166064982976,-0.0006,0.0
2020-02-18,27900,28350,27650,28250,321740,0.012544802867383575,-0.0148,0.3000000119209289
2020-02-19,28500,28550,27650,27850,433516,-0.01415929203539823,0.0007000000000000001,0.0
2020-02-20,27800,28250,27600,27600,267099,-0.008976660682226245,-0.0067,0.0
2020-02-21,27100,27950,27100,27850,438581,0.009057971014492683,-0.0149,0.0
2020-02-24,27100,27400,26250,27000,562493,-0.030520646319569078,-0.0387,0.0
2020-02-25,26200,27250,26200,26900,417660,-0.0037037037037036535,0.0118,0.0
2020-02-26,26300,27000,26250,26800,433835,-0.0037174721189591198,-0.0128,0.0
2020-02-27,26500,27000,26400,26500,339812,-0.011194029850746245,-0.0105,0.0
2020-02-28,26450,26500,25400,25500,750913,-0.037735849056603765,-0.033,0.2000000029802322
2020-03-02,25650,25850,25100,25300,324800,-0.007843137254901933,0.0078000000000000005,0.1000000014901161
2020-03-03,25500,25800,25050,25200,396412,-0.0039525691699604515,0.0058,0.1000000014901161
2020-03-04,25000,25750,25000,25450,355125,0.009920634920634885,0.022400000000000003,0.0
2020-03-05,25600,26250,25400,26050,482631,0.023575638506876162,0.0126,0.1000000014901161
2020-03-06,25850,26300,25300,25500,463362,-0.021113243761996192,-0.0216,0.0
2020-03-09,24950,25800,24350,24650,309401,-0.033333333333333326,-0.04190000000000001,0.16666666915019349
2020-03-10,25200,25350,23400,23500,712545,-0.04665314401622722,0.0042,0.0
2020-03-11,23200,24250,23200,23750,645468,0.010638297872340496,-0.0278,0.0
2020-03-12,24100,24100,21850,22350,750172,-0.05894736842105264,-0.0387,0.1000000014901161
2020-03-13,20050,21350,19950,21050,1146113,-0.058165548098433995,-0.034300000000000004,0.0
2020-03-16,21000,21700,20550,20900,412423,-0.0071258907363420665,-0.0319,0.0
2020-03-17,20650,20650,19700,20150,493400,-0.03588516746411485,-0.024700000000000003,0.2000000029802322
2020-03-18,19950,20300,18800,18800,558474,-0.0669975186104218,-0.048600000000000004,0.0
2020-03-19,18800,19350,16200,16500,701053,-0.12234042553191493,-0.0839,0.0
2020-03-20,16550,17100,15900,16800,850872,0.018181818181818077,0.07440000000000001,0.0
2020-03-23,15850,16100,15050,15600,760492,-0.0714285714285714,-0.053399999999999996,0.0
2020-03-24,15800,17200,15500,17050,453113,0.09294871794871784,0.086,0.0
2020-03-25,17500,19100,17300,18500,657643,0.08504398826979465,0.058899999999999994,0.1000000014901161
2020-03-26,18200,18400,17150,17500,1431919,-0.05405405405405406,-0.0109,0.6000000238418579
2020-03-27,18300,18500,17850,18350,1333233,0.04857142857142849,0.0187,0.0
2020-03-30,18000,18550,17750,18250,583141,-0.00544959128065392,-0.0004,0.2000000029802322
2020-03-31,18550,19700,18350,19350,702431,0.0602739726027397,0.0219,0.4000000059604645
2020-04-01,19150,20200,18750,18750,665114,-0.03100775193798455,-0.0394,0.0
2020-04-02,18800,19900,18600,19550,551818,0.04266666666666663,0.023399999999999997,0.0
2020-04-03,19400,20000,19200,19650,421504,0.005115089514066584,0.0003,0.0
2020-04-06,19850,20650,19750,20600,600041,0.04834605597964381,0.0385,0.0
2020-04-07,20950,21350,20650,20900,1158198,0.014563106796116498,0.0177,0.0
2020-04-08,20750,21400,20550,21000,636640,0.004784688995215225,-0.009000000000000001,-0.1000000014901161
2020-04-09,21200,21900,21050,21650,783138,0.030952380952380842,0.0161,0.2000000029802322
2020-04-10,21800,22700,21650,22500,415924,0.03926096997690531,0.013300000000000001,0.0
2020-04-13,22500,22500,21300,21400,426719,-0.04888888888888887,-0.018799999999999997,0.0
2020-04-14,21350,21850,20950,21600,361374,0.009345794392523255,0.0172,0.1000000014901161
2020-04-16,20950,21000,20100,20650,733615,-0.04398148148148151,-0.0,0.5
2020-04-17,21050,21750,20800,21400,770121,0.036319612590798966,0.030899999999999997,-0.016666666915019352
2020-04-20,21400,21850,21200,21500,454911,0.004672897196261738,-0.0084,0.3000000119209289
2020-04-21,21250,22000,20800,21300,388419,-0.009302325581395321,-0.01,0.0
2020-04-22,20900,21250,20500,20900,435331,-0.018779342723004744,0.0089,0.0
2020-04-23,20800,21300,20700,20900,420374,0.0,0.0098,0.0
2020-04-24,20750,20750,20350,20650,530509,-0.011961722488038284,-0.0134,0.0
2020-04-27,20700,21100,20450,21000,620853,0.016949152542372836,0.0179,0.0
2020-04-28,21050,21600,20800,21200,618236,0.00952380952380949,0.0059,0.0
2020-04-29,21200,21750,21150,21250,423057,0.002358490566037652,0.006999999999999999,0.0
