Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,37518,37714,36635,37421,85808,-0.005210410186883618,-0.0102,0.0
2020-01-03,37763,37862,37126,37323,94905,-0.002618850378129922,0.0006,0.0
2020-01-06,36783,37175,36096,36096,99706,-0.03287517080620528,-0.0098,0.0
2020-01-07,35900,36930,35900,36587,62472,0.013602615248226924,0.0095,0.0
2020-01-08,36145,36145,34674,34919,210042,-0.04558996364829038,-0.0111,0.0
2020-01-09,35507,35802,35360,35655,99720,0.021077350439588693,0.0163,0.0
2020-01-10,35606,36292,35115,35998,89308,0.009619969148787044,0.0091,0.0
2020-01-13,36047,36635,35753,36489,83455,0.013639646647035875,0.0104,0.0
2020-01-14,36292,36979,36292,36636,65020,0.00402861136232846,0.0043,0.0
2020-01-15,36537,37862,36488,36930,93016,0.008024893547330603,-0.0034999999999999996,0.0
2020-01-16,37077,37077,36292,36685,74178,-0.006634172759274248,0.0077,0.0
2020-01-17,36685,37224,36439,36440,63530,-0.006678478942346966,0.0011,0.0
2020-01-20,36439,36685,36194,36195,63529,-0.006723380900109821,0.0054,0.0
2020-01-21,36488,36586,35556,35557,77225,-0.017626744025417862,-0.0101,0.0
2020-01-22,35556,36635,35507,35949,91740,0.011024552127569809,0.0123,0.0
2020-01-23,35851,35851,35066,35312,106609,-0.017719547136220704,-0.009300000000000001,0.0
2020-01-28,34330,35164,33595,33791,166895,-0.043073176257362955,-0.030899999999999997,0.0
2020-01-29,33791,33987,33251,33448,116077,-0.010150631825042167,0.0039000000000000003,0.0
2020-01-30,33399,33693,31976,32565,180743,-0.02639918679741693,-0.0171,0.0
2020-01-31,32369,32712,31584,31584,152589,-0.030124366651312795,-0.013500000000000002,0.0
2020-02-03,30358,31633,30260,31437,166483,-0.004654255319148981,-0.0001,0.0
2020-02-04,31093,32074,31093,31781,93876,0.010942519960555952,0.0184,0.0
2020-02-05,32172,32172,31290,31732,94719,-0.0015418017054215083,0.0036,0.0
2020-02-06,32172,33742,32074,33448,124891,0.05407790243287525,0.0288,0.2000000029802322
2020-02-07,33300,34134,32908,33939,100814,0.014679502511360853,-0.0072,0.3000000119209289
2020-02-10,33448,34723,33251,34135,95992,0.005775067032028014,-0.0049,0.1000000014901161
2020-02-11,33840,34870,33840,34331,62519,0.0057419071334408045,0.01,0.0
2020-02-12,34085,34968,33840,34821,95808,0.014272814657306787,0.0069,0.0
2020-02-13,34625,34968,34232,34625,114762,-0.005628787226099163,-0.0024,0.0
2020-02-14,34330,34576,34134,34184,76168,-0.01273646209386281,0.0048,0.0
2020-02-17,33938,34625,33644,33742,65088,-0.012930025743037699,-0.0006,0.0
2020-02-18,33399,33644,33006,33105,67718,-0.01887854898939012,-0.0148,0.0
2020-02-19,33104,33742,32663,33007,86758,-0.002960277903639952,0.0007000000000000001,0.0
2020-02-20,32908,33644,32369,32565,71340,-0.013391098857818085,-0.0067,0.0
2020-02-21,32369,32369,31437,31683,115225,-0.027084292952556432,-0.0149,0.0
2020-02-24,31143,31143,29671,29721,185025,-0.06192595398163048,-0.0387,0.0
2020-02-25,29524,30701,29426,30505,120087,0.02637865482318902,0.0118,0.0
2020-02-26,30309,30603,29916,30309,124117,-0.006425176200622884,-0.0128,0.0
2020-02-27,29916,30897,29916,30407,134850,0.003233363027483671,-0.0105,0.0
2020-02-28,30260,30750,28837,29132,193529,-0.041931134278291204,-0.033,0.0
2020-03-02,28936,30064,28936,30064,104386,0.031992310860909035,0.0078000000000000005,0.2000000029802322
2020-03-03,30456,30848,30162,30309,85953,0.008149281532730202,0.0058,0.0
2020-03-04,30211,30897,30113,30554,73431,0.008083407568709067,0.022400000000000003,0.2000000029802322
2020-03-05,30652,33104,30407,33007,165975,0.08028408718989333,0.0126,0.0
2020-03-06,33153,33153,31437,32026,162176,-0.029720968279455917,-0.0216,0.0
2020-03-09,31044,31780,30603,31584,131206,-0.013801286454755535,-0.04190000000000001,0.0
2020-03-10,31388,31388,30162,30604,199248,-0.031028368794326244,0.0042,0.2000000029802322
2020-03-11,30603,30897,29230,29426,147290,-0.03849170043131622,-0.0278,0.0
2020-03-12,29426,29671,26827,27170,279002,-0.0766668932236797,-0.0387,0.0
2020-03-13,24473,26238,24031,25405,243601,-0.0649613544350387,-0.034300000000000004,0.0
2020-03-16,25797,26434,25110,25307,165146,-0.0038575083644951658,-0.0319,0.0
2020-03-17,23835,25208,23737,25160,142848,-0.005808669538072464,-0.024700000000000003,0.0
2020-03-18,25306,25993,23737,23786,148478,-0.054610492845787006,-0.048600000000000004,0.0
2020-03-19,23933,24718,19519,19716,259625,-0.17110905574707813,-0.0839,0.0
2020-03-20,19421,21039,19421,20451,282569,0.03727936701156431,0.07440000000000001,0.2000000029802322
2020-03-23,18636,19764,18587,19176,193923,-0.06234413965087282,-0.053399999999999996,0.0
2020-03-24,20059,20892,19323,20893,206427,0.08953900709219864,0.086,0.0
2020-03-25,21677,22707,21530,22707,237168,0.08682333796008224,0.058899999999999994,0.0
2020-03-26,22707,24473,21873,23247,282168,0.02378121284185486,-0.0109,0.0
2020-03-27,24374,25159,22854,24032,203071,0.033767797995440274,0.0187,0.1000000014901161
2020-03-30,23345,25159,23050,25160,137820,0.04693741677762975,-0.0004,0.0
2020-03-31,25601,26925,25257,26435,201080,0.05067567567567566,0.0219,0.0
2020-04-01,26434,26581,24620,25013,178348,-0.0537923207868356,-0.0394,0.0
2020-04-02,24620,25306,23394,25307,154030,0.011753887978251276,0.023399999999999997,0.0
2020-04-03,25306,25993,24914,25356,142504,0.001936223179357599,0.0003,0.0
2020-04-06,25895,26532,25502,26141,116079,0.030959141820476432,0.0385,0.0
2020-04-07,26729,27219,26238,27219,208767,0.04123790214605405,0.0177,0.0
2020-04-08,27023,27857,26434,27219,160264,0.0,-0.009000000000000001,0.0
2020-04-09,27906,27906,26876,27465,144519,0.009037804474815392,0.0161,0.0
