Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-02-11,10750,11350,10750,11250,1721541,0.04651162790697683,0.01,0.2000000029802322
2020-02-11,10750,11350,10750,11250,1721541,0.04651162790697683,0.01,0.3000000119209289
2020-03-13,8100,9690,8100,9200,1957866,-0.03563941299790352,-0.034300000000000004,0.0
2020-03-13,8100,9690,8100,9200,1957866,-0.03563941299790352,-0.034300000000000004,0.0
2020-03-19,9200,9200,8260,9100,1792440,0.021324354657688005,-0.0839,0.0
2020-03-20,8650,9320,8540,9320,2534183,0.02417582417582409,0.07440000000000001,0.0
2020-03-30,8580,8690,8380,8630,1064788,-0.02154195011337867,-0.0004,0.2000000029802322
2020-04-29,9110,9180,9040,9130,831407,0.002195389681668436,0.006999999999999999,0.2000000029802322
2020-05-13,8770,9010,8750,8980,837445,0.015837104072398134,0.0095,0.2000000029802322
2020-05-13,8770,9010,8750,8980,837445,0.015837104072398134,0.0095,0.2000000029802322
2020-06-12,10400,10450,10050,10200,1653938,-0.04672897196261683,-0.0204,0.0
2020-06-19,9690,9700,9410,9410,892679,-0.021829521829521803,0.0037,0.2000000029802322
2020-07-03,9270,9300,9150,9240,371816,0.0010834236186347823,0.008,0.2000000029802322
2020-07-10,10050,10050,9550,9600,1087812,-0.04477611940298509,-0.008100000000000001,0.1000000014901161
2020-08-12,10950,14150,10900,12000,22226342,0.10091743119266061,0.005699999999999999,0.2000000029802322
2020-08-13,12150,13900,12000,12750,16273756,0.0625,0.0021,0.3000000119209289
2020-08-13,12150,13900,12000,12750,16273756,0.0625,0.0021,0.1000000014901161
2020-09-08,12800,12850,12350,12450,915475,-0.015810276679841917,0.0074,0.0
2020-09-24,12000,12250,11700,12000,1508885,-0.028340080971659964,-0.0259,-0.1000000014901161
2020-09-24,12000,12250,11700,12000,1508885,-0.028340080971659964,-0.0259,-0.1000000014901161
2020-10-21,12250,12550,12200,12550,415716,0.02448979591836742,0.0053,0.1000000014901161
2020-11-11,12750,13600,12750,13450,3400160,0.0717131474103585,0.013500000000000002,0.1000000014901161
2020-11-11,12750,13600,12750,13450,3400160,0.0717131474103585,0.013500000000000002,0.1000000014901161
2020-11-18,13400,13650,13350,13550,679977,0.011194029850746245,0.0026,0.1000000014901161
2020-11-19,13700,17150,13650,15500,14470064,0.1439114391143912,0.0007000000000000001,0.2000000029802322
2020-11-19,13700,17150,13650,15500,14470064,0.1439114391143912,0.0007000000000000001,0.1000000014901161
2020-12-02,16500,16650,16100,16200,1798095,-0.015197568389057725,0.0158,0.3000000119209289
2020-12-02,16500,16650,16100,16200,1798095,-0.015197568389057725,0.0158,0.1000000014901161
2020-12-08,15650,15800,15400,15650,826573,0.012944983818770295,-0.016200000000000003,0.1000000014901161
2020-12-21,15650,15650,15050,15250,1107071,-0.019292604501607746,0.0023,0.3000000119209289
2020-12-24,16150,16200,15500,15900,1301605,-0.015479876160990669,0.017,0.1000000014901161
2021-01-04,16250,17200,16000,16500,3003278,0.01538461538461533,0.024700000000000003,0.1000000014901161
2021-01-18,17300,17600,16900,17450,1273772,0.014534883720930258,-0.0233,0.2000000029802322
2021-01-18,17300,17600,16900,17450,1273772,0.014534883720930258,-0.0233,0.2000000029802322
2021-01-19,17700,18350,17500,17650,2650985,0.011461318051575908,0.026099999999999998,0.1000000014901161
2021-01-19,17700,18350,17500,17650,2650985,0.011461318051575908,0.026099999999999998,0.2000000029802322
2021-02-04,18950,19100,18050,18200,1745275,-0.03448275862068961,-0.013500000000000002,0.1000000014901161
2021-02-04,18950,19100,18050,18200,1745275,-0.03448275862068961,-0.013500000000000002,-0.2000000029802322
2021-03-02,16200,18150,16000,17300,7906802,0.11974110032362462,0.0103,0.3000000119209289
2021-03-03,17300,17400,16950,17150,1689022,-0.00867052023121384,0.0129,0.0
2021-03-04,17650,19850,16900,16950,14745773,-0.011661807580174877,-0.0128,0.3000000119209289
2021-03-05,16750,17450,16300,17250,3145066,0.017699115044247815,-0.005699999999999999,0.2000000029802322
2021-03-22,18200,19900,17900,18500,9910868,0.05714285714285716,-0.0013,0.2000000029802322
2021-04-01,17900,18250,17800,18200,1916197,0.031161473087818692,0.0085,0.1000000014901161
2021-05-26,16250,16450,16200,16300,540391,0.003076923076922977,-0.0009,0.2000000029802322
2021-05-27,16600,16600,16100,16400,1722949,0.006134969325153339,-0.0009,0.2000000029802322
2021-06-01,16950,17100,16700,16950,626683,0.0,0.005600000000000001,-0.1000000014901161
2021-06-03,17050,17350,16750,17150,1013482,0.008823529411764675,0.0072,0.0
2021-06-23,17550,17550,16500,16850,4604783,-0.04802259887005644,0.0038,0.2000000029802322
2021-06-24,16500,17300,16500,16850,2795548,0.0,0.003,0.0
2021-07-07,16700,16850,16550,16800,620511,0.0059880239520957446,-0.006,0.1000000014901161
2021-07-07,16700,16850,16550,16800,620511,0.0059880239520957446,-0.006,0.1000000014901161
2021-07-08,16750,16750,16300,16350,1322987,-0.0267857142857143,-0.009899999999999999,0.2000000029802322
2021-07-08,16750,16750,16300,16350,1322987,-0.0267857142857143,-0.009899999999999999,0.1000000014901161
2021-07-16,16250,16300,15950,16250,1140893,0.0,-0.0028000000000000004,0.1000000014901161
2021-07-27,16000,16050,15800,15900,798446,-0.0031347962382445305,0.0024,0.1000000014901161
2021-08-09,16150,16200,15800,16150,670329,0.0,-0.003,-0.1000000014901161
2021-08-10,16050,16100,15700,15850,860791,-0.018575851393188847,-0.0053,0.0
