Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-21,19500,19600,19000,19100,76792,-0.02051282051282055,-0.0101,0.0
2020-01-22,19200,20350,18950,20250,237922,0.060209424083769614,0.0123,-0.1000000014901161
2020-01-22,19200,20350,18950,20250,237922,0.060209424083769614,0.0123,0.0
2020-02-11,20100,20600,19950,20550,105604,0.02493765586034913,0.01,0.1000000014901161
2020-03-12,16700,17200,15950,16250,228552,-0.05523255813953487,-0.0387,0.2000000029802322
2020-03-30,14000,14950,14000,14800,102669,0.010238907849829282,-0.0004,0.2000000029802322
2020-05-27,16600,17250,16500,17250,172834,0.03603603603603611,0.0007000000000000001,0.2000000029802322
2020-06-03,17150,17850,17100,17450,271499,0.017492711370262315,0.0287,0.2000000029802322
2020-06-17,15750,16200,15700,15950,64799,-0.006230529595015577,0.0014000000000000002,0.3000000119209289
2020-06-25,15150,15350,15050,15050,75675,-0.022727272727272707,-0.0227,0.2000000029802322
2020-09-01,16300,16650,16100,16200,90731,-0.006134969325153339,0.0101,0.1000000014901161
2020-09-04,15950,20500,15800,17700,888322,0.08923076923076922,-0.0115,0.1000000014901161
2020-10-27,16000,16100,15800,15950,87719,-0.0031250000000000444,-0.005600000000000001,0.2000000029802322
2021-02-24,18100,18150,17400,17450,187083,-0.03324099722991691,-0.0245,-0.1000000014901161
2021-02-25,17600,17700,17400,17550,122653,0.005730659025787954,0.035,0.0
2021-03-16,20050,20650,20050,20650,152767,0.03249999999999997,0.006999999999999999,0.1000000014901161
2021-03-25,20700,20800,20450,20550,110298,0.007352941176470562,0.004,0.0
2021-04-07,28600,29550,27050,27300,607917,-0.045454545454545414,0.0033,0.2000000029802322
2021-05-07,33500,35250,33200,34750,512133,0.05143721633888054,0.0058,0.0
2021-05-10,35050,36700,35050,35750,463147,0.02877697841726623,0.0163,0.1000000014901161
2021-05-26,47600,56200,47400,54800,3485082,0.16224814422057254,-0.0009,0.0
2021-05-26,47600,56200,47400,54800,3485082,0.16224814422057254,-0.0009,0.0
2021-05-27,54300,57800,53300,56000,2568734,0.021897810218978186,-0.0009,0.0
2021-06-08,61300,61300,56900,56900,1306384,-0.07328990228013033,-0.0013,0.2000000029802322
2021-06-17,52600,53600,52000,52000,260828,-0.02621722846441943,-0.0042,0.0
2021-07-06,51200,59400,51000,56500,3714452,0.11660079051383399,0.0036,-0.1000000014901161
2021-08-18,44800,46900,44800,46100,283444,0.017660044150110465,0.005,0.1000000014901161
2021-10-08,47950,48550,45200,45450,414954,-0.04516806722689071,-0.0011,0.0
2021-10-27,73600,74900,71500,74200,851397,-0.00536193029490617,-0.0077,0.0
2021-11-04,73100,90900,72100,87600,6691870,0.23903818953323897,0.0025,0.2000000029802322
2021-11-22,102500,103500,93300,95300,1509190,-0.04317269076305219,0.014199999999999999,-0.1000000014901161
