Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,18223,18271,17932,17932,417072,-0.01860770577933446,-0.0102,0.1000000014901161
2020-01-03,18029,18756,17932,18611,865038,0.03786526879321883,0.0006,0.0
2020-01-06,18465,18562,18029,18029,625812,-0.031271828488528275,-0.0098,0.17500000260770318
2020-01-07,18223,18853,18126,18659,978306,0.03494370181374462,0.0095,0.16666666915019349
2020-01-08,18271,18416,17544,17884,1216990,-0.04153491612626614,-0.0111,0.0
2020-01-09,18223,19240,18223,19192,1562109,0.07313800044732721,0.0163,0.1000000014901161
2020-01-10,19192,19434,18950,19289,1059493,0.005054189245518925,0.0091,0.0
2020-01-13,19483,19483,19047,19192,685658,-0.005028772875732335,0.0104,0.2000000029802322
2020-01-14,19289,19483,19047,19386,629497,0.01010837849103785,0.0043,0.0
2020-01-15,19289,19483,19095,19386,421749,0.0,-0.0034999999999999996,0.0
2020-01-16,19386,19434,18853,18950,644301,-0.022490457030846955,0.0077,0.0
2020-01-17,18950,19531,18950,18999,596658,0.0025857519788918815,0.0011,0.0
2020-01-20,19095,19628,18998,19435,884434,0.02294857624085478,0.0054,0.0
2020-01-21,19386,19483,19143,19192,468049,-0.012503215847697424,-0.0101,0.15000000223517415
2020-01-22,19289,19386,18998,19095,345945,-0.005054189245518925,0.0123,0.0
2020-01-23,19047,19095,18416,18562,627447,-0.02791306624770884,-0.009300000000000001,0.0
2020-01-28,17835,18077,17156,17254,1259404,-0.07046654455338863,-0.030899999999999997,0.0
2020-01-29,17496,17544,17059,17302,505612,0.002781963602642934,0.0039000000000000003,0.0
2020-01-30,17253,17399,16623,16866,1001650,-0.02519939891342038,-0.0171,0.0
2020-01-31,16866,17011,16332,16333,665423,-0.031602039606308585,-0.013500000000000002,0.1000000014901161
2020-02-03,15945,16478,15654,16284,800729,-0.003000061225739259,-0.0001,0.0
2020-02-04,16478,16720,16332,16624,694116,0.020879390813068,0.0184,0.0
2020-02-05,16914,16962,16429,16672,673541,0.002887391722810495,0.0036,0.0
2020-02-06,16866,18126,16817,17981,1491394,0.07851487523992318,0.0288,0.0
2020-02-07,17786,18126,17496,17787,429740,-0.010789166342250134,-0.0072,0.0
2020-02-10,17544,17883,17350,17738,439919,-0.0027548209366391463,-0.0049,0.0
2020-02-11,17786,18610,17593,18175,1187884,0.02463637388657114,0.01,0.2000000029802322
2020-02-12,17980,18707,17932,18320,1300053,0.007977991746905166,0.0069,-0.1000000014901161
2020-02-13,18368,18659,17932,18029,894204,-0.015884279475982588,-0.0024,0.0
2020-02-14,17980,18174,17738,17787,542510,-0.01342281879194629,0.0048,0.0
2020-02-17,17786,18416,17544,18272,701366,0.027267105189183072,-0.0006,0.0
2020-02-18,18077,18271,17883,18078,418392,-0.010617338003502619,-0.0148,0.0
2020-02-19,18320,18465,17980,18272,647926,0.010731275583582223,0.0007000000000000001,0.2000000029802322
2020-02-20,18562,19386,18416,19144,2917067,0.04772329246935203,-0.0067,0.12500000186264512
2020-02-21,18998,20355,18950,19677,3365515,0.027841621395737537,-0.0149,0.05000000074505805
2020-02-24,19192,19386,18416,18514,1594503,-0.05910453829343909,-0.0387,0.0
2020-02-25,18513,18707,18077,18223,1282799,-0.01571783515177705,0.0118,0.15000000223517415
2020-02-26,17738,18465,17689,18175,980612,-0.0026340339131866175,-0.0128,0.15000000223517415
2020-02-27,18465,19143,18077,18223,1278359,0.002640990371389318,-0.0105,0.16666666915019349
2020-02-28,17835,17932,17156,17302,1402829,-0.05054052570926848,-0.033,0.0
2020-03-02,17544,17641,17059,17399,825826,0.005606288290371131,0.0078000000000000005,0.0
2020-03-03,17835,17980,17302,17448,921444,0.002816253807690128,0.0058,0.0
2020-03-04,17253,18320,17205,18126,994094,0.038858321870701484,0.022400000000000003,0.0
2020-03-05,18368,18416,17932,18078,637375,-0.002648129758358153,0.0126,0.06666666766007741
2020-03-06,17738,18077,17593,17642,588009,-0.02411771213629821,-0.0216,0.0
2020-03-09,17156,17156,15654,15848,2107166,-0.10168915088992181,-0.04190000000000001,0.2000000029802322
2020-03-10,15509,16236,15412,15897,1353187,0.0030918727915194566,0.0042,0.0
2020-03-11,15993,16332,15557,15751,1028751,-0.009184122790463656,-0.0278,0.0
2020-03-12,15605,15702,14006,14152,2360786,-0.10151736397689037,-0.0387,0.1000000014901161
2020-03-13,12649,13037,11728,12795,3519200,-0.09588750706613902,-0.034300000000000004,0.2000000029802322
2020-03-16,12891,13376,12358,12359,1406528,-0.03407581086361855,-0.0319,0.0
2020-03-17,11486,12794,11437,12601,1414741,0.019580872238854186,-0.024700000000000003,0.0
2020-03-18,12649,12794,11340,11341,1453345,-0.0999920641218951,-0.048600000000000004,0.0
2020-03-19,11583,11874,9208,9208,3460681,-0.1880786526761309,-0.0839,0.1000000014901161
2020-03-20,9538,10177,9082,10178,2408986,0.10534317984361419,0.07440000000000001,0.0
2020-03-23,9218,9693,9121,9121,1982452,-0.10385144429160931,-0.053399999999999996,0.0
2020-03-24,9450,10032,9140,10032,1439012,0.09987939918868549,0.086,0.1000000014901161
2020-03-25,10613,12019,10420,11923,2653737,0.18849681020733655,0.058899999999999994,0.15000000223517415
2020-03-26,12067,13279,11631,12310,2589373,0.03245827392434797,-0.0109,0.0
2020-03-27,13134,13231,12164,12795,1431993,0.039398862713241334,0.0187,0.1000000014901161
2020-03-30,12213,12843,12067,12746,1203521,-0.003829620945681955,-0.0004,0.0
2020-03-31,13182,13231,12601,12989,1093704,0.01906480464459448,0.0219,0.0
2020-04-01,12891,13328,12310,12359,1139918,-0.048502579105396904,-0.0394,0.0
2020-04-02,12358,12891,12019,12795,1103172,0.035277935108018355,0.023399999999999997,0.0
2020-04-03,13037,13085,12261,12407,1200913,-0.03032434544744045,0.0003,0.0
2020-04-06,12552,12794,12455,12698,885681,0.023454501491093627,0.0385,0.0
2020-04-07,13085,13182,12698,12940,1213131,0.019058119388880135,0.0177,0.0
2020-04-08,12891,12940,12649,12650,1097255,-0.022411128284389514,-0.009000000000000001,0.0
2020-04-09,12940,13037,12698,13037,1066864,0.030592885375493983,0.0161,0.0
2020-04-10,12940,13958,12891,13667,1957413,0.04832400092045708,0.013300000000000001,0.2000000029802322
2020-04-13,13521,13570,13134,13134,892035,-0.038999048803687764,-0.018799999999999997,0.0
2020-04-14,13231,13764,13134,13522,1194003,0.029541647632099988,0.0172,-0.033333333830038704
2020-04-16,13279,13521,13134,13280,802025,-0.017896760834196113,-0.0,0.1000000014901161
2020-04-17,13667,14345,13570,13958,1425705,0.051054216867469915,0.030899999999999997,0.0
2020-04-20,14103,14491,14055,14055,1179381,0.006949419687634295,-0.0084,0.0
2020-04-21,14055,14248,13425,13958,1276960,-0.006901458555674145,-0.01,0.0
2020-04-22,13667,13667,13182,13522,1335363,-0.03123656684338727,0.0089,0.0
2020-04-23,13618,13715,13328,13473,1083696,-0.0036237243011388864,0.0098,0.0
2020-04-24,13425,13812,13279,13570,1073926,0.007199584353893007,-0.0134,-0.1000000014901161
2020-04-27,13861,14248,13715,14055,1126195,0.03574060427413417,0.0179,0.2000000029802322
2020-04-28,14151,14248,13764,13813,818315,-0.0172180718605478,0.0059,0.0
2020-04-29,13909,14200,13812,14104,825078,0.02106711069282552,0.006999999999999999,0.0
2020-05-04,13667,13715,13328,13377,1355893,-0.051545660805445315,-0.0268,0.0
2020-05-06,13618,13764,13473,13570,739328,0.014427749121626698,0.0176,0.0
2020-05-07,13425,14006,13376,13861,1043515,0.021444362564480457,-0.0001,0.0
2020-05-08,13958,14248,13812,13861,702891,0.0,0.0089,0.05000000074505805
2020-05-11,15121,16623,14442,14491,7973700,0.045451266142414015,-0.0054,0.0
2020-05-12,14782,16139,14248,15073,7961875,0.0401628597060244,-0.0068000000000000005,0.2000000029802322
2020-05-13,15121,15315,14782,14976,2076653,-0.006435347973197114,0.0095,0.1000000014901161
2020-05-14,14927,15363,14830,15170,1804338,0.012954059829059839,-0.008,0.0
2020-05-15,15315,15363,14636,14734,1190400,-0.028740936058009203,0.0012,0.0
2020-05-18,14878,14975,14297,14394,1088542,-0.02307587891950591,0.0051,0.0
2020-05-19,14878,15363,14733,15267,1987485,0.06065027094622755,0.0225,0.0
2020-05-20,15315,15702,14975,15267,1688259,0.0,0.0046,0.0
2020-05-21,15751,16478,15557,15994,4338602,0.04761904761904767,0.0044,0.0
2020-05-22,16187,16187,15218,15461,2025928,-0.03332499687382773,-0.0141,0.0
2020-05-25,15557,15799,15363,15606,1315967,0.0093784360649376,0.0124,0.1000000014901161
2020-05-26,15799,16478,15751,16478,2319656,0.05587594514930161,0.0176,0.0
2020-05-27,16720,17156,16187,16236,3023030,-0.014686248331108098,0.0007000000000000001,0.2000000029802322
2020-05-28,16381,16429,15654,15800,1505361,-0.026853904902685355,-0.0013,0.0
2020-05-29,15702,15896,15315,15654,1345224,-0.009240506329113884,0.0005,0.0
2020-06-01,16284,16575,16090,16284,1397120,0.04024530471444998,0.0175,0.0
2020-06-02,16429,16672,16187,16478,1486526,0.011913534758044797,0.010700000000000001,0.0
2020-06-03,16672,16962,16526,16721,1660543,0.014746935307683007,0.0287,0.0
2020-06-04,16962,17156,16284,16478,1342572,-0.014532623646911103,0.0019,0.0
2020-06-05,16478,16526,16090,16381,1031064,-0.005886636727758243,0.0143,0.0
2020-06-08,16866,16866,16332,16672,1341055,0.017764483242781237,0.0011,0.1000000014901161
2020-06-09,19095,19870,17593,17787,10652835,0.06687859884836844,0.0021,0.1000000014901161
2020-06-10,18271,18610,17544,17787,3973387,0.0,0.0031,0.1000000014901161
2020-06-11,17447,18126,17253,17496,2769788,-0.01636026311350991,-0.0086,0.0
2020-06-12,16478,18756,16236,17932,4049937,0.02491998171010512,-0.0204,0.0
2020-06-15,18271,18659,16720,16721,3493372,-0.06753290207450369,-0.047599999999999996,0.0
2020-06-16,17399,18465,17253,18417,3885617,0.10142934035045759,0.0528,0.1000000014901161
2020-06-17,18271,18562,17350,17884,2460403,-0.02894065265787049,0.0014000000000000002,0.15000000223517415
2020-06-18,17932,18271,17593,17787,1663135,-0.005423842540818624,-0.0034999999999999996,0.0
2020-06-19,18029,18126,17544,17981,1420007,0.010906842075673273,0.0037,0.0
2020-06-22,17883,18416,17689,18126,1927443,0.008064067626939453,-0.0068000000000000005,0.1000000014901161
2020-06-23,18707,19192,18368,18902,5042231,0.042811431093456864,0.0021,0.0
2020-06-24,19337,19677,18610,18853,3559595,-0.0025923182731986127,0.014199999999999999,0.0
2020-06-25,18368,18756,18174,18369,1721428,-0.025672306794674582,-0.0227,0.2000000029802322
2020-06-26,18756,19143,18223,19144,2034552,0.0421906472861886,0.0105,0.0
2020-06-29,18707,18853,18416,18465,1479363,-0.03546803175929791,-0.019299999999999998,0.0
2020-06-30,18853,19047,18513,18659,1358561,0.010506363390197615,0.0070999999999999995,0.0
2020-07-01,18804,18901,18223,18272,966165,-0.020740661343051636,-0.0008,0.0
2020-07-02,18513,18610,18077,18369,884215,0.00530866900175142,0.013600000000000001,0.0
2020-07-03,18271,18416,17932,18272,962122,-0.005280635853884275,0.008,0.1000000014901161
2020-07-06,18416,18901,18271,18853,1333467,0.03179728546409799,0.0165,0.0
2020-07-07,19047,19047,18562,18999,1502602,0.007744125603352359,-0.0109,0.0
2020-07-08,19047,19386,18804,19386,1744894,0.020369493131217498,-0.0024,0.0
