Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,142500,143000,138000,138500,105399,-0.03146853146853146,-0.0102,0.1000000014901161
2020-01-03,139500,140500,137000,138000,94712,-0.0036101083032491488,0.0006,0.16666666915019349
2020-01-06,136000,139000,136000,137500,59502,-0.0036231884057971175,-0.0098,0.0
2020-01-07,138000,139500,137500,138500,45616,0.0072727272727273196,0.0095,0.0
2020-01-08,136500,136500,132000,133500,108109,-0.03610108303249093,-0.0111,0.0
2020-01-09,134000,136000,133500,135500,112240,0.014981273408239737,0.0163,0.0
2020-01-10,134000,139000,134000,138500,93896,0.022140221402213944,0.0091,0.0
2020-01-13,139000,140500,137500,140000,59436,0.010830324909747224,0.0104,0.0
2020-01-14,141000,141500,139000,139000,65720,-0.0071428571428571175,0.0043,0.0
2020-01-15,138000,141500,137500,141500,67745,0.017985611510791477,-0.0034999999999999996,0.0
2020-01-16,141000,143000,140000,141500,76008,0.0,0.0077,0.0
2020-01-17,142000,146500,141500,144500,115865,0.021201413427561766,0.0011,0.0
2020-01-20,144500,145000,143000,143500,32316,-0.00692041522491349,0.0054,0.0
2020-01-21,144500,146000,143000,144500,59326,0.006968641114982521,-0.0101,0.0
2020-01-22,146000,147500,144000,146000,112031,0.01038062283737018,0.0123,0.17500000447034833
2020-01-23,148000,157000,147000,156000,251701,0.06849315068493156,-0.009300000000000001,0.14000000208616253
2020-01-28,154500,159000,151000,152500,199398,-0.022435897435897467,-0.030899999999999997,0.0
2020-01-29,153500,154500,149500,151000,76336,-0.00983606557377048,0.0039000000000000003,0.0
2020-01-30,150500,152000,147000,147500,96945,-0.023178807947019875,-0.0171,0.0
2020-01-31,147000,151500,147000,147000,106358,-0.003389830508474523,-0.013500000000000002,0.1000000014901161
2020-02-03,146500,147000,142000,143000,132903,-0.027210884353741527,-0.0001,0.0
2020-02-04,141500,147000,140000,145500,116682,0.0174825174825175,0.0184,0.0
2020-02-05,143500,144000,140000,141000,111980,-0.030927835051546393,0.0036,0.0
2020-02-06,142500,145500,140500,144500,97016,0.024822695035461084,0.0288,-0.3000000119209289
2020-02-07,143000,144000,141000,142500,54548,-0.01384083044982698,-0.0072,0.0
2020-02-10,142500,143000,140000,141500,36981,-0.007017543859649145,-0.0049,0.0
2020-02-11,143000,147500,142000,146000,87438,0.03180212014134276,0.01,0.0
2020-02-12,144500,148500,144500,147000,88424,0.006849315068493178,0.0069,0.1000000014901161
2020-02-13,147000,147500,143000,143000,94999,-0.027210884353741527,-0.0024,0.0
2020-02-14,142000,146000,142000,143500,47190,0.0034965034965035446,0.0048,0.0
2020-02-17,145500,145500,142500,144000,48958,0.0034843205574912606,-0.0006,0.0
2020-02-18,143000,144000,140500,140500,72876,-0.02430555555555558,-0.0148,0.1000000014901161
2020-02-19,142000,143000,140500,141500,52743,0.007117437722419906,0.0007000000000000001,0.4000000059604645
2020-02-20,141500,142000,137000,137000,95621,-0.03180212014134276,-0.0067,0.0
2020-02-21,137000,138000,135000,135500,72270,-0.010948905109489093,-0.0149,0.0
2020-02-24,133000,133500,129000,129000,87117,-0.047970479704797064,-0.0387,0.0
2020-02-25,126000,129500,126000,127500,116620,-0.011627906976744207,0.0118,0.0
2020-02-26,126000,127500,124500,126000,115529,-0.0117647058823529,-0.0128,0.3000000119209289
2020-02-27,125500,128000,124500,125500,93438,-0.003968253968253954,-0.0105,0.0
2020-02-28,123500,125500,121000,123000,100883,-0.019920318725099584,-0.033,0.0
2020-03-02,121500,124000,120000,122500,92130,-0.004065040650406471,0.0078000000000000005,0.0
2020-03-03,124000,125000,120500,120500,97616,-0.01632653061224487,0.0058,0.0
2020-03-04,121000,125000,121000,124000,80779,0.029045643153526868,0.022400000000000003,0.0
2020-03-05,124500,125500,122500,124000,109709,0.0,0.0126,0.0
2020-03-06,123000,123000,120000,120500,100576,-0.028225806451612878,-0.0216,0.0
2020-03-09,118500,119000,113500,113500,141332,-0.05809128630705396,-0.04190000000000001,0.0
2020-03-10,111500,115500,111500,113000,116969,-0.004405286343612369,0.0042,0.0
2020-03-11,112500,115500,110500,112000,113756,-0.008849557522123908,-0.0278,0.0
