Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,254500,256000,247500,247500,214585,-0.033203125,-0.0102,0.2000000029802322
2020-01-02,254500,256000,247500,247500,214585,-0.033203125,-0.0102,0.1000000014901161
2020-01-03,249000,250500,244500,250000,255475,0.010101010101010166,0.0006,0.1000000014901161
2020-01-03,249000,250500,244500,250000,255475,0.010101010101010166,0.0006,0.2000000029802322
2020-01-06,250000,252000,248000,249500,130109,-0.0020000000000000018,-0.0098,0.1000000014901161
2020-01-07,252000,255000,249000,252500,251361,0.012024048096192397,0.0095,0.1000000014901161
2020-01-07,252000,255000,249000,252500,251361,0.012024048096192397,0.0095,0.2000000029802322
2020-01-07,252000,255000,249000,252500,251361,0.012024048096192397,0.0095,0.2000000029802322
2020-01-07,252000,255000,249000,252500,251361,0.012024048096192397,0.0095,0.2000000029802322
2020-01-07,252000,255000,249000,252500,251361,0.012024048096192397,0.0095,0.2000000029802322
2020-01-08,248000,256500,244000,245000,317886,-0.02970297029702973,-0.0111,0.2000000029802322
2020-01-08,248000,256500,244000,245000,317886,-0.02970297029702973,-0.0111,0.2000000029802322
2020-01-08,248000,256500,244000,245000,317886,-0.02970297029702973,-0.0111,0.1000000014901161
2020-01-08,248000,256500,244000,245000,317886,-0.02970297029702973,-0.0111,0.2000000029802322
2020-01-09,245000,248500,243000,245000,283999,0.0,0.0163,0.0
2020-01-09,245000,248500,243000,245000,283999,0.0,0.0163,0.3000000119209289
2020-01-10,245500,247500,244000,244500,208838,-0.0020408163265306367,0.0091,0.1000000014901161
2020-01-13,243500,245500,241500,242000,199412,-0.010224948875255602,0.0104,0.2000000029802322
2020-01-13,243500,245500,241500,242000,199412,-0.010224948875255602,0.0104,0.1000000014901161
2020-01-14,243500,246000,242500,244000,192654,0.008264462809917328,0.0043,0.1000000014901161
2020-01-14,243500,246000,242500,244000,192654,0.008264462809917328,0.0043,0.2000000029802322
2020-01-14,243500,246000,242500,244000,192654,0.008264462809917328,0.0043,0.1000000014901161
2020-01-14,243500,246000,242500,244000,192654,0.008264462809917328,0.0043,0.1000000014901161
