Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,67900,67900,66000,66000,57660,-0.023668639053254448,-0.0102,0.0
2020-01-03,66000,66900,65600,66200,29675,0.003030303030302939,0.0006,0.0
2020-01-06,66300,66500,64300,64700,33387,-0.0226586102719033,-0.0098,0.0
2020-01-07,65400,65400,64000,65100,36825,0.0061823802163833985,0.0095,0.0
2020-01-08,63500,64700,62899,64300,35346,-0.01228878648233489,-0.0111,0.0
2020-01-09,64299,64999,63599,65000,34441,0.010886469673405896,0.0163,0.0
2020-01-10,64499,65000,63600,64600,36478,-0.006153846153846176,0.0091,0.0
2020-01-13,64599,64599,63800,64500,24955,-0.001547987616099089,0.0104,0.0
2020-01-14,64600,64700,63600,64200,48224,-0.0046511627906976605,0.0043,0.0
2020-01-15,64200,64600,63900,64200,24433,0.0,-0.0034999999999999996,0.0
2020-01-16,64300,64500,63700,64000,26289,-0.0031152647975077885,0.0077,0.0
2020-01-17,63799,64099,63400,63600,30628,-0.006249999999999978,0.0011,-0.1000000014901161
2020-01-20,63300,63600,62800,62900,35127,-0.011006289308176154,0.0054,0.2000000029802322
2020-01-21,63000,63299,62400,62400,21000,-0.007949125596184436,-0.0101,0.0
2020-01-22,62200,62700,61900,62100,24900,-0.004807692307692291,0.0123,0.0
2020-01-23,61900,61900,60200,60600,53960,-0.024154589371980673,-0.009300000000000001,0.0
2020-01-28,59700,59700,57700,57700,53520,-0.04785478547854782,-0.030899999999999997,0.0
2020-01-29,57700,58200,57100,57700,39561,0.0,0.0039000000000000003,0.0
2020-01-30,57700,58000,56200,56500,53430,-0.020797227036395194,-0.0171,0.0
2020-01-31,56500,56800,54600,54700,87362,-0.031858407079646045,-0.013500000000000002,0.0
2020-02-03,53600,54600,52500,53500,55111,-0.021937842778793404,-0.0001,0.0
2020-02-04,53500,54300,53100,54000,46586,0.009345794392523255,0.0184,0.0
2020-02-05,54000,54100,52700,53000,62916,-0.01851851851851849,0.0036,0.0
2020-02-06,54700,62300,54200,61400,172533,0.1584905660377358,0.0288,0.3000000119209289
2020-02-07,61699,62299,59600,60300,73926,-0.01791530944625408,-0.0072,0.05000000074505805
2020-02-10,59100,61399,58100,60800,65929,0.008291873963515828,-0.0049,0.0
2020-02-11,59700,61600,59700,60500,36391,-0.004934210526315819,0.01,0.0
2020-02-12,60200,61399,60100,60800,34650,0.0049586776859504855,0.0069,0.0
2020-02-13,60900,61200,60100,60100,57970,-0.011513157894736836,-0.0024,0.0
2020-02-14,59600,60000,58700,58700,47879,-0.02329450915141429,0.0048,0.0
2020-02-17,59100,60100,58500,59500,35763,0.013628620102214661,-0.0006,0.0
2020-02-18,58900,59500,58800,58900,16596,-0.010084033613445342,-0.0148,0.0
2020-02-19,59300,59300,58900,58900,30397,0.0,0.0007000000000000001,0.0
2020-02-20,58400,59500,58300,58900,30241,0.0,-0.0067,0.1000000014901161
2020-02-21,58200,58200,56000,56200,60200,-0.04584040747028861,-0.0149,0.13333333532015482
2020-02-24,54600,54900,53300,53300,49783,-0.051601423487544484,-0.0387,0.0
2020-02-25,53600,55000,53300,55000,50328,0.031894934333958735,0.0118,0.0
2020-02-26,54100,55800,53600,55400,51176,0.0072727272727273196,-0.0128,0.0
2020-02-27,54400,55700,54400,55600,39618,0.0036101083032491488,-0.0105,0.0
2020-02-28,55000,55100,53400,54100,58627,-0.026978417266187105,-0.033,0.0
