,title,date,content
0,"두산그리드텍, 호주서 에너지저장시스템 수주",2020.12.15,"퀸즐랜드주에 150㎿h 규모2만3000가구 1일 소비전력량 두산중공업은 미국 자회사인 두산그리드텍이 신재생에너지 발전사 뷔나에너지로부터 호주 퀸즐랜드주 최대 에너지저장시스템(ESS)을 수주했다고 15일 밝혔다, 두산중공업의 역대 ESS 수주 중 최대 규모로, 총 사업비는 약 1000억원이다.이번에 두산그리드텍이 퀸즐랜드주에 지을 ESS는 150㎿h(메가와트시) 규모로 2만3000여가구에 하루 동안 전력을 공급할 수 있다. 두산그리드텍의 제어용 소프트웨어인 DG-IC를 적용해 퀸즐랜드주 전력망에 직접 연계하는 피크저감형이다. 전력 사용량이 적은 시간대에 전기를 비축해 두었다가 사용량이 많은 시간에 공급하는 차익거래 방식으로 운영될 예정이다. ESS는 주로 태양광·풍력 등 꾸준하게 고출력의 전기를 생산하기 어려운 신재생에너지의 단점을 보완해주는 장치로 많이 쓰인다. 전력 수요에 따라 탄력적으로 전력을 공급할 수 있고, 예비전력 확보가 가능해 최근 시장이 커지고 있다. 호주의 ESS 수요도 지속적으로 늘고 있다. 호주의 ESS 누적 설치 용량은 2020년 1.9GWh(기가와트시) 규모에서 2030년 40GWh로 10년간 20배 이상 급성장할 것으로 전망된다. 송용진 두산중공업 전략·혁신부문장은 “이번 프로젝트를 발판으로 삼아 급성장이 예상되는 호주 ESS 시장에서 사업을 확대해 나갈 것”이라고 밝혔다.박효재 기자 mann616@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
1,"현대중, 두산인프라코어 인수 우선협상대상자로 선정",2020.12.10,"통합 마무리 땐 건설기계 세계 7위공정위 기업결합승인 절차 ‘고비’ 두산중공업이 자회사인 중장비 업체 두산인프라코어의 인수 우선협상대상자로 현대중공업그룹을 선정했다. 인수절차가 마무리되면 현대중공업은 단숨에 글로벌 7위의 건설기계업체로 뛰어오르게 된다.두산중공업은 10일 현대중공업지주-KDB인베스트 컨소시엄을 두산인프라코어 인수 우선협상대상자로 선정했다고 밝혔다. 두산중공업은 두산인프라코어 지분 35.4%를 보유한 최대 주주다. 양측은 연내에 본계약을 체결할 것으로 보인다. 매각가는 경영권 프리미엄까지 더해 8000억~1조원 사이인 것으로 전해진다. 현대중공업은 재무적투자자(FI)로 산업은행 자회사를 유치하면서 다른 경쟁업체들보다 자금력에서도 앞서 최종 인수자로 낙점된 것으로 보인다.현대중공업은 두산그룹의 두산인프라코어 매각 추진 초기부터 유력한 인수 후보로 거론됐다. 계열사인 현대건설기계와 두산인프라코어의 사업영역이 많이 겹쳐 시너지 효과를 낼 수 있기 때문이다. 영국 건설정보 업체 KHL 등에 따르면 지난해 말 글로벌 건설기계 시장에서 두산인프라코어는 3.3% 점유율로 세계 9위(국내 1위)에 올라 있다. 현대건설기계의 점유율은 1.2%(국내 2위)로 22위인데, 두산인프라코어와 합치게 되면 단순 점유율은 4.5%까지 올라 6위인 스웨덴 볼보건설기계(4.6%)를 바짝 추격하게 된다. 두산인프라코어의 중국 시장 점유율이 외국 기업 중 1~2위를 다툰다는 점도 매력적인 요소로 꼽혔다.국내 1·2위 업체가 합치는 만큼 공정거래위원회의 기업결합승인 절차가 고비가 될 것으로 전망된다. 공정위는 시장 점유율이 50%를 넘으면 독점으로 간주한다. 현대중공업 관계자는 “양사 통합 시 굴삭기는 국내 점유율이 50%를 조금 넘겠지만 전체 중장비로 보면 독점으로 보기 힘들다”며 “공정위 심사에 큰 문제는 없을 것”이라고 말했다.박효재 기자 mann616@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
2,창원 그린뉴딜 두산중공업 방문한 문재인대통령 [경향포토],2020.09.17," 문재인 대통령이 17일 오후 경남 창원시 창원 스마트그린 산업단지 내 그린뉴딜 추진기업인 두산중공업을 방문, 가스터빈고온부품공장을 시찰하고 있다. 왼쪽부터 성윤모 산업통상자원부 장관, 박지원 두산중공업 회장, 김경수 경남도지사.청와대사진기자단▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
3,두산중공업 가스터빈 부품공장 방문한 문재인대통령 [경향포토],2020.09.17," 문재인 대통령이 17일 오후 경남 창원시 창원 스마트그린 산업단지 내 그린뉴딜 추진기업인 두산중공업을 방문해 가스터빈 고온부품공장을 현장시찰하고 있다.청와대사진기자단▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
4,"두산중공업 채권단, 1조2000억원 추가 지원",2020.06.01,"풍력발전 등 친환경 전환 조건원전 사업 ‘유지보수·해체’ 축소두산중공업이 풍력발전 등 친환경 에너지 기업 전환을 조건으로 국책은행에서 추가로 1조2000억원을 지원받는다.국책은행 채권단인 산업은행과 수출입은행은 1일 각각 신용위원회와 확대여신위원회를 열고 두산중공업이 제출한 경영정상화 방안을 수용하고 1조2000억원 규모의 추가 자금 지원을 확정했다고 밝혔다. 두산중공업은 기존 2조4000억원에 이날 지원까지 더해 총 3조6000억원을 지원받았다. 두산중공업이 연내 갚아야 할 차입금은 약 4조2000억원에 달한다. 채권단은 향후 사업 구조조정에 필요한 비용과 운영 자금 등을 감안해 추가 자금 지원을 결정했다. 채권단에 따르면 두산중공업은 주력 사업이던 석탄화력발전 관련 부문을 줄이고 액화천연가스(LNG) 발전용 가스터빈, 신재생(풍력, 에너지 저장장치, 수소) 에너지를 중심으로 한 사업 개편을 계획 중이다. 원전 사업은 유지보수와 해체 쪽으로 가닥을 잡았다.다만 각국이 석탄발전을 줄이고는 있지만 풍력 등 신재생에너지 시장이 이를 대체할 만큼 빠르게 성장할지 여부와 두산중공업이 이 부문에서 단기간에 수익을 낼 수 있을지는 미지수다.     전문가들은 풍력이 아직까지는 기저발전(24시간 연속운전)이 어려워 효율이 낮고 시장 자체가 크지 않다고 지적한다. LNG 가스터빈 시장도 제너럴일렉트릭(GE), 지멘스, 미쓰비시·히타치파워시스템(MHPS) 등 3사 점유율만 70%에 달해 힘든 싸움이 예상된다.    이항구 산업연구원 선임연구원은 “두산중공업이 당장 수익을 내는 것보다 정부 지원을 바탕으로 시장에서 수익을 낼 수 있는 시점까지 버틸 수 있느냐가 더 중요하다”고 말했다.박효재 기자 mann616@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
5,"두산중공업, 손쉬운 ‘인력 구조조정’만",2020.03.31,"ㆍ사재 출연 등 뾰족한 자구책 없이 희망퇴직만 종용…최소 600명 신청ㆍ두산중 “담보 제공으로 책임졌다”…두산건설 매각설엔 “사실무근”자금난을 호소하며 지난 27일 국책은행으로부터 1조원의 대출을 받은 두산중공업이 대주주의 사재 출연 등 자구책은 제시하지 않고 손쉬운 인력 구조조정만 추진하고 있다는 지적이 제기된다. 전국금속노조 경남지부는 31일 경향신문과 통화하면서 “두산중공업은 3월4일까지로 한정했던 희망퇴직 신청을 계속 받고 있다”며 “최소 600명에서 많게는 800명까지 신청한 것으로 추산된다”고 밝혔다. 경남지부는 “사측은 정리해고 수순으로 들어가면 퇴직 위로금이나 자녀 학자금 지원도 못 받을 것이라며 사실상 희망퇴직을 종용하고 있다”고 전했다.금속노조 두산중공업지회는 주주총회가 열린 지난 30일 서울에 있는 두산그룹 본사를 찾아 “경영진이 현 자회사인 두산밥캣을 인수하고 또 다른 자회사인 두산건설 적자를 메꾸는 데 너무 많은 돈을 들인 것이 자금난을 불렀다”며 “그럼에도 이번 주총에서 다시 사내이사에 선임된 박지원 회장은 한번도 책임 있는 태도를 보이지 않았다”고 비판했다. 특히 10년간 누적적자가 1조2500억원인데 6000억원 넘게 배당을 했고, 최고경영진은 성과급까지 가져갔다고 주장했다. 그사이 진행된 인력 구조조정으로 2013년 8400여명이던 직원 수는 지난해 6700여명까지 줄어들었다고 노조는 지적했다. 두산중공업은 지난 27일 산업은행과 수출입은행으로부터 대출을 받으면서 (주)두산이 보유 중인 두산중공업 주식과 부동산 등을 담보로 제공해 책임을 졌다는 입장이다. 하지만 경영진의 보수나 배당 반납 등 현금성 사재 출연 계획은 밝히지 않고 있다. 두산중공업은 자금난을 해소할 구체적인 계획도 제시하지 않고 있다. 금융권에서는 두산건설 매각설도 제기되지만 두산중공업은 “사실무근이며 채권단과 협의해 구조조정 방안을 추진할 예정”이라고 밝혔다. 두산중공업의 재무리스크가 우량 자회사인 두산인프라코어나 밥캣으로 전이되는 것을 막기 위해 계열분리 관측까지 나오지만, 그나마 모기업을 지원해온 알짜 회사를 포기하기는 힘들 것이란 전망이 우세하다. 전문가들은 두산중공업이 연료전지 사업 등을 신사업 동력으로 내세우고 있지만 대규모 연구·개발 자금 투입이 필요해 쉽지 않을 것으로 보고 있다.박효재 기자 mann616@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
6,"국책은행, 두산중공업에 자구노력 전제 1조원 긴급 수혈",2020.03.27,"ㆍ해외 석탄발전소 건설 수주 급감ㆍ산은 “실업 등 감안 지원 불가피”ㆍ두산그룹 3·4세 주식 등 담보수주 부진으로 경영난에 시달리고 있는 두산중공업에 결국 국책은행이 1조원 규모의 긴급자금을 수혈한다. 당장 다음달에 6000억원의 빚을 갚아야 하는 두산중공업 입장에서는 일단 숨통을 틔울 수 있게 됐다. 하지만 자회사 부실과 시대 흐름에 맞추지 못한 사업 포트폴리오가 초래한 오랜 위기를 극복할 수 있을지는 미지수라는 평가가 나온다.산업은행과 수출입은행은 두산중공업의 경영 안정과 시장 안정을 위해 1조원 이내의 긴급운영자금을 지원하기로 했다고 27일 밝혔다. 산은은 “코로나19 확산에 따른 초유의 자금경색 상황에서 기간산업인 발전업에 미치는 영향, 대규모 실업에 따른 사회·경제적 악영향, 금융시장 혼란으로 인한 타 기업 연쇄부실 우려 등을 고려해 지원이 불가피했다”고 설명했다. 산은은 “두산중공업에 대해 계열주, 대주주((주)두산) 등의 고통 분담과 책임 이행, 자구노력을 전제로 지원하기로 했다”고 덧붙였다. 두산은 그룹 3·4세 32명이 보유한 두산 지분을 포함해 두산중공업 주식과 부동산, 신탁수익권 등을 담보로 제공하기로 했다.두산중공업은 일단 급한 불을 끌 수 있게 됐다. 지난해 말 기준 두산중공업 차입금은 4조9293억원에 달하며, 올해 만기가 도래하거나 상환청구권 행사가 가능해지는 회사채만 1조2000억원이다. 당장 다음달 27일 회사채 6007억원이 만기다. 두산중공업 관계자는 “긴급자금으로 유동성 위기를 해결하는 등 경영정상화에 속도를 낼 수 있게 됐다”고 말했다. 두산중공업은 자회사인 두산건설의 오랜 부실과 주력인 발전설비사업 분야 실적 부진으로 재무구조가 악화돼왔다. 지난해 결국 상장폐지된 자회사 두산건설에 지난 10년간 1조7000억원을 지원하며 동반 부실에 빠졌고, 2015년 파리기후협약 이후 전 세계에서 석탄화력발전소 건설이 크게 줄면서 해외 석탄발전소 건설 일감이 대부분 끊기기도 했다. 일각에서는 문재인 정부의 탈원전 정책으로 원전기업인 두산중공업 수주가 급감했다는 주장이 나오기도 하지만 실제 두산중공업 사업 포트폴리오에서 가장 비중이 높은 분야는 해외 석탄발전소 건설이다. 시민단체 에너지전환포럼에 따르면 두산중공업은 2015년 수주의 62.2%, 2016년 수주의 83.6%를 차지했던 해외 석탄발전 프로젝트를 2018년에는 한 건도 수주하지 못했다. 전 세계 석탄화력발전소 신규 발주가 급감했기 때문이다. 산은 관계자도 “두산중공업 매출 감소 중 해외 감소가 약 82%를 차지한다”며 “세계적 트렌드에 따라 영업상 어려움이 온 것으로 파악하고 있다”고 설명했다.산은이 “두산그룹의 책임 있는 자구노력 등을 보면서 추가 자금 지원 여부를 검토해나가겠다”고 밝혀 두산중공업은 강도 높은 자구안을 내놔야 하는 상황이 됐다. 두산중공업은 올해 희망퇴직을 실시하고 노조와 일부 휴업을 위한 협의를 하는 등 인건비 절감을 시도해왔는데, 앞으로도 고정비 절감을 위한 자구노력을 계속하겠다는 입장이다. 단 휴업 이상의 인력 구조조정에 대해서는 “아직 계획하고 있지 않다”고 선을 그었다.남지원 기자 somnia@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
7,"산은·수은, 경영위기 두산중공업에 1조원 대출 지원",2020.03.26,"산업은행과 수출입은행이 경영위기를 겪는 두산중공업에 신규자금 1조원을 지원한다.두산중공업은 26일 산업은행·수출입은행과 1조원 규모의 대출 약정을 맺었다고 공시했다. 두산중공업 대주주인 ㈜두산은 두산중공업 주식과 부동산 등을 담보로 제공한다. 두산중공업은 “재무구조 개선을 위해 ㈜두산에서 두산메카텍㈜ 주식을 현물출자 받아 자본을 확충하고, 고정비 절감을 위해 명예퇴직을 하는 등 자구노력을 했지만 코로나19 여파로 자금시장이 경색되면서 어려움을 겪게 돼 은행 대출을 받게 됐다”고 말했다.이번 대출은 두산중공업이 수출입은행과 협의 중인 6000억 원 규모 해외공모사채 만기 대출 전환 건과는 별개다. 두산중공업은 4월에 만기가 돌아오는 외화채권을 대출로 전환해달라고 지급 보증을 한 수출입은행에 요청한 상태다. 수은이 이에 응하면 두산중공업은 신규자금 1조원에 더해 외화대출 6000억원 만기 부담도 덜게 된다. 두산중공업 관계자는 “재무구조 개선을 계획보다 더 원활하게 진행할 수 있을 것으로 기대한다”면서 “빠른 시일 내 이번 대출금액을 상환할 예정”이라고 말했다.임아영 기자 layknt@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
8,"경영난 두산중공업, 산은·수은에 1조 대출 신청",2020.03.26,"경영난에 시달리고 있는 두산중공업이 산업은행과 수출입은행으로부터 1조원 대출을 받는 계약을 맺을 예정이라고 밝혔다. 두산중공업은 26일 산업은행·수출입은행과 1조원 규모 대출을 받을 수 있도록 하는 계약을 신청했다고 공시했다. 두산중공업 관계자는 “대출 확약을 받았으며 사인만 남겨 둔 상황이다”고 밝혔다. 두산중공업의 대주주인 ㈜두산은 두산중공업 주식과 부동산 등을 담보로 제공한다. 두산중공업은 “재무구조 개선을 위해 ㈜두산에서 두산메카텍㈜ 주식을 현물출자 받아 자본을 확충하고, 고정비 절감을 위해 명예퇴직을 하는 등 자구노력을 했지만 코로나19 여파로 자금시장이 경색되면서 어려움을 겪게 돼 은행 대출을 받게 됐다”고 설명했다. 한국신용평가는 이날 두산중공업의 신주인수권부사채(BW) 신용등급(BBB)을 하향 검토 대상으로 올리면서 “단기간 내 상당분의 차입금 만기가 도래하는 동시에 자본시장 불확실성이 커지면서 유동성 부담도 확대하는 상황”이라고 설명했다.이날 국책은행 지원으로 두산중공업은 당장 급한 불은 끄게 됐다. 6000억원 규모의 외화채권 만기가 4월 말과 5월 초로 예정돼 있었고, 또 5000억원어치 신주인수권부사채 역시 투자자 대부분이 풋옵션을 행사할 예정이어서 최소 1조원 이상이 필요했다. 이번 대출은 두산중공업이 수출입은행과 협의 중인 6000억원 규모 해외공모사채 만기 대출 전환 건과는 별건 지원이다. 두산중공업은 다음달 27일 만기가 돌아오는 외화채권을 대출로 전환해달라고 지급보증을 한 수출입은행에 요청한 상태다. 두산중공업 관계자는 “협상이 마무리 단계”라면서 “거의 확정됐다고 봐도 무방하다”고 밝혔다. 또 “숨통은 틔었다”며 “상환해야 되는 금액들을 장기적으로 갚을 수 있는 대출로 전환을 하면서 재무구조 개선 효과를 볼 수 있을 것이다”고 말했다. 두산중공업이 여전히 세계 에너지 시장 흐름과 동떨어지게 석탄, 가스 등 화석연료 중심의 사업 포트폴리오를 유지하면서 위기를 자초했다는 비판이 나오는 만큼 국책은행의 대규모 지원이 적절한가에 대한 논란은 끊이지 않을 것으로 보인다. 두산중공업에 장기적인 신사업 성장동력이 발견되지 않는 상황에서 여신 규모도 커, 자칫 대규모 자금지원이 대출금만 갚는 데 쓰일 수 있다는 우려도 나온다. 주요 은행의 두산중공업에 대한 대출 및 지급보증 규모는 3조원을 훌쩍 넘는다. 이날 대출 계약 신청 건이 실행될 경우를 제외하고도 수출입은행과 산업은행이 각각 1조9000억원, 6200억원의 여신을 보유하고 있다. 우리은행·하나은행·농협도 최소 2000억원 이상 대출을 하거나 지급보증을 하고 있다.  두산중공업 노조는 지난달 명예퇴직에 반발하면서 “경영 악화의 책임은 경영진에 있다. 두산중공업의 위기는 노동자 명예퇴직이 아니라 두산 일가의 사재 출연과 두산 그룹의 지원으로 해결해야 한다”고 주장했다. 한편 정부는 27일 산업경쟁력 강화 관계장관회의를 열어 코로나19 여파로 자금난에 시달리는 대기업 금융지원 방안을 논의한다. 이 자리에서 두산중공업 지원이 안건으로 다뤄질 것으로 알려졌다.박효재 기자 mann616@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
9,"[기고]두산중공업의 오판, 뒷감당은 누구 몫인가",2020.03.17,"미세먼지의 계절이 돌아오면서 한국 지방자치단체들이 앞다퉈 비상저감조치 시행에 나서고 있다. 눈에 띄는 조치는 석탄화력발전소 가동 중단이다. 석탄화력발전은 대기오염물질과 온실가스의 최대 배출원으로 한국을 포함한 전 세계에서 빠른 속도로 퇴출되고 있다.  한국 기업들은 이러한 흐름에 적극적으로 대응하고 있을까. 한국의 대표적인 발전설비 제조 기업인 두산중공업은 변화를 거부한 것처럼 보인다. 두산중공업의 이러한 ‘오판’은 주주뿐 아니라 한국 국민에게 엄청난 손해를 입히고 있다.두산중공업은 매출 하락이 시작된 2013년 이후 한 번도 당기순이익을 기록하지 못했다. 발전설비 시장 트렌드가 달라지면서 수주잔액이 감소했고, 매출액은 지난 6년간 30.6% 감소했다. 지난 5년간 주가는 85% 하락했고, 신용등급은 A+에서 BBB까지 떨어졌다. 두산중공업이 당장 올해 재융자(refinance)해야 할 채권이 7090억원에 이른다는 점까지 감안하면 회사에 비상이 걸렸다 해도 과언이 아니다.두산중공업 경영진은 세계 에너지 시장 동향을 진지하게 살펴봐야 한다. 에너지 전환은 피할 수 없는 흐름이다. 지난 한 해에만 미국에서 8개 석탄회사가 도산했고, 호주에서는 상장된 4대 석탄회사가 모두 큰 손실을 내면서 주식투자자들에게 막대한 손실을 입혔다. 반면 석탄 사업을 정리하고 재생에너지 중심으로 포트폴리오를 재편한 회사들은 성장세를 달리고 있다. 스페인 전력기업 이베르드롤라와 미국 넥스테라가 대표적이다.하지만 두산중공업은 여전히 석탄, 가스 등 화석연료 중심의 사업 포트폴리오를 유지하고 있다. 최근 인도네시아 자와 9·10호기 석탄화력발전소 사업에 참여하기로 한 것이 대표적인 예다. 그중에서도 복합화력 가스터빈 시장 진출을 서두르고 있다. 두산중공업은 작년 가을 발전용 대형 가스터빈 생산을 시작했지만, 후발주자인 두산중공업이 한국 가스터빈 시장은 확보할 수 있을지라도 지멘스나 GE, 미쓰비시와 같은 전통 강호들과 세계에서 경쟁하기는 현실적으로 어려울 것이다. 설상가상 재생에너지와 에너지 저장장치의 가격 경쟁력이 높아지면서 아시아 가스발전 시장의 잠재력은 점차 줄고 있다.두산중공업과 거래하는 해외 전력회사, 금융기관, 바이어들은 두산중공업의 경쟁력 자체를 보는 게 아니라 두산중공업을 통해 한국 정부의 보조금을 받아낼 목적으로 사업을 진행한다. 한국 정부가 거액의 정책금융을 유치한다는 조건하에서만 두산중공업과 거래하려 하는 이유다. 납세자 관점에서 이런 상황은 명백히 문제가 있다. 두산중공업의 사업 판단 실패에 대한 대가는 누가 치를까? 대우조선해양의 사례에서 경험했듯 공적 자금으로 기업을 살리려는 시도는 국민 부담으로 전가될 가능성이 충분하다.정부 차원의 응원이 단기적으로 두산중공업의 생존에 도움이 될 수는 있다. 그러나 이를 통해 두산중공업이 납세자들의 지원 없이도 시장에서 경쟁할 수 있는 기업으로 거듭날 수 있을지는 의문이다. 분명한 것은 석탄과 같은 화석연료가 결코 그 답이 될 수는 없다는 것이다.멜리사 브라운 | 에너지경제·재무분석연구소(IEEFA) 아시아 담당이사▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
