,title,date,content
0,코스피 사상 최고치로 2020년 마감…삼성전자 ‘8만전자’ 진입,2020.12.30," 올 한해를 뜨겁게 달려온 코스피가 사상 최고가로 2020년을 마무리했다.30일 유가증권시장에서 코스피는 전 거래일보다 52.96포인트(1.88%) 오른 2873.47로 마감했다. 코스피는 이날까지 4일 연속 최고치 기록을 경신하는 랠리를 펼치면서 한 해를 마쳤다. 외국인은 2490억원, 기관은 1천967억원을 순매수했고, 개인은 5118억원을 순매도했다.외국인은 오후 들어 전기·전자, 서비스 업종을 집중적으로 매수하면서 지수 상승을 이끌었다. 삼성전자(3.45%), SK하이닉스(2.16%), NAVER(3.36%), 삼성SDI(4.49%) 등 시가총액 상위 대형주들이 크게 올라 이날 강세를 주도했다.삼성전자는 첫 8만원대 종가를 기록하며 코스피 상승을 주도했다. 이날 유가증권시장에서 삼성전자는 전 거래일보다 2700원(3.45%) 오른 8만1000원에 거래를 마쳤다. 지난 28일 처음으로 장중 8만원을 터치한데 이어 종가로도 처음으로 8만원을 넘어섰다. 기관이 978억원을 순매수하며 주가 상승을 이끌었고, 개인과 외국인은 각각 965억원, 234억원을 순매도했다. 반도체 업황 개선에 대한 기대감이 높고, 특별 배당이 이뤄질 것이란 전망에 삼성전자 주가는 최근 상승세를 이어왔다.서울 외환시장에서 원/달러 환율은 전날 종가보다 5.8원 내린 달러당 1086.3원에 거래를 마쳤다.이윤주 기자 runyj@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
1,"삼성SDI, 3분기 매출 사상 최고치…‘K-배터리’는 순항 중",2020.10.27," 삼성SDI가 올해 3분기 사상 최대 매출액을 달성했다. 유럽 전기차 시장 호조로 전지사업 부문이 호황을 누리면서 3분기 매출액은 지난해 같은 기간보다 20.2% 늘어난 3조872억원을 기록했다.삼성SDI는 27일 공시를 통해 3분기 실적을 발표했다. 사상 첫 3조원 넘는 매출을 올린 데 이어 영업이익도 전년 동기 대비 61.1% 증가한 2674억원을 기록한 것으로 나타났다. 이는 금융정보업체 에프앤가이드가 전날 추정한 영업이익 2048억원을 30.6% 초과한 ‘어닝 서프라이즈(깜짝 실적)’이다.이 같은 실적은 삼성SDI 분기 전체 매출액의 77.2%를 차지한 것으로 나타난 전지사업 부문의 성과에 힘입었다. 전지사업 부문만 2조3818억원의 매출을 기록하면서 역시 부문 사상 최대 매출고를 올렸다. 전지사업부문에는 전기차 배터리와 에너지저장장치(ESS), 소형전지 등이 포함된다. 삼성SDI는 국내 2차전지(배터리) 업계 2위사다. 삼성SDI 관계자는 “전기차 판매가 계절적으로 성수기에 진입한 데다 유럽 시장의 지원 정책 강화로 매출이 큰 폭으로 늘었다”면서 “소형전지도 개인 이동수단 수요가 늘었고 신규 스마트폰 출시 등으로 매출이 크게 개선됐다”고 설명했다.앞서 배터리 업계 1위인 LG화학은 지난 21일 발표한 3분기 실적에서 매출 7조5073억원·영업이익 9021억원을 올려 사상 최대 실적을 기록했다. 석유화학 부문 호조가 기여한 바가 컸지만, 전지사업 부문에서도 전 분기 첫 ‘흑자’를 낸 데 이어 2분기 연속 흑자를 기록한 것도 실적에 영향을 미쳤다.배터리 업계 3위 SK이노베이션은 오는 30일 3분기 실적을 발표한다.정환보 기자 botox@kyunghyang.com▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
2,"“코로나·로타리 돌아·나비처럼 날아가”…삼성SDI, ‘응원과 격려’의 백일장",2020.10.18," “코리아를 찾아온 코로나야/로타리 한 바퀴 휙 돌았으니/나비처럼 훨훨 날아 떠나거라.”(삼성SDI 소형전지사업부 김현선 프로)“…해가 뜨면 밖에 나가고 싶은 너의 마스크가 되어줄게…”(소형전지사업부 장경호 프로)삼성SDI가 최근 사내 소통 채널인 ‘SDI 토크’를 통해 임직원 백일장 대회를 개최했다고 18일 밝혔다. ‘희망은 우리 안에 있어요’라는 캐치프레이즈를 걸고 자작시와 ‘코로나’ 삼행시 부문으로 나눠 개최한 이번 백일장에는 임직원 200여명이 ‘비대면 방식’으로 참여했다. 형식은 ‘경연대회’였지만 ‘코로나19 상황을 함께 이겨내자’는 취지의 격려와 응원 등을 주제로 한 작품이 대부분을 차지한 행사였다고 삼성SDI는 전했다.자작시 부문은 소형전지사업부 장경호 프로의 ‘아들에게 쓰는 편지’가, 코로나 삼행시 부문에서는 소형전지사업부 김현선 프로의 작품이 최우수작으로 선정됐다. 자작시 최우수작은 맘껏 뛰어놀지 못하는 자녀에 대한 안타까운 심정을 진솔하게 담았고, 삼행시는 코로나19 종식을 기원하는 메시지를 재치있게 풀어냈다는 평가를 받았다.백일장 심사를 맡은 나태주·고두현 시인은 심사평에서 “시에는 언어적 표현도 중요하지만 진정성이 더욱 중요하다”면서 “말랑말랑한 감성의 뿌리에서 새로운 창의와 상상이 꽃을 피워 올린다면 우리 일상이 더 풍요로워질 것”이라고 밝혔다.삼성SDI 백일장 최우수상을 수상한 소형전지사업부 김현선 프로(왼쪽)과 장경호 프로｜삼성SDI 제공정환보 기자 botox@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
3,"삼성, 연말 이웃사랑 성금 500억원 기탁",2020.12.01,"이재용 부회장 제안 따라 ‘NGO 제휴 달력’ 30만개도 구입 삼성그룹이 올해 연말 이웃사랑 성금으로 사회복지공동모금회에 500억원을 기탁했다고 1일 밝혔다. 삼성은 사회 취약계층을 돕기 위해 사회복지공동모금회에 해마다 성금을 내왔다. 삼성이 1999년부터 올해까지 기탁한 성금은 총 6700억원에 달한다. 이번 이웃사랑 성금 기탁에는 삼성전자, 삼성디스플레이, 삼성SDI, 삼성전기, 삼성SDS, 삼성생명, 삼성화재, 삼성카드, 삼성증권, 삼성물산, 삼성엔지니어링, 제일기획, 에스원 등 13개 계열사가 참여했다.또 삼성은 국내외 비정부기관(NGO)의 청소년 교육과 아동보호 사업을 후원하기 위해 유니세프, JA코리아, 아이들과 미래재단, 초록우산 어린이재단, 푸른나무재단 등 NGO 9곳의 탁상달력 30만개를 구매해 임직원들에게 지급하기로 했다. 삼성은 NGO 사업을 금전적으로 후원하는 데 그치지 않고, 기업의 사회적 역할에 대한 임직원들의 인식을 함께 높여 나가자는 이재용 삼성전자 부회장의 제안에 따라 지난해부터 달력을 자체 제작하는 대신 NGO들과 제휴해 만든 달력을 구입하고 있다. 달력은 청소년 학습지원, 취약계층 어린이 지원, 학교폭력 예방·치료, 지구환경보호 등 청소년 교육과 아동보호 사업 NGO들과 함께 제작한 것이다.구교형 기자 wassup01@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
4,기대치 웃돈 2분기 성적 거둔 삼성SDI “내년 자동차 배터리 흑자전환”,2020.07.28," 코로나19의 영향에도 불구하고 삼성SDI가 시장 기대치를 크게 웃돈 2분기 성적표를 내놨다. 자동차전지 매출은 전분기 대비 줄었지만 에너지저장장치(ESS) 해외 매출이 늘었고 반도체 업황 호조로 전자재료부문 매출도 증가했다. 하반기에는 전기차 판매량 증가의 영향으로 자동차전지 중심으로 매출과 수익성 개선이 기대된다.삼성SDI는 연결기준 올해 2분기 매출액이 2조5568억원, 영업이익은 1038억원으로 집계됐다고 28일 공시했다. 영업이익은 전년 동기 대비 34.0% 감소했지만 전 분기보다는 92.2% 증가했다. 700억원대 영업이익을 거둘 것으로 예상했던 시장 기대치도 크게 웃돌았다.전지(배터리) 사업부문 매출은 1조9187억원으로 전 분기 대비 7.0% 늘었다. 중대형전지 중 자동차전지는 코로나19로 주요 고객사들의 가동이 멈추면서 매출이 감소했고, ESS는 미주 전력용 프로젝트를 중심으로 해외 매출이 늘었다고 삼성SDI는 설명했다. 소형전지의 경우 1분기 기저효과로 주요 애플리케이션용 배터리 매출이 늘었다. 폴리머 배터리는 시장 약세가 이어지면서 플래그십 휴대폰용 배터리 중심으로 매출이 감소했다. 서버용 D램 수요 호조로 반도체소재 매출이 늘면서 전자재료사업부문 매출은 6381억원으로 전 분기보다 6.0% 증가했다.삼성SDI는 올 하반기부터 코로나19 영향에서 차츰 벗어나면서 수익성이 크게 개선될 것이라고 전망했다. 특히 그동안 적자가 계속됐던 자동차 배터리 부문이 전기차 시장 성장에 힘입어 내년에는 흑자로 전환될 것이라고 기대하고 있다. 삼성SDI는 이날 컨퍼런스콜에서 “자동차 배터리 부문이 올해 코로나19 여파에도 불구하고 작년 대비 50% 수준으로 성장하고, 내년도 올해 수준으로 성장할 것으로 전망한다”며 “자동차 배터리 단독으로 흑자 전환을 목표로 한다”고 말했다.코로나19 이후 여러 국가에서 경기부양을 위해 신재생에너지 육성 정책을 펼치며 ESS 수익도 늘어날 것으로 보인다. 전기바이크 등 마이크로모빌리티용 원형 배터리 판매가 늘어나는 등 소형 배터리 판매도 증가할 전망이다.삼성SDI는 국내 배터리 3사 중 이날 가장 먼저 2분기 실적을 공개했다. SK이노베이션은 29일, LG화학은 31일 각각 2분기 실적을 발표할 예정이다.남지원 기자 somnia@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
5,창립 50주년 맞은 삼성SDI “초격차 기술로 새로운 50년 만들 것”,2020.07.01," 전영현 삼성SDI 사장이 1일 ‘창립 50주년’을 맞아 “초격차 기술 중심의 새로운 50년을 만들자”고 밝혔다.삼성SDI는 이날 경기 용인시 기흥사업장에서 임직원 100여명이 참석한 가운데 창립 50주년 기념식을 가졌다. 이 자리에서 전 사장은 ‘새로운 50년’을 만들기 위해 초격차 기술 확보, 일류 조직문화 구축, 사회적 책임 제고 등 3대 이행 과제를 제시했다.전 사장은 “최고의 품질과 안전성을 기반으로 초격차 기술을 확보해야 초일류 회사가 될 수 있다”면서 “차세대는 물론 차차 세대 배터리까지 염두에 두고 관련 기술을 확보해 나가야 한다”고 말했다. 또 열린 마음으로 협업하고 소통하는 자율과 창의의 조직문화 구축, 협력사와 동반성장을 통한 건강한 산업 생태계 조성을 당부했다.이날 행사는 코로나19를 감안해 최소 인력만 참석한 가운데 열렸다. 참석자들은 발열 체크와 손 소독을 거쳐 마스크를 착용한 상태로 1m 이상 좌석 간격을 유지했다. 나머지 임직원들은 TV로 기념식을 시청했다.삼성SDI는 창립 50주년을 맞아 지난 6월 한 달간 국내 6개 사업장 1만여명의 임직원이 자원봉사대축제 캠페인에 참여했다고 밝혔다. 올해는 언택트 개념을 도입해 사람 간 접촉 없이 진행하는 사회공헌활동을 벌였다. 걸음 수만큼 기금이 적립되는 ‘드림워킹’ 활동이 대표 사례로, 삼성SDI 임직원들은 한 달 동안 12억 걸음을 걸은 것으로 집계됐다. 삼성SDI는 이 기금으로 인근 학교 초등학생들이 보다 깨끗한 공기 속에서 수업을 받을 수 있도록 학교에 숲을 만들 예정이다.구교형 기자 wassup01@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
6,"삼성SDI 합작사 ‘에코프로이엠’, 배터리 ‘양극재’ 공장 착공",2020.11.18," 삼성SDI와 에코프로비엠이 설립하는 합작법인 ‘에코프로이엠’이 18일 경북 포항에서 양극재 생산공장 착공식을 열었다. 양극재는 배터리 4대 핵심소재 가운데서도 원가의 40~50%를 차지하는 핵심 소재다.삼성SDI는 2022년 1분기부터 에코프로이엠으로부터 전기차 35만대에 장착할 수 있는 배터리에 들어가는 양극재를 공급받을 것으로 예상된다. 업계에서는 안정적인 양극재 공급의 기반을 마련했다는 평가가 나온다.경북 포항 영일만 산업단지에 들어서는 합작법인 에코프로이엠 공장은 2022년 1분기부터 차세대 하이니켈 양극재를 연간 3만1000t 생산할 예정이다. 2025년까지 공장 규모를 2.5배 이상 증설해 세계 최대의 양극재 생산기지로 만들겠다는 것이 목표다.에코프로이엠 공장은 영일만 산단 내 7만6000㎡에 건축 면적 1만9800㎡ 규모로 들어서며, 1800억원의 건축비가 투입된다. 이날 착공식에는 이철우 경북도지사, 이강덕 포항시장, 전영현 삼성SDI 사장, 이동채 에코프로 회장, 최문호 에코프로이엠 대표 등이 참석했다.전영현 삼성SDI 사장은 “소재 경쟁력 확보에 배터리의 미래가 달렸다”며 “더 혁신적으로 차별화한 소재 기술을 통해 차세대 배터리 개발에 속도를 내겠다”고 말했다.정환보 기자 botox@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
7,"중국 CATL, 전기차배터리 3개월 연속 1위…LG에너지솔루션과 엎치락뒤치락",2020.12.31," 글로벌 전기차 배터리 시장에서 중국 CATL이 3개월 연속 1위를 차지하며, 선두를 다투는 LG에너지솔루션과의 격차를 벌린 것으로 나타났다.31일 시장조사기관 SNE리서치 자료에 따르면 올해 1~11월 전 세계 전기차에 탑재된 배터리 가운데 중국 CATL 제품의 사용량이 28.1GWh로 1위를 차지했다. 글로벌 시장 점유율은 24.2%였다.2위는 LG에너지솔루션(옛 LG화학 전지사업본부)으로 사용량 26.4GWh, 점유율 22.6%로 1위를 바짝 추격 중인 것으로 집계됐다. 올해 LG에너지솔루션은 지난 3월 처음으로 연간 누적 배터리 사용량 세계 1위에 오른 뒤 8월까지 6개월 동안 선두를 지켰지만, 9월부터는 다시 CATL에 자리를 내줬다. 두 회사의 배터리 사용량 격차는 9월 0.3GWh에서 11월 1.8GWh까지 벌어졌다. 점유율 격차도 0.2%포인트에서 1.6%포인트로 확대됐다.배터리 업계에서는 앞으로 유럽과 동남아시아 등 세계 시장에서 LG에너지솔루션과 CATL이 치열한 선두 다툼을 펼칠 것으로 내다보고 있다.CATL은 중국 정부의 전폭적인 보조금 지원에 힘입어 2017년부터 지난해까지 3년 연속 세계 1위를 지켜오다 올해 LG에너지솔루션의 맹추격에 상승세가 주춤했다. 하지만 올해 하반기부터 전기차 세계 1위 업체인 테슬라의 모델3 중국 판매 차량에 배터리를 공급하면서 다시 정상을 탈환했다. 중국 당국은 당초 2020년 폐지 예정이던 전기차 보조금을 2022년까지로 연장해 중국 배터리 업계의 성장세는 새해에도 계속될 것으로 전망된다.LG에너지솔루션도 내년 초부터 테슬라 중국 상하이 공장에서 생산하는 모델Y 차량에 배터리 납품 계약을 최근 체결해 중국은 물론 세계 시장에서 점유율 확대가 예상된다. 12월 LG화학의 자회사로 새 출발한 이후 새해 하반기에는 기업공개(IPO)를 목표로 하고 있어 대규모 투자자금 유치도 기대된다.SNE리서치 조사에서 일본 파나소닉은 누적 사용량 22.3GWh(19.2％)로 3위를 차지했다. 파나소닉은 9월 대비 점유율이 2.0%포인트 감소했다.4, 5위는 삼성SDI와 SK이노베이션으로 각각 6.8GWh(5.8％)와 6.5GWh(5.5％)을 기록했다. ‘K배터리(한국 배터리 산업)’ 3사의 점유율 합계는 33.9%로 전 세계 전기차 배터리 시장의 3분의 1을 차지하고 있는 것으로 조사됐다. 이는 지난해 3사의 점유율 합계 16.6%의 2배에 이른다.정환보 기자 botox@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
8,울주 ‘삼성SDI 지원동’ 울산지역 첫 민간건축물 지진안전 인증 [울산시],2020.10.27," 울산시는 27일 울주군 삼남면 소재 삼성SDI 지원동이 울산지역 민간건축물로는 처음으로 지진안전 시설물 인증을 받았다고 밝혔다.내진설계 인증서와 명판을 받은 삼성SDI 지원동은 2007년 준공된 업무시설이다. 이 건물은 한국안전시설공단의 인증심사에서 내진 성능평가 기준을 충족했다.앞서 울산의 민간건축물 중에는 어린이집과 대형마트 각 1곳이 지진안전 시설 인증을 추진했지만, 내진보강 사업비용이 너무 많이 드는 등의 부담 때문에 최종 인증을 받지 못했다.정부와 각 지자체는 지난해부터 민간건축물의 내진 보강사업을 촉진하기 위해 ‘지진안전 시설물 인증지원 사업’을 벌이고 있다. 건축물 소유자가 내진 성능평가 결과를 첨부해 한국시설안전공단에 내진인증을 신청하면 서류심사와 현장실사 등을 거쳐 인증서와 함께 건물에 내걸 인증명판을 발급한다.민간 건축주들이 지진안전 인증을 신청하면 내진 성능평가 비용의 90%(최대 3000만원), 인증수수료의 60%(최대 500만원)를 지원받을 수 있다.울산시 관계자는 “성능 평가비용과 인증수수료 지원으로 건축물 소유자들이 지진안전 인증을 받는 데 필요한 재정적 부담을 줄였다”며 “민간건축물 내진보강이 많이 이뤄지도록 권유하겠다”고 말했다.한편 전국 민간건축물 중 지진안전 인증을 받은 것은 지난해 6월 DGB대구은행 수성동 본점을 시작으로 지금까지 모두 36곳에 이른다.백승목 기자 smbaek@kyunghyang.com▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
9,협력이 혁신이다,2020.12.29," 한 해를 마무리하고, 차분히 새해를 준비할 때다. 돌이켜보면 올해는 유난히 힘든 한 해였다. 올해 같은 해는 없었다는 게 이구동성으로 하는 말이다. 소상공인도, 직장인도, 학생도, 워킹맘도, 기업하는 사람들도…누구 한 사람 예외는 없었다. 올 한 해 모두를 힘들게 한 코로나19는 힘이 빠지기는커녕 시간이 갈수록 더 위세를 떨치고 있다. 물리적(사회적) 거리 두기로 일상이 멈춘 지 오래다. 비일상이 일상이 돼가고 있는 상황이다. 하지만 두려움과 혼돈 속에서도 서로에게 희망이 돼주는 빛이 있었다. 이 빛은 특정인의 것이 아니었다. 제자리에서 비일상을 묵묵히 이겨내면서 나보다 힘들어하는 타인을 위해 기꺼이 남의 짐을 지는 우리 공동체 모두가 빛이 됐다. 서로의 등을 두드려주고, 용기를 북돋워주면서 담담하게 새해를 맞이하자는 말을 건네고 있다. 코로나19가 장기화하면서 국내 기업들의 통 큰 기부가 소외 계층에 큰 위안이 됐다. 올해처럼 기업의 사회적 책임이 과연 어떤 것인가를 곱씹어 보게 하는 해도 없었던 것 같다. 삼성을 필두로 5대그룹에서만 연말 이웃돕기 성금으로 1000억원가량이 모였다. 삼성그룹은 이달 초 이웃사랑 성금 500억원을 마련해 시회복지공동모금회에 기탁했다. 성금 기탁에는 삼성전자, 삼성디스플레이, 삼성SDI, 삼성전기, 삼성SDS, 삼성생명 등 13개 계열사가 참여했다.전달한 성금은 청소년 교육 지원, 취약계층 생계 지원, 사회 복지시설 개·보수 등에 쓰인다. 삼성은 사회 취약계층을 돕기 위해 1999년부터 사회복지공동모금회에 연말 이웃사랑 성금을 전달해왔다. 올해까지 기탁한 성금액은 총 6700억원에 달한다. 삼성은 이밖에 청소년 교육·아동보호 사업을 하는 비정부기구(NGO) 9곳의 달력 30만개도 구입한다. 국내외 NGO를 후원하는 차원에서 유니세프, JA코리아 등의 탁상달력을 구매해 임직원들에게 지급할 예정이다. 이는 기업의 사회적 역할(CSR)에 대한 임직원들의 인식을 높여 나가자는 이재용 삼성전자 부회장의 제안에 따라 이뤄진 것이다. 현대차그룹도 최근 사회복지공동모금회에 이웃돕기 성금 250억원을 전달했다. 이번에 전달된 성금은 생태 보전과 환경교육 등 환경사업 지원, 아동·청소년 인재 육성, 사회 취약계층의 자립 역량 강화와 경제적 기반 마련, 어린이·노인 등 교통약자의 안전하고 편리한 이동 지원 등에 쓰일 예정이다.SK그룹도 이웃사랑 성금 120억원을 사회복지공동모금회에 기부했다. SK는 1999년 이후 매년 이웃사랑 성금을 기부해왔다. 올해 말 현재 누적 기부액은 올해 포함, 총 1760억원에 이른다. 이웃사랑 성금 외에도 SK는 올 한 해 모든 이해관계자의 행복을 추구하기 위해 다양한 활동을 펼쳐왔다. 특히 코로나19라는 전대미문의 위기상황을 맞아 기존 복지시스템을 보다 튼튼하고 촘촘하게 만들기 위해 기업 차원의 ‘세이프티 넷(안전망)’ 역할을 묵묵히 수행해왔다.LG그룹도 연말을 맞아 이웃사랑 성금 120억원을 기탁하고 계열사별로 비대면 봉사활동을 확대한다. 성금은 사회 취약계층 생계 지원, 주거·교육 환경 개선, 청소년 교육사업 등에 쓰일 예정이다. LG는 1999년부터 올해까지 사회복지공동모금회에 약 2000억원의 이웃사랑 성금을 기탁해오고 있다. 5대 그룹뿐 아니라 포스코·롯데·GS·효성 등도 성금과 함께 임직원을 중심으로 적극적인 사회공헌 활동을 펼치면서 기업의 사회적 역할을 다하기 위해 힘쓰고 있다.최병태 기획위원 cbtae@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
