,Date,Senti_Score,Open,High,Low,Close,Volume,EachStock,KOSPI
0,2020-01-02,0.1000000014901161,38600,38650,37800,37850,187682,-0.01943005181347146,-0.0102
1,2020-01-03,0.0,38000,38500,37850,38100,266984,0.006605019815059343,0.0006
2,2020-01-06,0.05000000074505805,37700,38000,37150,37500,215108,-0.015748031496062964,-0.0098
3,2020-01-07,0.0,37500,37950,37250,37800,288546,0.008000000000000007,0.0095
4,2020-01-08,0.0,37300,37400,36850,37150,287810,-0.01719576719576721,-0.0111
5,2020-01-09,0.0,38200,38200,37150,37600,306136,0.01211305518169592,0.0163
6,2020-01-10,0.0,37500,37850,37400,37850,223093,0.0066489361702126715,0.0091
7,2020-01-13,0.0,37900,37950,37350,37650,153232,-0.005284015852047519,0.0104
8,2020-01-14,0.05000000074505805,37800,38100,37450,38000,327233,0.009296148738379806,0.0043
9,2020-01-15,0.2000000029802322,38050,38050,37450,37900,188318,-0.0026315789473684292,-0.0034999999999999996
10,2020-01-16,-0.1000000014901161,37900,38150,37500,38150,209219,0.006596306068601621,0.0077
11,2020-01-17,0.0,38150,38200,37850,38150,199419,0.0,0.0011
12,2020-01-20,0.0,38200,38300,37800,37850,179914,-0.007863695937090465,0.0054
13,2020-01-21,0.12000000178813933,38050,38100,37650,37700,187588,-0.003963011889035695,-0.0101
14,2020-01-22,0.1285714315516608,37900,38300,37600,38300,237796,0.01591511936339529,0.0123
15,2020-01-23,0.1000000014901161,38050,38300,37700,38100,201322,-0.005221932114882533,-0.009300000000000001
16,2020-01-28,0.0,37500,37800,36100,36350,390860,-0.04593175853018372,-0.030899999999999997
17,2020-01-29,0.0,36300,36350,35900,36350,295323,0.0,0.0039000000000000003
18,2020-01-30,0.10000000521540639,36400,36400,35250,35400,274189,-0.02613480055020634,-0.0171
19,2020-01-31,0.0,35750,36200,35250,35250,286937,-0.004237288135593209,-0.013500000000000002
20,2020-02-03,0.0,35050,35350,34550,35000,226193,-0.007092198581560294,-0.0001
21,2020-02-04,0.0,34850,35450,34800,34900,323944,-0.0028571428571428914,0.0184
22,2020-02-05,0.0,35250,35600,35000,35350,272398,0.012893982808023008,0.0036
23,2020-02-06,0.0,35700,36700,35600,36700,310018,0.03818953323903829,0.0288
24,2020-02-07,-0.2000000029802322,36500,36700,35650,35850,227786,-0.023160762942779245,-0.0072
25,2020-02-10,0.0,35300,35700,35100,35300,140996,-0.015341701534170138,-0.0049
26,2020-02-11,0.0,35600,35800,35350,35500,156849,0.0056657223796034994,0.01
27,2020-02-12,0.1000000014901161,35350,35600,35000,35450,186068,-0.0014084507042253502,0.0069
28,2020-02-13,0.0,35600,35700,35100,35300,319803,-0.004231311706629048,-0.0024
29,2020-02-14,0.0,35050,35700,35000,35250,265367,-0.0014164305949008194,0.0048
30,2020-02-17,0.1000000014901161,35400,35550,35000,35250,168530,0.0,-0.0006
31,2020-02-18,0.1000000014901161,35050,35600,34900,35500,296848,0.007092198581560183,-0.0148
32,2020-02-19,0.0,35800,36050,35500,35750,336118,0.007042253521126751,0.0007000000000000001
33,2020-02-20,0.0,35750,36200,35500,35700,238687,-0.0013986013986013734,-0.0067
34,2020-02-21,0.1000000014901161,35050,35600,34900,35100,189637,-0.01680672268907568,-0.0149
35,2020-02-24,0.0,34750,34950,33900,33900,313620,-0.03418803418803418,-0.0387
36,2020-02-25,0.0,33750,34600,33750,34300,341216,0.01179941002949847,0.0118
37,2020-02-26,0.0,34150,34500,33900,34000,283194,-0.008746355685131157,-0.0128
38,2020-02-27,0.0,34000,34200,33400,34000,346441,0.0,-0.0105
39,2020-02-28,0.10000000397364296,33400,33800,32750,33100,391888,-0.026470588235294135,-0.033
40,2020-03-02,0.1000000014901161,33200,33350,32050,32950,352305,-0.004531722054380682,0.0078000000000000005
41,2020-03-03,-0.1000000014901161,33550,34050,33050,33200,325337,0.007587253414264028,0.0058
42,2020-03-04,0.2000000029802322,33150,34600,33050,34300,396290,0.033132530120481896,0.022400000000000003
43,2020-03-05,0.2000000029802322,34550,35200,34150,34900,366895,0.017492711370262315,0.0126
44,2020-03-06,0.13333333532015482,34500,34550,34000,34400,318615,-0.014326647564469885,-0.0216
45,2020-03-09,0.0,33750,33750,32950,33150,313390,-0.036337209302325535,-0.04190000000000001
46,2020-03-10,0.033333333830038704,32800,33750,32500,33550,508237,0.012066365007541435,0.0042
47,2020-03-11,0.025000000372529026,33200,34300,32650,33100,423850,-0.01341281669150518,-0.0278
48,2020-03-12,-0.05000000074505805,33400,33400,31300,32250,666939,-0.025679758308157052,-0.0387
49,2020-03-13,0.0,30100,31750,29100,31400,908190,-0.02635658914728678,-0.034300000000000004
50,2020-03-16,0.0,31400,31700,29450,30050,563171,-0.042993630573248454,-0.0319
51,2020-03-17,0.10000000397364296,28500,29900,28300,29300,517060,-0.024958402662229595,-0.024700000000000003
52,2020-03-18,0.05000000074505805,29600,29600,28150,28500,500436,-0.027303754266211566,-0.048600000000000004
53,2020-03-19,0.0,28450,28800,23850,24400,789228,-0.14385964912280702,-0.0839
54,2020-03-20,0.15000000223517415,24500,25600,22750,23900,1291491,-0.020491803278688492,0.07440000000000001
55,2020-03-23,0.0,21500,22400,20450,20800,1010313,-0.12970711297071125,-0.053399999999999996
56,2020-03-24,0.05000000074505805,21600,23450,20900,23350,1006296,0.12259615384615374,0.086
57,2020-03-25,0.08333333457509674,24850,27500,24300,27400,1109536,0.17344753747323338,0.058899999999999994
58,2020-03-26,0.08333333457509674,27400,28000,26300,26850,1043480,-0.02007299270072993,-0.0109
59,2020-03-27,0.0,28400,29400,27300,27800,865105,0.035381750465549366,0.0187
60,2020-03-30,0.05000000074505805,26950,29400,26200,28300,740674,0.017985611510791477,-0.0004
61,2020-03-31,0.06666666766007741,29250,30250,28700,29350,781828,0.03710247349823326,0.0219
62,2020-04-01,0.0,29350,29600,27150,27250,676657,-0.07155025553662686,-0.0394
63,2020-04-02,0.0,27150,28000,26300,27750,581063,0.0183486238532109,0.023399999999999997
64,2020-04-03,0.05000000074505805,27950,28050,26850,27300,607850,-0.01621621621621616,0.0003
65,2020-04-06,0.0,27350,29050,27350,28700,611532,0.05128205128205132,0.0385
66,2020-04-07,0.0,29750,30000,28100,28900,848392,0.006968641114982521,0.0177
67,2020-04-08,0.0,28550,28700,27950,28000,745384,-0.03114186851211076,-0.009000000000000001
68,2020-04-09,0.14285714392151153,28550,28600,28050,28400,550592,0.014285714285714235,0.0161
69,2020-04-10,0.05000000074505805,28350,29000,28100,28750,601449,0.012323943661971759,0.013300000000000001
70,2020-04-13,0.0,28800,28800,27800,27800,463194,-0.03304347826086962,-0.018799999999999997
71,2020-04-14,0.02000000029802322,28200,28450,27900,28300,362872,0.017985611510791477,0.0172
72,2020-04-16,0.0,27850,27950,27150,27450,517748,-0.030035335689045928,-0.0
73,2020-04-17,0.0,27950,29250,27900,28850,1078805,0.051001821493624755,0.030899999999999997
74,2020-04-20,0.033333333830038704,29000,29250,28250,28250,580078,-0.020797227036395194,-0.0084
75,2020-04-21,0.0,28000,28400,27300,27850,586677,-0.01415929203539823,-0.01
76,2020-04-22,-0.05000000074505806,27400,27950,26900,27850,487539,0.0,0.0089
77,2020-04-23,0.05000000074505805,28000,28350,27750,27850,366007,0.0,0.0098
78,2020-04-24,0.0,27600,27850,27300,27300,295487,-0.019748653500897717,-0.0134
79,2020-04-27,0.07500000111758708,27600,28600,27500,28350,492146,0.03846153846153855,0.0179
80,2020-04-28,0.08333333581686019,28800,29200,28200,28400,501304,0.0017636684303350414,0.0059
81,2020-04-29,0.0,28500,30750,28500,30100,1420001,0.059859154929577496,0.006999999999999999
82,2020-05-04,-0.033333333830038704,29200,29250,28550,28950,882170,-0.038205980066445155,-0.0268
83,2020-05-06,0.13333333532015482,29400,29700,28950,29300,716213,0.012089810017271052,0.0176
84,2020-05-07,0.06666666766007741,28900,29200,28800,28900,317378,-0.013651877133105783,-0.0001
85,2020-05-08,0.0,29250,29300,28950,28950,367150,0.0017301038062282892,0.0089
86,2020-05-11,0.1000000014901161,29100,29300,28500,28500,353080,-0.015544041450777257,-0.0054
87,2020-05-12,0.05000000074505805,28500,28600,27600,27700,534676,-0.028070175438596467,-0.0068000000000000005
88,2020-05-13,0.15000000596046445,27250,27800,27250,27550,348014,-0.005415162454873612,0.0095
89,2020-05-14,0.13333333780368167,27150,27350,27000,27200,538180,-0.012704174228675091,-0.008
90,2020-05-15,-0.1000000014901161,27600,27750,27100,27250,439889,0.0018382352941177516,0.0012
91,2020-05-18,0.0,27300,27500,27100,27450,374489,0.007339449541284404,0.0051
92,2020-05-19,0.0,28300,28500,28050,28350,706645,0.032786885245901676,0.0225
93,2020-05-20,0.0,28200,28350,27950,28200,297121,-0.005291005291005346,0.0046
94,2020-05-21,0.15000000596046445,28550,29150,28200,28900,870578,0.024822695035461084,0.0044
95,2020-05-22,0.1000000014901161,28950,28950,27700,27900,567747,-0.03460207612456745,-0.0141
96,2020-05-25,0.0,28100,28350,27800,28350,258208,0.016129032258064502,0.0124
97,2020-05-26,0.05000000074505805,28400,28950,28250,28850,606505,0.01763668430335108,0.0176
98,2020-05-27,0.17500000447034833,29100,29150,28450,28750,602936,-0.0034662045060658286,0.0007000000000000001
99,2020-05-28,0.0,29200,29600,28400,28800,1086619,0.0017391304347826875,-0.0013
100,2020-05-29,0.0,28500,28650,27800,27950,1121265,-0.02951388888888884,0.0005
101,2020-06-01,0.0,28200,28500,28050,28450,552664,0.017889087656529412,0.0175
102,2020-06-02,0.1000000014901161,28400,30000,28200,29650,1489653,0.04217926186291732,0.010700000000000001
103,2020-06-03,0.1000000014901161,30400,31950,30250,31450,2022916,0.06070826306914001,0.0287
104,2020-06-04,0.1000000014901161,32500,33050,30250,30400,1714570,-0.03338632750397452,0.0019
105,2020-06-05,0.0,30450,31050,30050,30900,671806,0.016447368421052655,0.0143
106,2020-06-08,0.2000000029802322,31800,31800,30750,31100,661185,0.006472491909385036,0.0011
107,2020-06-09,-0.06666666766007741,31300,31400,30100,30450,864297,-0.020900321543408373,0.0021
108,2020-06-10,0.05000000074505805,30150,30600,30000,30300,440301,-0.0049261083743842304,0.0031
109,2020-06-11,0.06000000089406966,30000,30100,29200,29500,903991,-0.02640264026402639,-0.0086
110,2020-06-12,-0.1000000014901161,28300,28850,28200,28800,729511,-0.023728813559321993,-0.0204
111,2020-06-15,0.0,28450,28650,27400,27400,807920,-0.04861111111111116,-0.047599999999999996
112,2020-06-16,0.0,28050,28950,28000,28800,532143,0.051094890510948954,0.0528
113,2020-06-17,0.2000000029802322,28500,28850,28000,28400,623203,-0.01388888888888884,0.0014000000000000002
114,2020-06-18,0.05000000074505805,28400,28850,28050,28150,630792,-0.008802816901408494,-0.0034999999999999996
115,2020-06-19,0.06666666890184084,28550,28650,28200,28600,549130,0.015985790408525657,0.0037
116,2020-06-22,0.07500000111758708,28300,28700,28150,28150,296212,-0.01573426573426573,-0.0068000000000000005
117,2020-06-23,0.05000000074505805,28400,28500,27650,27650,519049,-0.017761989342806372,0.0021
118,2020-06-24,0.0,27950,28200,27800,27900,435913,0.009041591320072317,0.014199999999999999
119,2020-06-25,0.1000000014901161,27350,27450,26700,26850,931999,-0.037634408602150504,-0.0227
120,2020-06-26,0.2000000029802322,27150,27150,26700,26950,420567,0.003724394785847407,0.0105
121,2020-06-29,0.0,26350,26500,25900,26100,521356,-0.03153988868274582,-0.019299999999999998
122,2020-06-30,0.0,26400,26600,26200,26350,364102,0.009578544061302763,0.0070999999999999995
123,2020-07-01,0.0,26500,26900,26200,26350,370951,0.0,-0.0008
124,2020-07-02,0.05000000074505805,26550,26700,26400,26650,313899,0.011385199240986799,0.013600000000000001
125,2020-07-03,0.0,26750,26900,26450,26750,313899,0.0037523452157599557,0.008
126,2020-07-06,0.0,26650,27250,26350,27250,449390,0.01869158878504673,0.0165
127,2020-07-07,0.05000000074505805,27600,27650,27150,27300,438095,0.0018348623853210455,-0.0109
128,2020-07-08,0.0,27300,27500,27200,27500,350653,0.0073260073260073,-0.0024
129,2020-07-09,0.0,27600,27600,27350,27400,335912,-0.0036363636363636598,0.0042
130,2020-07-10,0.0,27550,27550,26700,26700,327676,-0.025547445255474477,-0.008100000000000001
131,2020-07-13,0.2000000029802322,27200,27850,26850,27800,524846,0.04119850187265928,0.0167
132,2020-07-14,0.2000000029802322,27550,28000,27400,28000,307446,0.007194244604316502,-0.0011
133,2020-07-15,0.2000000029802322,28600,28650,28050,28350,644975,0.012499999999999956,0.0084
134,2020-07-16,0.0,28550,29100,28400,28700,759175,0.012345679012345734,-0.008199999999999999
135,2020-07-17,0.0,28800,29250,28750,29250,618226,0.019163763066202044,0.008
136,2020-07-20,0.0,29450,29650,28550,29050,410974,-0.006837606837606813,-0.0014000000000000002
137,2020-07-21,0.10000000397364296,29350,30000,28800,29900,876224,0.029259896729776358,0.0139
138,2020-07-22,0.05000000074505805,30000,30650,29550,29600,659046,-0.010033444816053505,-0.0001
139,2020-07-23,0.17500000447034833,29450,29600,28600,29000,581682,-0.020270270270270285,-0.005600000000000001
140,2020-07-24,0.0,28600,29100,28400,28800,406350,-0.006896551724137945,-0.0070999999999999995
141,2020-07-27,0.07500000111758708,28700,29650,28700,29400,405583,0.02083333333333326,0.0079
142,2020-07-28,0.05000000074505805,29500,29950,29350,29550,440454,0.005102040816326481,0.0176
143,2020-07-29,0.0,29500,29700,29050,29250,358149,-0.010152284263959421,0.0027
144,2020-07-30,0.0,29450,29600,29150,29300,324698,0.0017094017094017033,0.0017000000000000001
145,2020-07-31,0.0,29400,29450,28950,28950,344497,-0.011945392491467532,-0.0078000000000000005
146,2020-08-03,0.033333333830038704,29150,29250,28800,28800,342806,-0.005181347150259086,0.0007000000000000001
147,2020-08-04,0.05000000074505805,28950,30050,28950,29800,801768,0.03472222222222232,0.0129
148,2020-08-05,0.0,30950,31150,29950,30700,1316408,0.030201342281879207,0.013999999999999999
149,2020-08-06,0.0,30950,31700,30900,31050,1141338,0.01140065146579805,0.013300000000000001
150,2020-08-07,0.15000000223517415,31550,31750,30600,31100,767329,0.0016103059581320522,0.0039000000000000003
151,2020-08-10,0.0,31300,33000,31200,33000,1479089,0.06109324758842449,0.0148
152,2020-08-11,0.06000000089406966,33350,34050,32600,32650,1363497,-0.010606060606060619,0.013500000000000002
153,2020-08-12,0.05000000074505805,32650,33250,31650,33000,997755,0.010719754977029039,0.005699999999999999
154,2020-08-13,0.0500000026077032,33500,33550,32500,32950,722402,-0.0015151515151514694,0.0021
155,2020-08-14,0.0,32850,32950,31800,31950,737640,-0.030349013657056112,-0.0123
156,2020-08-18,0.07500000111758708,31700,31750,30000,30300,1017382,-0.05164319248826288,-0.0246
157,2020-08-19,0.10000000149011609,30500,30900,30200,30400,562526,0.0033003300330032292,0.0052
158,2020-08-20,0.1000000014901161,30300,30300,29000,29200,819439,-0.03947368421052633,-0.0366
159,2020-08-21,0.0,29350,29800,29050,29450,434418,0.008561643835616417,0.0134
160,2020-08-24,0.1000000014901161,29300,29850,28850,29750,399877,0.01018675721561979,0.011000000000000001
161,2020-08-25,0.0,30100,31450,29950,31450,735176,0.05714285714285716,0.0158
162,2020-08-26,0.14000000208616256,31450,31450,30650,31300,525112,-0.004769475357710662,0.0011
163,2020-08-27,0.1000000014901161,31200,31300,30350,30400,585378,-0.028753993610223683,-0.0105
164,2020-08-28,0.16666666915019349,30850,31300,30550,30750,708396,0.011513157894736947,0.004
165,2020-08-31,0.06666666766007741,31050,31500,30150,30150,688817,-0.019512195121951237,-0.011699999999999999
