,title,date,content
0,판교구청 예정부지 엔씨소프트 컨소시엄에 매각 [성남시],2020.12.30," 경기 성남시는 판교구청 건립 예정 부지를 엔씨소프트 컨소시엄에 매각한다고 30일 밝혔다. 성남시는 이날 엔씨소프트 컨소시엄 측과 부지 매각 관련 협약을 맺는다. 매각은 해당 부지 내에 소프트웨어진흥시설을 건립하는 조건이며, 매각대금은 8377억원이다. 판교구청 예정 부지는 분당구 삼평동 641 시유지 2만5719.9㎡로, 구청 건립이 요원해지면서 현재 임시주차장으로 쓰이고 있다.엔씨소프트 컨소시엄은 ㈜엔씨소프트, 삼성물산㈜, 대한지방행정공제회, 미래에셋자산운용㈜ 등으로 구성됐다. 협약에 따라 이들 업체는 1조8712억원을 들여 2026년 3월까지 이 부지에 지상 14층, 지하 9층, 연면적 33만574㎡ 규모의 소프트웨어진흥시설을 건립할 예정이다.이 시설에는 엔씨소프트 글로벌 연구개발혁신센터와 소프트웨어 기업이 입주한다. 또 스타트업 성장 지원 공간과 지역주민을 위한 다목적 커뮤니티 공간도 마련된다. 지역주민 고용에도 적극적으로 나서게 되며 주말엔 주차장(800면)을 개방한다.성남시는 이 부지 매각대금으로 교육청이 건립을 포기한 삼평동 이황초교, 판교동 특목고, 백현동 일반고 등 3개 학교 용지를 LH로부터 매입할 방침이다. 이 중 이황초교 부지는 판교구청 대체 부지로 남겨두고, 나머지 2개 부지는 주민 의견을 수렴해 공공시설로 사용할 방침이다. 이 3개 부지는 조성 원가(1379억3700만원)로 매입한다.성남시는 판교구청 부지 매각대금 중 나머지를 판교 트램 건설(2146억원), 판교지역 13개 공용주차장 건립(1875억원), 판교 e스포츠 전용경기장 건립(150억원) 등에도 쓸 계획이다.최인진 기자 ijchoi@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
1,"엔씨소프트, 인턴 포함 전직원에 특별 격려금 200만원 지급",2020.12.22," 올해 실적 호조와 야구단 우승 등 ‘겹경사’를 누린 엔씨소프트가 전 직원에게 코로나19 특별 격려금을 지급한다. 계약직, 단기계약직, 파견직, 인턴직을 포함한 약 4400여명이 대상이다.22일 엔씨소프트는 전 직원에게 ‘이겨내자 코로나 CEO 특별 격려금’ 200만원(세후 기준)을 오는 24일 지급한다고 공지했다. 김택진 대표 명의의 격려금은 정규직·계약직·파견직·인턴 등 모든 직원에게 동일한 금액으로 지급된다. 지급 대상은 4400여명으로 총 금액은 88억원에 달한다. 김택진 엔씨소프트 CEO. 엔씨소프트 제공.엔씨소프트는 올해 3분기까지 누적 매출이 1조 8548억원을 기록하는 등 사상 최대 실적을 거뒀다. 또 엔씨가 운영하는 프로야구단인 NC다이노스는 올해 첫 통합 우승을 차지했다.회사 측은 “올 한해 신종 코로나19로 인한 불확실한 상황에서도 각자 자리에서 헌신하고 있는 엔씨소프트 사우에게 감사드린다”며 “헌신과 노고에 대한 감사의 마음과 코로나19를 이겨내자는 격려 뜻을 담았다”고 밝혔다.엔씨소프트는 그동안 의미있는 성과가 있을 때마다 전직원에게 보너스를 지급해왔다. 지난 2016년 ‘리니지 레드나이츠’ 출시 후 전직원에게 100만원의 보너스를 지급했고, 지난해 말 ‘리니지2M’의 성공적인 런칭을 기념해 전 직원에게 1인당 300만원씩 지급한 바 있다.노정연 기자 dana_fm@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
2,엔씨소프트 3분기 영업익 2177억원···작년 동기 대비 68.9% 증가,2020.11.16," 엔씨소프트가 올해 3분기 연결 기준 영업이익으로 전년 동기 대비 68.86% 증가한 2177억원을 기록했다고 16일 공시했다. 같은 기간 매출액은 47%% 증가한 5852억원으로 집계됐다. 당기순이익은 1525억원으로 34.26% 늘었다.지역별 매출은 한국 4771억원, 북미·유럽 274억원, 일본 139억원, 대만 79억원 등으로 나타났다. 로열티 매출은 588억원이다.제품별로는 모바일 게임 매출은 3896억원을 냈다. 이중 ‘리니지M’에서 2452억 원, ‘리니지2M’에서 1445억원을 거뒀다.엔씨소프트는 “리니지M 매출은 3주년 기념 업데이트 효과로 전 분기 대비 53% 증가했다”고 밝혔다.PC 온라인 게임 매출은 ‘리니지’ 499억원, ‘리니지2’ 263억원, ‘아이온’ 85억원, ‘블레이드 & 소울’ 172억원, ‘길드워2’ 188억원 등으로 나타났다.PC 온라인 게임 매출 중 리니지는 전분기 대비 46%, 길드워2는 20% 상승했다. 엔씨소프트는 지난 10일 북미와 유럽에 콘솔·PC 플랫폼 신작 게임 ‘퓨저(FUSER)’를 출시했으며, ‘트릭스터M’, ‘블소2’, ‘프로젝트 TL’ 등의 게임을 국내외에 순차적으로 선보일 계획이다.노정연 기자 dana_fm@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
3,코로나19 재확산에 엔씨소프트·넷마블 등도 재택근무 돌입,2020.08.18," 지난 17일 SK텔레콤·카카오 등이 재택근무에 돌입한 데 이어, 18일 엔씨소프트·넷마블 등 도 재택근무에 들어갔다. 엔씨소프트는 이날 ‘전사 순환 재택근무제’를 운영한다고 밝혔다. 이번 주는 하루, 다음 주는 이틀을 재택근무하는 형태다. 31일 이후 근무형태는 상황에 따라 다시 정할 계획이다. 넷마블은 ‘주 3일 출근·2일 재택근무’를 19일부터 시행한다. 직원들은 각자의 상황에 맞춰 자율적으로 출근 가능한 3일을 선택할 수 있다. 넷마블은 “코로나19 감염병 확산 방지 및 임직원 건강 보호를 위해 필수인력을 제외하고 넷마블컴퍼니 전체 대상으로 28일까지 재택근무를 재시행하기로 결정했다”고 밝혔다.컴투스와 게임빌은 19일부터 전체 직원의 50% 수준에서 순환 재택근무를 시행한다. 각 부서별 직원들이 돌아가면서 재택근무를 하는 것이다. NHN도 이달 28일까지 재택근무를 시행한다. LG유플러스도 28일까지 순환 재택근무를 한다. 서울·경기·인천·부산 지역 근무자는 각 조직의 인원을 절반으로 나눠 돌아가면서 재택근무를 한다. 앞서 SK텔레콤, KT, 카카오, 네이버, 넥슨 등은 재택근무로 전환한 바 있다.곽희양 기자 huiyang@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
4,"김종인, 엔씨 방문에 쏠리는 눈···김택진 영입 가능성은?",2020.10.27," 김종인 국민의힘 비상대책위원장(80)이 27일 김택진 엔씨소프트 최고경영자(53)를 만난다. 당내 미래산업일자리특별위원회가 추진중인 게임산업계 간담회의 일환이지만 김 최고경영자가 야권에서 탐내왔던 인물이라 관심이 집중된다.김 최고경영자는 앞서 비례대표용 위성정당이었던 미래한국당 시절부터 야권의 러브콜을 받았던 인물이다. 당시 원유철 미래한국당 대표는 외부인사 중에 당 대표를 영입하려 했고, 김 최고경영자에게 접촉도 시도했다. 다만 김 최고경영자가 거부 의사를 전했고, 미래한국당이 미래통합당(국민의힘 전신)과 통합되면서 이같은 시도는 무산된 바 있다.이후에도 김 최고경영자는 꾸준히 야권에서 영입 인사로 거론돼 왔다. 김 비대위원장이 ‘경제 전문가’를 대권 후보 등으로 지목하면서 김 최고경영자가 주목받은 것이다. 최근에도 내년 4월 서울시장 보궐선거 후보로 김 최고경영자가 당내에서 거론되고 있다. 당 핵심 관계자는 기자와 통화하면서 이날 간담회에 대해 “진짜 진지하게 의사를 타진하는 거라면 비공개로 만나지 않겠느냐”면서도 “김택진, 이재웅(쏘카 대표)을 ‘리틀 꿈틀이’ 후보로 생각했었다”고 말했다. 본인들이 의지가 있다면 역할을 할 수 있다는 취지다. 게다가 당내에선 개헌저지선(101석)이 무너질 수 있다는 우려를 들어 원외 후보가 나서야 한다는 주장도 힘을 얻고 있다. 국민의힘이 인물난에 시달리고 있다는 것도 김 최고경영자 영입설에 무게가 실리는 배경 중 하나다.다만 가능성이 낮다는 내부 평가도 있다. 공식 행사일 뿐 인사 영입 의도는 아니라는 것이다. 미래산업일자리특별위원회 위원장인 조명희 의원은 기자와 통화하면서 “9월에 네이버랩스를 방문하기로 했던 건데 코로나19 확산으로 틀어지고, 최근에 엔씨소프트로 방문 대상 기업이 바뀐 것”이라고 말했다. 다른 당 핵심 관계자는 “서울시장 영입이면 따로 만나겠지 공개적으로 이렇게 만나겠느냐”며 “미래산업일자리특위 활동의 일환이다. 우리쪽 성향은 아니라고 들었다”고 말했다.박순봉·심진용 기자 gabgu@kyunghyang.com▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
5,"미등기 임원 연봉 1위 엔씨소프트, 지난해 평균 11억원...업계 평균은 3.3억",2020.04.12,"국내 500대 기업 가운데 총수 일가를 제외하고 미등기 임원의 연봉이 가장 높은 곳은 11억원인 엔씨소프트로 나타났다. 이는 500대 기업 평균보다 7억7000만원이나 더 많다.12일 기업평가사이트 CEO스코어(대표 박주근)가 국내 500대 기업 중 사업보고서를 제출하고 미등기 임원의 평균 연봉을 알 수 있는 338곳을 조사한 결과를 보면 지난해 미등기 임원(총수 일가 제외) 1만567명의 연봉 총액은 3조5600억원으로 1인 평균은 3억3690만원으로 집계됐다.22개 업종 중에서는 정보기술(IT)·전기전자가 평균 4억9930만원으로 가장 높았다. 이어 통신(4억4230만원), 서비스(4억1780만원) 등도 4억원이 넘었다.반면 임원 평균 연봉이 가장 낮은 곳은 공기업(1억6420만원)이었고 제약(2억250만원)과 운송(2억1460만원), 여신금융(2억1790만원)도 상대적으로 낮았다.개별 기업 중 미등기 임원 평균 연봉이 가장 높은 곳은 엔씨소프트로 11억780만원으로 조사됐다. 2위 오렌지라이프생명보험(7억7500만원)과 3억3280만원의 격차를 보였다.     이는 배재현 엔씨소프트 부사장의 주식매수선택권 행사 차익 144억원이 포함된 영향이 컸다. 오렌지라이프생명보험 역시 임원의 주식매수선택권 행사 이익이 반영되고 신한금융지주 자회사 편입에 따른 특별 보너스가 포함됐다. 다음으로 메리츠종금증권 7억7350만원, SK하이닉스 6억4670만원이었다. 재계 1위 삼성전자는 6억1700만원으로 5위를 기록했다.이어 GS건설 6억1120만원, E1 5억7500만원, 넷마블 5억4800만원, GS홈쇼핑 5억3000만원, SK이노베이션 5억1700만원 등이 ‘톱10’에 이름을 올렸다.반대로 국도화학(8100만원), 사조대림(8800만원), 한진중공업(9800만원)은 미등기 임원 평균 연봉이 1억원에 못 미쳤다.전년보다 임원 평균 연봉이 가장 많이 늘어난 곳은 오렌지라이프생명보험으로 2억6800만원에서 7억7500만원으로 5억700만원(189.2%) 급증했다.이어 GS건설 2억9680만원(94.4%), 코웨이 2억6250만원(115.2%), E1 2억1000만원(57.5%), SK종합화학 2억400만원(76.7%), 아이에스동서 1억6680만원(109.5%), GS홈쇼핑 1억5200만원(40.2%), SK실트론 1억2000만원(37.2%), 하나은행 1억1700만원(33.7%), 현대엔지니어링 1억600만원(30.5%) 등이 1억원 이상 늘었다.미등기 임원 연봉 순위에도 변화가 있었다. 엔씨소프트가 2년 연속 1위를 기록한 가운데 지난해 오렌지라이프생명보험, GS건설, E1, GS홈쇼핑이 미등기 임원 연봉 ‘톱10’에 새로 진입했다. 반면, 한국씨티은행과 한국스탠다드차타드은행, 포스코, 한국투자증권이 10위권 밖으로 밀려났다.전병역 기자 junby@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
6,"엔씨소프트, 한 달간 ‘주 4일 근무’···개인 연차에서 안 깎아",2020.04.02,"게임업체 ‘엔씨소프트’가 코로나19에 대응하기 위해 4월 한 달간 ‘주 4일 근무’를 시행한다. 매주 1일씩 줄어드는 근무일에 대한 보수는 회사가 지급한다. 엔씨소프트는 6일부터 29일까지 주 4일 근무를 시행한다고 2일 밝혔다. 회사가 4000여명의 임직원들에게 매주 1일씩(총 4일) 특별 유급휴가를 주는 형태로, 임직원의 연차는 그대로 보장된다. 임직원들은 매주 어느 요일에 쉴지를 스스로 정한다. 오는 15일 21대 국회의원 선거, 오는 30일 부처님 오신날 등 공휴일이 포함된 주간에는 주 3일 근무만 하게 된다. 이 기간 동안 임신부와 기저질환자는 재택근무를 한다.엔씨소프트는 또 이날부터 29일까지 자율 출퇴근제를 시행한다. ‘하루 최소 4시간 노동’이라는 기존의 규정을 없앤 것으로, 직원들은 개인 상황에 맞게 자유롭게 출퇴근 하면 된다. 단, 월 전체 노동시간이 줄어드는 경우 그 만큼 월급이 줄어든다. 지난 2월말부터 3월초까지 엔씨소프트는 7일간의 특별 유급 휴가를 제공한 바 있다. 엔씨소프트는 “코로나19가 지속되는 상황에서 안전한 근무 환경을 조성하고, 직원들의 건강과 자녀 보육 등을 지원하기 위해 내놓은 조치”라고 밝혔다.곽희양 기자 huiyang@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
7,"엔씨소프트와 넥슨, 코로나19로 PC방 사업자에게 지원",2020.02.28,"코로나19로 어려움을 겪는 PC방 사업주에게 게임업체들이 지원책을 내놨다.엔씨소프트는 전국 엔씨패밀리존 가맹 PC방 사업주에게 3월 한 달 동안 ‘G코인’ 사용량의 50%를 환급하겠다고 밝혔다. G코인은 PC방 사업주가 이용하는 통합화폐다. 해당 PC방 손님들이 엔씨소프트의 전용 콘텐츠를 이용하려면, PC방 사업주가 일정량 G코인을 충전해야한다.넥슨의 자회사 엔미디어플랫폼은 영남권 전 지역 가맹점에 무인선불기 관리비를 2개월 동안 받지 않기로 했다. 한편 2월 세번째 주 전국 PC방 총 사용시간은 약 3330만 시간으로, 전 주보다 11.2%, 전년 동기보다 1.8% 줄어든 것으로 나타났다.곽희양 기자 huiyang@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향 유튜브 구독▶ 경향 페이스북 구독©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
8,"‘주 4일 근무’ 엔씨, 4일부터 정상출근···게임·IT업체 속속 정상근무",2020.05.03,"코로나19 사태로 두 달 넘게 재택근무나 단축근무를 시행해온 게임·포털업체들이 속속 정상근무로 복귀하고 있다.3일 게임업계에 따르면 게임업체 엔씨소프트는 지난달 29일 ‘주 4일 근무’를 끝내고 4일부터 정상근무를 시행한다. 엔씨소프트는 코로나19에 대응하기 위해 지난달 회사가 임직원들에게 매주 1일씩(총 4일) 특별유급휴가를 주는 형태로 주 4일 근무를 시행했다. 지난 2월말부터 3월초까지는 7일간의 특별유급휴가를 주기도 했다.다만 엔씨소프트는 지난달 말까지 시행키로 했던 완전자율 출퇴근제는 연장 시행하기로 했다. 완전자율 출퇴근제는 기존 출근시간(오전 7시~11시)과 기본 근로시간(1일 최소 4시간)에 구애받지 않고, 직원들의 개인 상황에 맞게 자유롭게 출퇴근하는 것을 말한다. 단, 월 전체 노동시간이 줄어드는 경우 그 만큼 급료가 줄어든다.네이버는 오는 11일부터 정상근무를 시행한다. 네이버는 지난달 20일부터 각 부문별로 출근하는 요일을 정해 주 2일은 정상출근을, 3일은 재택근무를 해왔다. 이 같은 근무 형태는 오는 8일까지만 유지된다. 카카오도 오는 11일부터 정상근무를 시행한다. 카카오는 지난 2월26일부터 전 직원 재택근무를 시행하다가, 지난달 9일부터는 주 1회 출근, 4회 재택근무를 해왔다. 카카오 관계자는 “5일 어린이날 이후 상황변화에 대처하기 위해 일정기간이 지난 뒤 전원 출근시점을 11일로 정했다”고 말했다. 게임업체들은 정상근무를 시행하더라도 임산부와 기저질환자와 동거하는 경우, 온라인 등교 등으로 자녀를 돌봐야하는 직원 등은 재택근무를 이어갈 수 있도록 했다.주 3일 정상출근, 2일 재택근무를 하고 있는 게임업체 넥슨은 당분간 현 방식을 유지하기로 했다. NHN도 8일까지 주 2일 정상출근, 3일 재택근무를 유지한 뒤 정상출근 여부를 결정한다.곽희양 기자 huiyang@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
9,김택진 엔씨 대표 연봉 94억원···한성숙 네이버 대표는 29억,2020.03.30,"엔씨소프트 창업자인 김택진 대표가 지난해 94억원의 연봉을 받은 것으로 나타났다. 한성숙 네이버 대표는 29억8400만원을, 조수용 카카오 공동대표는 21억4900만원을 받았다. 30일 공시된 엔씨소프트, 넷마블, 네이버, 카카오 등 게임·포털 업계의 각 사업보고서에 따르면, 엔씨소프트의 김 대표는 지난해 급여 18억4700만원, 상여 75억8600만원 등 94억5000만원을 수령했다. 이는 2018년에 받은 138억보다 32%가량 줄어든 수치다. 엔씨소프트측은 “2018년 성과 연도의 영업이익이 전년 대비 35% 감소한 것이 반영됐다”며 “엔씨소프트는 성과에 연동한 보상 정책을 시행하고 있다”고 밝혔다. 배재현 엔씨소프트 부사장은 162억3700만원을 받았다. 배 부사장은 주식매수 선택권(스톡옵션)으로 143억6300만원을 벌었다. 엔씨소프트 직원 3639명의 지난해 1인 평균 급여는 8641만원이었다. 넷마블 최대주주인 방준혁 이사회 의장은 지난해 13억8600만원을 받았다. 권영식 넷마블 대표는 급여 5억1500만원, 상여 6억5400만원 등 11억8700만원을 받았다. 넷마블 직원 777명의 1인 평균 급여는 9700만원으로 집계됐다.오웬 마호니 넥슨 대표는 지난해 기본보수 1억1200만엔, 상여 1억4100만엔, 스톡옵션 5억400만엔을 받아 총 7억5700만엔(86억2000만원)을 받았다. 한성숙 네이버 대표. 연합뉴스네이버 한성숙 대표는 지난해 급여 12억원, 상여 16억8000만원 등 총 29억8400만원을 받았다. 네이버의 최인혁 최고운영책임자(COO), 채선주 최고커뮤니케이션책임자(CCO), 박상진 최고재무책임자(CFO) 등이 나란히 13억원대의 연봉을 기록했다. 창업자인 이해진 글로벌투자책임자(GIO)는 12억3700만원을 받았다. 네이버 직원 3434명의 1인 평균 급여는 8455만원으로 나타났다.카카오의 조수용 공동대표는 지난해 21억4900만원을 받았다. 급여(7억5100만원)와 상여(5900만원)보다 스톡옵션(13억3900만원)으로 번 돈이 많았다. 카카오 창업자인 김범수 이사회 의장과 여민수 공동대표의 연봉은 5억원이 안 돼 공시되지 않았다. 카카오는 “스톡옵션 포함해 상위 5명의 연봉만 공시 의무가 있기 때문”이라고 설명했다. 카카오 직원 2534명의 평균 급여는 8000만원으로 나타났다.곽희양 기자 huiyang@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
