date,title,content,refine_content
2020.09.24,하도급대금 80억원 후려친 한온시스템에 115억 과징금," 100회에 걸쳐 하도급대금을 80억원 넘게 후려친 한온시스템에 역대 최대 규모의 과징금이 부과됐다. 공정거래위원회는 5개 하도급업체들의 대금 80억5000만원을 부당하게 감액한 자동차 에어컨·히터 제조업체인 한온시스템에 과징금 115억원을 부과한다고 24일 밝혔다. 이는 하도급대금 감액 제재 중 역대 최대 규모의 과징금이다. 공정위는 그동안 깎은 하도급대금과 지연이자를 포함해 약 133억원을 업체에 지급하라는 명령과 함께 한온시스템 법인도 고발하기로 했다. 공정위에 따르면 한온시스템은 2015년 6월부터 2017년 8월까지 원가절감 목표를 달성하기 위해 106회에 걸쳐 이미 결정된 납품대금을 사후 협상이라는 명목으로 깎았다. 2015년 하반기에는‘도전목표’라 불리는 추가 절감목표를 세워 모든 협력사를 대상으로 10%의 추가 절감을 요구하기도 했다. 한온시스템은 자신과 거래하는 하도급업체들의 거래의존도·영업이익률 등을 파악하고 이를 이용해 남품대금 감액을 요구했다. 이를 따르지 않을 경우 에는 발주물량을 감축하거나 타 업체로 거래처를 변경하겠다고 위협했다. 하도급업체들은 부당한 요구를 받으면서도 오히려 선처를 부탁하며 납품대금 감액에 동의할 수밖에 없었다고 공정위는 설명했다.한온시스템은 공정위 조사에 대비해 하도급업체와‘감액 합의서’도 작성했다. 합의서에는 한온시스템의 기여에 의해 하도급업체의 생산성이 향상됐고 이러한 원가절감 효과를 공유하기 위해 하도급업체 측에서 자발적으로 감액을 요청했다는 내용이 담기도록 압박했다. 이 과정에서 하도급업체에게 자발적으로 감액을 요청하는 내용의 공문을 제출할 것을 요구하는 치밀함을 보였다. 실제 한온시스템은 하도급업체 A사에 설비를 임대해주며 교육·지원을 했고 업체가 이에 대한 대가로 자발적으로 1억원을 감액을 요청했다고 주장했다. 그러나 공정위는 2005년 진행된 설비 임대 효과를 11년 후에 정산했다는 주장을 받아들이기 어렵다고 판단했다. 하도급업체 B사는 신규수주 입찰 견적서를 제출하며 낙찰될 경우 3000만원을 일시불로 지급하는 조건을 제시해 해당 금액을 정산했다고 한온시스템은 주장했지만 조사 결과, 신규수주와 무관하게 일방적으로 감액을 요구한 사실이 확인됐다. 공정위가 조사 과정에서 감액의 정당한 사유를 입증할 수 있는 자료 제출을 요구하자 자료를 조작하기도 했다. 육성권 공정위 기업거래정책국장은 “감액 사유와 관련한 자신의 주장을 뒷받침하기 위해 견적서·계약서·회의록 등을 새롭게 만들거나 원본에 없던 문구를 삽입하는 방식으로 허위자료를 작성했다”고 말했다. 공정위는 허위자료를 제출한 것에 대해서는 2000만원의 과태료를 부과했다.박상영 기자 sypark@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지",100회에 걸쳐 하도급대금을 80억원 넘게 후려친 한온시스템에 역대 최대 규모의 과징금이 부과됐다. 공정거래위원회는 5개 하도급업체들의 대금 80억5000만원을 부당하게 감액한 자동차 에어컨 히터 제조업체인 한온시스템에 과징금 115억원을 부과한다고 24일 밝혔다. 이는 하도급대금 감액 제재 중 역대 최대 규모의 과징금이다. 공정위는 그동안 깎은 하도급대금과 지연이자를 포함해 약 133억원을 업체에 지급하라는 명령과 함께 한온시스템 법인도 고발하기로 했다. 공정위에 따르면 한온시스템은 2015년 6월부터 2017년 8월까지 원가절감 목표를 달성하기 위해 106회에 걸쳐 이미 결정된 납품대금을 사후 협상이라는 명목으로 깎았다. 2015년 하반기에는 도전목표 라 불리는 추가 절감목표를 세워 모든 협력사를 대상으로 10 의 추가 절감을 요구하기도 했다. 한온시스템은 자신과 거래하는 하도급업체들의 거래의존도 영업이익률 등을 파악하고 이를 이용해 남품대금 감액을 요구했다. 이를 따르지 않을 경우 에는 발주물량을 감축하거나 타 업체로 거래처를 변경하겠다고 위협했다. 하도급업체들은 부당한 요구를 받으면서도 오히려 선처를 부탁하며 납품대금 감액에 동의할 수밖에 없었다고 공정위는 설명했다.한온시스템은 공정위 조사에 대비해 하도급업체와 감액 합의서 도 작성했다. 합의서에는 한온시스템의 기여에 의해 하도급업체의 생산성이 향상됐고 이러한 원가절감 효과를 공유하기 위해 하도급업체 측에서 자발적으로 감액을 요청했다는 내용이 담기도록 압박했다. 이 과정에서 하도급업체에게 자발적으로 감액을 요청하는 내용의 공문을 제출할 것을 요구하는 치밀함을 보였다. 실제 한온시스템은 하도급업체 A사에 설비를 임대해주며 교육 지원을 했고 업체가 이에 대한 대가로 자발적으로 1억원을 감액을 요청했다고 주장했다. 그러나 공정위는 2005년 진행된 설비 임대 효과를 11년 후에 정산했다는 주장을 받아들이기 어렵다고 판단했다. 하도급업체 B사는 신규수주 입찰 견적서를 제출하며 낙찰될 경우 3000만원을 일시불로 지급하는 조건을 제시해 해당 금액을 정산했다고 한온시스템은 주장했지만 조사 결과  신규수주와 무관하게 일방적으로 감액을 요구한 사실이 확인됐다. 공정위가 조사 과정에서 감액의 정당한 사유를 입증할 수 있는 자료 제출을 요구하자 자료를 조작하기도 했다. 육성권 공정위 기업거래정책국장은  감액 사유와 관련한 자신의 주장을 뒷받침하기 위해 견적서 계약서 회의록 등을 새롭게 만들거나 원본에 없던 문구를 삽입하는 방식으로 허위자료를 작성했다 고 말했다. 공정위는 허위자료를 제출한 것에 대해서는 2000만원의 과태료를 부과했다.  장도리   그림마당 보기            및  금지
2020.09.24,하도급  대금 후려치기  역대 최대 115억 과징금,"공정위, 차 에어컨·히터 제조 ‘한온시스템’에 이자 포함 133억 지급명령 100여 회에 걸쳐 5개 하도급업체들에 대금 80억5000만원을 후려친 한온시스템이 역대 최대 규모의 과징금인 115억원을 부과받았다.공정위는 24일 자동차 에어컨·히터 제조업체인 한온시스템에 이 같은 과징금 명령과 함께 그간 깎은 하도금대금과 지연이자를 포함해 약 133억원을 업체에 지급하라고 결정했다. 또 한온시스템 법인을 검찰에 고발하기로 했다. 공정위에 따르면 한온시스템은 2015년 6월부터 2017년 8월까지 원가절감 목표를 달성하기 위해 106회에 걸쳐 이미 결정된 납품대금을 사후 협상이라는 명목으로 깎았다. 또 공정위 조사에 대비해 하도급 업체와 ‘감액 합의서’를 작성하는 치밀함도 보였다. 한온시스템은 공정위에 허위 자료를 제출한 혐의로 과태료 2000만원도 별도로 내야 한다.박상영 기자 sypark@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지",공정위  차 에어컨 히터 제조  한온시스템 에 이자 포함 133억 지급명령 100여 회에 걸쳐 5개 하도급업체들에 대금 80억5000만원을 후려친 한온시스템이 역대 최대 규모의 과징금인 115억원을 부과받았다.공정위는 24일 자동차 에어컨 히터 제조업체인 한온시스템에 이 같은 과징금 명령과 함께 그간 깎은 하도금대금과 지연이자를 포함해 약 133억원을 업체에 지급하라고 결정했다. 또 한온시스템 법인을 검찰에 고발하기로 했다. 공정위에 따르면 한온시스템은 2015년 6월부터 2017년 8월까지 원가절감 목표를 달성하기 위해 106회에 걸쳐 이미 결정된 납품대금을 사후 협상이라는 명목으로 깎았다. 또 공정위 조사에 대비해 하도급 업체와  감액 합의서 를 작성하는 치밀함도 보였다. 한온시스템은 공정위에 허위 자료를 제출한 혐의로 과태료 2000만원도 별도로 내야 한다.  장도리   그림마당 보기            및  금지
2020.08.13,한온시스템  미래차 간담회에서 업계 선도 사례로  미래차 전환 사례  발표,"고부가가치 친환경차 산업의 다각적 대응력 확보로 글로벌 입지 공략 강화한온시스템은 지난 12일 더불어민주당의 미래전환 K뉴딜위원회 주관으로 열린 ‘미래차 간담회’에서 부품 전환 우수 기업으로 선정돼 ‘내연차 협력업체의 미래차 전환 사례’에 대해 소개했다고 밝혔다. 이번 행사에서 업계 선도 사례로 발표한 기업은 한온시스템이 유일하다.최근 Bloomberg New Energy Finance(BNEF)에 따르면 신규 승용차 판매에서 친환경차 점유율이 2040년에는 약 60%를 넘어설 것으로 예상하고 있다. 이처럼 급격히 성장하고 있는 미래차 시장에서의 열에너지 관리 분야는 진입장벽이 높고 고도화된 기술을 요하며, 내연기관차 대비 순수전기차의 평균 단가가 약 4배 커지는 것만 봐도 얼마나 중요한 지를 알 수 있다.한온시스템은 친환경차로 전환되고 있는 메가 트렌드에 역량 확보 및 선제적 대응으로 글로벌 시장에서의 입지를 공고히 하고 있다. 전기차, 수소차, 자율주행차 등 미래차 열에너지 관리의 다양한 제품뿐 아니라 통합열관리 시스템 개발 역량까지 갖춰 완성차의 겨울철 난방 시 주행거리 감소에 대한 고민을 해결해 주고 있다. 전기차만 하더라고 대표적으로 세계 최초로 전장 폐열을 회수하는 고효율 히트펌프 시스템과 독자 기술로 개발된 전동컴프레서를 공급하고 있고, 해당 제품의 글로벌 시장을 선도하는 기술력을 보유하고 있다. 연료전지차(수소차)에는 전기를 생산하는 스택으로 공기를 공급하는 공기압축기와 스택 냉각을 위한 고전압 쿨링팬 모터가 들어가며 자율주행차량에는 독립된 냉각시스템을 도입해 효과적으로 전장품의 증가된 발열량을 관리한다.이처럼 한온시스템이 독보적 성과를 통해 글로벌 리딩 기업으로 거듭날 수 있었던 것은 자동차 시장의 패러다임 변화에 적극적으로 대응하고, 과거 한라공조, 비스테온 공조사업, 마그나 유압제어사업부문을 효과적으로 통합함으로써 열에너지 관리 시스템의 전문기술을 축적해 온 덕분이다.한앤컴퍼니 인수 이후 적극적 투자로 미래차 관련 사업을 지속 확대해 나가는 한온시스템은 지난 5년간 1조 3500억원의 R&D; 투자를 진행했다. 특히, 지난 2018년 45% 수준이던 친환경차 연구 인력 비중을 지난해 56%로 늘렸으며 점차 확대할 계획이며 정부 과제 연계 연구개발 활동도 활발히 진행 중이다.한온시스템 손정원 사장은 “견고한 글로벌 고객 베이스를 바탕으로 오랫동안 미래차의 선도적 기술 개발에 매진한 결과 오늘 같은 결실을 맺을 수 있었다”면서, “한온시스템은 미래차 공조 및 열에너지 부문에서 글로벌 시장을 선도하며 독보적인 경쟁력을 강화해 지속성장 가능한 기업으로 발돋움하겠다”고 말했다.최근 미래차의 배터리 사업이 각광받는 가운데 친환경차 열에너지 관리 분야의 글로벌 리딩 기업인 한온시스템은 코로나19 등의 불확실성 속에서도 다가오는 이모빌리티 시대의 준비를 완료했다.디지털기획팀 이세연 lovok@kmib.co.kr▶ 네이버에서 국민일보를 구독하세요(클릭)▶ 국민일보 홈페이지 바로가기GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지",고부가가치 친환경차 산업의 다각적 대응력 확보로 글로벌 입지 공략 강화한온시스템은 지난 12일 더불어민주당의 미래전환 K뉴딜위원회 주관으로 열린  미래차 간담회 에서 부품 전환 우수 기업으로 선정돼  내연차 협력업체의 미래차 전환 사례 에 대해 소개했다고 밝혔다. 이번 행사에서 업계 선도 사례로 발표한 기업은 한온시스템이 유일하다.최근 Bloomberg New Energy Finance BNEF 에 따르면 신규 승용차 판매에서 친환경차 점유율이 2040년에는 약 60 를 넘어설 것으로 예상하고 있다. 이처럼 급격히 성장하고 있는 미래차 시장에서의 열에너지 관리 분야는 진입장벽이 높고 고도화된 기술을 요하며  내연기관차 대비 순수전기차의 평균 단가가 약 4배 커지는 것만 봐도 얼마나 중요한 지를 알 수 있다.한온시스템은 친환경차로 전환되고 있는 메가 트렌드에 역량 확보 및 선제적 대응으로 글로벌 시장에서의 입지를 공고히 하고 있다. 전기차  수소차  자율주행차 등 미래차 열에너지 관리의 다양한 제품뿐 아니라 통합열관리 시스템 개발 역량까지 갖춰 완성차의 겨울철 난방 시 주행거리 감소에 대한 고민을 해결해 주고 있다. 전기차만 하더라고 대표적으로 세계 최초로 전장 폐열을 회수하는 고효율 히트펌프 시스템과 독자 기술로 개발된 전동컴프레서를 공급하고 있고  해당 제품의 글로벌 시장을 선도하는 기술력을 보유하고 있다. 연료전지차 수소차 에는 전기를 생산하는 스택으로 공기를 공급하는 공기압축기와 스택 냉각을 위한 고전압 쿨링팬 모터가 들어가며 자율주행차량에는 독립된 냉각시스템을 도입해 효과적으로 전장품의 증가된 발열량을 관리한다.이처럼 한온시스템이 독보적 성과를 통해 글로벌 리딩 기업으로 거듭날 수 있었던 것은 자동차 시장의 패러다임 변화에 적극적으로 대응하고  과거 한라공조  비스테온 공조사업  마그나 유압제어사업부문을 효과적으로 통합함으로써 열에너지 관리 시스템의 전문기술을 축적해 온 덕분이다.한앤컴퍼니 인수 이후 적극적 투자로 미래차 관련 사업을 지속 확대해 나가는 한온시스템은 지난 5년간 1조 3500억원의 R D  투자를 진행했다. 특히  지난 2018년 45  수준이던 친환경차 연구 인력 비중을 지난해 56 로 늘렸으며 점차 확대할 계획이며 정부 과제 연계 연구개발 활동도 활발히 진행 중이다.한온시스템 손정원 사장은  견고한 글로벌 고객 베이스를 바탕으로 오랫동안 미래차의 선도적 기술 개발에 매진한 결과 오늘 같은 결실을 맺을 수 있었다 면서   한온시스템은 미래차 공조 및 열에너지 부문에서 글로벌 시장을 선도하며 독보적인 경쟁력을 강화해 지속성장 가능한 기업으로 발돋움하겠다 고 말했다.최근 미래차의 배터리 사업이 각광받는 가운데 친환경차 열에너지 관리 분야의 글로벌 리딩 기업인 한온시스템은 코로나19 등의 불확실성 속에서도 다가오는 이모빌리티 시대의 준비를 완료했다.디지털기획팀 이세연 lovok kmib.co.kr  네이버에서 국민일보를 구독하세요 클릭   국민일보 홈페이지 GoodNews paper   국민일보 www.kmib.co.kr    및 금지
2020.06.19,한온시스템 1213억원 규모 채무보증 결정,"한온시스템은 계열회사인 Hanon Systems Netherlands Cooperatief U.A. Hanon Systems EFP Deutschland GmbH Hanon Systems Hungary Kft. Hanon Systems Charleville SAS Hanon Systems USA, LLC Hanon Systems Alabama Corp. Hanon Systems Canada Inc. Hanon Systems EFP Canada Ltd EFP Operations Mexicana, S.A. de C.V.가 Citibank Europe Plc으로부터 빌린 1213억원에 대해서 채무보증을 결정했다고 19일 공시했다.채무보증 금액은 자기자본(2조 2361억원) 대비 5.4% 수준이며, 보증 기간은 2021년 6월 30일까지다.한편, 한온시스템은 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 9,410원, 거래량은 889,389주로, 직전 거래일 대비 210원(-2.18%) 하락했다.공시 전문으로 이동스톡봇 기자※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.▶ 네이버에서 국민일보를 구독하세요(클릭)▶ 국민일보 홈페이지 바로가기GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지",한온시스템은 계열회사인 Hanon Systems Netherlands Cooperatief U.A. Hanon Systems EFP Deutschland GmbH Hanon Systems Hungary Kft. Hanon Systems Charleville SAS Hanon Systems USA  LLC Hanon Systems Alabama Corp. Hanon Systems Canada Inc. Hanon Systems EFP Canada Ltd EFP Operations Mexicana  S.A. de C.V.가 Citibank Europe Plc으로부터 빌린 1213억원에 대해서 채무보증을 결정했다고 19일 공시했다.채무보증 금액은 자기자본 2조 2361억원  대비 5.4  수준이며  보증 기간은 2021년 6월 30일까지다.한편  한온시스템은 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 9 410원  거래량은 889 389주로  직전 거래일 대비 210원  2.18   하락했다.공시 전문으로 이동스톡봇 기자  이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇  스톡봇 이 금융감독원 전자공시시스템 DART 과 한국거래소 KRX  데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.  네이버에서 국민일보를 구독하세요 클릭   국민일보 홈페이지 GoodNews paper   국민일보 www.kmib.co.kr    및 금지
2020.05.13,한온시스템 주당 68원 현금 배당 결정,"한온시스템은 보통주 1주당 68원을 현금으로 균등 배당한다고 13일 공시했다.이번 배당은 분기배당으로 보통주 외 다른 주식에 대해서는 배당을 하지 않으며, 총배당금은 363억원이다.배당기준일은 2020년 3월 31일이며, 주주총회를 통해서 확정할 예정이다.한편, 한온시스템의 13시 06분 현재주가는 8,980원으로 직전 거래일 대비 140원(+1.58%) 상승이며, 거래량은 516,272주이다.공시 전문으로 이동스톡봇 기자※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.▶ 네이버에서 국민일보를 구독하세요(클릭)▶ 국민일보 홈페이지 바로가기GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지",한온시스템은 보통주 1주당 68원을 현금으로 균등 배당한다고 13일 공시했다.이번 배당은 분기배당으로 보통주 외 다른 주식에 대해서는 배당을 하지 않으며  총배당금은 363억원이다.배당기준일은 2020년 3월 31일이며  주주총회를 통해서 확정할 예정이다.한편  한온시스템의 13시 06분 현재주가는 8 980원으로 직전 거래일 대비 140원  1.58   상승이며  거래량은 516 272주이다.공시 전문으로 이동스톡봇 기자  이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇  스톡봇 이 금융감독원 전자공시시스템 DART 과 한국거래소 KRX  데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.  네이버에서 국민일보를 구독하세요 클릭   국민일보 홈페이지 GoodNews paper   국민일보 www.kmib.co.kr    및 금지
2020.05.13,한온시스템 2020년 1분기 누적  매출액 1조 6748억원 영업이익 597억원  연결 기준,"한온시스템은 2020년 1분기까지 (연결 기준) 매출액 1조 6748억원, 영업이익 597억원을 기록했다고 5월 13일 발표했다.분기별 실적의 경우 2020년 1분기 매출액은 1조 6748억원으로 작년 4분기 매출액 1조 9611억원 대비 2863억원(-14.6%) 감소했다. 2020년 1분기 영업이익은 597억원으로 작년 4분기 영업이익 1711억원 대비 1114억원 감소했다.한편, 한온시스템의 13시 23분 현재주가는 8,950원으로 직전 거래일 대비 110원(+1.24%) 상승이며, 거래량은 552,602주이다.공시 전문으로 이동스톡봇 기자※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.▶ 네이버에서 국민일보를 구독하세요(클릭)▶ 국민일보 홈페이지 바로가기GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지",한온시스템은 2020년 1분기까지  연결 기준  매출액 1조 6748억원  영업이익 597억원을 기록했다고 5월 13일 발표했다.분기별 실적의 경우 2020년 1분기 매출액은 1조 6748억원으로 작년 4분기 매출액 1조 9611억원 대비 2863억원  14.6   감소했다. 2020년 1분기 영업이익은 597억원으로 작년 4분기 영업이익 1711억원 대비 1114억원 감소했다.한편  한온시스템의 13시 23분 현재주가는 8 950원으로 직전 거래일 대비 110원  1.24   상승이며  거래량은 552 602주이다.공시 전문으로 이동스톡봇 기자  이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇  스톡봇 이 금융감독원 전자공시시스템 DART 과 한국거래소 KRX  데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.  네이버에서 국민일보를 구독하세요 클릭   국민일보 홈페이지 GoodNews paper   국민일보 www.kmib.co.kr    및 금지
2020.04.29,한온시스템 단기차입금 1500억원 증가,"한온시스템은 단기차입금을 1500억원 늘리기로 결정했다고 29일 공시했다.차입목적은 운영자금 등이며, 차입형태는 금융기관 차입이다.차입금액 1500억원은 자기자본의 6.77% 수준이며, 차입 이후 단기차입금 총액은 3700억원이다.한편, 한온시스템의 10시 47분 현재주가는 9,160원으로 직전 거래일 대비 50원(+0.55%) 상승이며, 거래량은 202,029주이다.공시 전문으로 이동스톡봇 기자※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.▶ 네이버에서 국민일보를 구독하세요(클릭)▶ 국민일보 홈페이지 바로가기GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지",한온시스템은 단기차입금을 1500억원 늘리기로 결정했다고 29일 공시했다.차입목적은 운영자금 등이며  차입형태는 금융기관 차입이다.차입금액 1500억원은 자기자본의 6.77  수준이며  차입 이후 단기차입금 총액은 3700억원이다.한편  한온시스템의 10시 47분 현재주가는 9 160원으로 직전 거래일 대비 50원  0.55   상승이며  거래량은 202 029주이다.공시 전문으로 이동스톡봇 기자  이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇  스톡봇 이 금융감독원 전자공시시스템 DART 과 한국거래소 KRX  데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.  네이버에서 국민일보를 구독하세요 클릭   국민일보 홈페이지 GoodNews paper   국민일보 www.kmib.co.kr    및 금지
2020.03.30,한온시스템 2019년 매출액 7조 1542억원  영업이익 4838억원  연결 기준,"한온시스템은 2019년 연결기준으로 매출액 7조 1542억원, 영업이익 4838억원, 당기순이익 3226억원을 기록했다고 3월 30일 발표했다. 2018년 대비 매출액은 1조 2166억원 증가, 영업이익은 500억원 증가, 당기순이익은 389억원 증가했다.2019년 영업이익률은 6.76%로 나타났으며, 2018년 영업이익률 7.31%보다 0.55%p 감소했다. 2019년 부채비율은 202.99%로 2018년 부채비율 151.25%보다 51.74%p 증가했다.한편, 한온시스템은 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 8,630원, 거래량은 1,057,938주로, 직전 거래일 대비 190원(-2.15%) 하락했다.공시 전문으로 이동스톡봇 기자※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.▶ 네이버에서 국민일보를 구독하세요(클릭)▶ 국민일보 홈페이지 바로가기GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지",한온시스템은 2019년 연결기준으로 매출액 7조 1542억원  영업이익 4838억원  당기순이익 3226억원을 기록했다고 3월 30일 발표했다. 2018년 대비 매출액은 1조 2166억원 증가  영업이익은 500억원 증가  당기순이익은 389억원 증가했다.2019년 영업이익률은 6.76 로 나타났으며  2018년 영업이익률 7.31 보다 0.55 p 감소했다. 2019년 부채비율은 202.99 로 2018년 부채비율 151.25 보다 51.74 p 증가했다.한편  한온시스템은 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 8 630원  거래량은 1 057 938주로  직전 거래일 대비 190원  2.15   하락했다.공시 전문으로 이동스톡봇 기자  이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇  스톡봇 이 금융감독원 전자공시시스템 DART 과 한국거래소 KRX  데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.  네이버에서 국민일보를 구독하세요 클릭   국민일보 홈페이지 GoodNews paper   국민일보 www.kmib.co.kr    및 금지
2020.02.11,한온시스템 주당 80원 현금 배당 결정,"한온시스템은 보통주 1주당 80원을 현금으로 균등 배당한다고 11일 공시했다.이번 배당은 결산배당으로 보통주 외 다른 주식에 대해서는 배당을 하지 않으며, 총배당금은 427억원이다.배당기준일은 2019년 12월 31일이며, 주주총회를 통해서 2020년 3월 25일에 확정할 예정이다.한편, 한온시스템의 12시 06분 현재주가는 11,250원으로 직전 거래일 대비 500원(+4.65%) 상승이며, 거래량은 593,976주이다.공시 전문으로 이동스톡봇 기자※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.▶네이버에서 국민일보를 구독하세요(클릭)▶국민일보 페이스북 팔로우 ▶TV국민일보 영상뉴스GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지",한온시스템은 보통주 1주당 80원을 현금으로 균등 배당한다고 11일 공시했다.이번 배당은 결산배당으로 보통주 외 다른 주식에 대해서는 배당을 하지 않으며  총배당금은 427억원이다.배당기준일은 2019년 12월 31일이며  주주총회를 통해서 2020년 3월 25일에 확정할 예정이다.한편  한온시스템의 12시 06분 현재주가는 11 250원으로 직전 거래일 대비 500원  4.65   상승이며  거래량은 593 976주이다.공시 전문으로 이동스톡봇 기자  이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇  스톡봇 이 금융감독원 전자공시시스템 DART 과 한국거래소 KRX  데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다. 네이버에서 국민일보를 구독하세요 클릭  국민일보 페이스북 팔로우  TV국민일보 영상뉴스GoodNews paper   국민일보 www.kmib.co.kr    및 금지
2020.02.11,한온시스템 2019년 매출액 7조 1542억원 영업이익 4838억원  연결 기준,"한온시스템은 2019년 4분기까지 (연결 기준) 매출액 7조 1542억원, 영업이익 4838억원을 기록했다고 2월 11일 발표했다.분기별 실적의 경우 2019년 4분기 매출액은 1조 9611억원으로 동년 3분기 매출액 1조 8599억원 대비 1012억원(5.4%) 증가했다. 2019년 4분기 영업이익은 1711억원으로 동년 3분기 영업이익 1070억원 대비 641억원 증가했다.한편, 한온시스템의 12시 00분 현재주가는 10,950원으로 직전 거래일 대비 200원(+1.86%) 상승이며, 거래량은 362,122주이다.공시 전문으로 이동스톡봇 기자※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.[국민일보 채널 구독하기][취향저격 뉴스는 여기] [의뢰하세요 취재대행소 왱]GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지",한온시스템은 2019년 4분기까지  연결 기준  매출액 7조 1542억원  영업이익 4838억원을 기록했다고 2월 11일 발표했다.분기별 실적의 경우 2019년 4분기 매출액은 1조 9611억원으로 동년 3분기 매출액 1조 8599억원 대비 1012억원 5.4   증가했다. 2019년 4분기 영업이익은 1711억원으로 동년 3분기 영업이익 1070억원 대비 641억원 증가했다.한편  한온시스템의 12시 00분 현재주가는 10 950원으로 직전 거래일 대비 200원  1.86   상승이며  거래량은 362 122주이다.공시 전문으로 이동스톡봇 기자  이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇  스톡봇 이 금융감독원 전자공시시스템 DART 과 한국거래소 KRX  데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.GoodNews paper   국민일보 www.kmib.co.kr    및 금지
