,keyword,company
0,서비스,예스피치
1,서비스,IBKS제16호스팩
2,서비스,에이디엠코리아
3,서비스,유안타제8호스팩
4,서비스,유안타제7호스팩
5,서비스,네패스아크
6,서비스,바이브컴퍼니
7,서비스,원포유
8,서비스,엔에이치스팩17호
9,서비스,소마젠
10,서비스,휴럼
11,서비스,천랩
12,서비스,유안타제5호스팩
13,서비스,남화산업
14,서비스,EDGC
15,서비스,팬젠
16,서비스,유투바이오
17,서비스,랩지노믹스
18,서비스,미스터블루
19,서비스,에스엔피제네틱스
20,서비스,NAVER
21,서비스,아이에스이커머스
22,서비스,드림어스컴퍼니
23,서비스,농심홀딩스
24,서비스,지니뮤직
25,서비스,두산
26,제조,프레스티지바이오로직스
27,제조,씨엔티드림
28,제조,엔젠바이오
29,제조,엔에프씨
30,제조,하나기술
31,제조,위더스제약
32,제조,대덕전자
33,제조,한화시스템
34,제조,세경하이테크
35,제조,노바렉스
36,제조,케이씨텍
37,제조,나인테크
38,제조,에스알바이오텍
39,제조,경동도시가스
40,제조,AP시스템
41,제조,에프엔에스테크
42,제조,유바이오로직스
43,제조,유니테크노
44,제조,동서
45,제조,이비테크
46,제조,에치에프알
47,제조,예스티
48,제조,한솔제지
49,제조,듀켐바이오
50,제조,아스트
51,제조,씨에스윈드
52,제조,큐엠씨
53,제조,아이원스
54,제조,한국타이어앤테크놀로지
55,제조,대한과학
56,제조,세아특수강
57,제조,대성에너지
58,제조,오르비텍
59,제조,아세아텍
60,제조,멜파스
61,제조,우림피티에스
62,제조,대성파인텍
63,제조,쎄트렉아이
64,제조,SNT에너지
65,제조,이트론
66,제조,이아이디
67,제조,유나이티드
68,제조,알루코
69,제조,메타랩스
70,제조,LF
71,제조,인천도시가스
72,제조,KEC
73,제조,루멘스
74,제조,노루페인트
75,제조,현대리바트
76,제조,대한제강
77,제조,LG디스플레이
78,제조,이엔플러스
79,제조,이수페타시스
80,제조,DSR제강
81,제조,태경케미컬
82,제조,휴켐스
83,제조,세종공업
84,제조,미코
85,제조,종근당바이오
86,제조,지에스이
87,제조,포스코인터내셔널
88,제조,대우조선해양
89,제조,진양화학
90,제조,현대에이치티
91,제조,HRS
92,제조,한국가스공사
93,제조,체시스
94,제조,대한유화
95,제조,자화전자
96,제조,하이트론씨스템즈
97,제조,디피씨
98,제조,케이씨
99,제조,웰바이오텍
100,제조,SKC
101,제조,인지컨트롤스
102,제조,부산도시가스
103,제조,퍼시스
104,제조,MH에탄올
105,제조,신성이엔지
106,제조,영풍제지
107,제조,세원정공
108,제조,서울도시가스
109,제조,제이준코스메틱
110,제조,지코
111,제조,태광
112,제조,오뚜기
113,제조,대양금속
114,제조,동원시스템즈
115,제조,화신
116,제조,삼화페인트공업
117,제조,휴니드테크놀러지스
118,제조,롯데케미칼
119,제조,무림페이퍼
120,제조,대영포장
121,제조,미원상사
122,제조,대우부품
123,제조,대창단조
124,제조,사조동아원
125,제조,인디에프
126,제조,디와이
127,제조,큐로
128,제조,대덕
129,제조,화천기계
130,제조,에스엘
131,제조,폴루스바이오팜
132,제조,보령제약
133,제조,플레이그램
134,제조,율촌화학
135,제조,부광약품
136,제조,한솔테크닉스
137,제조,계양전기
138,제조,포스코
139,제조,에이엔피
140,제조,참엔지니어링
141,제조,한국프랜지공업
142,제조,현대비앤지스틸
143,제조,SH에너지화학
144,제조,삼성SDI
145,제조,코오롱글로벌
146,제조,빙그레
147,제조,녹십자홀딩스
148,제조,조선내화
149,제조,경농
150,제조,송원산업
151,제조,남광토건
152,제조,신영와코루
153,제조,오리엔트바이오
154,제조,삼천리
155,제조,금양
156,제조,사조대림
157,제조,SNT중공업
158,제조,성신양회
159,제조,삼영화학공업
160,제조,SG글로벌
161,제조,삼부토건
162,제조,삼화콘덴서공업
163,제조,성창기업지주
164,제조,태양금속공업
165,제조,넥센타이어
166,제조,롯데정밀화학
167,제조,신성통상
168,제조,DB하이텍
169,제조,카프로
170,제조,두산
171,제조,케이씨씨
172,제조,롯데푸드
173,제조,한국주철관공업
174,제조,한진중공업홀딩스
175,데이터,N
176,위치,N
177,모듈,라온피플
178,모듈,드림텍
179,모듈,탑선
180,모듈,덕우전자
181,모듈,에이치엔티
182,모듈,유니트론텍
183,모듈,럭스피아
184,모듈,한중엔시에스
185,모듈,옵티시스
186,모듈,멜파스
187,모듈,오디텍
188,모듈,한양디지텍
189,전극,N
190,차량,N
191,센서,N
192,영상,엠씨넥스
193,영상,포커스에이치엔에스
194,영상,엘리비젼
195,영상,THE MIDONG
196,영상,블루콤
197,영상,KH 일렉트론
198,영상,ITX-AI
199,영상,휴맥스
200,영상,토비스
201,영상,에스텍
202,영상,홈캐스트
203,영상,코텍
204,영상,세영디앤씨
205,영상,하이트론씨스템즈
206,영상,TJ미디어
207,영상,인터엠
208,영상,대성엘텍
209,영상,삼화전자공업
210,영상,아남전자
211,가스,경동도시가스
212,가스,대성에너지
213,가스,인천도시가스
214,가스,지에스이
215,가스,한국가스공사
216,가스,부산도시가스
217,가스,서울도시가스
218,가스,삼천리
219,가스,한진중공업홀딩스
220,통신,제노코
221,통신,원포유
222,통신,피피아이
223,통신,다보링크
224,통신,머큐리
225,통신,알로이스
226,통신,유비쿼스
227,통신,서진시스템
228,통신,유니온커뮤니티
229,통신,인텔리안테크
230,통신,장원테크
231,통신,씨앤에스링크
232,통신,AP위성
233,통신,슈프리마
234,통신,에치에프알
235,통신,HDC아이콘트롤스
236,통신,인포마크
237,통신,에이텍티앤
238,통신,RFHIC
239,통신,이노인스트루먼트
240,통신,텔콘RF제약
241,통신,THQ
242,통신,오이솔루션
243,통신,위월드
244,통신,코셋
245,통신,디엠티
246,통신,파이오링크
247,통신,비덴트
248,통신,아이디스
249,통신,옵티시스
250,통신,모베이스
251,통신,우리넷
252,통신,파인테크닉스
253,통신,유비쿼스홀딩스
254,통신,슈프리마에이치큐
255,통신,텔레필드
256,통신,에스맥
257,통신,에스코넥
258,통신,서원인텍
259,통신,한전KPS
260,통신,일진파워
261,통신,성우전자
262,통신,에프알텍
263,통신,팅크웨어
264,통신,에이스테크
265,통신,인콘
266,통신,EMW
267,통신,아리온
268,통신,가온미디어
269,통신,쏠리드
270,통신,이노와이어리스
271,통신,코드네이처
272,통신,CS
273,통신,라이트론
274,통신,삼영이엔씨
275,통신,알에프텍
276,통신,LG전자
277,통신,인탑스
278,통신,KT서브마린
279,통신,백금T&A
280,통신,일야
281,통신,코위버
282,통신,스카이문스테크놀로지
283,통신,금화피에스시
284,통신,현대에이치티
285,통신,다산네트웍스
286,통신,파인디지털
287,통신,케이엠더블유
288,통신,코맥스
289,통신,심텍홀딩스
290,통신,삼지전자
291,통신,기산텔레콤
292,통신,코콤
293,통신,삼진
294,통신,릭스솔루션
295,통신,휴니드테크놀러지스
296,통신,대동전자
297,통신,삼성전자
298,통신,대유플러스
299,이미지,N
300,공기,N
301,감지,N
302,패널,엘에이티
303,패널,에스와이
304,패널,LG전자
305,서버,N
306,배출,N
307,분리,N
308,금속,해성티피씨
309,금속,테크트랜스
310,금속,포인트엔지니어링
311,금속,신진에스엠
312,금속,포메탈
313,금속,조선선재
314,금속,동일금속
315,금속,티플랙스
316,금속,풍강
317,금속,테라사이언스
318,금속,케이피티유
319,금속,현진소재
320,금속,태웅
321,금속,태양
322,금속,승일
323,금속,엠투엔
324,금속,와이지-원
325,금속,서원
326,금속,에이프로젠 MED
327,금속,PN풍년
328,금속,케이피에프
329,금속,대륙제관
330,금속,영신금속
331,금속,대동금속
332,금속,세명전기
333,금속,삼화왕관
334,금속,대림통상
335,디바이스,N
336,디스플레이,솔브레인
337,디스플레이,케이씨텍
338,디스플레이,루켄테크놀러지스
339,디스플레이,이녹스첨단소재
340,디스플레이,와이엠티
341,디스플레이,유니트론텍
342,디스플레이,예스티
343,디스플레이,영우디에스피
344,디스플레이,LG전자
345,디스플레이,미코
346,발광,N
347,반도체,엘비루셈
348,반도체,서울바이오시스
349,반도체,현대에너지솔루션
350,반도체,라닉스
351,반도체,덕산테코피아
352,반도체,프로이천
353,반도체,천보
354,반도체,지니틱스
355,반도체,레이크머티리얼즈
356,반도체,이녹스첨단소재
