,빈도수
온도,9011
조절,10224
기능,9579
의자,826
종아리,83
마사지,971
엘리베이터,785
가이드,6767
장치,94782
회전,21087
커피,527
거치,2629
운동복,3
하의,84
유증,12
억제,2800
튀김,203
중지,181
지구조,71
파우치,874
표면,11722
청소,1114
마킹,310
게이지,191
리프,691
스프링,2411
높이,3735
블럭,1139
전신주,212
부착,6445
라이,576
브라켓,2375
화용,154
물올,2
바스,107
난방,828
배관,3267
판넬,594
발가락,143
스트레칭,86
밴드,2026
구강,607
관리,10724
스마트,4045
블록,9842
퍼즐,78
비닐봉투,31
구가,1266
물품,2404
수거,707
장식,418
길이,7345
장신구,96
절취,223
환자,2535
매트리스,286
커버,8267
스케치북,3
물배,4
출구,2536
오염,2267
방지,14245
편향,275
물통,188
뚜껑,947
골프,778
힙턴,7
트레이닝,443
밸브,6399
유압부,11
유량,1523
감지,10390
오일,1728
회로,8355
압축기,1529
착즙,101
주스,31
기용,1200
크류,887
주스기,5
프레임,17898
조물,4409
과육,47
절단,3050
과일,313
제거,8597
자외선,1631
반응,5796
황사,31
마스크,5256
콘택트렌즈,93
케이스,6200
프린터,719
휴대,2180
용무,6
전기,5252
버튼,1173
케이블,3585
클램프,1360
조리,1543
와이어,2879
형태,7247
본체,14406
손잡이,1651
파지,1393
향상,9888
수납,2744
공간,13054
발판,785
접철,208
농산물,145
사각,682
우사,12
목걸이,70
원적외선,223
방사성,381
능이,247
알루미늄,1572
용기,6694
제조,31341
반려동물,682
하네스,173
터치,5714
버클,126
음료,914
추출,9228
캣타워,31
플레이,7628
트용,35
브래킷,630
타이밍,691
연습기,28
불판,88
유지,7511
보수,2061
반굴,2
착용,2747
교반,570
비트,1906
바이트,77
착즙기,15
압력솥,21
안전,3523
헤어,470
염색,491
바디,4768
유압,1067
호스,932
단조,96
포토,874
리소그래피,315
프로세스,1590
시스템,41940
환경,4213
개선,6428
플라즈마,2057
프로세싱,902
챔버,4755
타입,1954
주사기,256
허브,564
초음파,2136
탐상,78
검사,4900
배수,1266
지용,1423
필터,8497
립체,4407
진공관,18
엠프,1
출력,12900
트랜스포머,67
원단,1943
고정용,286
지그,1606
서핑,36
보드,1593
보강,3808
폐기물,1356
건조장,73
치의,386
날개,1376
슬라이딩,2341
개폐,4162
분전,191
덮개,1877
바벨,31
스쿼트,19
머신,1038
화장,2135
로용,13
받침,2260
조립,4829
치과,410
자동,6733
급수,675
레이,5522
권심,22
권회체,7
확장,1847
압구,29
대금,75
운지,8
뇌파,292
분석,7778
헤드셋,64
무선,6771
전용,979
단말기,5514
액세서리,146
어버트먼트,162
양쪽,640
끝단,911
원형,1188
부와,13194
입부,299
가지,3986
상하,3166
정공,446
벽돌,206
컵라면,2
풍선,100
부케,14
홀더,1980
악취,850
차단,4998
우수,305
키트,977
방열,1579
어셈블리,2543
전동,934
후방,3371
