,title,date,content
0,"한국전력기술, 기업성장응답센터 출범",2020.10.27,"함기황 본부장 “혁신적 포용성장 마중물 될 것”한국전력기술(사장 이배수, 이하 한전기술)은 27일 김천 본사에서 기업고객의 혁신성장 지원 및 애로해소 전담창구인 ‘기업성장응답센터’ 발대식을 가졌다. 기업의 혁신성장을 저해하는 각종 규제와 애로사항을 개선해 경제활성화에 적극 기여하겠다는 취지이다.한전기술은 지난 4월 규제혁신 및 모범거래 모델 도입 등 3개 분야에 대한 공모를 진행했다. 현재 기업고객의 협력업무 수행상의 규제 및 애로사항을 혁파하기 위한 기업고객 대상 규제혁신 아이디어 공모를 진행 중이다. 이외에도 자체 규제 정비 및 사내 규제개선 공모를 추진해 기술·정보 소유권의 일방적 귀속 방지를 위한 규정 개정, 저가계약 관행 차단을 위한 제도를 개선하는 등 체감 가능한 규제혁신을 이끌기 위해 노력하고 있다.한전기술은 이번 센터 개소에 앞서 홈페이지에 기업민원 게시판을 신설했다. 기업성장응답센터와 더불어 기업애로사항 접수 및 해소를 위한 온·오프라인 채널을 구축하고 기업민원 보호 및 서비스 헌장을 제정해 임직원의 의식 수준을 고양하는 등 수준 높은 기업 민원행정 서비스를 제공하고 있다.함기황 경영관리본부장은 “기업성장응답센터 개소를 기점으로 고객기업에게 한차원 더 높은 민원행정 서비스를 제공하고, 각종 규제 애로를 해소하는데 적극적으로 임해 우리 회사가 혁신적 포용성장의 마중물 역할을 다할 것으로 기대한다”고 밝혔다.이은철 기자 dldms8781@kmib.co.kr▶ 네이버에서 국민일보를 구독하세요(클릭)▶ 국민일보 홈페이지 바로가기GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
1,한전기술 한국남동발전과 235억원 계약체결,2020.06.25,"한전기술은 한국남동발전과 235억원 규모의 계약을 체결했다고 25일에 공시했다.이번 계약은 용역제공이고 계약기간은 2020년 06월 29일부터 2024년 09월 28일까지이다.계약규모는 235억원으로 최근 매출액인 4486억원 대비 5.25% 수준이다.한편, 한전기술의 09시 25분 현재주가는 15,350원으로 직전 거래일 대비 50원(-0.32%) 하락이며, 거래량은 16,126주이다.공시 전문으로 이동스톡봇 기자※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.▶ 네이버에서 국민일보를 구독하세요(클릭)▶ 국민일보 홈페이지 바로가기GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
2,한전기술 한국수력원자력과 288억원 계약체결,2020.06.03,"한전기술은 한국수력원자력과 288억원 규모의 계약을 체결했다고 3일에 공시했다.이번 계약은 용역제공이고 계약기간은 2020년 06월 02일부터 2024년 06월 01일까지이다.계약규모는 288억원으로 최근 매출액인 4486억원 대비 6.42% 수준이다.한편, 한전기술의 11시 21분 현재주가는 17,650원으로 직전 거래일 대비 500원(+2.92%) 상승이며, 거래량은 146,681주이다.공시 전문으로 이동스톡봇 기자※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.▶ 네이버에서 국민일보를 구독하세요(클릭)▶ 국민일보 홈페이지 바로가기GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
3,"[코스피] 한전기술 2019년 매출액 4486억원, 영업이익 441억원",2020.03.30,"한전기술은 2019년 매출액 4486억원, 영업이익 441억원, 당기순이익 264억원을 기록했다고 3월 30일 발표했다. 2018년 대비 매출액은 149억원 증가, 영업이익은 226억원 증가, 당기순이익은 135억원 증가했다.2019년 영업이익률은 9.82%로 나타났으며, 2018년 영업이익률 4.96%보다 4.86%p 증가했다. 2019년 부채비율은 49.37%로 2018년 부채비율 67.21%보다 17.84%p 감소했다.한편, 한전기술은 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 14,800원, 거래량은 102,284주로, 직전 거래일 대비 150원(+1.02%) 상승했다.공시 전문으로 이동스톡봇 기자※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.▶ 네이버에서 국민일보를 구독하세요(클릭)▶ 국민일보 홈페이지 바로가기GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
4,한전기술 주당 310원 현금 배당 결정,2020.03.12,"한전기술은 보통주 1주당 310원을 현금으로 균등 배당한다고 12일 공시했다.이번 배당은 결산배당으로 보통주 외 다른 주식에 대해서는 배당을 하지 않으며, 총배당금은 118억원이다.배당기준일은 2019년 12월 31일이며, 주주총회를 통해서 2020년 3월 27일에 확정할 예정이다.한편, 한전기술의 15시 02분 현재주가는 16,150원으로 직전 거래일 대비 1,050원(-6.1%) 하락이며, 거래량은 189,665주이다.공시 전문으로 이동스톡봇 기자※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.▶ 네이버에서 국민일보를 구독하세요(클릭)▶ 국민일보 홈페이지 바로가기GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
5,전기 생산도 하겠다는 한전… 신재생에너지 시장 뛰어드나,2020.09.05,"풍력·태양광 직접 운영 가능성 커… 정부, 한국형 뉴딜 일환으로 지원한국전력공사가 신재생에너지 발전 사업에 직접 참여할 세 번째 기회가 열렸다. 한전은 신재생에너지 시장의 성장과 한전의 재무 상태 개선이 동시에 가능하다고 설명한다. 하지만 민간발전사들은 공정한 경쟁이 어려워진다며 우려의 목소리를 내고 있다.현행 전기사업법에 따르면 동일인은 두 종류 이상의 전기사업을 할 수 없다. 김대중정부 당시 전력 발전과 전기 판매를 분리해 한전의 발전시장 진출을 막는 구조개편이 이뤄졌다. 이후 한전은 전력 송배전 및 판매를 담당하고 발전사업 부문은 한국수력원자력, 남동발전, 동서발전, 중부발전, 서부발전 등 한전의 발전 자회사로 분할됐다. 현재는 한전의 발전 자회사와 민간발전사가 전력을 생산해 한전에 판매하면 한전이 이를 다시 산업용, 상업용, 소비자용으로 나눠 되파는 방식이다.산업통상자원중소벤처기업위원회 소속 송갑석 더불어민주당 의원이 대표 발의한 ‘전기사업법 일부개정법률안’은 한전도 신재생에너지 발전에 한해 직접 전력 생산에 참여할 수 있게 허용하는 내용을 담고 있다. 풍력, 태양광 등 신재생 발전시설을 한전의 자회사가 아닌 한전이 직접 운영할 수 있게 하자는 것이다. 송 의원은 “공기업 중심으로 대규모 신재생 발전 사업의 기반을 조성하고 민간기업이 동참하는 사업 생태계를 체계적으로 육성하기 위해 신재생 발전 사업을 하는 경우에 한정해 두 종류 이상의 전기사업을 허가할 수 있도록 하려는 것”이라고 설명했다.이와 유사한 개정안은 과거에도 수차례 논의됐다. 2015년 노영민 당시 새정치민주연합 의원은 신재생 발전에 한전이 직접 참여할 수 있게 하는 전기사업법 개정안을 발의했다. 당시 노 의원은 신재생 발전 사업의 수익성이 낮아 민간기업이 피하는 만큼 한전의 직접 진출로 산업 활성화가 필요하다고 주장했다. 해당 법안은 소위에도 상정되지 못한 채 폐기됐다.2016년에는 홍익표 더불어민주당 의원이, 2017년에는 손금주 국민의당 의원이 같은 내용의 전기사업법 개정안을 발의했다. 신재생에너지 발전이 소규모 민간사업자 중심으로 진행돼 생태계 조성 속도가 더뎌 관련 기술 발전도 느리다며 한전의 참여로 상황을 해소해야 한다는 내용이었다. 당시 정부는 불공정한 경쟁 가능성을 이유로 반대했다.그러나 2017년 ‘재생에너지 3020 이행계획’이 수립되면서 분위기가 전환됐다. 재생에너지 3020 이행계획은 2016년 기준 전체 발전량의 7%인 재생에너지 비중을 2030년까지 20%로 확대한다는 내용이다.여기에 올해 정부가 그린 뉴딜, 디지털 뉴딜을 골자로 하는 ‘한국형 뉴딜’을 발표하면서 한전의 신재생 발전 직접 참여 가능성이 커졌다. 정부는 지난 7월 그린 뉴딜의 하나로 저탄소·분산형 에너지 확산을 위해 신재생에너지 확산 기반을 구축하고 공정한 전환을 지원하겠다고 했다. 대규모 해상풍력단지 입지 발굴을 위해 최대 13개 권역의 풍황 계측·타당성 조사 지원 및 배후·실증단지를 단계적으로 구축하겠다는 것이다.한전은 신재생에너지 발전에 직접 참여하게 되면 민간사업자와 전력 소비자, 한전의 주주 모두에게 혜택이 돌아간다는 입장이다. 민간사업자만으로는 추진이 어려운 대규모 해상풍력 사업이나 한전 보유 기술이 필요한 사업에 한해 진출하면 신재생에너지 생태계를 구축하는 데 도움을 줄 수 있다는 것이다.특히 해상풍력 공동접속설비의 경우 한전이 투자 비용을 공동 부담하면 신재생에너지 사업자의 원가가 줄어 시장 활성화와 함께 글로벌 시장 동반 진출의 기회가 늘 것으로 전망했다. 한전은 미국 중국 일본 멕시코 필리핀 요르단 등에서 신재생에너지 발전 사업을 추진 중이다.한전은 새로운 성장동력으로 신재생에너지를 확보하면 재무구조가 개선돼 한전의 기업가치가 높아질 것으로 내다봤다. 한전은 “민간 신재생발전사업자 등이 우려하는 신재생공인인증서(REC) 가격 하락, 망 중립성 훼손 등에 대해서는 입법 과정에서 해소 방안을 마련할 것”이라고 밝혔다.하지만 민간발전사들의 입장은 다르다. 한전의 신재생 발전 사업 직접 참여는 불공정 경쟁이라고 설명한다. 국내 전력 계통 전체를 관리하는 한전이 유리한 곳을 선점해 사업하거나 경쟁사를 견제하려고 일부러 계통망 접속을 지연시키는 등의 행위가 가능하다는 것이다. 발전업계 관계자는 “발전, 송배전, 판매를 구분하는 전력사업 구조개편의 취지에 역행하는 것”이라며 “공정한 시장경쟁 환경이 무너질 것”이라고 했다.신재생에너지 생태계 조성 이전에 수익성 저하로 중소 민간발전사가 고사할 것이라는 우려도 있다. 민간발전사들은 생산한 전력을 한전에 판매하거나 REC를 판매해 수익을 얻는다. 신재생에너지 전력 생산량에 비례해 한국에너지공단으로부터 REC를 받는데 REC는 발전사 간 거래가 가능하다. 한전이 신재생에너지 전력 생산을 시작할 경우 REC 공급 물량이 급격히 늘어 가격이 하락해 민간발전사의 수익성이 낮아진다는 주장이다.권민지 기자 10000g@kmib.co.kr▶ 네이버에서 국민일보를 구독하세요(클릭)▶ 국민일보 홈페이지 바로가기GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
6,전남개발공사·한전기술 ‘신재생에너지 기술지원’ 협약,2020.05.27,"전남개발공사가 한전전력그룹사인 한국전력기술과 신재생에너지 발전사업에 따른 기술지원 업무협약을 체결했다고 27일 밝혔다.한국전력기술은 한전 그룹사로서 그동안 국내 주요 원전(25기) 및 화력발전소 설계기술을 확보하고 있다. 제주 한림해상풍력(100㎿) 사업에도 참여하고 있는 2300여명의 기술 인력을 보유한 굴지의 설계기술 전문회사이다.이번 협약은 전남개발공사가 참여하는 해상풍력 발전 사업에 대해 한국전력기술의 기술지원을 통해 경제적이며 효율적인 발전단지 조성에 기여 할 것으로 보인다. 또 도내 대규모 신안 8.2GW 풍력발전단지 조성 등 “전남 블루이코노미”를 선도 할 것으로 예상된다.전남개발공사 김철신 사장은 “공사의 미래 신성장 동력사업으로 추진하고 있는 신재생에너지사업을 한국전력기술(주)과의 상호 협력을 통해 해상풍력 발전 사업이 지역발전과 일자리 및 소득창출에 기여할 수 있도록 최선의 노력을 다하겠다”고 전했다.무안=김영균 기자  ykk222@kmib.co.kr▶ 네이버에서 국민일보를 구독하세요(클릭)▶ 국민일보 홈페이지 바로가기GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
7,"원자력환경공단, 일자리 창출 아이디어 공모",2020.02.11,"한국원자력환경공단은 방폐물관리사업 분야 일자리 창출을 위해 25일까지 ‘원자력 일자리 창출 아이디어 공모전’을 진행한다.11일 한국원자력환경공단에 따르면 한수원, 한전기술, 경북창조경제혁신센터와 원자력 산업의 ʻ혁신적 일자리 창출ʼ을 위해 지난해 OIP 업무협약을 체결하고 이번 공모전을 함께 추진한다.OIP(Open Innovation Platform)는 각 기관이 보유한 유·무형의 자원을 민간과 적극 공유하고, 기관이나 민간에서 창업에 필요한 아이디어나 기술 등을 민간 창업 플랫폼에 접목해 발굴·육성하는 사업형태이다.공모 부문은 국민이 원하는 ‘일자리 창출 아이디어’와 OIP 사업의 성공적 추진을 위한 ‘슬로건’ 두 가지다.일자리 창출 아이디어는 방폐물 관리 등 원자력 주력사업 관련 일자리, 지역 및 사회 취약계층을 위한 일자리, 원자력산업 생태계 활성화를 위한 동반성장 일자리 등이다. 슬로건은 혁신적 창업과 일자리 창출을 위해 참여기관들이 협업해 나갈 방향을 담아야 한다.응모방법은 국민생각함(www.epeople.go.kr/idea)에 있는 참가신청서를 작성해 이메일로 제출하면 된다. 총상금 규모는 아이디어 공모 최우수상 100만원 등 480만원이며, 지원자 중 추첨을 통해 1만원 상당의 상품권도 제공한다.최종 심사 결과는 3월 중 참여 기관 홈페이지에서 발표하며, 공모전과 관련된 자세한 내용은 참여 기관의 홈페이지에서 확인할 수 있다.차성수 공단 이사장은 “이번 공모전을 통해 일자리 창출 과제를 발굴하고 추진‧평가‧개선하는 프로세스를 주요 원자력 공공기관과 함께 운영해 시너지 효과를 극대화하겠다”고 밝혔다.경주=안창한 기자 changhan@kmib.co.kr▶ 네이버에서 국민일보를 구독하세요(클릭)▶ 국민일보 페이스북 팔로우 ▶ TV국민일보 영상뉴스GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
8,"경북도, 한전기술과 ‘농어촌 상생협력기금 지원사업’ 추진",2020.09.01,"경북도는 31일 도청 회의실에서 한국전력기술과 ‘농어촌 상생협력기금 지원사업’ 공동 추진을 위한 업무협약을 체결했다. 이에 따라 한국전력기술은 앞으로 5년 동안 상생협력기금 10억 원을 경북지역 농업 농촌 발전을 위해 출연한다. 경북도는 이 기금을 농촌 오지마을 발광다이오드(LED) 조명 교체, 노후 전기설비 정비 등 마을 환경 개선에 사용할 예정이다. 또 고령인 농업인과 취약계층이 생산한 농산물을 우선 구매해 복지시설과 소외계층에 지원하는 농산물 나눔 프로젝트도 추진할 계획이다. 한국전력기술은 지역 감염병 전담병원의 의료인들을 위해 써 달라며 상생협력기금 1175만 원을 추가 전달했다. 농어촌 상생협력기금은 자유무역협정(FTA) 이행에 따라 피해를 입은 농어업인들을 돕기 위해 마련했다. 경북도는 2017년부터 현재까지 926억 원을 조성해 농어업인 자녀 교육 및 장학금 지원과 복지 증진, 농어촌 지역개발 사업 등을 펴고 있다.　명민준 기자 mmj86@donga.com ▶ 네이버에서 [동아일보] 채널 구독하기▶ 코로나는 이겼지만 주홍글씨에 울다▶ “말이 안 통해”… 극과 극이 만난다면?ⓒ 동아일보 & donga.com, 무단 전재 및 재배포 금지"
9,[부고]유정룡 씨 별세·정학 명옥 부친상·고광훈 장인상 外,2020.01.22,"◇유정룡 씨 별세·정학 대유통상 다카지점장 명옥 감리교신학대 부장 부친상·고광훈 한전기술 책임연구원 장인상=21일 서울 세브란스병원, 발인 23일 오전 5시 02-2227-7547 ◇한석주 씨 별세·덕수(자영업) 은주(자영업) 은정 씨 부친상·송종욱 영남일보 경주담당 차장 창수 씨(대구도시철도공사) 장인상·송복숙 씨 시부상=21일 경북 포항성모병원, 발인 23일 오전 7시 054-260-8048▶ 네이버 홈에서 [동아일보] 채널 구독하기▶ 트롯가수 응원은 '트롯픽'에서 / 초대형전광판 혜택 '아이돌픽!ⓒ 동아일보 & donga.com, 무단 전재 및 재배포 금지"
