,title,date,content
0,현대모비스와 S&T중공업 쌍용차에 부품 공급 계속하기로,2020.12.24," 쌍용차에 납품을 거부한 대형 부품업체 가운데 현대모비스와 S&T중공업이 부품 공급을 재개하기로 결정했다. 쌍용차는 현대모비스와 S&T중공업이 오는 29일부터 차량 생산에 필요한 부품을 정상 공급키로 통보해왔다고 24일 밝혔다. 전날 쌍용차는 현대모비스(헤드램프)와 S&T중공업(차축 어셈블리), LG하우시스(범퍼), 보그워너오창(T/C 어셈블리), 콘티넨탈오토모티브(콤비 미터) 등 5개 대형 부품업체가 납품을 거부해 24일과 28일 이틀간 평택공장의 생산을 중단한다고 밝힌 바 있다.이들 업체는 납품 중단 통보와 함께 이미 납품한 물품에 대해서는 현금 결제를 요청한 것으로 전해졌다. 그러나 부품 업체들의 납품 중단으로 쌍용차의 회생 노력이 물거품이 될 수 있다는 소식이 전해지면서 여론이 악화했고, 다시 부품 공급을 하기로 결정한 것으로 보인다. 쌍용차는 나머지 3곳을 설득해 이른 시일 내 생산을 재개하기로 했다.유동성 위기를 겪고 있는 쌍용차는 지난 21일 서울회생법원에 기업 회생을 신청했다. 기업 회생 신청에 따른 기한이익상실(금융기관이 여러 이유로 대출금을 만기 전에 회수하는 것)을 포함하면 2553억원가량의 대출 원리금이 연체됐다.이에 앞서 예병태 쌍용차 사장은 지난 22일 쌍용차 부품협력사 200여개로 구성된 쌍용차협동회와 간담회를 열고 회생 신청 배경과 향후 계획 등을 설명했다.김준 선임기자 jun@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
1,"현대차그룹, ‘로봇 개’ 만든 미 보스턴 다이내믹스 인수",2020.12.11," 현대차그룹이 11일 미국 로봇 제조업체 보스턴 다이내믹스 인수를 최종 확정했다. 그룹은 이번 인수로 차세대 로보틱스 기술을 확보할 수 있게 돼 도심항공기(UAM), 자율주행차, 스마트 팩토리 개발 등 신성장동력 분야에서 시너지 효과를 낼 것으로 기대했다.현대차그룹은 보스턴 다이내믹스 지분 80%를 소프트뱅크그룹으로부터 인수하기로 최종 합의했다고 11일 밝혔다. 보스턴 다이내믹스는 네 발로 움직이는 로봇 개 ‘스폿’을 개발한 업체다. 1992년 매사추세츠공대(MIT)에서 분사해 설립됐으며, 2013년 구글에 인수됐다가 2017년 7월 소프트뱅크에 매각됐다. 이 업체가 개발한 로봇 아틀라스는 사람처럼 두 발로 보행이 가능하며 물구나무서기, 공중제비 같은 고난도 동작도 할 수 있다. 보스턴 다이내믹스의 가치는 11억달러(약 1조2000억원) 수준으로, 현대차그룹의 투자 규모는 8억8000만달러(약 9590억원)에 이른다. 나머지 지분 20%는 소프트뱅크그룹이 보유한다. 계약 체결과 한국 및 미국 정부의 승인 절차를 거치면 이르면 내년 상반기 중에는 인수가 최종 마무리될 것으로 보인다. 그룹 내 참여 계열사는 현대차, 현대모비스, 현대글로비스이며, 정의선 현대차그룹 회장도 지분 인수에 참여한다. 인수 뒤 최종 지분율은 현대차 30%, 현대모비스 20%, 현대글로비스 10%, 정 회장 20%로 구성된다. 정 회장의 지분 참여는 미래 신사업에 대한 책임경영을 강화하고 지속적인 투자 의지를 표명하는 차원으로 읽힌다. 지난 10월 현대차그룹 회장에 부임한 이후 첫 대규모 인수·합병 대상으로 ‘로봇 사업’을 택한 것도 총수의 강력한 의지를 보여준 것으로 평가된다.그룹의 로봇 개발 역량도 한 단계 올라갈 것으로 기대된다. 현대차는 자율주행차와 UAM 개발에, 현대모비스와 현대글로비스는 물류 솔루션 개선 등에 보스턴 다이내믹스의 기술을 활용할 수 있다. 2017년 245억달러 수준이던 세계 로봇 시장은 올해 444억달러, 2025년에는 1772억달러 규모로 성장할 것으로 전망된다.정 회장은 이날 “첨단 로봇 기술을 보유한 보스턴 다이내믹스 인수는 현대차그룹의 브랜드 이미지를 높일 것”이라면서 “코로나19로 인한 언택트 트렌드에서 그룹이 개발한 로봇이 안전, 치안, 보건 등 공공영역에서 인류를 위해 선한 역할을 할 수 있을 것으로 기대한다”고 말했다.김준 선임기자 jun@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
2,코로나19 시대 특화된 자동차 용품 내놓은 현대모비스,2020.11.30," 자동차 부품전문회사인 현대모비스가 코로나19 감염예방에 도움이 되는 특화 상품을 잇따라 내놓고 있다. ‘차량용 마스크’라 할 수 있는 차량용 공기청정기, 청정한 공기에 좋은 향기를 더하는 차량용 방향제, 장기간 이동시 지루함을 달래는 뒷좌석용 모니터 등이다. 코로나19로 대중교통보다 자가용을 이용하는 사람들이 많아지고 가족끼리 장거리 여행이 증가함에 따라 늘어나는 소비자 요구를 겨냥한 것이다.차량 내부 공간에서 마스크를 대신할 수 있는 차량용 공기청정기에 대한 관심이 높아지면서 현대모비스는 컵홀더형 공기청정기를 12월 둘째주에 내놓을 예정이다. 컵홀더형 공기청정기는 미세먼지 제거는 물론 세균이나 바이러스의 살균능력이 뛰어난 게 특징이다. 헤파필터를 적용해 걸러진 세균들이 필터 내부에서 증식하는 것도 차단했다.  운전석과 보조석 사이에 위치한 암레스트의 윗면 커버에 장착하는 암레스트 공기청정기는 각종 온라인 쇼핑몰에서 만나볼 수 있다. 외부 돌출 부분이 없는 게 장점이다. 깔끔한 디자인의 조작계가 커버 윗면에 일체형으로 장착돼 조작도 간편하다. 초미세먼지를 100% 가까이 걸러주는 4중 헤파필터를 사용했다.현대모비스가 새롭게 선보일 방향제는 헤드레스트 방향제와 에어컨·히터 필터 장착형 발향제 등 두 제품이다. 좌석 머리 받침인 헤드레스트의 지지대에 끼워서 장착하는 헤드레스트 방향제는 고체 형태로 향체를 제작해 누액이 없으며 향이 오래가는 장점이 있다. 회사 관계자는 “전방 대쉬보드쪽 미관을 해치지 않으면서 중앙에서 은은하게 발향한다”면서 “리필 제품 이용도 가능하고 테스트를 통해 충돌시 안전성도 확보했다”고 말했다. 차량의 에어컨·히터 필터는 차량의 외부에서 들어온 공기가 반드시 거치는 길목에서 미세먼지 및 각종 바이러스와 이물질을 걸러주는 역할을 한다. 이 필터는 수많은 주름들로 이루어져 있는데, 이들 주름에 방향제를 꽂아 외부에서 유입되는 공기로 자연스럽게 발향하는 방식이 에어컨·히터 필터 장착형 발향제다.RSE 장착사진. 현대모비스 제공현대모비스는 뒷자리에 탑승한 아이와 부모가 모두 만족할 후석 엔터테인먼트 시스템(RSE)을 내년 1월 출시할 예정이다. 일반적으로 헤드레스트 부분에 고정하는 거치대와는 달리 이 시스템은 좌석의 뒷부분 커버를 떼고 전용 브라켓을 장착하는 방식으로 고정해 안전성을 확보했다. 10인치 풀HD 화질에 블루투스는 물론, 와이파이 통신을 활용할 수 있어 각종 영상 및 게임을 즐길 수 있다. 리모콘도 함께 지급돼 화면을 터치하지 않고도 조작 가능하다.김경은 기자 jjj@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
3,현대모비스-특허 개방·이전에 연구 지원…협력사와 동반성장 앞장,2020.11.26," 현대모비스는 지속 가능한 미래를 만들어가는 아름다운 동반자를 사회책임경영 핵심전략으로 삼고 이해관계자와 지속 가능한 미래가치 확보에 주력하고 있다. 경제, 사회, 환경 분야에서 균형있는 발전을 실현하기 위해서다. 현대모비스는 협력사와의 동반성장 정책의 일환으로 동반성장 문화조성, 글로벌 경쟁력 강화, 지속성장 환경구축, 소통과 공감을 전략과제로 수립했다. 이를 위해 금융지원, 협력사 역량강화, 커뮤니케이션 확대 등 다양한 지원 제도를 운영하고 있다. 대표적으로 현대모비스는 협력사들의 기술경쟁력 확보를 위해 현대모비스가 보유한 최신 특허를 개방하고, 지적재산권 공개와 무상 이전을 실시하고 있다. 지난해 현대모비스의 특허 개방과 이전 건수는 약 200건에 육박한다.협력사 스스로 기술개발이 가능하도록 연구개발비도 지원하고 있다. 해외부품 의존도를 줄이고 기술역량 축적을 통한 부품 국산화에 앞장서기 위해서다. 현대모비스가 지난해 협력사를 대상으로 실시한 신제품 기술개발 지원 금액은 200억원에 이른다. 국제 표준을 충족하는 시험시설이 부족한 중소 협력사에는 고가의 연구시험설비를 갖춘 시험실을 적극 개방해 기술역량 확보를 지원하고 있다. 지난해 국내외 현대모비스의 연구개발 시설을 활용한 협력사의 시험·테스트 장비 사용 횟수는 2300여 건에 이른다. 현대모비스는 2016년부터 매출 5000억원 미만 중견, 중소 협력사에는 전액 현금으로 대금을 지급하고 있다. 현금 지급 대상을 확대해 상생결제시스템을 운영하는 한편, 2·3차 협력사도 대금을 원활히 확보할 수 있도록 지원하고 있다. 신규부품 개발 시에 막대한 투자비가 소요되는 만큼 협력사들의 초기 비용 지급에 어려움이 없도록 금형비용도 양산 전 일시금으로 지급하고 있다. 현대모비스는 2·3차 협력사 전용 지원프로그램도 운영하고 있다. 현대모비스의 동반성장펀드는 2차 협력사 전용 자금지원 프로그램으로 시중은행보다 저금리로 사용이 가능하다.▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
4,"“재택근무, 업무 몰입도 상승” 현대모비스, 제도 상시화",2020.11.01," 현대모비스가 코로나19 확산에 따른 물리적(사회적) 거리 두기의 일환으로 지난 2월부터 임시 시행 중인 재택근무제를 공식 제도화한다고 1일 밝혔다. 직원 수 1만명이 넘는 국내 제조업 기반 대기업에서 인사·근무제도로 ‘재택근무’를 채택한 것은 이례적이다.현대모비스는 제도 공식 도입에 따라 기존에 재택근무를 시행하고 있던 본사와 연구소 직원뿐 아니라, 지방 사업장의 근무자도 사업장별 특수성을 고려해 재택근무 대상에 포함하는 방안을 검토할 예정이다.앞으로 현대모비스 직원들은 재택근무 실시 하루 전 근무 계획을 사내 시스템에 미리 등록하고 개인 컴퓨터 또는 회사가 지급한 노트북을 통해 사내 PC에 원격 접속하는 방식으로 근무를 하게 된다. 회사에서 사용하던 화상회의시스템과 성과관리시스템, 협업툴 등 업무 관련 모든 시스템을 집에서도 활용할 수 있다. 직급별로 직원들이 재택근무제를 효율적으로 활용할 수 있는 재택근무 가이드라인도 배포됐다. 현대모비스 관계자는 “재택근무 시행으로 업무 몰입도가 상승한 것이 추진 배경”이라며 “창의성과 다양성이 중요한 정보통신기술(ICT) 기업 수준으로 변화하기 위해서는 제도화가 필수적이라고 판단했다”고 말했다.정환보 기자 botox@kyunghyang.com▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
5,현대모비스-협력사들에 최신 특허 개방…무상 이전도 200건 육박,2020.10.28," 현대모비스는 ‘지속 가능한 미래를 만들어가는 아름다운 동반자’를 사회책임경영 핵심전략으로 삼고 이해관계자와 지속 가능한 미래가치 확보에 주력하고 있다. 경제, 사회, 환경분야에서 균형있는 발전을 실현하기 위해서다. 현대모비스는 협력사와의 동반성장 정책의 일환으로 동반성장 문화조성, 글로벌 경쟁력 강화, 지속성장 환경구축, 소통과 공감을 전략과제로 수립했다. 이를 위해 금융지원, 협력사 역량강화, 커뮤니케이션 확대 등 다양한 지원 제도를 운영하고 있다.대표적으로 현대모비스는 협력사들의 기술경쟁력 확보를 위해 현대모비스가 보유한 최신 특허를 개방하고 지적재산권 공개와 무상 이전을 실시하고 있다. 지난해 현대모비스의 특허 개방과 이전 건수는 약 200건에 육박한다.협력사 스스로 기술개발이 가능하도록 연구개발비도 지원하고 있다. 현대모비스가 지난해 협력사를 대상으로 실시한 신제품 기술개발 지원 금액은 200억원에 이른다.국제 표준을 충족하는 시험시설이 부족한 중소 협력사에는 고가의 연구시험설비를 갖춘 시험실을 적극 개방해 기술역량 확보를 지원하고 있다.▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
6,현대모비스 국제환경규제 대응 우수기업으로 선정돼 산업통상자원부 장관상 받아,2020.10.22," 현대모비스는 국제환경규제기업지원센터가 주최한 ‘2020 국제환경규제 대응 엑스포’에서 국제환경규제 대응 우수기업으로 선정돼 산업통상자원부 장관상을 받았다고 22일 밝혔다.현대모비스는 국제환경 규제에 선제적으로 대응할 수 있도록 친환경 경영 관련 특허와 국제인증을 약 1000건 보유한 점 등을 인정받아 이 상을 받게 됐다고 설명했다.현대모비스는 제품 개발 단계에서부터 유해화학물질 성분 분석을 통해 적합성이 확인된 원재료만을 사용하고 있다고 밝혔다. 제조과정에서의 오염 요인을 차단하며 최종 제품에 대해서도 유해화학물질 성분 검사를 한다는 것이다.이 같은 노력으로 ‘환경경영’, ‘안전보건경영’, ‘자동차 산업 품질경영’ 등 총 150건의 국제 인증을 획득했다. 글로벌 친환경 자동차와 관련된 디자인, 특허 등도 778건 보유하고 있다.현대모비스는 유해화학물질 규제에 능동적으로 대응하기 위해 화학물질 정보를 표준화해 통합 관리하는 시스템도 구축했다. 화학물질이 어느 제품에 얼마나 사용되는지 실시간으로 파악하고, 글로벌 환경 규제에 위반될 가능성이 있는 유해화학물질 위험 부품을 사전에 확인할 수 있다는 것이다. 사전에 파악된 유해화학물질 위험 부품을 자체적으로 분석할 수 있는 ‘유해화학물질 전담 품질분석실’도 신설했다. 총 18종의 분석 장비를 통해 연간 1만2천여개의 부품을 분석할 수 있다.협력업체 임직원을 대상으로 국제환경규제 최신 동향과 규제 내용을 주기적으로 공유하며 대응 방안을 도출하는 협의체도 운영 중이다.현대모비스 관계자는 “모든 공정에서 완벽한 유해화학물질 정보 분석과 검증에 힘쓰고 있다”면서 “보다 깨끗하고 안전한 자동차 부품을 글로벌 시장에 공급할 것”이라고 말했다.김준 선임기자 jun@kyunghyang.com▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
7,"현대모비스, 영국 증강현실 업체에 300억원 투자",2020.10.07,"주행정보, 유리창에 투영 장치 현대모비스가 차세대 인포테인먼트 핵심부품인 ‘증강현실 헤드업디스플레이(AR HUD)’ 선두업체 영국 엔비직스에 2500만달러(한화 약 300억원)를 투자한다고 7일 밝혔다.증강현실 헤드업디스플레이는 차량주행 정보를 전방 도로와 매칭해 실시간으로 전면 유리창에 투영해주는 안전 편의 장치다. 지금은 스마트폰보다 조금 큰 투영창에 속도와 내비게이션 정보가 표시되지만 증강현실 헤드업디스플레이는 앞 유리 전체를 투영창으로 사용할 수 있다. 또 운전자가 눈으로 보는 도로나 앞 차량 위에 화살표, 거리 등을 직접 표시해주기 때문에 훨씬 다양한 정보를 실시간으로 볼 수 있다.증강현실 헤드업디스플레이는 기하 광학 방식과 홀로그램 방식으로 구현할 수 있는데, 디지털 홀로그램이 차세대 기술로 더 적합한 것으로 파악되고 있다. 현대모비스가 투자한 엔비직스는 디지털 홀로그램 기술을 바탕으로 레벨3 이상의 자율주행에 최적화된 원천기술을 확보한 것으로 알려졌으며, 홀로그램 기반 헤드업디스플레이 양산 경험이 있는 업체는 엔비직스가 유일한 것으로 전해졌다. 현대모비스는 엔비직스와 2025년 양산을 목표로 자율주행에 최적화된 증강현실 디스플레이를 공동개발한다는 목표를 세웠다. 현대모비스 관계자는 “지금은 증강현실 헤드업디스플레이가 초기 시장 생성 단계지만 앞으로 10년간 급속한 성장이 이뤄질 것”이라면서 “자율주행과 커넥티비티 기능을 연계한 고부가가치 주행정보 표시장치를 만들어 글로벌 완성차 시장을 적극 공략할 방침”이라고 말했다.김준 선임기자 jun@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
8,"현대모비스, 수소 지게차 개발 성공",2020.09.24," 현대모비스가 현대자동차, 현대건설기계와 공동으로 수소 지게차 개발에 성공했다고 24일 밝혔다.이번에 개발된 수소지게차는 2023년 상용화를 목표로, 내년 초 수소규제자유특구에서 실증 사업을 할 예정이다.이 수소지게차는 최대 5t의 화물을 들어 올릴 수 있는 중대형 지게차다. 수소 완충시 5시간 연속 운행이 가능하다. 실내에서 작은 물건을 나르는 소형 수소지게차가 공개된 적은 있지만, 중대형 수소지게차를 개발한 것은 이번이 처음이다.수소지게차에는 현대차그룹이 세계 최초로 양산한 수소연료전지시스템이 적용됐다. 현대모비스는 수소지게차에 최적화된 연료전지 파워팩을 독자 개발한 바 있다. 현대건설기계는 수소지게차 전용 차체를 설계, 제작했으며, 향후 수소지게차의 성능과 품질 검증 등을 담당한다.이들 업체는 연내로 예정된 고객 초청 시연회에서 수소지게차를 처음 공개한 뒤 향후 울산 등 규제자유특구와 수소시범도시에서 본격적인 시범 운행을 할 예정이다. 또 실증 사업 결과를 토대로 항만, 공항, 물류센터 등 수소지게차 활용이 가능한 시범 사업을 발굴하고, 해외 시장 진출을 위한 다양한 방안을 모색키로 했다.수소지게차에 이어 수소굴삭기도 공동 개발하고 있으며, 올해 안에 시제품을 개발해 선보일 계획이다. 수소굴삭기 역시 실증 평가와 시범 사업 등의 과정을 거쳐 오는 2023년 상용화를 목표로 하고 있다.현대모비스 관계자는 “자동차 외에도 수소연료전지시스템을 활용할 수 있는 분야가 다양하다”면서 “수소 대중화 시대를 앞당기기 위해 다양한 신규 사업 모델을 발굴해 나갈 것”이라고 말했다.현대모비스는 현재 연간 자동차 2만3000대 규모의 수소연료전지를 생산할 수 있는 능력을 갖췄으며, 2022년까지 이를 연 4만대 규모로 확대할 계획이다.김준 선임기자 jun@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
9,현대모비스-어린이 과학인재 키우는 ‘공학교실’ 비대면 방식 진행,2020.08.26," 현대모비스는 자동차 부품 기업의 특성을 살린 사회공헌 프로그램들을 정기적으로 운영하는 것은 물론 때에 따라 임직원들의 아이디어가 돋보이는 사회공헌 캠페인을 펼치며 기업의 사회적 책임을 다하고 있다.현대모비스는 최근 코로나19 사태 장기화로 인해 대면 활동이 대부분인 사회공헌 프로그램 진행에 차질이 생기자 기존 사회공헌 활동을 언택트(비대면) 방식으로 진행하고 있어 눈길을 끌고 있다.현대모비스는 이달부터 어린이 과학인재 육성을 위한 대표적 사회공헌 프로그램인 주니어 공학교실을 비대면 방식으로 전환해 실시하고 있다. 주니어 공학교실은 현대모비스 직원들이 일일 강사로 나서 초등학생에게 과학원리를 가르치고 이를 응용한 교보재를 만들어보는 실습형 과학수업이다. 현대모비스는 2005년부터 사업장 인근의 초등학교들을 대상으로 매년 5~6회 정도 방문 수업을 진행해 오고 있다.현대모비스는 사회공헌활동의 연속성이 침해돼서는 안 된다는 생각 아래 다양한 온라인 플랫폼을 활용한 비대면 방식으로 진행하기로 했다. 현대모비스가 과학 원리에 대한 설명과 교보재를 만드는 방법에 대한 강의 영상을 제작해 동영상 플랫폼에 업로드하면 학생들이 이 영상을 참조해 집으로 배달받은 교보재를 직접 제작해보는 방식이다. 제작 과정에서의 궁금증은 동영상 하단 댓글을 통한 소통으로 해결할 수 있도록 했다. 또한 결과물이 제대로 작동하는지를 촬영해 SNS를 통해 공유함으로써 과학의 즐거움을 친구들과 나눌 수 있도록 했다. 현대모비스는 주니어 공학교실뿐만 아니라 다른 사회공헌 프로그램들도 비대면으로 진행할 수 있는지 적극 검토한다는 계획이다. 한편 현대모비스는 국가적인 어려움에 힘이 되기 위해 성금 모금 운동도 진행했다. 회사 내 익명게시판에 한 직원이 사회적 고통 분담 차원의 성금 모금을 제안했고, 회사 측이 이에 화답해 구체적 모금 및 기부 방법을 논의하며 현실화됐다.▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
