,title,date,content
0,"현대제철, 고로 유해가스 원천차단 세계 첫 성공",2020.12.22,"‘1차 안전밸브’ 실제 공정에 적용해유럽 특허 출원…“기술 지원 계획” 현대제철이 세계 최초로 고로에서 배출되는 유해가스를 원천 차단하는 기술을 실제 공정에 적용하는 데 성공했다.  현대제철은 고로 보수가 끝난 뒤 다시 쇳물을 생산하기 위해 뜨거운 바람을 집어넣는 재송풍 작업 시 고로 내부 유해가스를 정화하고 배출하는 데 성공했다고 22일 밝혔다. 지난 2~5월 휴풍(고로 정비 전 고열의 공기 주입을 멈추는 것) 작업 시 안전밸브 작동 실험 성공에 이어 재송풍 작업 시 안전성 테스트도 통과하면서 고로 보수 작업 시 유해가스 배출을 원천 차단하게 된 것이다.고로에서 발생한 가스는 배관을 따라 원심력으로 먼지를 걸러내는 설비인 사이클론을 거친 뒤 황산화물 필터인 스크러버, 와이어를 겹겹이 포갠 형태의 먼지 제거 설비인 디미스터를 거친 뒤 안전밸브를 통해 대기 중으로 빠져나가게 된다. 현대제철은 지난해 3월 고로 최상단부 브리더(안전밸브) 개방으로 대기오염물질 배출 논란이 발생하자 유럽의 전문 엔지니어링 기술회사와 방지 기술 개발 협업에 나섰다. 이후 3개월간 기술 검토를 거쳐 세계 최초로 시스템 개발에 성공했다. 이후 이를 ‘1차 안전밸브’로 이름 짓고 유럽 특허 출원도 마쳤다. 현대제철은 1차 안전밸브를 올해 1월 3고로에 우선 설치했고, 시험 결과가 성공적으로 나오자 상반기 중 모든 고로에 설치하고 재송풍 작업 시 안전성을 시험해왔다. 당진제철소 관계자는 “국내외 제철소에서 설치를 원하면 적극적으로 기술을 지원할 계획”이라고 설명했다.박효재 기자 mann616@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
1,충남 당진 현대제철 협력사 직원 1명 확진…공장 일부 시설 폐쇄 후 방역소독,2020.12.04," 충남 당진시 송악읍 현대제철 당진제철소의 협력사 직원 1명이 코로나19 확진 판정을 받아 공장 일부 시설이 폐쇄됐다.보건당국은 당진제철소의 에어컨 보수업체 직원 A씨(서산 66번)가 지난 3일 오후 코로나19 양성 판정을 받았다고 4일 밝혔다.A씨 자녀에 대한 코로나19 진단검사 결과는 이날 오전 나올 것으로 보인다.이에 따라 당진제철소는 A씨의 이동 동선을 파악해 공장 내 1냉연 식당과 전기로지구 부속의원, 동문복지관 편의점 등 일부 시설을 폐쇄한 뒤 방역 소독을 실시했다.최승현 기자 cshdmz@kyunghyang.com▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
2,현대제철-기술박람회 열어 ‘중소기업 판로 확대’ 무대 마련,2020.11.26," 현대제철이 코로나19로 경영에 어려움을 겪고 있는 우수 기술 중소기업의 판로 확대를 위한 협력 무대를 마련하고 상생경영에 앞장서고 있다. 현대제철은 우수 기술 도입 및 중소기업의 안정적 성장기반 구축을 위해 지난 11일부터 24일까지 2주간 2020 현대제철 기술박람회를 개최했다.현대제철 안동일 사장은 기술박람회 개회식에서 “기술박람회는 혁신과 상생의 가치 실현을 위한 것”이라며 “국산화·개선품·대체재 개발 등 다방면의 개선활동에 박차를 가해 어려운 경영환경을 함께 헤쳐갈 수 있는 기틀을 다지는 기회로 삼아야 한다”고 말했다. 이번 기술박람회는 코로나19 재확산 우려에 따른 정부의 방역 시책에 적극 동참하는 차원에서 온라인으로 진행됐다는 점이 가장 큰 특징이다.총 80개 업체가 참여해 3D로 모델링된 가상공간의 전용부스를 설치하고 제선·전기로·열연/후판·냉연·미래기술 등의 메인 테마와 국산화·품질·생산성·환경·안전·에너지 등의 서브 테마로 제품을 전시했다.참여업체 전시 공간뿐만 아니라 기술세미나, 구매제도 설명회, 미래기술 전시관, 시상식 등도 모두 온라인으로 진행됐다. 참가 기업들은 사전 녹화된 기술세미나를 통해 최신 연구동향과 주요 과제 등 다양한 주제에 대해 발표하고 이를 공유하는 시간을 가졌다.또 구매제도 설명회에서는 현대제철의 구매업무 절차·업체 운영·규정 등 구매정책 파악과 현대제철의 정책운영에 대한 공감대 형성 기회를 가졌다.특히 올해 기술박람회에는 친환경 우수 제안(코웨이엔텍) 및 친환경 인증 공급업체(한국하우톤, 입시화학) 3사에 대한 에코파트너십 인증 수여도 함께 진행됐다. 현대제철 에코파트너십은 친환경 구매에 기여한 우수 중소 협력사에 수여하는 인증 제도로, 정부의 환경 정책에 동참하고 협력사의 지속가능경영 실현을 위해 올해부터 마련됐다.▶ 인터랙티브:자낳세에 묻다▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
3,현대제철-버려지는 커피 찌꺼기 수거해 업사이클링 제품 생산,2020.10.28," 현대제철이 커피박 재자원화 사회공헌 프로그램을 통해 지역사회와 함께 지속가능한 발전을 꾀하고 있다.커피박은 커피를 만들고 남은 부산물을 뜻하는 말로 흔히 커피 찌꺼기로 불린다. 1인당 연간 커피 소비는 512잔으로 국내 커피 수요가 증가함에 따라 커피박 처리 부담이 지속적으로 증가하고 있다. 아메리카노 한 잔 추출 시, 99.8%의 원두가 커피박으로 버려진다. 매년 발생하는 커피박만 15만t에 이를 정도로 그 규모가 매우 크지만 현행법인 폐기물관리법에 따라 생활폐기물로 분류돼 대부분 매립 또는 소각 처리되고 있다.커피박 재자원화 프로젝트는 자원으로서 유용한 가치가 있음에도 수거 시스템의 부재로 폐기되는 커피박을 활용해 환경·사회·경제적 가치를 창출하고 지역사회 발전에 기여하는 사회공헌 프로그램이다. 현대제철은 작년 1차 연도에 환경부, 인천시 중구·미추홀구 등 10개 기관과 양해각서(MOU)를 체결하고 커피박 공공수거 시스템의 기반을 마련했다. 올해 2차 연도에는 인천시 중구·미추홀구를 중심으로 공공수거를 실시했고 재자원화 기관들이 수거된 커피박을 활용해 업사이클링 제품을 생산했다.▶ 인터랙티브:난 어떤 동학개미▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
4,"포스코·현대제철, 1000억원 규모 상생협력펀드 조성…중소 철강업체 숨통 틔운다",2020.06.17," 포스코와 현대제철이 코로나19로 어려움을 겪는 중소 철강업체를 돕기 위해 IBK기업은행과 함께 1000억원 규모의 상생협력펀드를 조성했다.산업통상자원부와 한국철강협회는 17일 포스코와 현대제철, IBK기업은행과 함께 상생협력펀드 협약식을 열었다. 이날 산업부는 “펀드는 지난달 제3차 포스트 코로나19 산업전략 대화에서 철강업계와 성윤모 장관이 논의한 연대와 협력을 통한 위기 극복의 일환으로, 업체와 협회가 국내 철강 생태계를 지키기 위해 긴밀 협력한 결과다”고 설명했다.     이 펀드는 포스코가 500억원, 현대제철이 200억원, IBK기업은행이 300억원을 출연했으며 철강 중소기업의 긴급 경영안정자금 및 고용유지 등을 위해 사용될 예정이다. 자금난을 겪는 철강 중소업체들은 IBK기업은행을 통해 최대 10억원 한도로 시중금리보다 1% 포인트 이상 낮은 금리로 대출을 받을 수 있게 됐다. 산업부는 “보통 1개 대기업에 의해 조성되는 상생협력펀드와 달리 2개 회사가 협력하면서 펀드 규모를 키우고 지원금리를 대폭 낮출 수 있었다”고 설명했다. 또 대기업과 거래 관계가 없는 기업이라도 철강협회 추천을 통해 지원받을 수 있게 해 중소 철강업계 자금난 해소에 기여할 수 있을 것이라고 내다봤다.박효재 기자 mann616@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
5,폭염 속 마스크까지…현대제철 당진공장 일용직 노동자 사망,2020.06.10," 전국 대부분 지역에 폭염경보·주의보가 발령된 지난 9일 현대제철 당진공장에서 일하던 외주업체 소속 일용직 노동자 박모씨(54)가 쓰러졌다. 사고 현장의 온도는 43도에 달해 온열질환에 의한 사망으로 추정된다. 올여름이 예년보다 더울 것으로 예상되는 데다 코로나19로 마스크 착용이 필수가 되면서, 옥외 작업 노동자 보호 대책을 강화해야 한다는 지적이 나온다.10일 고용노동부와 현대제철·금속노조의 말을 종합하면, 박씨는 사고 당일 오후 지상 20m 높이 크레인 상부에서 쓰러진 채 발견됐다. 박씨는 연주공장의 크레인 운전실에서 냉방시설 수리 작업을 진행 중이었다. 사고 직후 측정한 현장 온도는 43도에 달했다.금속노조는 그가 고온의 환경에서 온열질환으로 사망한 것으로 추정하고 있다. 끓는 쇳물이 사용되는 연주공장 내부 온도가 높은 데다 열 기류가 공장 상부로 올라가면서 탈진으로 이어졌다는 것이다. 작업은 2인1조로 이뤄지지 않은 것으로 알려졌다. 현대제철은 고온·고위험 작업 특성상 2인1조 근무를 원칙으로 하고 있는데, 박씨는 쓰러진 후 뒤늦게 발견됐다.노동계는 ‘폭염 대비 노동자 건강보호 대책’이 현장에서 잘 지켜지지 않는다고 지적한다. 정부는 매년 물·그늘·휴식 제공을 골자로 하는 ‘열사병 예방 3대 기본수칙’을 배포한다. 그러나 온열질환에 의한 산업재해는 계속 발생하고 있다. 박씨는 오후 30분간 휴식을 취했지만, 별도 휴게공간은 없었다.박세민 금속노조 노동안전보건실장은 “크레인 작업 중 휴식을 줘도 계단을 통해 20m 아래로 내려갔다가 올라와야 하는데 제대로 쉴 수 있겠느냐”고 말했다.올여름은 평년 기온(23.6도)보다 0.5~1.5도 이상 높을 것으로 전망되고 있다. 코로나19 확산으로 업무 중 마스크도 착용해야 한다. 공공운수노조는 최근 성명에서 “코로나19 사업장 방역과 노동자 보호 대책으로 1인당 작업량 축소, 인력충원, 휴게시간 확대를 지침으로 만들어야 한다”고 밝혔다.이효상 기자 hslee@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
6,현대제철 외주업체 일용노동자 숨져…“온열질환 사망”,2020.06.10," 현대제철 당진제철소에서 일하던 외주업체 일용직 노동자 박모씨(54)가 근무 중 쓰러져 병원으로 옮겨졌지만 사망했다.10일 더불어민주당 한정애 의원이 고용노동부로부터 받은 자료를 보면, 박씨는 지난 9일 오후 4시30분쯤 현대제철 당진공장 내 연주(액체 상태의 쇳물을 고체로 응고) 공장에서 천장 주행 크레인에 있는 주행센서 냉각장치 수리작업을 하다가 쓰러졌다. 약 20m 높이에서 진행된 고소 작업이었다. 이후 동료 노동자가 박씨를 발견해 병원으로 옮겨졌으나 박씨는 결국 숨졌다. 사고 이후 측정한 사고 현장의 온도는 43도였다고 한다. 노동부는 박씨가 현대제철 외주업체인 세원센추리 소속이라고 파악하고 있다. 하지만 박씨의 동료 노동자는 박씨가 해당 작업을 도급받은 세원센추리에 직접고용되지 않았다고 증언했다. 다시 말해 세원센추리가 일용직 노동자를 사용한 것이다.금속노조는 박씨가 43도의 고온 다습한 현장에서 외주업체 일용노동자로 홀로 작업하다 폭염에 의한 온열질환으로 사망한 것으로 추정하고 있다. 금속노조 박세민 노동안전보건실장은 “고온·고열 속에 일하는 노동자들에게 제대로 된 보호대책이 취해지지 않았다”며 “고인이 탈수 등의 증세로 쓰러진 것이기 때문에 고온의 작업환경과 사망 간 인과관계가 있어 산업재해”라고 말했다.현대제철 당진제철소 연주공장 모습. 더불어민주당 한정애 의원실 제공노동부는 “현재 재해조사 중으로 향후 부검 결과, 사망진단서 등을 종합적으로 검토해 중대재해 조사 여부를 결정하겠다”고 밝혔다.김지환 기자 baldkim@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
7,“온열질환 추정” 현대제철 외주업체 50대 노동자 작업중 숨져,2020.06.10," 현대제철 당진제철소에서 냉각장치 수리 작업을 하던 50대 외주업체 노동자가 숨졌다.충남도는 지난 9일 오후 4시31분쯤 현대제철 당진제철소에서 작업하던 노동자 ㄱ씨(53)가 쓰러져 병원으로 옮겼지만 숨졌다고 10일 밝혔다.ㄱ씨는 제철소 자체 119구급대가 현장에 도착했을 때 맥박과 호흡이 없던 상태였다.당시 ㄱ씨 체온은 40.2도로 확인됐다.이날 당진의 낮 최고 기온은 32도였고, 사고 현장의 온도는 40도가 넘었던 것으로 전해졌다.충남도는 “열사병으로 인한 심정지로 추정된다”는 의료진 판단을 질병관리본부에 보고했다.당진제철소 측은 “30분 작업·30분 휴식 등의 폭염 근로 지침을 지켰다”고 밝혔다.노동부는 ㄱ씨가 숨진 정확한 원인 등을 파악하는 데로 중대재해 조사 여부를 결정할 방침이다.권순재 기자 sjkwon@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
8,'43도 고열작업 중 숨져'···현대제철 당진제철소 사망사고 ‘중대재해’ 인정,2020.06.23," 현대제철 당진제철소에서 일하던 외주업체 일용직 노동자 박모씨(54)가 지난 9일 근무 중 쓰러져 숨진 것이 중대재해라는 고용노동부 판단이 뒤늦게 나왔다.노동부 천안지청은 현장조사, 작업환경 및 전문가 의견 등을 종합해 박씨의 사망을 지난 12일 중대재해로 판단하고, 해당 작업에 대해 작업중지명령을 내렸다고 23일 밝혔다.앞서 박씨는 지난 9일 오후 4시30분쯤 당진제철소 내 연주(액체 상태의 쇳물을 고체로 응고) 공장에서 천장 주행 크레인에 있는 주행센서 냉각장치 수리작업을 하다가 쓰러졌다. 약 20m 높이에서 진행된 고소 작업이었다. 이후 동료 노동자가 박씨를 발견해 병원으로 옮겨졌으나 박씨는 결국 숨졌다. 사고 이후 측정한 사고 현장의 온도는 43도였다고 한다. 노동부는 또 전문가 의견 수렴 등을 통해 추가 검토한 결과 박씨의 작업이 산업안전보건법상 고열작업에 해당하는 것으로 지난 18일 판단하고, 작업중지명령의 범위를 ‘고열작업 장소에서 행하는 크레인 보수작업’으로 확대했다.천안지청은 지난 22일부터 오는 30일까지 7일간 사업장 산업안전감독을 실시해 법 위반 사항을 조사할 예정이다.김지환 기자 baldkim@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
9,"현대제철, 혁신 계획 ‘HIT’ 추진 선포",2020.04.02,"ㆍ제철소 가동 10주년 맞아 경쟁력 확보 계획·방향 제시현대제철이 제철소 가동 10주년을 맞아 경쟁력을 확보하기 위한 혁신 계획 ‘HIT’(Hyundai steel : Innovation Together)를 추진한다고 2일 선포했다. ‘혁신의 시작은 작은 개선으로부터’라는 슬로건 아래 추진하는 HIT는 전 직원 참여형 혁신 계획과 3가지 구체적인 방향을 제시했다. 첫 번째는 조직 내부의 모든 비효율적인 요소를 찾아내 이를 과제화하고 개선해 가시적인 재무성과를 낼 수 있도록 하는 것이다.설비 강건화도 추진한다. 대표적인 장치산업인 철강업의 경우 설비에 따라 안전과 품질, 생산량이 좌우되는 만큼 성능을 저하시키는 인적·물적 요인을 제거해 설비의 정밀화·고도화를 추진하겠다는 것이다.또 전사 혁신이 성공하려면 임원과 관리자 및 선임자들의 솔선수범이 먼저 이뤄져야 한다는 인식 아래 관리자들이 혁신활동에 앞장서고 직원들의 혁신활동을 격려하도록 했다. 안동일 현대제철 사장은 이날 직원들에게 보낸 영상메시지에서 “지난 수년간 심화해 온 철강업계의 침체 기조에 더해 코로나19라는 복병까지 겹치며 전례 없는 위기상황으로 치닫고 있다”면서 “모든 임직원이 참여하는 전사적 혁신활동만이 회사의 미래와 새로운 철강업을 선도할 수 있다는 결론을 내렸다”고 밝혔다.현대제철은 임직원들의 참여도를 높이는 차원에서 직원들의 성과에 대해 실질적인 혜택을 주는 별도의 포상제도를 신설한다. 성과혁신 수행과제 중 예상 효과를 바탕으로 포상 규모를 산정하고 심의위원회를 구성해 단계별로 심의를 거쳐 포상할 방침이다.박효재 기자 mann616@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
