,keyword,company,종목코드
0,서비스,예스피치,403360
1,서비스,IBKS제16호스팩,388790
2,서비스,에이디엠코리아,187660
3,서비스,유안타제8호스팩,367480
4,서비스,유안타제7호스팩,367460
5,서비스,네패스아크,330860
6,서비스,바이브컴퍼니,301300
7,서비스,원포유,122830
8,서비스,엔에이치스팩17호,359090
9,서비스,소마젠,950200
10,서비스,휴럼,353190
11,서비스,천랩,311690
12,서비스,유안타제5호스팩,336060
13,서비스,남화산업,111710
14,서비스,EDGC,245620
15,서비스,팬젠,222110
16,서비스,유투바이오,221800
17,서비스,랩지노믹스,84650
18,서비스,미스터블루,207760
19,서비스,에스엔피제네틱스,86460
20,서비스,NAVER,35420
21,서비스,아이에스이커머스,69920
22,서비스,드림어스컴퍼니,60570
23,서비스,농심홀딩스,72710
24,서비스,지니뮤직,43610
25,서비스,두산,150
26,제조,프레스티지바이오로직스,334970
27,제조,씨엔티드림,286000
28,제조,엔젠바이오,354200
29,제조,엔에프씨,265740
30,제조,하나기술,299030
31,제조,위더스제약,330350
32,제조,대덕전자,353200
33,제조,한화시스템,272210
34,제조,세경하이테크,148150
35,제조,노바렉스,194700
36,제조,케이씨텍,281820
37,제조,나인테크,267320
38,제조,에스알바이오텍,270210
39,제조,경동도시가스,267290
40,제조,AP시스템,265520
41,제조,에프엔에스테크,83500
42,제조,유바이오로직스,206650
43,제조,유니테크노,241690
44,제조,동서,26960
45,제조,이비테크,208850
46,제조,에치에프알,230240
47,제조,예스티,122640
48,제조,한솔제지,213500
49,제조,듀켐바이오,176750
50,제조,아스트,67390
51,제조,씨에스윈드,112610
52,제조,큐엠씨,136660
53,제조,아이원스,114810
54,제조,한국타이어앤테크놀로지,161390
55,제조,대한과학,131220
56,제조,세아특수강,19440
57,제조,대성에너지,117580
58,제조,오르비텍,46120
59,제조,아세아텍,50860
60,제조,멜파스,96640
61,제조,우림피티에스,101170
62,제조,대성파인텍,104040
63,제조,쎄트렉아이,99320
64,제조,SNT에너지,100840
65,제조,이트론,96040
66,제조,이아이디,93230
67,제조,유나이티드,33270
68,제조,알루코,1780
69,제조,메타랩스,90370
70,제조,LF,93050
71,제조,인천도시가스,34590
72,제조,KEC,92220
73,제조,루멘스,38060
74,제조,노루페인트,90350
75,제조,현대리바트,79430
76,제조,대한제강,84010
77,제조,LG디스플레이,34220
78,제조,이엔플러스,74610
79,제조,이수페타시스,7660
80,제조,DSR제강,69730
81,제조,태경케미컬,6890
82,제조,휴켐스,69260
83,제조,세종공업,33530
84,제조,미코,59090
85,제조,종근당바이오,63160
86,제조,지에스이,53050
87,제조,포스코인터내셔널,47050
88,제조,대우조선해양,42660
89,제조,진양화학,51630
90,제조,현대에이치티,39010
91,제조,HRS,36640
92,제조,한국가스공사,36460
93,제조,체시스,33250
94,제조,대한유화,6650
95,제조,자화전자,33240
96,제조,하이트론씨스템즈,19490
97,제조,디피씨,26890
98,제조,케이씨,29460
99,제조,웰바이오텍,10600
100,제조,SKC,11790
101,제조,인지컨트롤스,23800
102,제조,부산도시가스,15350
103,제조,퍼시스,16800
104,제조,MH에탄올,23150
105,제조,신성이엔지,11930
106,제조,영풍제지,6740
107,제조,세원정공,21820
108,제조,서울도시가스,17390
109,제조,제이준코스메틱,25620
110,제조,지코,10580
111,제조,태광,23160
112,제조,오뚜기,7310
113,제조,대양금속,9190
114,제조,동원시스템즈,14820
115,제조,화신,10690
116,제조,삼화페인트공업,390
117,제조,휴니드테크놀러지스,5870
118,제조,롯데케미칼,11170
119,제조,무림페이퍼,9200
120,제조,대영포장,14160
121,제조,미원상사,2840
122,제조,대우부품,9320
123,제조,대창단조,15230
124,제조,사조동아원,8040
125,제조,인디에프,14990
126,제조,디와이,13570
127,제조,큐로,15590
128,제조,대덕,8060
129,제조,화천기계,10660
130,제조,에스엘,5850
131,제조,폴루스바이오팜,7630
132,제조,보령제약,3850
133,제조,플레이그램,9810
134,제조,율촌화학,8730
135,제조,부광약품,3000
136,제조,한솔테크닉스,4710
137,제조,계양전기,12200
138,제조,포스코,5490
139,제조,에이엔피,15260
140,제조,참엔지니어링,9310
141,제조,한국프랜지공업,10100
142,제조,현대비앤지스틸,4560
143,제조,SH에너지화학,2360
144,제조,삼성SDI,6400
145,제조,코오롱글로벌,3070
146,제조,빙그레,5180
147,제조,녹십자홀딩스,5250
148,제조,조선내화,480
149,제조,경농,2100
150,제조,송원산업,4430
151,제조,남광토건,1260
152,제조,신영와코루,5800
153,제조,오리엔트바이오,2630
154,제조,삼천리,4690
155,제조,금양,1570
156,제조,사조대림,3960
157,제조,SNT중공업,3570
158,제조,성신양회,4980
159,제조,삼영화학공업,3720
160,제조,SG글로벌,1380
161,제조,삼부토건,1470
162,제조,삼화콘덴서공업,1820
163,제조,성창기업지주,180
164,제조,태양금속공업,4100
165,제조,넥센타이어,2350
166,제조,롯데정밀화학,4000
167,제조,신성통상,5390
168,제조,DB하이텍,990
